Reaction,FSR,RegulationStatus
AD_10FTHF7GLUtl,2.42035576416969,Upregulated
AD_10FTHF7GLUtm,1.25383899486726,Unchanged
AD_10FTHFtl,0,Unchanged
AD_13DAMPPOX,3.04921664693651,Upregulated
AD_2HBO,0,Unchanged
AD_2HBt2,0,Unchanged
AD_34DHOXPEGOX,3.73667003922629,Upregulated
AD_34DHOXPEGt,3.73667003922629,Upregulated
AD_34HPPOR,3.45874043881894,Upregulated
AD_3DSPHR,0.942702051759846,Unchanged
AD_3HBCDm,0,Unchanged
AD_3HBCOAHLm,0.0145591458906391,Downregulated
AD_3HLYTCL,0,Unchanged
AD_3M4HDXPAC,1.66336496047671,Unchanged
AD_3MLDAt,1.51026560645019,Unchanged
AD_3MOBt2im,0.0150357861847495,Downregulated
AD_3MOPt2im,2.31440115187881,Upregulated
AD_3MOXTYROX,1.66336496047671,Unchanged
AD_3SALACBOXL,3.65287364136193,Upregulated
AD_3SALAOX,3.83155563842015,Upregulated
AD_41R1H2MAE12BOOX,2.97586185037618,Upregulated
AD_41R2A1H12BOOX,3.63165768982568,Upregulated
AD_42A12BOOX,3.44999339291144,Upregulated
AD_4HGLSDm,0,Unchanged
AD_4HOXPACDOX_NADP_,3.20934351665228,Upregulated
AD_4MOPt2im,Inf,Unchanged
AD_4PYRDX,5.50963689265161,Upregulated
AD_5AOPtm,0,Unchanged
AD_5HLTDL,3.14539949269405,Upregulated
AD_5HOXINDACTO2OX,4.27195407377667,Upregulated
AD_5HOXINOXDA,3.14539949269405,Upregulated
AD_5MTHFt2,0,Unchanged
AD_7DHFtl,1.48801084144617,Unchanged
AD_7DHFtm,1.49474084572998,Unchanged
AD_7THFtm,1.5397814691772,Unchanged
AD_A4GALTg,5.18552536748848,Upregulated
AD_AACTOOR,0,Unchanged
AD_AACTtm,0,Unchanged
AD_ABUTt2rL,0,Unchanged
AD_ACACT10m,11.6538396345242,Upregulated
AD_ACACT1rm,0.475778522154887,Downregulated
AD_ACACT1x,0,Unchanged
AD_ACACT4p,11.2930661471456,Upregulated
AD_ACACT5p,2.71870078635367,Upregulated
AD_ACACT6p,1.43956644874042,Unchanged
AD_ACACT7p,1.43956644874042,Unchanged
AD_ACACT8p,1.84216736441943,Unchanged
AD_ACACT9p,1.84706443411199,Unchanged
AD_ACALDtm,0,Unchanged
AD_ACCOACm,1.16659509141597,Unchanged
AD_ACCOALm,4.01734784890832,Upregulated
AD_ACCOAtr,1.07937188918344,Unchanged
AD_ACETONEt2,0,Unchanged
AD_ACGALtly,2.57654293900056,Upregulated
AD_ACGAM6PSi,292.940347235992,Upregulated
AD_ACGAMK,24.30924819713,Upregulated
AD_ACGAMPM,23.6016178089924,Upregulated
AD_ACGAMtly,24.30924819713,Upregulated
AD_ACITL,5.01830391498613,Upregulated
AD_ACNAM9PL,5.57142242850686,Upregulated
AD_ACNAMlt,0,Unchanged
AD_ACNAMPH,5.57142242850686,Upregulated
AD_ACNMLr,5.57142242850686,Upregulated
AD_ACOAD10m,2.27651252777752,Upregulated
AD_ACOAD1fm,1.93602384210859,Unchanged
AD_ACOAD9m,1.1392601440533e-06,Unchanged
AD_ACOAO7p,1.43956644874042,Unchanged
AD_ACONTm,0,Unchanged
AD_ACP1_FMN_,6.38368874177029,Upregulated
AD_ACRNtm,45910.5837451411,Unchanged
AD_ACS2,2.5460392913841,Upregulated
AD_ACt2m,0,Unchanged
AD_ACtg,0,Unchanged
AD_ADCim,0.00586924898899056,Unchanged
AD_ADEt,0.878569169027521,Unchanged
AD_ADK1m,1.47217463190652,Unchanged
AD_ADK3,1.24791767120875,Unchanged
AD_ADK3m,1.47217465151834,Unchanged
AD_ADKd,0,Unchanged
AD_ADMDC,3.79794978539784,Upregulated
AD_ADNCYC,2.57210771378382,Upregulated
AD_ADNt,1.00502508391546,Unchanged
AD_ADNtl,530015.490104622,Unchanged
AD_ADNtm,0,Unchanged
AD_ADRNCOAtx,1.94929821422637,Unchanged
AD_ADRNCPT1,0.756865791819057,Unchanged
AD_ADRNCPT2,0.763967280997338,Unchanged
AD_ADRNCRNt,0,Unchanged
AD_ADSK,4.88136925572481,Upregulated
AD_AG13T16g,4.56510987921895,Upregulated
AD_AG13T17g,4.56510987921895,Upregulated
AD_AG13T18g,4.56510987921895,Upregulated
AD_AG13T1g,4.4938854593104,Upregulated
AD_AG13T2g,4.4938854593104,Upregulated
AD_AG13T3g,4.4938854593104,Upregulated
AD_AGPAT1,0,Unchanged
AD_AHCYStr,0,Unchanged
AD_AKGMALtm,0,Unchanged
AD_ALAASNNaEx,0,Unchanged
AD_ALACYSNaEx,0,Unchanged
AD_ALAGLNNaEx,0,Unchanged
AD_ALASERNaEx,0,Unchanged
AD_ALASm,0,Unchanged
AD_ALAt4,0,Unchanged
AD_ALATA_L,0.132015053946702,Downregulated
AD_ALATHRNaEx,0,Unchanged
AD_ALCD21_D,0,Unchanged
AD_ALCD21_L,0,Unchanged
AD_ALCD22_D,0,Unchanged
AD_ALCD22_L,0,Unchanged
AD_ALDD20x,3.17005629613745,Upregulated
AD_ALDD20xm,2.86800193018983,Upregulated
AD_ALDD21,2.72584748029502,Upregulated
AD_ALDD2xm,10.699600565788,Upregulated
AD_ALDD2y,5.53068061801614,Upregulated
AD_ALOX52,102440959.191388,Unchanged
AD_ALR2,0,Unchanged
AD_ALR3,0,Unchanged
AD_AMACR2p,0,Unchanged
AD_AMETr,3.4346579802179e-06,Unchanged
AD_AMETt2m,5.1429754679977,Upregulated
AD_AMPDA,0,Unchanged
AD_AOBUTDsm,0,Unchanged
AD_APRTO2,1.10537234725108,Unchanged
AD_ARACHCPT1,1.6484552404263,Unchanged
AD_ARACHCPT2,1.64368921113127,Unchanged
AD_ARACHCRNt,0,Unchanged
AD_ARGSS,2.06830601365421,Upregulated
AD_ARSA,5.49976244593962,Upregulated
AD_R_group_phosphotase_1,0,Unchanged
AD_R_group_phosphotase_2,0,Unchanged
AD_R_group_phosphotase_3,0.0504698097997332,Downregulated
AD_ARTPLM3,1.27396022870821,Unchanged
AD_ASAH1,7.08898162326397,Upregulated
AD_ASCBt4,7383242.24794028,Unchanged
AD_ASNALANaEx,0,Unchanged
AD_ASNCYSNaEx,0,Unchanged
AD_ASNGLNNaEx,0,Unchanged
AD_ASNSERNaEx,0,Unchanged
AD_ASNTHRNaEx,0,Unchanged
AD_ASPDt6,1.05838856422645,Unchanged
AD_ASPt6,1.05838856422645,Unchanged
AD_ATP1ter,5.8399329673094,Upregulated
AD_ATP2ter,0,Unchanged
AD_ATPH1e,9795952.94021541,Unchanged
AD_ATPH2e,11807560.4997697,Unchanged
AD_ATPtm,0,Unchanged
AD_B3GALT3g,5.18552536748848,Upregulated
AD_B3GALT41g,4.03410544379101,Upregulated
AD_B3GALT5g,4.66817968262572,Upregulated
AD_BAAT3x,0,Unchanged
AD_BAMPPALDOX,3.65614114669442,Upregulated
AD_BHMT,0,Unchanged
AD_BILDGLCURte,5.49953885980088,Upregulated
AD_BILGLCURtr,1.91150513307885,Unchanged
AD_BILIRED,1.86357470078998,Unchanged
AD_BILIRUBt2,0,Unchanged
AD_BILIRUBtr,0,Unchanged
AD_C14STRr,5.32762253017547,Upregulated
AD_C161CPT12,4.18404710700633,Upregulated
AD_C161CPT22,23.5169266984314,Upregulated
AD_C180CPT1,0,Unchanged
AD_C180CPT2,0,Unchanged
AD_C180CRNt,0,Unchanged
AD_C204CPT2,0,Unchanged
AD_C204CRNt,0,Unchanged
AD_C226CPT1,0,Unchanged
AD_C226CPT2,0,Unchanged
AD_C3STDH1Pr,5.38200555963842,Upregulated
AD_C3STKR2r,5.312373967877,Upregulated
AD_C4STMO2Pr,5.32761243158072,Upregulated
AD_CAATPS,5.61619892737579,Upregulated
AD_CATm,1.97861788503707e-06,Unchanged
AD_CATp,0,Unchanged
AD_CBPPer,4.91132118792309,Upregulated
AD_CBPter,4.91132118792309,Upregulated
AD_CBR2,0,Unchanged
AD_CDIPTr,104.442984277263,Upregulated
AD_CDPDAGtm,103.566972156899,Upregulated
AD_CDSm,16.0205527715749,Upregulated
AD_CEPTC,2.70694543680855e-06,Unchanged
AD_CEPTE,0,Unchanged
AD_CERK,5.57068022229851,Upregulated
AD_CERT1gt,2.43003992556831e-05,Unchanged
AD_CERT1rt,2.38898522163325,Upregulated
AD_CERT2gt,0,Unchanged
AD_CERT2rt,4.73297948600883,Upregulated
AD_CHLPCTD,2.64624072946899e-06,Unchanged
AD_CHSTEROLt1,0,Unchanged
AD_CHSTEROLtg,5.5968863379423,Upregulated
AD_CITtam,0,Unchanged
AD_CITtbm,0,Unchanged
AD_CKc,2.56054519199244,Upregulated
AD_CLOXAtex2,30231046.0357866,Unchanged
AD_CLPNDCOAtx,1.908948615317,Unchanged
AD_CLPNDCPT1,4.43776070609127,Upregulated
AD_CLPNDCPT2,4.52190193237961,Upregulated
AD_CMPACNAtg,3.99335603898745,Upregulated
AD_CMPSAS,2.62306560807141,Upregulated
AD_CO2ter,0,Unchanged
AD_COAtl,14.4325518455908,Upregulated
AD_COAtm,1.99982914677795,Unchanged
AD_COAtr,0,Unchanged
AD_CORE2GTg,4.4938854593104,Upregulated
AD_CORE3GTg,4.56510987921895,Upregulated
AD_CORE4GTg,4.56510987921895,Upregulated
AD_COt,1.86357371213202,Unchanged
AD_CRNCARtp,3816759.61372991,Unchanged
AD_CSAPASEly,4.52498245387476,Upregulated
AD_CSBPASEly,4.52757680479687,Upregulated
AD_CSCPASEly,4.56366256327445,Upregulated
AD_CSDPASEly,4.51884287740037,Upregulated
AD_CSEPASEly,4.33753779013318,Upregulated
AD_CSm,0,Unchanged
AD_CSNAT2m,0,Unchanged
AD_CSNAT2x,1.99999995514921,Unchanged
AD_CSNAT3x,0,Unchanged
AD_CSNATer,1.07937188918344,Unchanged
AD_CSNATm,0.0859915863605218,Downregulated
AD_CSNATp,7.1560949007522,Upregulated
AD_CSNATr,1.07937188919767,Unchanged
AD_CSPG_At,4.52498245387476,Upregulated
AD_CSPG_Atly,4.52498245387476,Upregulated
AD_CSPG_Bt,4.52757680479687,Upregulated
AD_CSPG_Btly,4.52757680479687,Upregulated
AD_CSPG_Ct,4.56366256327445,Upregulated
AD_CSPG_Ctly,4.56366256327445,Upregulated
AD_CSPG_Dt,4.51884287740037,Upregulated
AD_CSPG_Dtly,4.51884287740037,Upregulated
AD_CSPG_Et,4.33753779013318,Upregulated
AD_CSPG_Etly,4.33753779013318,Upregulated
AD_CYSALANaEx,0,Unchanged
AD_CYSASNNaEx,0,Unchanged
AD_CYSGLNNaEx,0,Unchanged
AD_CYSO,3.65287599618826,Upregulated
AD_CYSSERNaEx,0,Unchanged
AD_CYSTA,4.55351713624261,Upregulated
AD_CYSTHRNaEx,0,Unchanged
AD_CYTDK1,3.22845271266849,Upregulated
AD_CYTDK2m,0,Unchanged
AD_CYTDt,0,Unchanged
AD_CYTDtl,5.59587397150109,Upregulated
AD_CYTDtm,0,Unchanged
AD_CYTK10,0,Unchanged
AD_CYTK10n,0,Unchanged
AD_CYTK11,0,Unchanged
AD_CYTK11n,0,Unchanged
AD_CYTK12,0,Unchanged
AD_CYTK12n,0,Unchanged
AD_CYTK13,0,Unchanged
AD_CYTK13n,0,Unchanged
AD_CYTK14,0,Unchanged
AD_CYTK14n,0,Unchanged
AD_CYTK1m,16.0205527715749,Upregulated
AD_CYTK1n,0,Unchanged
AD_CYTK2n,0,Unchanged
AD_CYTK3n,0,Unchanged
AD_CYTK4n,0,Unchanged
AD_CYTK5,0,Unchanged
AD_CYTK5n,0,Unchanged
AD_CYTK6,0,Unchanged
AD_CYTK6n,0,Unchanged
AD_CYTK7,0,Unchanged
AD_CYTK7n,0,Unchanged
AD_CYTK8,0,Unchanged
AD_CYTK8n,0,Unchanged
AD_CYTK9,0,Unchanged
AD_CYTK9n,0,Unchanged
