Reaction,FSR,RegulationStatus
AD_10FTHF7GLUtl,8.88779005789054,Upregulated
AD_10FTHF7GLUtm,4.78737703228644,Upregulated
AD_10FTHFtl,0,Unchanged
AD_13DAMPPOX,11.5098492171517,Upregulated
AD_2HBO,0,Unchanged
AD_2HBt2,0,Unchanged
AD_34DHOXPEGOX,13.8464571217795,Upregulated
AD_34DHOXPEGt,13.8464571217795,Upregulated
AD_34HPPOR,12.8265417715716,Upregulated
AD_3DSPHR,3.59722577950083,Upregulated
AD_3HBCDm,0,Unchanged
AD_3HBCOAHLm,0.0555383327699884,Downregulated
AD_3HLYTCL,0,Unchanged
AD_3M4HDXPAC,6.2687594268447,Upregulated
AD_3MLDAt,5.69177582950026,Upregulated
AD_3MOBt2im,0.0563999688021483,Downregulated
AD_3MOPt2im,8.57839061052469,Upregulated
AD_3MOXTYROX,6.2687594268447,Upregulated
AD_3SALACBOXL,13.5461258345665,Upregulated
AD_3SALAOX,14.201337697041,Upregulated
AD_41R1H2MAE12BOOX,11.2472126120676,Upregulated
AD_41R2A1H12BOOX,13.846455188205,Upregulated
AD_42A12BOOX,12.7939516680026,Upregulated
AD_4HGLSDm,0,Unchanged
AD_4HOXPACDOX_NADP_,11.9018813136723,Upregulated
AD_4MOPt2im,Inf,Unchanged
AD_4PYRDX,21.0370259013498,Upregulated
AD_5AOPtm,0,Unchanged
AD_5HLTDL,11.6650720121674,Upregulated
AD_5HOXINDACTO2OX,16.3025417212383,Upregulated
AD_5HOXINOXDA,11.6650720121674,Upregulated
AD_5MTHFt2,0,Unchanged
AD_7DHFtl,5.63326537846034,Upregulated
AD_7DHFtm,5.6332756438038,Upregulated
AD_7THFtm,5.71048201294189,Upregulated
AD_A4GALTg,19.618354628195,Upregulated
AD_AACTOOR,0,Unchanged
AD_AACTtm,0,Unchanged
AD_ABUTt2rL,0,Unchanged
AD_ACACT10m,44.2145728334095,Upregulated
AD_ACACT1rm,1.81659645758031,Unchanged
AD_ACACT1x,0,Unchanged
AD_ACACT4p,28.0182728896073,Upregulated
AD_ACACT5p,6.7755615762067,Upregulated
AD_ACACT6p,5.49654673575766,Upregulated
AD_ACACT7p,5.49654673575766,Upregulated
AD_ACACT8p,6.84599600666421,Upregulated
AD_ACACT9p,6.84599961830039,Upregulated
AD_ACALDtm,0,Unchanged
AD_ACCOACm,4.41120424983973,Upregulated
AD_ACCOALm,15.3370563655576,Upregulated
AD_ACCOAtr,1.07937188918344,Unchanged
