Reaction,MinFlux,MaxFlux
AD_10FTHF7GLUtl,0,1.98056855874013e-05
AD_10FTHF7GLUtm,0,1.03195968717496e-05
AD_10FTHFtl,-1.98056855822415e-05,0
AD_13DAMPPOX,0,1.80172883093022e-05
AD_2HBO,9.99381887322306,10
AD_2HBt2,-1000,1000
AD_34DHOXPEGOX,0,7.57438192495741e-05
AD_34DHOXPEGt,0,7.57438192495741e-05
AD_34DHPHAMT,0,7.26741178098678e-05
AD_34DHPLACOX,0,7.26741178098678e-05
AD_34DHXMANDACOX,0,3.63203691868819e-05
AD_34HPPOR,0,7.4306574106231e-05
AD_3DPHBH2,0,2.02519076178945e-06
AD_3DSPHR,1.89074626469375,1.89121984475889
AD_3HBCDm,0,0
AD_3HBCOAHLm,0,0.000491812569782377
AD_3HLYTCL,27.9625033507346,27.9627706153841
AD_3M4HDXPAC,0,4.09832706509405e-05
AD_3MLDAt,0,4.07089348755107e-05
AD_3MOBt2im,0,0.000500154243727743
AD_3MOPt2im,0,0.000100381289338393
AD_3MOX4HOXPGALDOX_NADP_,0,3.65835492148747e-05
AD_3MOXTYROX,0,4.09832706509405e-05
AD_3SALACBOXL,0,0.000168205922136622
AD_3SALAOX,0,6.73168021423365e-05
AD_41R1H2MAE12BOOX,0,5.00090583129831e-05
AD_41R2A1H12BOOX,0,7.36151736173696e-05
AD_42A12BOOX,0,9.76581886780181e-05
AD_4HBZCOAFm,0,2.02519076178945e-06
AD_4HBZFm,0,2.02519076178945e-06
AD_4HGLSDm,0,1000
AD_4HOXPACDOX_NADP_,0,8.58692710581366e-05
AD_4MOPt2im,0,8.4824775854031e-05
AD_4PYRDX,0,3.35129997833805e-05
AD_5ADTSTSTERONESte,0,0
AD_5AOPtm,-4.23002996802079e-05,0
AD_5HLTDL,0,6.91704047977026e-05
AD_5HOXINDACTO2OX,0,0.000406140624242379
AD_5HOXINOXDA,0,6.91704047977026e-05
AD_5MTHFt2,-8.74601531322128e-05,0
AD_7DHCHSTEROLtr,0,4.42926571189564e-06
AD_7DHFtl,0,1.33005505441967e-05
AD_7DHFtm,0,1.33606895457323e-05
AD_7THFtm,0,1.48462092965929e-05
AD_A4GALTg,0,9.79430816069485e-06
AD_AACTOOR,754.21966525035,754.222649785727
AD_AACTtm,754.21966525035,754.222649785727
AD_ABUTt2rL,2.20589596967154,2.20600331752679
AD_ACACT10m,-0.000413487357519671,0.00010038148303602
AD_ACACT1rm,0,0.000187203384342638
AD_ACACT1x,250.163353184021,250.16521537171
AD_ACACT4p,0,0.000553861146386225
AD_ACACT5p,0,0.000551374154870501
AD_ACACT6p,0,0.000291955601738891
AD_ACACT7p,0,0.000291955601738891
AD_ACACT8p,0,1.94095647145787e-05
AD_ACACT9p,0,1.94611615417429e-05
AD_ACACtx,-0.00134707133793199,0
AD_ACALDtm,-0.00078739044004476,0
AD_ACCOACm,0,6.11046904168688e-05
AD_ACCOALm,0,9.07820547695337e-05
AD_ACCOAtr,-1000,1000
AD_ACETONEt2,0,0.000486135977029126
AD_ACGAGBSIDEtg,-9.73266337321268e-06,0
AD_ACGAGBSIDEtl,0,9.73266337321268e-06
AD_ACGALK,0,6.10461505061721e-05
AD_ACGALtly,0,6.12388606953118e-05
AD_ACGAM6PSi,0,0.000554615750843368
AD_ACGAMK,0,4.82177556122565e-05
AD_ACGAMPM,0,4.68141702185676e-05
AD_ACGAMtly,0,4.82177556122565e-05
AD_ACGPID,0,1.98928103833929e-05
AD_ACITL,0,3.06536389871326e-05
AD_ACNAM9PL,0,1.82063013198785e-05
AD_ACNAMlt,-1.88675729922189e-05,0
AD_ACNAMPH,0,1.82063013198785e-05
AD_ACNMLr,0,1.82063013198785e-05
AD_ACOAD10m,0,0.000100381385293035
AD_ACOAD1fm,0,0.000178617473070172
AD_ACOAD8m,0,8.12919385287974e-05
AD_ACOAD9m,0,0.000492063835017709
AD_ACOAO7p,0,0.000291955601738891
AD_ACONTm,-880.524775870505,1000
AD_ACP1_FMN_,0,3.67061776955779e-05
AD_ACRNtm,-1000,0.00186176786473879
AD_ACS2,0,6.05138759084412e-05
AD_ACt2m,-0.00078739044004476,0
AD_ACtg,-4.05898404639718e-06,0
AD_ACTNMO,0,0.000486135977029126
AD_ADCim,0,0.000486135977029126
AD_ADEt,-375.144917480371,-375.143875969629
AD_ADK1m,-1000,1000
AD_ADK3,-1000,984.803066500799
AD_ADK3m,-1000,1000
AD_ADKd,-1000,1000
AD_ADMDC,0,2.37341727817864e-05
AD_ADNCYC,0,6.11334970699318e-05
AD_ADNt,-1000,1000
AD_ADNtl,0,333.300115758666
AD_ADNtm,-9.34519565305436e-05,0
AD_ADRNCOAtx,0,1.92010093139833e-05
AD_ADRNCPT1,0,1.80671348811858e-05
AD_ADRNCPT2,0,1.82366548956749e-05
AD_ADRNCRNt,-1000,1000
AD_ADSK,0,2.3364157755168e-05
AD_ADSL1,0,2.71966180509509e-05
AD_ADSL2,0,8.06899296890151e-06
AD_AG13T16g,0,1.81099470792785e-06
AD_AG13T17g,0,1.81099470792785e-06
AD_AG13T18g,0,1.81099470792785e-06
AD_AG13T1g,0,1.96334439890338e-06
AD_AG13T2g,0,1.96334439890338e-06
AD_AG13T3g,0,1.96334439890338e-06
AD_AGPAT1,0.315187682600499,0.315233765790752
AD_AHCYStr,-0.000238180130935461,0
AD_AIRCr,0,8.06899297085635e-06
AD_AKGDm,0,0.000663847851228638
AD_AKGMALtm,-1000,1000
AD_ALAASNNaEx,0,1000
AD_ALACYSNaEx,0,1000
AD_ALAGLNNaEx,0,1000
AD_ALASERNaEx,0,1000
AD_ALASm,0,1000
AD_ALAt4,0,1000
AD_ALATA_L,-310.579332276926,-310.57420076558
AD_ALATHRNaEx,0,1000
AD_ALCD21_D,0,1000
AD_ALCD21_L,0,1000
AD_ALCD22_D,0,1000
AD_ALCD22_L,0,1000
AD_ALDD20x,0,8.34760069210461e-05
AD_ALDD20xm,0,5.89183706551921e-05
AD_ALDD21,0,0.000700507864166866
AD_ALDD2xm,0,0.00078739044004476
AD_ALDD2y,0,0.000787388275512058
AD_ALOX5,0,7.51101801341747e-05
AD_ALOX52,0,337.664545194705
AD_ALR2,0,1000
AD_ALR3,0,1000
AD_AMACR2p,278.775547192373,278.777025014531
AD_AMETr,0,0.000238180130935461
AD_AMETt2m,0,5.01605800309335e-05
AD_AMPDA,253.903628860793,253.905694435003
AD_AOBUTDsm,754.21966525035,754.222649785727
AD_APOCF,0,6.11336976514091e-05
AD_APOCFm,0,9.35273535560555e-05
