Reaction,MinFlux,MaxFlux
AD_10FTHF7GLUtl,0,7.27284715988017e-05
AD_10FTHF7GLUtm,0,3.94020294858507e-05
AD_10FTHFtl,-7.27284716504073e-05,0
AD_13DAMPPOX,0,6.8009687652193e-05
AD_2HBO,9.97707640983458,10
AD_2HBt2,-1000,1000
AD_34DHOXPEGOX,0,0.000280673309248414
AD_34DHOXPEGt,0,0.000280673309248414
AD_34DHPHAMT,0,0.000269312623903062
AD_34DHPLACOX,0,0.000269312623903062
AD_34DHXMANDACOX,0,0.000138266751719129
AD_34HPPOR,0,0.00027556169465015
AD_3DPHBH2,0,7.66687896799431e-06
AD_3DSPHR,1.89074614605102,1.89255326465843
AD_3HBCDm,0,0
AD_3HBCOAHLm,0,0.0018761025108347
AD_3HLYTCL,27.9621587749939,27.9631652128877
AD_3M4HDXPAC,0,0.000154454536641424
AD_3MLDAt,0,0.000153420782794456
AD_3MOBt2im,0,0.00187610301156838
AD_3MOPt2im,0,0.000372065970168478
AD_3MOX4HOXPGALDOX_NADP_,0,0.000138266859948999
AD_3MOXTYROX,0,0.000154454536641424
AD_3SALACBOXL,0,0.000623766056833119
AD_3SALAOX,0,0.000249504047474147
AD_41R1H2MAE12BOOX,0,0.000189008273789426
AD_41R2A1H12BOOX,0,0.000280673259905662
AD_42A12BOOX,0,0.000362155518470964
AD_4HBZCOAFm,0,7.66687896799431e-06
AD_4HBZFm,0,7.66687896799431e-06
AD_4HGLSDm,0,1000
AD_4HOXPACDOX_NADP_,0,0.000318447018003098
AD_4MOPt2im,0,0.000314572165279969
AD_4PYRDX,0,0.00012796012844607
AD_5ADTSTSTERONESte,0,0
AD_5AOPtm,-0.000159418307021042,0
AD_5HLTDL,0,0.000256526318819006
AD_5HOXINDACTO2OX,0,0.00154990534941488
AD_5HOXINOXDA,0,0.000256526318819006
AD_5MTHFt2,-0.000333468932240066,0
AD_7DHCHSTEROLtr,0,1.67681669154263e-05
AD_7DHFtl,0,5.03528124985072e-05
AD_7DHFtm,0,5.03528402380956e-05
AD_7THFtm,0,5.50591190020407e-05
AD_A4GALTg,0,3.70547239126514e-05
AD_AACTOOR,754.216103193864,754.227315011888
AD_AACTtm,754.216103193864,754.227315011888
AD_ABUTt2rL,2.20576405249335,2.20617383102115
AD_ACACT10m,-0.00157754824329004,0.000372065960277723
AD_ACACT1rm,0,0.000714771661620262
AD_ACACT1x,250.163558573017,250.170665490783
AD_ACACT4p,0,0.00137413812512932
AD_ACACT5p,0,0.00137413780751672
AD_ACACT6p,0,0.00111474368628706
AD_ACACT7p,0,0.00111474368628706
AD_ACACT8p,0,7.21312325327039e-05
AD_ACACT9p,0,7.21312705858621e-05
AD_ACACtx,-0.00514135777768843,0
AD_ACALDtm,-0.00298173577107264,0
AD_ACCOACm,0,0.000231052978051594
AD_ACCOALm,0,0.000346579271536029
AD_ACCOAtr,-1000,1000
AD_ACETONEt2,0,0.0018535951804779
AD_ACGAGBSIDEtg,-3.70547231796081e-05,0
AD_ACGAGBSIDEtl,0,3.70547231796081e-05
AD_ACGALK,0,0.000231052846714874
AD_ACGALtly,0,0.000231052791654918
AD_ACGAM6PSi,0,0.00209974275230707
AD_ACGAMK,0,0.000178725567593574
AD_ACGAMPM,0,0.000178725581122308
AD_ACGAMtly,0,0.000178725567593574
AD_ACGPID,0,7.52901924307992e-05
AD_ACITL,0,0.000115526430754187
AD_ACNAM9PL,0,6.93158641382752e-05
AD_ACNAMlt,-7.14129650987161e-05,0
AD_ACNAMPH,0,6.93158641382752e-05
AD_ACNMLr,0,6.9315864152486e-05
AD_ACOAD10m,0,0.000372065966457153
AD_ACOAD1fm,0,0.000681995091853375
AD_ACOAD8m,0,0.000301060591863791
AD_ACOAD9m,0,0.00187610176637403
AD_ACOAO7p,0,0.00111474368628706
AD_ACONTm,-880.525800058862,1000
AD_ACP1_FMN_,0,0.000138631707500281
