Reaction,FSR,RegulationStatus
AD_10FTHF7GLUtl,2.42035576416969,Upregulated
AD_13DAMPPOX,3.04921664693651,Upregulated
AD_34DHOXPEGOX,3.73667003922629,Upregulated
AD_34DHOXPEGt,3.73667003922629,Upregulated
AD_34HPPOR,3.45874043881894,Upregulated
AD_3HBCOAHLm,0.0145591458906391,Downregulated
AD_3MOBt2im,0.0150357861847495,Downregulated
AD_3MOPt2im,2.31440115187881,Upregulated
AD_3SALACBOXL,3.65287364136193,Upregulated
AD_3SALAOX,3.83155563842015,Upregulated
AD_41R1H2MAE12BOOX,2.97586185037618,Upregulated
AD_41R2A1H12BOOX,3.63165768982568,Upregulated
AD_42A12BOOX,3.44999339291144,Upregulated
AD_4HOXPACDOX_NADP_,3.20934351665228,Upregulated
AD_4PYRDX,5.50963689265161,Upregulated
AD_5HLTDL,3.14539949269405,Upregulated
AD_5HOXINDACTO2OX,4.27195407377667,Upregulated
AD_5HOXINOXDA,3.14539949269405,Upregulated
AD_A4GALTg,5.18552536748848,Upregulated
AD_ACACT10m,11.6538396345242,Upregulated
AD_ACACT1rm,0.475778522154887,Downregulated
AD_ACACT4p,11.2930661471456,Upregulated
AD_ACACT5p,2.71870078635367,Upregulated
AD_ACCOALm,4.01734784890832,Upregulated
AD_ACGALtly,2.57654293900056,Upregulated
AD_ACGAM6PSi,292.940347235992,Upregulated
AD_ACGAMK,24.30924819713,Upregulated
AD_ACGAMPM,23.6016178089924,Upregulated
AD_ACGAMtly,24.30924819713,Upregulated
AD_ACITL,5.01830391498613,Upregulated
AD_ACNAM9PL,5.57142242850686,Upregulated
AD_ACNAMPH,5.57142242850686,Upregulated
AD_ACNMLr,5.57142242850686,Upregulated
AD_ACOAD10m,2.27651252777752,Upregulated
AD_ACP1_FMN_,6.38368874177029,Upregulated
AD_ACS2,2.5460392913841,Upregulated
AD_ADMDC,3.79794978539784,Upregulated
AD_ADNCYC,2.57210771378382,Upregulated
AD_ADSK,4.88136925572481,Upregulated
AD_AG13T16g,4.56510987921895,Upregulated
AD_AG13T17g,4.56510987921895,Upregulated
AD_AG13T18g,4.56510987921895,Upregulated
AD_AG13T1g,4.4938854593104,Upregulated
AD_AG13T2g,4.4938854593104,Upregulated
AD_AG13T3g,4.4938854593104,Upregulated
AD_ALATA_L,0.132015053946702,Downregulated
AD_ALDD20x,3.17005629613745,Upregulated
AD_ALDD20xm,2.86800193018983,Upregulated
