Reaction,CT_Span,Disease_Span,SpanDiff,FSR,AbsDistToCT,Direction,RegulationStatus
AD_10FTHF7GLUtl,5.89998899993129e-05,0.000957888394226281,0.000898888504226968,16.2354267819387,15.2354267819387,Up,Upregulated
AD_10FTHF7GLUtm,5.22424051172266e-05,0.000458776346076699,0.000406533940959472,8.78168501330006,7.78168501330006,Up,Upregulated
AD_10FTHFtl,5.86990804360989e-05,0.000957807907525421,0.000899108827089322,16.3172557459075,15.3172557459075,Up,Upregulated
AD_13DAMPPOX,2.27579474764515e-05,0.000771152738501257,0.000748394791024806,33.8849863020028,32.8849863020028,Up,Upregulated
AD_2HBO,0.00114600515007623,0.081951349023484,0.0808053438734078,71.5104543972009,70.5104543972009,Up,Upregulated
AD_34DHOXPEGOX,1.40885736527707e-05,0.00303388802547033,0.00301979945181756,215.343873712416,214.343873712416,Up,Upregulated
AD_34DHOXPEGt,1.40874552471359e-05,0.00303388802547033,0.0030198005702232,215.360969901724,214.360969901724,Up,Upregulated
AD_34HPPOR,1.60961557753581e-05,0.00275243449800655,0.00273633834223119,170.999494315302,169.999494315302,Up,Upregulated
AD_3DSPHR,0.000652095348527837,0.011682708488415,0.0110306131398872,17.9156445676077,16.9156445676077,Up,Upregulated
AD_3HBCOAHLm,0.000197299979966629,1.15398716365809,1.15378986367812,5848.8965070005,5847.8965070005,Up,Upregulated
AD_3HLYTCL,2.87054659793284e-05,0.0374143340823423,0.037385628616363,1303.38710088474,1302.38710088474,Up,Upregulated
AD_3M4HDXPAC,2.25788316591632e-05,0.00158649826255441,0.00156391943089525,70.2648518977093,69.2648518977093,Up,Upregulated
AD_3MLDAt,4.93281401142872e-05,0.00154397801406958,0.00149464987395529,31.3001465389202,30.3001465389202,Up,Upregulated
AD_3MOBt2im,0.000197720456753814,1.15398807587923,1.15379035542247,5836.46272533187,5835.46272533187,Up,Upregulated
AD_3MOPt2im,0.000305201035516234,0.0079450926010054,0.00763989156548917,26.0323251772938,25.0323251772938,Up,Upregulated
AD_3MOXTYROX,2.25788316591632e-05,0.00158649826256596,0.0015639194309068,70.2648518982206,69.2648518982206,Up,Upregulated
AD_3SALACBOXL,3.3172711368934e-05,0.00643152004960257,0.00639834733823363,193.879842322013,192.879842322013,Up,Upregulated
AD_3SALAOX,1.11676031906427e-05,0.00251135594720608,0.00250018834401544,224.878687425995,223.878687425995,Up,Upregulated
AD_41R1H2MAE12BOOX,1.35556391365725e-05,0.0018218191923367,0.00180826355320013,134.395669136803,133.395669136803,Up,Upregulated
AD_41R2A1H12BOOX,1.41717321184842e-05,0.00303418262505062,0.00302001089293213,214.101042814176,213.101042814176,Up,Upregulated
AD_42A12BOOX,2.39587351795005e-05,0.00412612919507183,0.00410217045989233,172.21815609875,171.21815609875,Up,Upregulated
AD_4HOXPACDOX_NADP_,5.33730894858309e-05,0.00360692853018918,0.00355355544070335,67.5795342734792,66.5795342734792,Up,Upregulated
AD_4PYRDX,4.48977098130854e-05,0.00191091593845316,0.00186601822864008,42.5615459320428,41.5615459320428,Up,Upregulated
AD_5AOPtm,5.62455660508221e-05,0.00205032255826154,0.00199407699221072,36.453052253202,35.453052253202,Up,Upregulated
AD_5HLTDL,2.12700840620528e-05,0.00288137461470112,0.00286010453063907,135.466066156348,134.466066156348,Up,Upregulated
AD_5HOXINDACTO2OX,6.24803214973254e-05,0.0247870573113005,0.0247245769898032,396.717825985603,395.717825985603,Up,Upregulated
AD_5HOXINOXDA,2.12700840620528e-05,0.00288137494443128,0.00286010486036922,135.46608165841,134.46608165841,Up,Upregulated
AD_5MTHFt2,2000,0.00307111625193102,-1999.99692888375,1.53555812596551e-06,0.999998464441874,Down,Downregulated
AD_7DHFtl,5.45400927573307e-05,0.000721805264599122,0.000667265171841791,13.2343974516271,12.2343974516271,Up,Upregulated
AD_7DHFtm,5.42251046529903e-05,0.000721805397840095,0.000667580293187105,13.3112771742763,12.3112771742763,Up,Upregulated
AD_7THFtm,5.55950613261302e-05,0.000800006809258362,0.000744411747932232,14.389889860277,13.389889860277,Up,Upregulated
AD_A4GALTg,1.6193867595072e-05,0.000562301994015891,0.000546108126420819,34.7231438515037,33.7231438515037,Up,Upregulated
AD_AACTOOR,5.51131278716893e-05,1.09886353596266,1.09880842283479,19938.3264640861,19937.3264640861,Up,Upregulated
AD_AACTtm,5.51131278716893e-05,1.09886353596266,1.09880842283479,19938.3264640861,19937.3264640861,Up,Upregulated
AD_ABUTt2rL,9.73425157134813e-05,0.00537389238809283,0.00527654987237935,55.2060150562616,54.2060150562616,Up,Upregulated
AD_ACACT10m,0.000303818144118395,0.0277220861826208,0.0274182680385024,91.2456570461368,90.2456570461368,Up,Upregulated
AD_ACACT1rm,0.00382081558711889,0.0106048841623002,0.00678406857518136,2.77555509301535,1.77555509301535,Up,Upregulated
AD_ACACT1x,4.9369694482136e-05,0.733834099759321,0.733784730064839,14864.059975596,14863.059975596,Up,Upregulated
AD_ACACT4p,2.01565786142055e-05,0.0225784839219508,0.0225583273433366,1120.15458347869,1119.15458347869,Up,Upregulated
AD_ACACT5p,3.02580648215193e-05,0.0225755539646855,0.022545295899864,746.100390023288,745.100390023288,Up,Upregulated
AD_ACACT6p,3.02580635381472e-05,0.0225782107178657,0.0225479526543275,746.188224814872,745.188224814872,Up,Upregulated
AD_ACACT7p,3.02580635381472e-05,0.0225782107178657,0.0225479526543275,746.188224814872,745.188224814872,Up,Upregulated
AD_ACACT8p,1.46048799706477e-05,6.69439110121145,6.69437649633148,458366.731850282,458365.731850282,Up,Upregulated
AD_ACACT9p,1.46048799706477e-05,6.69439115776143,6.69437655288146,458366.735722274,458365.735722274,Up,Upregulated
AD_ACALDtm,0.000138937447931371,0.0301069838644707,0.0299680464165394,216.694521979,215.694521979,Up,Upregulated
AD_ACCOACm,0.000159681341699525,0.00362579220040971,0.00346611085871018,22.7064236924589,21.7064236924589,Up,Upregulated
AD_ACCOALm,7.98229420411189e-05,0.00324990406068082,0.0031700811186397,40.7139097805579,39.7139097805579,Up,Upregulated
AD_ACETONEt2,0.000245078635316531,0.0593644806891689,0.0591194020538524,242.226257758032,241.226257758032,Up,Upregulated
AD_ACGALtly,7.98293069408373e-05,0.00268678851693949,0.00260695920999865,33.6566684579976,32.6566684579976,Up,Upregulated
AD_ACGAM6PSi,1.61938680814377e-05,0.0339561871615057,0.0339399932934243,2096.85462366019,2095.85462366019,Up,Upregulated
AD_ACGAMK,2.23145405264802e-05,0.00268715217784887,0.00266483763732239,120.421577789607,119.421577789607,Up,Upregulated
AD_ACGAMPM,2.23145421429649e-05,0.00742027144553958,0.00739795690339662,332.530750485462,331.530750485462,Up,Upregulated
AD_ACGAMtly,2.23145405264802e-05,0.00268715217784887,0.00266483763732239,120.421577789607,119.421577789607,Up,Upregulated
AD_ACITL,0.00013620459685626,0.00177353752437526,0.001637332927519,13.0211282534533,12.0211282534533,Up,Upregulated
AD_ACNAM9PL,7.15106639859187e-05,0.000999078474876569,0.00092756781089065,13.9710417885828,12.9710417885828,Up,Upregulated
AD_ACNAMlt,1.89403531578591e-05,0.000881817772437898,0.000862877419280039,46.5576203932605,45.5576203932605,Up,Upregulated
AD_ACNAMPH,7.15106639859187e-05,0.000999044652232328,0.00092753398824641,13.9705688151498,12.9705688151498,Up,Upregulated
AD_ACNMLr,7.15106639859187e-05,0.00099918006264943,0.000927669398663511,13.9724623847176,12.9724623847176,Up,Upregulated
AD_ACOAD10m,0.000303470630370839,0.0079447302873632,0.00764125965699236,26.1795689344132,25.1795689344132,Up,Upregulated
AD_ACOAD1fm,42.2396162799158,0.0103450870385586,-42.2292711928772,0.000244914323321577,0.999755085676678,Down,Downregulated
AD_ACOAD9m,0.000198409066679114,316.547065033747,316.54686662468,1595426.41035501,1595425.41035501,Up,Upregulated
AD_ACOAO7p,3.02580635381472e-05,0.0225782107178657,0.0225479526543275,746.188224814872,745.188224814872,Up,Upregulated
AD_ACP1_FMN_,9.31316606624932e-05,0.00199815693167693,0.00190502527101444,21.4551841711295,20.4551841711295,Up,Upregulated
AD_ACRNtm,0.000136204297973563,1000.99469764352,1000.99456143922,7349215.20492552,7349214.20492552,Up,Upregulated
AD_ACS2,7.98229384031401e-05,0.00268715128915176,0.00260732835074862,33.6638984095084,32.6638984095084,Up,Upregulated
AD_ACt2m,0.000138937447931371,0.0301069838644707,0.0299680464165394,216.694521979,215.694521979,Up,Upregulated
AD_ACtg,9.09561191736464e-06,0.000215232197206205,0.000206136585288841,23.6633004092117,22.6633004092117,Up,Upregulated
