Reaction,CT_Span,Disease_Span,SpanDiff,FSR,AbsDistToCT,Direction,RegulationStatus
AD_10FTHF7GLUtl,4.83333077720539e-05,0.000859689209221415,0.000811355901449361,17.7866827007955,16.7866827007955,Up,Upregulated
AD_10FTHF7GLUtm,4.30460929953824e-05,0.000410728232179993,0.000367682139184611,9.54159143372319,8.54159143372319,Up,Upregulated
AD_10FTHFtl,4.83333073632955e-05,0.000859689204503411,0.000811355897140115,17.7866827536049,16.7866827536049,Up,Upregulated
AD_13DAMPPOX,1.87518314760382e-05,0.000676420815000967,0.000657668983524928,36.0722533084474,35.0722533084474,Up,Upregulated
AD_2HBO,0.000943629212201813,0.0621019969541976,0.0611583677419958,65.8118635489168,64.8118635489168,Up,Upregulated
AD_2HBt2,1990.00094397945,2000,9.99905602054628,1.00502464888311,0.00502464888310605,Up,Unchanged
AD_34DHOXPEGOX,1.1607615988396e-05,0.00289855755488588,0.00288694993889749,249.711702883998,248.711702883998,Up,Upregulated
AD_34DHOXPEGt,1.16172394314162e-05,0.00289855755488588,0.00288694031545447,249.504847687599,248.504847687599,Up,Upregulated
AD_34HPPOR,1.32627592961398e-05,0.00263034027362405,0.00261707751432791,198.325266627557,197.325266627557,Up,Upregulated
AD_3DSPHR,0.00053750373687933,0.0153508494475244,0.0148133457106451,28.5595213470501,27.5595213470501,Up,Upregulated
AD_3HBCDm,1.13686837721616e-13,0,-1.13686837721616e-13,NaN,NaN,Unchanged,Unchanged
AD_3HBCOAHLm,0.000162538643516283,0.115471310594671,0.115308771951155,710.423737374821,709.423737374821,Up,Upregulated
AD_3HLYTCL,2.37779108829272e-05,0.0134167001820344,0.0133929222711515,564.250587366267,563.250587366267,Up,Upregulated
AD_3M4HDXPAC,1.86042129167524e-05,0.00145996226717671,0.00144135805425995,78.474820392002,77.474820392002,Up,Upregulated
AD_3MLDAt,4.08808351424602e-05,0.00141314227460043,0.00137226143945797,34.5673533741656,33.5673533741656,Up,Upregulated
AD_3MOBt2im,0.000162538639511606,0.115473914438525,0.115311375799013,710.439774723714,709.439774723714,Up,Upregulated
AD_3MOPt2im,0.00025005021780089,0.0055196784723615,0.00526962825456061,22.0742798022944,21.0742798022944,Up,Upregulated
AD_3MOXTYROX,1.86082733224235e-05,0.00145996226723,0.00144135399390757,78.4576968498575,77.4576968498575,Up,Upregulated
AD_3SALACBOXL,2.72625528623394e-05,0.00640874475192277,0.00638148219906043,235.075005054858,234.075005054858,Up,Upregulated
AD_3SALAOX,9.20175088481301e-06,0.00234977614047693,0.00234057438959212,255.361851227152,254.361851227152,Up,Upregulated
AD_41R1H2MAE12BOOX,1.11694235386677e-05,0.00161246454770492,0.00160129512416625,144.364169030092,143.364169030092,Up,Upregulated
AD_41R2A1H12BOOX,1.16076177317487e-05,0.00289855747985257,0.00288694986212082,249.711658915554,248.711658915554,Up,Upregulated
AD_42A12BOOX,1.97412922868049e-05,0.00431989032585989,0.00430014903357308,218.825103397476,217.825103397476,Up,Upregulated
AD_4HGLSDm,666.915064052528,1000,333.084935947472,1.49944131404601,0.499441314046008,Up,Unchanged
AD_4HOXPACDOX_NADP_,4.3808859118144e-05,0.00361129583950515,0.003567486980387,82.4330035567961,81.4330035567961,Up,Upregulated
AD_4MOPt2im,0,0.00442166804415349,0.00442166804415349,NaN,NaN,Unchanged,Unchanged
AD_4PYRDX,3.69942918892334e-05,0.00164747918964937,0.00161048489776013,44.5333348880463,43.5333348880463,Up,Upregulated
AD_5AOPtm,4.63617506046873e-05,0.0017689704326358,0.00172260868203111,38.1558161536926,37.1558161536926,Up,Upregulated
AD_5HLTDL,1.75258754758455e-05,0.00271996821258934,0.00270244233711349,155.19728052034,154.19728052034,Up,Upregulated
AD_5HOXINDACTO2OX,5.14818112470339e-05,0.0178605003623602,0.0178090185511132,346.928360322389,345.928360322389,Up,Upregulated
AD_5HOXINOXDA,1.75258754758455e-05,0.00271969586890064,0.00270216999342479,155.181741000556,154.181741000556,Up,Upregulated
AD_5MTHFt2,2000,0.00259479189867307,-1999.9974052081,1.29739594933653e-06,0.999998702604051,Down,Downregulated
AD_7DHFtl,4.49947594537055e-05,0.00060628341656083,0.000561288657107124,13.4745340106691,12.4745340106691,Up,Upregulated
AD_7DHFtm,4.47166976016433e-05,0.000606283423162305,0.000561566725560662,13.5583228565614,12.5583228565614,Up,Upregulated
AD_7THFtm,4.5543989926955e-05,0.000665981869009226,0.000620437879082271,14.6228266359041,13.6228266359041,Up,Upregulated
AD_A4GALTg,1.33432344922324e-05,0.000459426493080173,0.00044608325858794,34.4314186599674,33.4314186599674,Up,Upregulated
AD_AACTOOR,4.52668708174529e-05,0.12532699409212,0.125281727221303,2768.62508560674,2767.62508560674,Up,Upregulated
AD_AACTtm,4.52668708174529e-05,0.12532699409212,0.125281727221303,2768.62508560674,2767.62508560674,Up,Upregulated
AD_ABUTt2rL,8.03993337725218e-05,0.00479817037330577,0.00471777103953324,59.6792305130474,58.6792305130474,Up,Upregulated
AD_ACACT10m,0.000250050240623523,0.0225555884217101,0.0223055381810866,90.2042260206019,89.2042260206019,Up,Upregulated
AD_ACACT1rm,0.00315236305095823,0.00812589386570532,0.00497353081474709,2.57771510906248,1.57771510906248,Up,Upregulated
AD_ACACT1x,4.06790653952075e-05,6.33458454641467,6.33454386734928,155720.995181983,155719.995181983,Up,Upregulated
AD_ACACT4p,1.67030445547786e-05,0.0150973520514412,0.0150806490068865,903.868273950216,902.868273950216,Up,Upregulated
AD_ACACT5p,2.49316890919529e-05,0.0150973521175498,0.0150724204284578,605.548707986362,604.548707986362,Up,Upregulated
AD_ACACT6p,2.49316882482031e-05,0.0150983440088472,0.015073412320599,605.588512841099,604.588512841099,Up,Upregulated
AD_ACACT7p,2.49316881508339e-05,0.0150970327424034,0.0150721010542525,605.535920835685,604.535920835685,Up,Upregulated
AD_ACACT8p,1.20598231660551e-05,0.0124883396920268,0.0124762798688607,1035.53257125509,1034.53257125509,Up,Upregulated
AD_ACACT9p,1.20514806440042e-05,0.0124895900882393,0.0124775386075953,1036.35316333127,1035.35316333127,Up,Upregulated
AD_ACALDtm,0.00013019624893218,0.0234359516013001,0.0233057553523679,180.004814220939,179.004814220939,Up,Upregulated
AD_ACCOACm,0.000131543162240177,0.0030663973029732,0.00293485414073302,23.3109593136771,22.3109593136771,Up,Upregulated
AD_ACCOALm,6.57717592957852e-05,0.00316184887730486,0.00309607711800908,48.0730470213754,47.0730470213754,Up,Upregulated
AD_ACCOAtr,1000.00011222805,996.93035556912,-3.06975665892901,0.996930243685584,0.00306975631441619,Down,Unchanged
AD_ACETONEt2,0.000201937579845435,0.0310147107668399,0.0308127731869945,153.585631711437,152.585631711437,Up,Upregulated
AD_ACGALtly,6.57781147310743e-05,0.00248687398288894,0.00242109586815786,37.8070121507163,36.8070121507163,Up,Upregulated
AD_ACGAM6PSi,1.33432702738555e-05,0.0243267045948414,0.0243133613245676,1823.14410902001,1822.14410902001,Up,Upregulated
AD_ACGAMK,1.83864786065717e-05,0.00231003678100024,0.00229165030239366,125.637803215596,124.637803215596,Up,Upregulated
AD_ACGAMPM,1.83864758582786e-05,0.00332470716341504,0.00330632068755676,180.823513382423,179.823513382423,Up,Upregulated
AD_ACGAMtly,1.83864772029807e-05,0.00231003678100024,0.00229165030379725,125.637812806563,124.637812806563,Up,Upregulated
AD_ACITL,0.00011222832557678,0.00151660490752147,0.00140437658194469,13.5135662028915,12.5135662028915,Up,Upregulated
AD_ACNAM9PL,5.89226854117442e-05,0.000871434019813933,0.000812511334402188,14.7894484734439,13.7894484734439,Up,Upregulated
AD_ACNAMlt,1.56062530436429e-05,0.000793768756466307,0.000778162503422664,50.8622251764424,49.8622251764424,Up,Upregulated
AD_ACNAMPH,5.89225269038707e-05,0.000871415585322666,0.000812493058418795,14.7891753988138,13.7891753988138,Up,Upregulated
AD_ACNMLr,5.89226854117442e-05,0.000871434019813933,0.000812511334402188,14.7894484734439,13.7894484734439,Up,Upregulated
AD_ACOAD10m,0.000250050204897434,0.0055193054423155,0.00526925523741807,22.0727891208064,21.0727891208064,Up,Upregulated
AD_ACOAD1fm,42.2393530047358,0.00812062065415526,-42.2312323840817,0.000192252486756717,0.999807747513243,Down,Downregulated
AD_ACOAD9m,0.000162539069611373,226.822061799479,226.82189926041,1395492.55660074,1395491.55660074,Up,Upregulated
AD_ACOAO7p,2.49316881508339e-05,0.0150983440088472,0.0150734123206964,605.588515206188,604.588515206188,Up,Upregulated
AD_ACONTm,2000,1976.27390169721,-23.7260983027895,0.988136950848605,0.0118630491513948,Down,Unchanged
AD_ACP1_FMN_,7.68011526304235e-05,0.00174307182760458,0.00166627067497416,22.6959071303585,21.6959071303585,Up,Upregulated
AD_ACRNtm,0.000112239181362384,1004.32009359444,1004.31998135526,8948034.73621055,8948033.73621055,Up,Upregulated
AD_ACS2,6.60645991104047e-05,0.00248687397876779,0.00242080937965738,37.6430647011392,36.6430647011392,Up,Upregulated
AD_ACt2m,0.00013019624893218,0.0234377192846296,0.0233075230356974,180.018391288973,179.018391288973,Up,Upregulated
AD_ACtg,7.48938147582411e-06,0.000189349251172644,0.000181859869696819,25.2823616721711,24.2823616721711,Up,Upregulated
AD_ADCim,0.000201937579845435,0.0310147107668399,0.0308127731869945,153.585631711437,152.585631711437,Up,Upregulated
AD_ADEt,0.00124375199732185,0.0634322200468205,0.0621884680494986,51.0006980357884,50.0006980357884,Up,Upregulated
AD_ADK1m,2000,2000,0,1,0,Unchanged,Unchanged
AD_ADK3,2000,1450.6378456093,-549.362154390699,0.72531892280465,0.27468107719535,Down,Unchanged
AD_ADK3m,2000,2000,0,1,0,Unchanged,Unchanged
AD_ADKd,2000,2000,0,1,0,Unchanged,Unchanged
AD_ADMDC,3.05818223296228e-05,0.000832293660826267,0.000801711838496644,27.2153062644692,26.2153062644692,Up,Upregulated
AD_ADNCYC,6.62810298308614e-05,0.00248721757265002,0.00242093654281916,37.5253308374509,36.5253308374509,Up,Upregulated
AD_ADNt,1990.00011357274,2000,9.99988642725771,1.00502506826962,0.00502506826962157,Up,Unchanged
AD_ADNtl,510.000117845052,228.189367133365,-281.810750711687,0.447430028246961,0.552569971753039,Down,Downregulated
AD_ADNtm,510.000117845057,0.0058259789254862,-509.994291866132,1.14234854495782e-05,0.99998857651455,Down,Downregulated
AD_ADRNCOAtx,1.52986745406463e-05,0.00788732566593353,0.00787202699139289,515.556144748232,514.556144748232,Up,Upregulated
AD_ADRNCPT1,0.000153780937239389,0.00681692623129493,0.00666314529405554,44.3288118389022,43.3288118389022,Up,Upregulated
AD_ADRNCPT2,0.000153780496560785,0.0068169263731761,0.00666314587661532,44.3289397916697,43.3289397916697,Up,Upregulated
AD_ADRNCRNt,2000,2000,0,1,0,Unchanged,Unchanged
AD_ADSK,2.49059291971952e-05,0.00102482962847716,0.000999923699279969,41.1480182234108,40.1480182234108,Up,Upregulated
AD_AG13T16g,3.67729525763139e-06,8.38975210919151e-05,8.02202258342837e-05,22.8150081008059,21.8150081008059,Up,Upregulated
AD_AG13T17g,3.67730501518683e-06,8.38975210919151e-05,8.02202160767283e-05,22.8149475622578,21.8149475622578,Up,Upregulated
AD_AG13T18g,3.67729525763139e-06,8.39091094145975e-05,8.02318141569661e-05,22.8181594177034,21.8181594177034,Up,Upregulated
AD_AG13T1g,4.02821155411214e-06,9.13902550158022e-05,8.73620434616901e-05,22.6875509858731,21.6875509858731,Up,Upregulated
AD_AG13T2g,4.04056301332137e-06,9.13811022306058e-05,8.73405392172844e-05,22.6159329601668,21.6159329601668,Up,Upregulated
AD_AG13T3g,4.04056301332137e-06,9.13811022306058e-05,8.73405392172844e-05,22.6159329601668,21.6159329601668,Up,Upregulated
AD_AGPAT1,3.28857921090275e-05,0.00203393020336784,0.00200104441125881,61.8482959639431,60.8482959639431,Up,Upregulated
AD_AHCYStr,0.000216582242273944,0.00719918841286926,0.00698260617059532,33.2399754351207,32.2399754351207,Up,Upregulated
AD_AKGMALtm,2000,2000,0,1,0,Unchanged,Unchanged
AD_ALAASNNaEx,1000,1000,0,1,0,Unchanged,Unchanged
AD_ALACYSNaEx,1000,1000,0,1,0,Unchanged,Unchanged
AD_ALAGLNNaEx,1000,1000,0,1,0,Unchanged,Unchanged
AD_ALASERNaEx,1000,1000,0,1,0,Unchanged,Unchanged
AD_ALASm,1000,1000,0,1,0,Unchanged,Unchanged
AD_ALAt4,1000,1000,0,1,0,Unchanged,Unchanged
AD_ALATA_L,0.134270767386624,0.450266088656235,0.315995321269611,3.35341859899945,2.35341859899945,Up,Upregulated
AD_ALATHRNaEx,1000,1000,0,1,0,Unchanged,Unchanged
AD_ALCD21_D,1000,1000,0,1,0,Unchanged,Unchanged
AD_ALCD21_L,1000,1000,0,1,0,Unchanged,Unchanged
AD_ALCD22_D,1000,1000,0,1,0,Unchanged,Unchanged
AD_ALCD22_L,1000,1000,0,1,0,Unchanged,Unchanged
AD_ALDD20x,4.38399201243556e-05,0.0036112954097689,0.00356745548964454,82.3745891763754,81.3745891763754,Up,Upregulated
AD_ALDD20xm,4.30085246530627e-05,0.00261324905229478,0.00257024052764172,60.7611880057525,59.7611880057525,Up,Upregulated
AD_ALDD21,0.000565834059851222,0.0263685218433523,0.025802687783501,46.6011569722145,45.6011569722145,Up,Upregulated
AD_ALDD2xm,0.000130196273800407,0.0234349791552404,0.02330478288144,179.997310761494,178.997310761494,Up,Upregulated
AD_ALDD2y,0.000132498750050053,0.0440619339651533,0.0439294352151033,332.546034951337,331.546034951337,Up,Upregulated
AD_ALOX52,5.80477785749324e-05,1000,999.999941952221,17227188.0948747,17227187.0948747,Up,Upregulated
AD_ALR2,1000,1000,0,1,0,Unchanged,Unchanged
AD_ALR3,1000,1000,0,1,0,Unchanged,Unchanged
AD_AMACR2p,5.6091447646061e-05,1.08344058663879,1.08338449519114,19315.6110620523,19314.6110620523,Up,Upregulated
AD_AMETr,0.000216582350239165,0.00719977785911396,0.0069831955088748,33.2426804453986,32.2426804453986,Up,Upregulated
