Reaction,CT_Span,Disease_Span,SpanDiff,FSR,AbsDistToCT,Direction,RegulationStatus
AD_10FTHF7GLUtl,5.0021382539086e-05,0.000403306153233115,0.000353284770694029,8.06267505537213,7.06267505537213,Up,Upregulated
AD_10FTHF7GLUtm,4.45255114146476e-05,0.000190585031030009,0.000146059519615361,4.28035579996307,3.28035579996307,Up,Upregulated
AD_10FTHFtl,5.00213825489482e-05,0.000403306153233115,0.000353284770684167,8.0626750537825,7.0626750537825,Up,Upregulated
AD_13DAMPPOX,1.93962967552919e-05,0.000321637085638926,0.000302240788883634,16.5823966139915,15.5823966139915,Up,Upregulated
AD_2HBO,0.000976063189682463,0.0405825237996851,0.0396064606100026,41.5777628217775,40.5777628217775,Up,Upregulated
AD_34DHOXPEGOX,1.20637356531006e-05,0.00126858057112145,0.00125651683546835,105.156529254303,104.156529254303,Up,Upregulated
AD_34DHOXPEGt,1.20637356531006e-05,0.00126858057112145,0.00125651683546835,105.156529254303,104.156529254303,Up,Upregulated
AD_34HPPOR,1.37185407993456e-05,0.00116229655223037,0.00114857801143103,84.7245030816843,83.7245030816843,Up,Upregulated
AD_3DSPHR,0.000555772220479867,0.00522276131227117,0.00466698909179131,9.39730544243777,8.39730544243777,Up,Upregulated
AD_3HBCOAHLm,0.000168124808309565,0.0455907594222822,0.0454226346139726,271.172112436476,270.172112436476,Up,Upregulated
AD_3HLYTCL,2.45247369292656e-05,0.00532017067196477,0.00529564593503551,216.9307947037,215.9307947037,Up,Upregulated
AD_3M4HDXPAC,1.92436409444478e-05,0.000661091170876205,0.000641847529931757,34.3537469226656,33.3537469226656,Up,Upregulated
AD_3MLDAt,4.19463061689385e-05,0.000642676831144939,0.000600730524976001,15.3214165880677,14.3214165880677,Up,Upregulated
AD_3MOBt2im,0.000168124803163484,0.0455908067386872,0.0454226819355237,271.172402172895,270.172402172895,Up,Upregulated
AD_3MOPt2im,0.000258644002258279,0.00314711657673732,0.00288847257447904,12.1677539369138,11.1677539369138,Up,Upregulated
AD_3MOXTYROX,1.92436409444478e-05,0.000661091170876205,0.000641847529931757,34.3537469226656,33.3537469226656,Up,Upregulated
AD_3SALACBOXL,2.81994433635191e-05,0.0027384458387596,0.00271024639539608,97.1099253080383,96.1099253080383,Up,Upregulated
AD_3SALAOX,9.51799927406682e-06,0.00105591218492762,0.00104639418565355,110.938460334265,109.938460334265,Up,Upregulated
