Reaction,FSR,RegulationStatus
1,0.0575174561027893,Downregulated
2,0.0297622387464964,Downregulated
3,0,Unchanged
4,0.00278436987264635,Unchanged
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,0.104799274111718,Downregulated
9,0.0743254849510984,Downregulated
10,0,Unchanged
11,0.0439676953483869,Downregulated
12,0.00315599559607539,Unchanged
13,0,Unchanged
14,0.0311412984875417,Downregulated
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.00254445166094319,Unchanged
19,0.0191934984309818,Downregulated
20,0,Unchanged
21,0.109845655817408,Downregulated
22,0.019397680036747,Downregulated
23,0.0535030324694346,Downregulated
24,0.352375864373636,Downregulated
25,0.114069438398775,Downregulated
26,0.0426235824854858,Downregulated
27,8.9991300429304e-09,Unchanged
28,0.105406115133481,Downregulated
29,0,Unchanged
30,0.0103772332526023,Downregulated
31,0,Unchanged
32,0.112005127373239,Downregulated
33,0.0275325002470572,Downregulated
34,0.0480174052881593,Downregulated
35,0,Unchanged
36,0.106885377701655,Downregulated
37,0.183437694143927,Downregulated
38,1.22513882691316,Unchanged
39,1.17169014092259,Unchanged
40,0.0400369623858492,Downregulated
41,0.00305188738729043,Unchanged
42,0.0338821665728004,Downregulated
43,0,Unchanged
44,0.00818151169809575,Unchanged
45,0.00227369398687352,Unchanged
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,0.15783993379247,Downregulated
50,0.0460999446132319,Downregulated
51,0,Unchanged
52,0.978314177449478,Unchanged
53,0,Unchanged
54,0.209886170024688,Downregulated
55,0.227399488211091,Downregulated
56,0.0253296869261893,Downregulated
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,0.0823511246471672,Downregulated
61,0.118270358845382,Downregulated
62,276907364.067453,Unchanged
63,0,Unchanged
64,0.16542630417463,Downregulated
65,0.164722546881543,Downregulated
66,0.316981789946621,Downregulated
67,0.598185534192235,Unchanged
68,0,Unchanged
69,0.572251417318313,Unchanged
70,0,Unchanged
71,0.034460050955791,Downregulated
72,0,Unchanged
73,1.08400928740678e-08,Unchanged
74,0.00418294806637729,Unchanged
75,0,Unchanged
76,0.11749778645504,Downregulated
77,0,Unchanged
78,0.120645897035232,Downregulated
79,0,Unchanged
80,0,Unchanged
81,248875.586850907,Unchanged
82,0.00444802578976247,Unchanged
83,5910478.46929472,Unchanged
84,0,Unchanged
85,0.500000119260274,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.0125427035544326,Downregulated
89,0,Unchanged
90,0,Unchanged
91,9.9826772780883e-07,Unchanged
92,7.08292986303279,Upregulated
93,46535065.0043431,Unchanged
94,17858781.1072816,Unchanged
95,17858780.2098755,Unchanged
96,0,Unchanged
97,0.388976788461119,Downregulated
98,1308002843.09923,Unchanged
99,116.246074790239,Upregulated
100,7.14075454727567,Upregulated
101,1.7667063135368,Unchanged
102,1.65460626549139,Unchanged
103,1.65460568036853,Unchanged
104,18183049.7594801,Unchanged
105,0.0609040673786222,Downregulated
106,0,Unchanged
107,0,Unchanged
108,2.34421179357014e-10,Unchanged
109,2.34421179357014e-10,Unchanged
110,2.34421179357014e-10,Unchanged
111,2.55473491961311e-10,Unchanged
112,2.55473491961311e-10,Unchanged
113,2.55473491961311e-10,Unchanged
114,0.000554308579145873,Unchanged
115,2.40805685507439e-08,Unchanged
116,0,Unchanged
117,4.68799728466251e-07,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1486040.27685831,Unchanged
122,9580619.89171486,Unchanged
123,11786477.6624845,Unchanged
124,1244304.08917997,Unchanged
125,1.96222703097805,Unchanged
126,1486504.86854724,Unchanged
127,79515630.2028131,Unchanged
128,0,Unchanged
129,0,Unchanged
130,152857.710861543,Unchanged
131,1.42990652331401e-07,Unchanged
132,0.187841487406619,Downregulated
133,0.390947457282399,Downregulated
134,0,Unchanged
135,0.730766974673569,Unchanged
136,0.136180110495664,Downregulated
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,0.218929088097375,Downregulated
142,0.0626255406997056,Downregulated
143,0,Unchanged
144,0,Unchanged
145,0.139888314399576,Downregulated
146,0.0422809665563815,Downregulated
147,0.0286301812862072,Downregulated
148,0.68392501488432,Unchanged
149,0,Unchanged
150,9.21931386225575e-09,Unchanged
151,9.21933701647504e-09,Unchanged
152,0,Unchanged
153,5.80942881924784e-08,Unchanged
154,4.23392814354884e-08,Unchanged
155,4.828577061744e-09,Unchanged
156,0,Unchanged
