Reaction,FSR,RegulationStatus
1,0.672982165165381,Unchanged
2,0.341226615217007,Downregulated
3,0,Unchanged
4,0.0313879201563913,Downregulated
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,1.08394144631398,Unchanged
9,0.865292298719356,Unchanged
10,0,Unchanged
11,0.488533287504378,Downregulated
12,0.0297223122928293,Downregulated
13,0,Unchanged
14,0.402342085502513,Downregulated
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0290766301604613,Downregulated
19,0.218291591525862,Downregulated
20,0,Unchanged
21,1.25042791316486,Unchanged
22,0.215531981268642,Downregulated
23,0.611403984182901,Unchanged
24,3.41010381466537,Upregulated
25,1.05879343279314,Unchanged
26,0.46003743824406,Downregulated
27,9.30780362295991e-08,Unchanged
28,1.16741595506026,Unchanged
29,0,Unchanged
30,0.11963985469146,Downregulated
31,0,Unchanged
32,1.2000220008037,Unchanged
33,0.326682361989309,Downregulated
34,0.527624609235456,Unchanged
35,0,Unchanged
36,1.2834217081073,Unchanged
37,1.87166441864288,Unchanged
38,8.01274582704952,Upregulated
39,11.9550714844836,Upregulated
40,0.490044732986094,Downregulated
41,0.0332191135180045,Downregulated
42,0.389854122254798,Downregulated
43,0,Unchanged
44,0.0939330101502045,Downregulated
45,0.026063553585662,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,2.20454986242294,Upregulated
50,0.489681661815677,Downregulated
51,0,Unchanged
52,9.83288797155362,Upregulated
53,0,Unchanged
54,2.10953870352349,Upregulated
55,2.28556279571115,Upregulated
56,0.690132593325534,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,0.977721448007937,Unchanged
61,1.37468792272527,Unchanged
62,276732673.968642,Unchanged
63,0,Unchanged
64,1.90496483919412,Unchanged
65,1.89686072960075,Unchanged
66,3.66734306884411,Upregulated
67,6.92074078432787,Upregulated
68,0,Unchanged
69,6.54979436780229,Upregulated
70,0,Unchanged
71,0.394417979289812,Downregulated
72,0,Unchanged
73,1.25508877999536e-07,Unchanged
74,0.0482121040627448,Downregulated
75,0,Unchanged
76,1.3542638870529,Unchanged
77,0,Unchanged
78,1.37336550303122,Unchanged
79,0,Unchanged
80,0,Unchanged
81,88082.9420261711,Unchanged
82,0.0447065309575703,Downregulated
83,5913230.77661829,Unchanged
84,0,Unchanged
85,0.500001027433015,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.144104486599232,Downregulated
89,0,Unchanged
90,0,Unchanged
91,6.33940624638278e-05,Unchanged
92,7.08292986303279,Upregulated
93,46535065.0043431,Unchanged
94,17858781.1072816,Unchanged
95,17858780.2098755,Unchanged
96,0,Unchanged
97,4.50028753066758,Upregulated
98,1308002843.09923,Unchanged
99,14268.1474442678,Upregulated
100,86.6499454367282,Upregulated
101,15.8502970193069,Upregulated
102,14.0574119825084,Upregulated
103,14.0574098556203,Upregulated
104,18183049.7594801,Unchanged
105,0.701065167204227,Unchanged
106,0,Unchanged
107,0,Unchanged
108,2.70091438281384e-09,Unchanged
109,2.70091438281384e-09,Unchanged
110,2.70091438281384e-09,Unchanged
111,2.9430136574492e-09,Unchanged
112,2.9430136574492e-09,Unchanged
113,2.9430136574492e-09,Unchanged
114,0.00636993710639158,Unchanged
115,2.7243636611729e-07,Unchanged
116,0,Unchanged
117,0,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1486040.27685831,Unchanged
122,9580619.89171486,Unchanged
123,11786477.6624845,Unchanged
124,1244304.08917997,Unchanged
125,370.028175185899,Upregulated
126,1486504.86854724,Unchanged
127,79515630.2028131,Unchanged
128,0,Unchanged
129,0,Unchanged
130,152857.710861543,Unchanged
131,1.5319484888188e-06,Unchanged
132,2.0381565563094,Upregulated
133,2.51231617826676,Upregulated
134,0,Unchanged
135,6.23401972100445,Upregulated
136,0.198623402720572,Downregulated
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,2.47686200070132,Upregulated
142,0.721433187263269,Unchanged
143,0,Unchanged
144,0,Unchanged
145,1.61844279210571,Unchanged
146,0.491435468615036,Downregulated
147,0.331237893159447,Downregulated
148,7.94932182401805,Upregulated
149,0,Unchanged
150,1.07186940113024e-07,Unchanged
151,1.07186941818327e-07,Unchanged
152,0,Unchanged
153,1.60876073778127e-07,Unchanged
154,7.34074513957239e-08,Unchanged
155,5.76613361999989e-08,Unchanged
156,0,Unchanged
157,1.58651166790265,Unchanged
158,3.34479737225823e-08,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,199.263412411353,Upregulated
163,0,Unchanged
164,4.11640532046126e-08,Unchanged
165,278339946.322006,Unchanged
166,223274773.794104,Unchanged
167,139169973.161003,Unchanged
168,152857.710861543,Unchanged
169,23755322.1319632,Unchanged
170,23863559.4371224,Unchanged
171,39716480.7067992,Unchanged
172,1333957.49340173,Unchanged
173,85194269.7922474,Unchanged
174,0,Unchanged
175,0,Unchanged
176,67683995.4442166,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.145521565804356,Downregulated
188,0,Unchanged
189,2.01941356447504,Upregulated
190,2.0194139087109,Upregulated
191,2333.56807333697,Upregulated
192,3.47515451112521,Upregulated
193,0.863077841917304,Unchanged
194,3.74331172189902e-07,Unchanged
195,0.0120793125638665,Downregulated
196,10.9508861722392,Upregulated
197,7.37209994456542,Upregulated
198,1.2942252509518e-07,Unchanged
199,10621688.84804,Unchanged
200,0,Unchanged
201,9863306.47620192,Unchanged
202,3.7445374130358e-06,Unchanged
203,2.55196297371766e-07,Unchanged
204,79772315.5882407,Unchanged
205,3.28430310562279e-05,Unchanged
206,1.37862825776435,Unchanged
207,1.41421965065547e-06,Unchanged
