Reaction,FSR,RegulationStatus
1,1.92760945459309,Unchanged
2,0.995170702146173,Unchanged
3,0,Unchanged
4,0.0898239870155734,Downregulated
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,3.29207766285164,Upregulated
9,2.41735568076135,Upregulated
10,0,Unchanged
11,1.40816285899215,Unchanged
12,0.0976884433599264,Downregulated
13,0,Unchanged
14,1.15029240239755,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0824029166767774,Downregulated
19,0.622096964157795,Unchanged
20,0,Unchanged
21,3.43520548525452,Upregulated
22,0.621255770013879,Unchanged
23,1.73271356527642,Unchanged
24,11.0086478098322,Upregulated
25,3.49607508247943,Upregulated
26,1.37916432909204,Unchanged
27,2.8269071952991e-07,Unchanged
28,3.3886162541266,Upregulated
29,0,Unchanged
30,0.345680468285646,Downregulated
31,0,Unchanged
32,3.55101282049861,Upregulated
33,0.915096191798241,Unchanged
34,1.56844921588717,Unchanged
35,0,Unchanged
36,3.60089373335634,Upregulated
37,5.69464743790181,Upregulated
38,34.0635319791916,Upregulated
39,36.3739976680281,Upregulated
40,1.33332716650209,Unchanged
41,0.103162475218447,Downregulated
42,1.12974143869252,Unchanged
43,0,Unchanged
44,0.271496184225015,Downregulated
45,0.0739298620995972,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,6.94687960176719,Upregulated
50,1.70682602260617,Unchanged
51,0,Unchanged
52,45.7711588500472,Upregulated
53,0,Unchanged
54,9.81968616604749,Upregulated
55,10.6390602500874,Upregulated
56,0.860271475200351,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2.77081306857829,Upregulated
61,4.021937207232,Upregulated
62,276994982.029582,Unchanged
63,0,Unchanged
64,5.46179369914647,Upregulated
65,5.43855811295424,Upregulated
66,10.6255205318791,Upregulated
67,20.0517000500551,Upregulated
68,0,Unchanged
69,18.297111260403,Upregulated
70,0,Unchanged
71,1.1018223237122,Unchanged
72,0,Unchanged
73,3.61202519172415e-07,Unchanged
74,0.138591908633019,Downregulated
75,0,Unchanged
76,3.8930061350396,Upregulated
77,0,Unchanged
78,3.77294295408391,Upregulated
79,0,Unchanged
80,0,Unchanged
81,286016.333602416,Unchanged
82,0.208104313441973,Downregulated
83,5903473.5931444,Unchanged
84,0,Unchanged
85,0.500002580884107,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.413970003236342,Downregulated
89,0,Unchanged
90,0,Unchanged
91,7.1907791504492e-05,Unchanged
92,7.08292986303279,Upregulated
93,42295470.4439278,Unchanged
94,17858781.1072816,Unchanged
95,17858780.2098755,Unchanged
96,0,Unchanged
97,13.038833828901,Upregulated
98,1308002843.09923,Unchanged
99,130575924.977108,Unchanged
100,247.639788075275,Upregulated
