Reaction,FSR,RegulationStatus
1,2.62213840555669,Upregulated
2,1.34830290032421,Unchanged
3,0,Unchanged
4,0.124571256736688,Downregulated
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,4.6468560635558,Upregulated
9,3.31552402100837,Upregulated
10,0,Unchanged
11,1.95415296396525,Unchanged
12,0.139061253954818,Downregulated
13,0,Unchanged
14,1.68450874805459,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.113410263252425,Downregulated
19,0.856293014379104,Unchanged
20,0,Unchanged
21,4.92636141396691,Upregulated
22,0.862136317527811,Unchanged
23,2.38471536750672,Upregulated
24,15.506196029441,Upregulated
25,5.01343630556822,Upregulated
26,1.90187011667187,Unchanged
27,3.99025659476138e-07,Unchanged
28,4.68904760119602,Upregulated
29,0,Unchanged
30,0.467349507518525,Downregulated
31,0,Unchanged
32,4.96550635974064,Upregulated
33,1.25696140000309,Unchanged
34,2.14837041643012,Upregulated
35,0,Unchanged
36,4.84798877799605,Upregulated
37,8.09238784439921,Upregulated
38,52.4582948931358,Upregulated
39,51.6893275291877,Upregulated
40,1.71726768387269,Unchanged
41,0.138056501365676,Downregulated
42,1.52694791991473,Unchanged
43,0,Unchanged
44,0.369166660233048,Downregulated
45,0.102815085930228,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,7.77742863739456,Upregulated
50,2.00942206090695,Upregulated
51,0,Unchanged
52,39.5869556042245,Upregulated
53,0,Unchanged
54,8.49293421393915,Upregulated
55,9.20160148442873,Upregulated
56,2.65379067363813,Upregulated
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,3.71034120753383,Upregulated
61,5.30216662255654,Upregulated
62,276733550.080843,Unchanged
63,0,Unchanged
64,7.43835329211619,Upregulated
65,7.40670901762185,Upregulated
66,14.230214333443,Upregulated
67,26.8542134914079,Upregulated
68,0,Unchanged
69,25.5125956335923,Upregulated
70,0,Unchanged
71,1.53632707397743,Unchanged
72,0,Unchanged
73,4.86777404429832e-07,Unchanged
74,0.188051101754485,Downregulated
75,0,Unchanged
76,5.28230038861556,Upregulated
77,0,Unchanged
