Reaction,FSR,RegulationStatus
1,2.9627324920763,Upregulated
2,1.54046290807717,Unchanged
3,0,Unchanged
4,0.145430745571358,Downregulated
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,5.59272673113351,Upregulated
9,3.82864456081536,Upregulated
10,0,Unchanged
11,2.29492083866714,Upregulated
12,0.173107626311626,Downregulated
13,0,Unchanged
14,1.72517237329367,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.131823355124045,Downregulated
19,0.995748565272064,Unchanged
20,0,Unchanged
21,5.82199707309879,Upregulated
22,1.01247702110796,Unchanged
23,2.77189358040421,Upregulated
24,19.1487789715636,Upregulated
25,6.28785317331702,Upregulated
26,2.22431891687967,Upregulated
27,4.80247609516482e-07,Unchanged
28,5.51661783834496,Upregulated
29,0,Unchanged
30,0.538354782808897,Unchanged
31,0,Unchanged
32,5.91444829131197,Upregulated
33,1.45129840183706,Unchanged
34,2.51828079398615,Upregulated
35,0,Unchanged
36,5.54574144103167,Upregulated
37,9.82535505952132,Upregulated
38,70.8993118209224,Upregulated
39,62.7584843345905,Upregulated
40,2.03729224969886,Upregulated
41,0.160939091370446,Downregulated
42,1.76058237859107,Unchanged
43,0,Unchanged
44,0.426298291601583,Downregulated
45,0.118831963037459,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,8.13291987065894,Upregulated
50,2.38335922648428,Upregulated
51,0,Unchanged
52,54.9520809088868,Upregulated
53,0,Unchanged
54,11.7893502635018,Upregulated
55,12.7730770252574,Upregulated
56,1.28258561915837,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,4.26287463704965,Upregulated
61,6.02677539650838,Upregulated
62,276922020.023549,Unchanged
63,0,Unchanged
64,8.61386009636615,Upregulated
65,8.57721497578091,Upregulated
66,16.3563508322847,Upregulated
67,30.8664932805133,Upregulated
68,0,Unchanged
69,29.6042195779527,Upregulated
70,0,Unchanged
71,1.78271802268899,Unchanged
72,0,Unchanged
73,5.65287488884836e-07,Unchanged
74,0.21809970101601,Downregulated
75,0,Unchanged
76,6.1263567439127,Upregulated
77,0,Unchanged
78,6.39439721715945,Upregulated
79,0,Unchanged
80,0,Unchanged
81,250594.758826067,Unchanged
82,0.249846543059177,Downregulated
83,5910291.86645041,Unchanged
84,0,Unchanged
85,0.500007371272299,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.652455278506701,Unchanged
89,0,Unchanged
90,0,Unchanged
91,8.22943437663836e-05,Unchanged
92,7.08292986303279,Upregulated
93,46535065.0043431,Unchanged
94,17858781.1072816,Unchanged
95,17858780.2098755,Unchanged
96,0,Unchanged
97,20.0712757838769,Upregulated
98,1308002843.09923,Unchanged
99,6897.68738214249,Upregulated
100,381.008897970512,Upregulated
101,92.1515955867615,Upregulated
102,86.9754233946707,Upregulated
103,86.9754048381322,Upregulated
104,18183049.7594801,Unchanged
105,3.16727985107581,Upregulated
106,0,Unchanged
107,0,Unchanged
108,1.2191763406325e-08,Unchanged
109,1.2191763406325e-08,Unchanged
110,1.2191763406325e-08,Unchanged
111,1.32883868786848e-08,Unchanged
112,1.32883868786848e-08,Unchanged
113,1.32883868786848e-08,Unchanged
114,0.0287190463631816,Downregulated
115,1.25418456448756e-06,Unchanged
116,0,Unchanged
117,2.3141658933028e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1486040.27685831,Unchanged
122,9580619.89171486,Unchanged
123,11786477.6624845,Unchanged
124,1244304.08917997,Unchanged
125,90.6639167243757,Upregulated
126,1486504.86854724,Unchanged
127,79515630.2028131,Unchanged
128,0,Unchanged
129,0,Unchanged
130,152857.710861543,Unchanged
131,7.55203873324381e-06,Unchanged
132,9.93175551235424,Upregulated
133,22.66396493465,Upregulated
134,0,Unchanged
135,41.3427159576835,Upregulated
136,9.11150243935166,Upregulated
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,11.4024501718246,Upregulated
142,3.27073627391808,Upregulated
143,0,Unchanged
144,0,Unchanged
145,7.21825504286531,Upregulated
146,2.15450781468638,Upregulated
147,1.47732104239252,Unchanged
148,34.8507120163119,Upregulated
149,0,Unchanged
150,4.65654229752014e-07,Unchanged
151,4.65552426862642e-07,Unchanged
152,0,Unchanged
153,3.77170937883875e-06,Unchanged
154,2.55645372189406e-06,Unchanged
155,2.35491589823241e-07,Unchanged
156,0,Unchanged
157,6.9486809353895,Upregulated
158,1.50499766364668e-07,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,1238.52396968526,Upregulated
163,0,Unchanged
164,1.83971597088182e-07,Unchanged
165,278339946.322006,Unchanged
166,223274773.794104,Unchanged
167,139169973.161003,Unchanged
168,152857.710861543,Unchanged
169,23755322.1319632,Unchanged
170,23863559.4371224,Unchanged
171,39716480.7067992,Unchanged
172,1333957.49340173,Unchanged
173,85194269.7922474,Unchanged
174,0,Unchanged
175,0,Unchanged
176,64888838.1977052,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.658304461172253,Unchanged
188,0,Unchanged
189,8.98144682460583,Upregulated
190,8.97948235991495,Upregulated
191,9673.68015670369,Upregulated
192,15.4991890646599,Upregulated
193,9.70255411557295,Upregulated
194,1.66951707928284e-06,Unchanged
195,0.0538737338262397,Downregulated
196,48.0099043366208,Upregulated
197,32.879566618559,Upregulated
198,5.6740276093592e-07,Unchanged
199,10621688.84804,Unchanged
200,0,Unchanged
201,9863306.47620192,Unchanged
202,1.67006368029209e-05,Unchanged
203,1.2363683467757e-06,Unchanged
204,79772315.5882407,Unchanged
205,0.00015556646064871,Unchanged
206,13.6397317063205,Upregulated
207,9.55516681111135e-06,Unchanged
208,278340231.368064,Unchanged
209,5.37134705693076e-05,Unchanged
210,0,Unchanged
211,0,Unchanged
212,0,Unchanged
213,79772324.0888978,Unchanged
214,0,Unchanged
215,0,Unchanged
216,3258.47793035038,Upregulated
217,0.00016668638291145,Unchanged
218,15956025.2354494,Unchanged
219,0.330064180266669,Downregulated
220,0.768539373773241,Unchanged
221,0.760972622537333,Unchanged
222,1.60576328230344,Unchanged
223,0.305559219667728,Downregulated
224,0,Unchanged
225,190458.76327572,Unchanged
226,558.40756602206,Upregulated
227,0,Unchanged
228,0,Unchanged
229,63.5064236882305,Upregulated
230,654001421.549614,Unchanged
231,5528.25492457796,Upregulated
232,607.026004724686,Upregulated
233,0,Unchanged
234,161.230318131359,Upregulated
235,0,Unchanged
236,98.8960500065284,Upregulated
237,176.110573194688,Upregulated
238,193.334620315667,Upregulated
239,89990.7945844408,Unchanged
240,6.97409675467497e-08,Unchanged
241,0,Unchanged
242,1.47734278079348e-07,Unchanged
243,0,Unchanged
244,5448.32145887263,Upregulated
245,1012299.17669124,Unchanged
246,0.998897042994714,Unchanged
247,98.8960648774686,Upregulated
248,829831761.050981,Unchanged
249,467196329.883819,Unchanged
250,106.68550100354,Upregulated
251,414915858.77907,Unchanged
252,107.100030232089,Upregulated
253,110.983999253224,Upregulated
254,110.983930545709,Upregulated
255,1136425106.4617,Unchanged
256,755.344062795258,Upregulated
257,1.23944449200053e-07,Unchanged
258,3.88585565474386e-07,Unchanged
259,1.65855326923179e-05,Unchanged
260,1.23061515096899,Unchanged
261,0,Unchanged
262,0.83518265227979,Unchanged
263,12709282.9986704,Unchanged
264,1.25788917297892e-08,Unchanged
265,4.61832681854056e-08,Unchanged
266,0.133609074007005,Downregulated
267,0,Unchanged
268,0.530022659821478,Unchanged
269,0.129497117410904,Downregulated
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.475622023084933,Downregulated
278,0,Unchanged
279,0,Unchanged
280,0.192169819355652,Downregulated
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.999155143061588,Unchanged
288,7.37288469878195e-06,Unchanged
289,0,Unchanged
290,0.999155143061643,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.148134234935127,Downregulated
296,0.260046107286115,Downregulated
297,0,Unchanged
298,0.0205074888095382,Downregulated
299,902.208474082855,Upregulated
300,0,Unchanged
301,0,Unchanged
302,644351.648028727,Unchanged
303,0,Unchanged
304,41381047.1849736,Unchanged
305,27.6038039766509,Upregulated
306,0,Unchanged
307,30.8600677968495,Upregulated
308,18017020.9667994,Unchanged
309,2871190.15988131,Unchanged
310,4.37067061641484,Upregulated
311,19712886.5324597,Unchanged
312,141.058271763573,Upregulated
313,39594204.1735974,Unchanged
314,0.68435407051021,Unchanged
315,165.785748839035,Upregulated
316,22947033.0629695,Unchanged
317,21243378.0419861,Unchanged
318,305715.421719101,Unchanged
319,78280756.5282366,Unchanged
320,78280756.5282366,Unchanged
321,78280756.5282366,Unchanged
322,172149822991.633,Unchanged
323,2660387.64132122,Unchanged
324,526983.216563275,Unchanged
325,5408742.75721701,Unchanged
326,0,Unchanged
327,43576402.8610405,Unchanged
328,40191541.901321,Unchanged
329,0,Unchanged
330,0,Unchanged
331,2,Upregulated
332,0,Unchanged
333,17858783.4459766,Unchanged
334,0,Unchanged
335,309531167.842532,Unchanged
336,719991.950109367,Unchanged
337,47727118.8742449,Unchanged
338,47727118.8742449,Unchanged
339,0,Unchanged
340,309531167.842532,Unchanged
341,0,Unchanged
342,0,Unchanged
343,1.15253712938608,Unchanged
344,13.2947204606702,Upregulated
345,0,Unchanged
346,0,Unchanged
347,599.150981506947,Upregulated
348,0,Unchanged
349,79270055.6629592,Unchanged
350,239201.202042195,Unchanged
351,1.39249147199587,Unchanged
352,8969.485735481,Upregulated
353,0,Unchanged
354,22734951.1378648,Unchanged
355,0,Unchanged
356,0.00794503391856367,Unchanged
357,0,Unchanged
358,0,Unchanged
359,13.8415968031102,Upregulated
360,14.9913773126406,Upregulated
361,25.8391480538589,Upregulated
362,0,Unchanged
363,27.4051821827813,Upregulated
364,0,Unchanged
365,0,Unchanged
366,2.09987669407496e-07,Unchanged
367,0,Unchanged
368,0,Unchanged
369,4.39940862772783e-07,Unchanged
370,6.62294953971062e-07,Unchanged
371,0,Unchanged
372,0.998903960754429,Unchanged
373,2.52093110884522,Upregulated
374,2.15405534107739,Upregulated
375,0.000468999352874367,Unchanged
376,77.0186974511005,Upregulated
377,8.55639012127592,Upregulated
378,0.871349435349643,Unchanged
379,10006133.262435,Unchanged
380,0.258873905524522,Downregulated
381,0.30555926419022,Downregulated
382,20111.931080145,Unchanged
383,20111.9277920456,Unchanged
384,0.13360904391914,Downregulated
385,0,Unchanged
386,0.870915580313274,Unchanged
387,23.9862789629604,Upregulated
