Reaction,FSR,RegulationStatus
1,2.21457341277601,Upregulated
2,1.14593204808257,Unchanged
3,0,Unchanged
4,0.107206186519896,Downregulated
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,4.02421625244187,Upregulated
9,2.86181046221845,Upregulated
10,0,Unchanged
11,1.68832193553543,Unchanged
12,0.121185687357795,Downregulated
13,0,Unchanged
14,1.19906851483274,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0977031047712507,Downregulated
19,0.739007643709996,Unchanged
20,0,Unchanged
21,4.21800846056672,Upregulated
22,0.744841942953624,Unchanged
23,2.05443571547808,Upregulated
24,13.5319472203274,Upregulated
25,4.3801278501535,Upregulated
26,1.63672175866335,Unchanged
27,3.45559451940147e-07,Unchanged
28,4.04741172279887,Upregulated
29,0,Unchanged
30,0.399556661077765,Downregulated
31,0,Unchanged
32,4.30094146566734,Upregulated
33,1.0572297543735,Unchanged
34,1.84882621786664,Unchanged
35,0,Unchanged
36,4.11550409378128,Upregulated
37,7.06301779286807,Upregulated
38,47.2086766441988,Upregulated
39,45.1143280648262,Upregulated
40,1.53735885321693,Unchanged
41,0.117509528633919,Downregulated
42,1.30459504470143,Unchanged
43,0,Unchanged
44,0.314158221717182,Downregulated
45,0.0875668564917175,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,6.06099294343735,Upregulated
50,1.77019478350962,Unchanged
51,0,Unchanged
52,44.0781536364416,Upregulated
53,0,Unchanged
54,8.05930887213444,Upregulated
55,8.7317935843172,Upregulated
56,0.98111344306486,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,3.16222640884279,Upregulated
61,4.54149749873494,Upregulated
62,276767220.582351,Unchanged
63,0,Unchanged
64,6.36957412555329,Upregulated
65,6.34247665597562,Upregulated
66,12.171904272519,Upregulated
67,22.9699220794946,Upregulated
68,0,Unchanged
69,22.0196081244102,Upregulated
70,0,Unchanged
71,1.32598503914521,Unchanged
72,0,Unchanged
73,4.16243451230578e-07,Unchanged
74,0.161057212726093,Downregulated
75,0,Unchanged
76,4.52404994937546,Upregulated
77,0,Unchanged
78,4.63270890661439,Upregulated
79,0,Unchanged
80,0,Unchanged
81,245057.036505438,Unchanged
82,0.170797407502833,Downregulated
83,5910396.12945496,Unchanged
84,0,Unchanged
85,0.500004595532444,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.482944185212052,Downregulated
89,0,Unchanged
90,0,Unchanged
91,3.82565412161425e-05,Unchanged
92,7.08292986303279,Upregulated
93,42854774.4807625,Unchanged
94,17858781.1072816,Unchanged
95,17858780.2098755,Unchanged
96,0,Unchanged
97,14.9364394215665,Upregulated
98,1308002843.09923,Unchanged
99,4475.48224551284,Upregulated
100,274.191090429515,Upregulated
101,50.7585269345242,Upregulated
102,48.4478407680761,Upregulated
103,48.4478395012545,Upregulated
104,18183049.7594801,Unchanged
105,2.33862116432803,Upregulated
106,0,Unchanged
107,0,Unchanged
108,9.02355178611838e-09,Unchanged
109,9.02355178611838e-09,Unchanged
110,9.02355178611838e-09,Unchanged
111,9.83676198945783e-09,Unchanged
112,9.83676198945783e-09,Unchanged
113,9.83676198945783e-09,Unchanged
114,0.0212970970710217,Downregulated
115,1,Unchanged
116,0,Unchanged
117,1.80017717136138e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1486040.27685831,Unchanged
122,9580619.89171486,Unchanged
123,11786477.6624845,Unchanged
124,1244304.08917997,Unchanged
125,75.3477891331248,Upregulated
126,1486504.86854724,Unchanged
127,79515630.2028131,Unchanged
128,0,Unchanged
129,0,Unchanged
130,152857.710861543,Unchanged
131,5.49058336956795e-06,Unchanged
132,7.21283569901412,Upregulated
133,15.0159333550684,Upregulated
134,0,Unchanged
135,28.0600993709734,Upregulated
136,0.694409867494222,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,9091524.87974007,Unchanged
142,2.40477458664951,Upregulated
143,0,Unchanged
