Reaction,FSR,RegulationStatus
1,2.02553830158935,Upregulated
2,1.04776120284436,Unchanged
3,0,Unchanged
4,0.0980227641735237,Downregulated
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,3.69076873390956,Upregulated
9,2.61754594282046,Upregulated
10,0,Unchanged
11,1.54842730056888,Unchanged
12,0.111141053994675,Downregulated
13,0,Unchanged
14,1.09634534475058,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0896092184567271,Downregulated
19,0.675716902720658,Unchanged
20,0,Unchanged
21,3.86839327058405,Upregulated
22,0.683137803985734,Unchanged
23,1.88424287298338,Unchanged
24,12.4106905311296,Upregulated
25,4.01707568224341,Upregulated
26,1.50105996341478,Unchanged
27,3.16926401477957e-07,Unchanged
28,3.71193548701486,Upregulated
29,0,Unchanged
30,0.365327048700583,Downregulated
31,0,Unchanged
32,3.9446445596403,Upregulated
33,0.969600057446022,Unchanged
34,1.69101097756387,Unchanged
35,0,Unchanged
36,3.76296511010435,Upregulated
37,6.46017510737892,Upregulated
38,43.1447122277254,Upregulated
39,41.2637299943951,Upregulated
40,1.40996130276048,Unchanged
41,0.107440461405383,Downregulated
42,1.19280789050533,Unchanged
43,0,Unchanged
44,0.288124547415184,Downregulated
45,0.0799524798346851,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,5.55129993093584,Upregulated
50,1.62351638444876,Unchanged
51,0,Unchanged
52,39.2225547314921,Upregulated
53,0,Unchanged
54,7.39500531930231,Upregulated
55,8.01205922586439,Upregulated
56,0.893534286878905,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2.90012183238097,Upregulated
61,4.16507049893215,Upregulated
62,276767216.787911,Unchanged
63,0,Unchanged
64,5.82540255761368,Upregulated
65,5.80062010505546,Upregulated
66,11.1630195027342,Upregulated
67,21.0660295657816,Upregulated
68,0,Unchanged
69,20.1225793968538,Upregulated
70,0,Unchanged
71,1.21174905014139,Unchanged
72,0,Unchanged
73,3.81750237393716e-07,Unchanged
74,0.147256344008515,Downregulated
75,0,Unchanged
76,4.13638758786868,Upregulated
77,0,Unchanged
78,4.24872053903918,Upregulated
79,0,Unchanged
80,0,Unchanged
81,245051.612132434,Unchanged
82,0.15671911289733,Downregulated
83,5910395.31448009,Unchanged
84,0,Unchanged
85,0.500004193796293,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.441562012408212,Downregulated
89,0,Unchanged
90,0,Unchanged
91,3.50320819497878e-05,Unchanged
92,7.08292986303279,Upregulated
93,42854764.1052464,Unchanged
94,17858781.1072816,Unchanged
95,17858780.2098755,Unchanged
96,0,Unchanged
97,13.6988045536972,Upregulated
98,1308002843.09923,Unchanged
99,4093.94173125587,Upregulated
100,251.476617996979,Upregulated
101,46.5951540530589,Upregulated
102,44.3684529830081,Upregulated
103,44.3684538537032,Upregulated
104,18183049.7594801,Unchanged
105,2.14488601155075,Upregulated
106,0,Unchanged
107,0,Unchanged
108,8.2527022073009e-09,Unchanged
109,8.2527022073009e-09,Unchanged
110,8.2527022073009e-09,Unchanged
111,8.99367897056016e-09,Unchanged
112,8.99367897056016e-09,Unchanged
113,8.99367897056016e-09,Unchanged
114,0.0195196741453793,Downregulated
115,8.46851207427885e-07,Unchanged
116,0,Unchanged
117,1.64853732392203e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1486040.27685831,Unchanged
122,9580619.89171486,Unchanged
123,11786477.6624845,Unchanged
124,1244304.08917997,Unchanged
125,69.0566679395851,Upregulated
126,1486504.86854724,Unchanged
127,79515630.2028131,Unchanged
128,0,Unchanged
129,0,Unchanged
130,152857.710861543,Unchanged
131,5.03573326798193e-06,Unchanged
132,6.61307539450801,Upregulated
133,13.7630829012136,Upregulated
134,0,Unchanged
135,25.696025846263,Upregulated
136,0.637842967669467,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,7.69916882176854,Upregulated
142,2.2047691311274,Upregulated
143,0,Unchanged
144,0,Unchanged
145,4.92637815223336,Upregulated
146,1.48850698392495,Unchanged
147,1.00825505109724,Unchanged
148,24.0776700262694,Upregulated
149,0,Unchanged
150,3.2461968840547e-07,Unchanged
151,3.24614774149801e-07,Unchanged
152,0,Unchanged
153,5.02037876372663e-07,Unchanged
154,2.30671630762247e-07,Unchanged
155,1.70045253952747e-07,Unchanged
156,0,Unchanged
157,4.75274847342822,Upregulated
158,1.02018096784112e-07,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,755.919824371797,Upregulated
163,0,Unchanged
164,1.24779089823602e-07,Unchanged
165,278339946.322006,Unchanged
166,223274773.794104,Unchanged
167,139169973.161003,Unchanged
168,152857.710861543,Unchanged
169,23755322.1319632,Unchanged
170,23863559.4371224,Unchanged
171,39716480.7067992,Unchanged
172,1333957.49340173,Unchanged
173,85194269.7922474,Unchanged
174,0,Unchanged
175,0,Unchanged
176,64855964.2123322,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.444483101922474,Downregulated
188,0,Unchanged
189,6.07418300615898,Upregulated
190,6.07417784083264,Upregulated
191,6233.8509598441,Upregulated
192,10.5780194090949,Upregulated
193,4.90128707018798,Upregulated
194,1.13907328282787e-06,Unchanged
195,0.0367682076576358,Downregulated
196,33.1690966333447,Upregulated
197,22.439935646867,Upregulated
198,3.9200738405043e-07,Unchanged
199,10621688.84804,Unchanged
200,0,Unchanged
201,9863306.47620192,Unchanged
202,1.1397993760096e-05,Unchanged
203,8.25380512371122e-07,Unchanged
204,79772315.5882407,Unchanged
205,0.000117778393533459,Unchanged
206,7.3195840503519,Upregulated
207,5.87203190787022e-06,Unchanged
208,278340231.368064,Unchanged
209,2.88246331330669e-05,Unchanged
210,0,Unchanged
211,0,Unchanged
212,0,Unchanged
213,79772324.0888978,Unchanged
214,0,Unchanged
215,0,Unchanged
216,1266.97645720549,Upregulated
217,6.48118107049824e-05,Unchanged
