Reaction,FSR,RegulationStatus
1,2.00240799866987,Upregulated
2,1.03616870328082,Unchanged
3,0,Unchanged
4,0.0969334461260782,Downregulated
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,3.64859637726161,Upregulated
9,2.58758517756324,Upregulated
10,0,Unchanged
11,1.53073419926608,Unchanged
12,0.109871914151392,Downregulated
13,0,Unchanged
14,1.08418341954092,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.088583406714157,Downregulated
19,0.668207680141039,Unchanged
20,0,Unchanged
21,3.82421999848335,Upregulated
22,0.675331972541449,Unchanged
23,1.8626727879157,Unchanged
24,12.2688799284783,Upregulated
25,3.9712871643768,Upregulated
26,1.48395073356335,Unchanged
27,3.13298473201939e-07,Unchanged
28,3.66962744346848,Upregulated
29,0,Unchanged
30,0.361277382471868,Downregulated
31,0,Unchanged
32,3.89957084710636,Upregulated
33,0.958548287717129,Unchanged
34,1.67173646610925,Unchanged
35,0,Unchanged
36,3.72122583225637,Upregulated
37,6.38635819512228,Upregulated
38,42.7881278761152,Upregulated
39,40.7922317631941,Upregulated
40,1.39388990404069,Unchanged
41,0.106249410525397,Downregulated
42,1.17958570969663,Unchanged
43,0,Unchanged
44,0.284840421106325,Downregulated
45,0.0791573343501887,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,5.49534678161521,Upregulated
50,1.60602370378787,Unchanged
51,0,Unchanged
52,39.0822862441331,Upregulated
53,0,Unchanged
54,7.32501231073505,Upregulated
55,7.93622586188106,Upregulated
56,0.89979208137287,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2.86706529627927,Upregulated
61,4.11759725599607,Upregulated
62,276767216.313355,Unchanged
63,0,Unchanged
64,5.75922797592021,Upregulated
65,5.7347270435514,Upregulated
66,11.0355471509489,Upregulated
67,20.8259121150081,Upregulated
68,0,Unchanged
69,19.9224987764374,Upregulated
70,0,Unchanged
71,1.19970052013141,Unchanged
72,0,Unchanged
73,3.77390869191259e-07,Unchanged
74,0.145630304072301,Downregulated
75,0,Unchanged
76,4.09071260215028,Upregulated
77,0,Unchanged
78,4.20029259833812,Upregulated
79,0,Unchanged
80,0,Unchanged
81,245050.759550391,Unchanged
82,0.155235781684161,Downregulated
83,5910395.24932875,Unchanged
84,0,Unchanged
85,0.500004152055063,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.436667210824301,Downregulated
89,0,Unchanged
90,0,Unchanged
91,3.47531079922749e-05,Unchanged
92,7.08292986303279,Upregulated
93,42854763.229854,Unchanged
94,17858781.1072816,Unchanged
95,17858780.2098755,Unchanged
96,0,Unchanged
97,13.5422742034757,Upregulated
98,1308002843.09923,Unchanged
99,4047.15702943321,Upregulated
100,248.597898929001,Upregulated
101,46.0284584247323,Upregulated
102,43.8140813025292,Upregulated
103,43.8140797041672,Upregulated
104,18183049.7594801,Unchanged
105,2.12033231563555,Upregulated
106,0,Unchanged
107,0,Unchanged
108,8.16122206437342e-09,Unchanged
109,8.16122206437342e-09,Unchanged
110,8.16122206437342e-09,Unchanged
111,8.89418203087189e-09,Unchanged
112,8.89418203087189e-09,Unchanged
113,8.89418203087189e-09,Unchanged
114,0.0192981243463253,Downregulated
115,8.3843860862487e-07,Unchanged
116,0,Unchanged
117,1.63219653611577e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1486040.27685831,Unchanged
122,9580619.89171486,Unchanged
123,11786477.6624845,Unchanged
124,1244304.08917997,Unchanged
125,68.3700870116124,Upregulated
126,1486504.86854724,Unchanged
127,79515630.2028131,Unchanged
128,0,Unchanged
129,0,Unchanged
130,152857.710861543,Unchanged
131,4.97819247565221e-06,Unchanged
132,6.5395838728986,Upregulated
133,13.6107652379708,Upregulated
134,0,Unchanged
135,25.4409432734051,Upregulated
136,0.629722089117542,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,7.62268547044765,Upregulated
142,2.18026771885962,Upregulated
143,0,Unchanged
144,0,Unchanged
145,4.87011903037541,Upregulated
146,1.47199624520424,Unchanged
147,0.996740802285902,Unchanged
148,23.8105969637306,Upregulated
149,0,Unchanged
150,3.20968385936945e-07,Unchanged
151,3.21590239980611e-07,Unchanged
152,0,Unchanged
153,4.95994385870333e-07,Unchanged
154,2.27957637280043e-07,Unchanged
155,1.68103503328521e-07,Unchanged
156,0,Unchanged
157,4.69857464686873,Upregulated
158,1.00887288593949e-07,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,747.266601631738,Upregulated
163,0,Unchanged
164,1.23356804177508e-07,Unchanged
165,278339946.322006,Unchanged
166,223274773.794104,Unchanged
167,139169973.161003,Unchanged
168,152857.710861543,Unchanged
169,23755322.1319632,Unchanged
170,23863559.4371224,Unchanged
171,39716480.7067992,Unchanged
172,1333957.49340173,Unchanged
173,85194269.7922474,Unchanged
174,0,Unchanged
175,0,Unchanged
176,64855930.931726,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.439565401702663,Downregulated
188,0,Unchanged
189,6.00685047406948,Upregulated
190,6.00685066523237,Upregulated
191,6171.80390475301,Upregulated
192,10.4574437210248,Upregulated
193,4.84694578105235,Upregulated
194,1.1264150072927e-06,Unchanged
195,0.0363490978256374,Downregulated
196,32.8011801277257,Upregulated
197,22.1836721130842,Upregulated
198,3.87659180404398e-07,Unchanged
199,10621688.84804,Unchanged
200,0,Unchanged
201,9863306.47620192,Unchanged
202,1.12680714289779e-05,Unchanged
203,8.16247916951203e-07,Unchanged
204,79772315.5882407,Unchanged
205,0.000116432583230927,Unchanged
206,7.24672432961176,Upregulated
207,5.81895246722297e-06,Unchanged
208,278340231.368064,Unchanged
209,2.85377104464682e-05,Unchanged
210,0,Unchanged
211,0,Unchanged
212,0,Unchanged
213,79772324.0888978,Unchanged
214,0,Unchanged
215,0,Unchanged
216,1252.92318773204,Upregulated
217,6.40928915779325e-05,Unchanged
218,15956025.2354494,Unchanged
219,0.217907848303957,Downregulated
220,0.507377690778224,Unchanged
221,0.50184023112978,Unchanged
222,1.06009995366829,Unchanged
223,0.201725465848589,Downregulated
224,0,Unchanged
225,190458.76327572,Unchanged
226,327.636052946531,Upregulated
227,0,Unchanged
228,0,Unchanged
229,42.5136650395153,Upregulated
230,654001421.549614,Unchanged
231,6450.04807414564,Upregulated
232,771.157564029181,Upregulated
233,0,Unchanged
234,108.783584410762,Upregulated
235,0,Unchanged
236,66.0352263885608,Upregulated
237,117.745005864294,Upregulated
238,129.235182629502,Upregulated
239,89990.7945844408,Unchanged
240,4.66191067971522e-08,Unchanged
241,0,Unchanged
242,9.90333882526784e-08,Unchanged
243,0,Unchanged
244,6049.91913976338,Upregulated
245,1012299.17173785,Unchanged
246,0.998897038106895,Unchanged
247,66.0352234078573,Upregulated
248,829831761.050981,Unchanged
249,467196329.883819,Unchanged
250,72.0561894923813,Upregulated
251,414915858.77907,Unchanged
252,72.1124535264718,Upregulated
253,72.81063267042,Upregulated
254,72.8106163016639,Upregulated
255,1136425106.4617,Unchanged
256,460.652578928396,Upregulated
257,8.31376401038142e-08,Unchanged
258,2.62176669195924e-07,Unchanged
259,1.27045063580681e-05,Unchanged
260,0.821693331653708,Unchanged
261,0,Unchanged
262,0.83594716470767,Unchanged
263,12709282.9986704,Unchanged
264,8.44140082552119e-09,Unchanged
265,3.09925140115727e-08,Unchanged
266,0.0896619330102741,Downregulated
267,0,Unchanged
268,0.354754723803291,Downregulated
269,0.0866859613875332,Downregulated
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.471140148586287,Downregulated
278,0,Unchanged
279,0,Unchanged
280,0.128600799563039,Downregulated
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.998596599818287,Unchanged
288,4.15205553639453e-06,Unchanged
289,0,Unchanged
290,0.998596599821448,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.0991320131287623,Downregulated
296,0.174023878631837,Downregulated
297,0,Unchanged
298,0.0137285825868135,Downregulated
299,604.066454298234,Upregulated
300,0,Unchanged
301,0,Unchanged
302,644351.648028727,Unchanged
303,0,Unchanged
304,41381047.1849736,Unchanged
305,17.6900109139192,Upregulated
306,0,Unchanged
307,20.9134496054754,Upregulated
308,18017020.9667994,Unchanged
309,2871190.15988131,Unchanged
310,2.91839917885736,Upregulated
311,19712886.5324597,Unchanged
