Reaction,FSR,RegulationStatus
1,1.80255520530032,Unchanged
2,0.934330233529474,Unchanged
3,0,Unchanged
4,0.0874083088371399,Downregulated
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,3.28432887334393,Upregulated
9,2.33331739435848,Upregulated
10,0,Unchanged
11,1.37792857962272,Unchanged
12,0.0989052556636965,Downregulated
13,0,Unchanged
14,0.976084907639738,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.079742235915986,Downregulated
19,0.601516369850743,Unchanged
20,0,Unchanged
21,3.44251241836946,Upregulated
22,0.608957834388884,Unchanged
23,1.67676654576576,Unchanged
24,11.0440596582772,Upregulated
25,3.57482609264158,Upregulated
26,1.33581479703906,Unchanged
27,2.82027099999027e-07,Unchanged
28,3.3032785921759,Upregulated
29,0,Unchanged
30,0.325776593342538,Downregulated
31,0,Unchanged
32,3.51026827419463,Upregulated
33,0.862855664034187,Unchanged
34,1.50485449903046,Unchanged
35,0,Unchanged
36,3.35549051804546,Upregulated
37,5.74879569791738,Upregulated
38,38.3947135356422,Upregulated
39,36.7198643270289,Upregulated
40,1.25689345106467,Unchanged
41,0.0958089191079679,Downregulated
42,1.0618556425779,Unchanged
43,0,Unchanged
44,0.256845245067065,Downregulated
45,0.0712572059027969,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,4.94680217750997,Upregulated
50,1.44475494290864,Unchanged
51,0,Unchanged
52,34.6108666785546,Upregulated
53,0,Unchanged
54,6.5776499587114,Upregulated
55,7.12650211334429,Upregulated
56,0.797986544150141,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2.58084062957647,Upregulated
61,3.70652715468141,Upregulated
62,276767212.299344,Unchanged
63,0,Unchanged
64,5.19329880333894,Upregulated
65,5.1712054492846,Upregulated
66,9.95114488206473,Upregulated
67,18.7469600847196,Upregulated
68,0,Unchanged
69,17.9353957097969,Upregulated
70,0,Unchanged
71,1.08004040071793,Unchanged
72,0,Unchanged
73,3.39724962662963e-07,Unchanged
74,0.131317714158367,Downregulated
75,0,Unchanged
76,3.68867614206522,Upregulated
77,0,Unchanged
78,3.78096829866529,Upregulated
79,0,Unchanged
80,0,Unchanged
81,245044.578659063,Unchanged
82,0.139397258280224,Downregulated
83,5910394.43687889,Unchanged
84,0,Unchanged
85,0.500003737549475,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.393758268373269,Downregulated
89,0,Unchanged
90,0,Unchanged
91,3.12161738039639e-05,Unchanged
92,7.08292986303279,Upregulated
93,42854752.5411247,Unchanged
94,17858781.1072816,Unchanged
95,17858780.2098755,Unchanged
96,0,Unchanged
97,12.2112840071927,Upregulated
98,1308002843.09923,Unchanged
99,3643.11338937496,Upregulated
100,223.784552194544,Upregulated
101,41.3756915498022,Upregulated
102,39.3851461716274,Upregulated
103,39.3851468556978,Upregulated
104,18183049.7594801,Unchanged
105,1.91197899302807,Unchanged
106,0,Unchanged
107,0,Unchanged
108,7.35926378183649e-09,Unchanged
109,7.35926378183649e-09,Unchanged
110,7.35926378183649e-09,Unchanged
111,8.02019701804277e-09,Unchanged
112,8.02019701804277e-09,Unchanged
113,8.02019701804277e-09,Unchanged
114,0.0173779861717154,Downregulated
115,1,Unchanged
116,0,Unchanged
117,1.46924641361696e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1486040.27685831,Unchanged
122,9580619.89171486,Unchanged
123,11786477.6624845,Unchanged
124,1244304.08917997,Unchanged
125,61.4951304659278,Upregulated
126,1486504.86854724,Unchanged
127,79515630.2028131,Unchanged
128,0,Unchanged
129,0,Unchanged
130,152857.710861543,Unchanged
131,4.48124416530469e-06,Unchanged
132,5.89697407169917,Upregulated
133,3633570.46454234,Unchanged
134,0,Unchanged
135,22.9011343678351,Upregulated
136,0.565678787665506,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,9091524.87974007,Unchanged
142,1.96602435410596,Unchanged
143,0,Unchanged
144,0,Unchanged
145,4.38405168484312,Upregulated
146,1.32505385367217,Unchanged
147,0.897260039510072,Unchanged
148,21.433698195778,Upregulated
149,0,Unchanged
150,2.89189672087501e-07,Unchanged
151,2.89189672044425e-07,Unchanged
152,0,Unchanged
153,4.46450230852456e-07,Unchanged
154,2.04440862148658e-07,Unchanged
155,1.51325705165295e-07,Unchanged
156,0,Unchanged
157,4.22953909217799,Upregulated
158,9.08180784106556e-08,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,673.836782554903,Upregulated
163,0,Unchanged
164,1.11232845532687e-07,Unchanged
165,278339946.322006,Unchanged
166,223274773.794104,Unchanged
167,139169973.161003,Unchanged
168,152857.710861543,Unchanged
169,23755322.1319632,Unchanged
170,23863559.4371224,Unchanged
171,39716480.7067992,Unchanged
172,1333957.49340173,Unchanged
173,85194269.7922474,Unchanged
174,0,Unchanged
175,0,Unchanged
176,64855712.6947795,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.396363282386696,Downregulated
188,0,Unchanged
189,5.41658973691974,Upregulated
190,5.41659110092298,Upregulated
191,5556.18938463368,Upregulated
192,9.42964956413872,Upregulated
193,4.36364227586751,Upregulated
194,1.01572829366465e-06,Unchanged
195,0.0327765813149189,Downregulated
196,29.5267941578257,Upregulated
197,19.9696074155044,Upregulated
198,3.48961006238824e-07,Unchanged
199,10621688.84804,Unchanged
200,0,Unchanged
201,9863306.47620192,Unchanged
202,1.01606059447703e-05,Unchanged
203,7.34766265303556e-07,Unchanged
204,79772315.5882407,Unchanged
205,0.000104989157362444,Unchanged
206,6.5286877162001,Upregulated
207,5.22881655729179e-06,Unchanged
208,278340231.368064,Unchanged
209,2.57100713599677e-05,Unchanged
210,0,Unchanged
211,0,Unchanged
212,0,Unchanged
213,79772324.0888978,Unchanged
214,0,Unchanged
215,0,Unchanged
216,1129.78112316602,Upregulated
217,5.77936087802255e-05,Unchanged
218,15956025.2354494,Unchanged
219,0.196491057985924,Downregulated
220,0.457520399062475,Downregulated
221,0.452527082473247,Downregulated
222,0.955929628396137,Unchanged
223,0.181902970901378,Downregulated
224,0,Unchanged
225,190458.76327572,Unchanged
226,294.929854040807,Upregulated
227,0,Unchanged
228,0,Unchanged
229,38.2705436646781,Upregulated
230,654001421.549614,Unchanged
231,5807.4685144734,Upregulated
232,694.168352906618,Upregulated
233,0,Unchanged
234,98.0912803632806,Upregulated
235,0,Unchanged
236,59.5450442576429,Upregulated
237,106.174833928853,Upregulated
238,116.334241522071,Upregulated
239,89990.7945844408,Unchanged
240,4.18821925904922e-08,Unchanged
241,0,Unchanged
242,8.93019139187601e-08,Unchanged
243,0,Unchanged
244,6049.91027648632,Upregulated
245,1012299.17079066,Unchanged
246,0.998897037172246,Unchanged
247,59.5450470954733,Upregulated
248,829831761.050981,Unchanged
249,467196329.883819,Unchanged
250,64.9756012537003,Upregulated
251,414915858.77907,Unchanged
252,64.9126075036337,Upregulated
253,65.5422970262456,Upregulated
254,65.5417913272302,Upregulated
255,1136425106.4617,Unchanged
256,415.377824199231,Upregulated
257,7.49684284073737e-08,Unchanged
258,2.36009844030605e-07,Unchanged
259,1.14361566343177e-05,Unchanged
260,0.740949993201657,Unchanged
261,0,Unchanged
262,0.835945316549149,Unchanged
263,12709282.9986704,Unchanged
264,7.61191071293723e-09,Unchanged
265,2.79470498204878e-08,Unchanged
266,0.0808513471318817,Downregulated
267,0,Unchanged
268,0.319894822042992,Downregulated
269,0.0781678100413174,Downregulated
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.471138509604041,Downregulated
278,0,Unchanged
279,0,Unchanged
280,0.115964333587674,Downregulated
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.998596585335437,Unchanged
288,3.7375242654889e-06,Unchanged
289,0,Unchanged
290,0.998596585335438,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.0893911848039977,Downregulated
296,0.156924087427551,Downregulated
297,0,Unchanged
298,0.0123795515414014,Downregulated
299,544.696843321998,Upregulated
300,0,Unchanged
301,0,Unchanged
302,644351.648028727,Unchanged
303,0,Unchanged
304,41381047.1849736,Unchanged
305,15.9435673368722,Upregulated
306,0,Unchanged
307,18.8258162642624,Upregulated
308,18017020.9667994,Unchanged
309,2871190.15988131,Unchanged
310,2.62706877421977,Upregulated
311,19712886.5324597,Unchanged
312,161.307906580066,Upregulated
313,39594204.1735974,Unchanged
314,0.412047689781264,Downregulated
315,189.585139189442,Upregulated
316,22947033.0629695,Unchanged
317,21243378.0419861,Unchanged
318,305715.421719101,Unchanged
319,78280756.5282366,Unchanged
320,78280756.5282366,Unchanged
321,78280756.5282366,Unchanged
322,172149822991.633,Unchanged
323,2660387.64132122,Unchanged
324,526983.216563275,Unchanged
