Reaction,FSR,RegulationStatus
1,1.5505521702925,Unchanged
2,0.798556859928867,Unchanged
3,0,Unchanged
4,0.0727631451863128,Downregulated
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,2.67801143757855,Upregulated
9,1.9586912046078,Unchanged
10,0,Unchanged
11,1.14182095241392,Unchanged
12,0.0808824182190246,Downregulated
13,0,Unchanged
14,0.912711545956734,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0665289262359187,Downregulated
19,0.502778001226723,Unchanged
20,0,Unchanged
21,2.7706078279585,Upregulated
22,0.5037505369596,Unchanged
23,1.39892588358867,Unchanged
24,9.05593406703627,Upregulated
25,2.9032723017575,Upregulated
26,1.12307930640938,Unchanged
27,2.29960864146506e-07,Unchanged
28,2.7192486200854,Upregulated
29,0,Unchanged
30,0.278322274142362,Downregulated
31,0,Unchanged
32,2.86756403680562,Upregulated
33,0.732703486779767,Unchanged
34,1.26700675055893,Unchanged
35,0,Unchanged
36,2.88141230643515,Upregulated
37,4.64195362764359,Upregulated
38,29.0058237811227,Upregulated
39,29.6500200000466,Upregulated
40,1.07375503583696,Unchanged
41,0.0830757578675382,Downregulated
42,0.907701073301687,Unchanged
43,0,Unchanged
44,0.218334841976767,Downregulated
45,0.0602564425625367,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,5.61200978094198,Upregulated
50,1.3990243702872,Unchanged
51,0,Unchanged
52,45.1640694760349,Upregulated
53,0,Unchanged
54,9.68944546634958,Upregulated
55,10.4979520081671,Upregulated
56,0.678281779028245,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2.22335003080032,Upregulated
61,3.23783155420796,Upregulated
62,276728843.283837,Unchanged
63,0,Unchanged
64,4.40929720858345,Upregulated
65,4.39053915747779,Upregulated
66,8.55399332436173,Upregulated
67,16.1424702899181,Upregulated
68,0,Unchanged
69,14.9416980792258,Upregulated
70,0,Unchanged
71,0.899764791477586,Unchanged
72,0,Unchanged
73,2.90787093166496e-07,Unchanged
74,0.111572359666417,Downregulated
75,0,Unchanged
76,3.13403491564821,Upregulated
77,0,Unchanged
78,3.0430039902207,Upregulated
79,0,Unchanged
80,0,Unchanged
81,315823.491406664,Unchanged
82,0.205344179265125,Downregulated
83,5905860.1528926,Unchanged
84,0,Unchanged
85,0.50000207666264,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.334128381763399,Downregulated
89,0,Unchanged
90,0,Unchanged
91,4.36131852745096e-05,Unchanged
92,7.08292986303279,Upregulated
93,42370470.614591,Unchanged
94,17858781.1072816,Unchanged
95,17858780.2098755,Unchanged
96,0,Unchanged
97,10.4968155925706,Upregulated
98,1308002843.09923,Unchanged
99,111202411.701894,Unchanged
100,199.360560914046,Upregulated
101,36.0495500262137,Upregulated
102,32.9305922938996,Upregulated
103,32.9305956312516,Upregulated
104,18183049.7594801,Unchanged
105,1.65750529604786,Unchanged
106,0,Unchanged
107,0,Unchanged
108,6.25762366339077e-09,Unchanged
109,6.25762366339077e-09,Unchanged
110,6.25762366339077e-09,Unchanged
111,6.81741819335002e-09,Unchanged
112,6.81741819335002e-09,Unchanged
113,6.81741819335002e-09,Unchanged
114,0.0148512418934876,Downregulated
115,7.49207837088761e-07,Unchanged
116,0,Unchanged
117,0,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1486040.27685831,Unchanged
122,9580619.89171486,Unchanged
123,11786477.6624845,Unchanged
124,1244304.08917997,Unchanged
125,1386.37276030681,Upregulated
126,1486504.86854724,Unchanged
127,79515630.2028131,Unchanged
128,0,Unchanged
129,0,Unchanged
130,152857.710861543,Unchanged
131,3.66073301921648e-06,Unchanged
132,4.84244301033102,Upregulated
133,9.31289324045632,Upregulated
134,0,Unchanged
135,16.2068661493144,Upregulated
136,0.494810074515292,Downregulated
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,6.81144169098872,Upregulated
142,1.66774337319739,Unchanged
143,0,Unchanged
144,0,Unchanged
145,3.77498112462588,Upregulated
146,1.15748985337705,Unchanged
147,0.772604877068824,Unchanged
148,18.7232300885011,Upregulated
149,0,Unchanged
150,2.45881694673781e-07,Unchanged
151,2.45881698057381e-07,Unchanged
152,0,Unchanged
153,3.8694558879165e-07,Unchanged
154,1.66417773925787e-07,Unchanged
155,1.3022488013803e-07,Unchanged
156,0,Unchanged
157,3.70444180585655,Upregulated
158,7.7634567278708e-08,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,312.826661334446,Upregulated
163,0,Unchanged
164,9.80790866639125e-08,Unchanged
165,278339946.322006,Unchanged
166,223274773.794104,Unchanged
167,139169973.161003,Unchanged
168,152857.710861543,Unchanged
169,23755322.1319632,Unchanged
170,23863559.4371224,Unchanged
171,39716480.7067992,Unchanged
172,1333957.49340173,Unchanged
173,85194269.7922474,Unchanged
174,0,Unchanged
175,0,Unchanged
176,15533981.8633878,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.336765954045199,Downregulated
188,0,Unchanged
189,4.63634487948805,Upregulated
190,4.6363410077501,Upregulated
191,14791.5983238158,Upregulated
192,8.10571956399402,Upregulated
193,20.5884106319006,Upregulated
194,8.73119456184256e-07,Unchanged
195,0.0281747242671202,Downregulated
196,25.7928872443336,Upregulated
197,17.1952560049291,Upregulated
198,3.04832005753042e-07,Unchanged
199,10621688.84804,Unchanged
200,0,Unchanged
201,9863306.47620192,Unchanged
202,8.73404911056005e-06,Unchanged
203,6.38205664876279e-07,Unchanged
204,79772315.5882407,Unchanged
205,8.08753923789955e-05,Unchanged
206,16.1136477230814,Upregulated
207,4.20139313030177e-06,Unchanged
208,278340231.368064,Unchanged
209,6.34557894080022e-05,Unchanged
210,0,Unchanged
211,0,Unchanged
212,0,Unchanged
213,79772324.0888978,Unchanged
214,0,Unchanged
215,0,Unchanged
216,206.109990243855,Upregulated
217,1.05434921805703e-05,Unchanged
218,15956025.2354494,Unchanged
219,0.17037710583871,Downregulated
220,0.396715022473573,Downregulated
221,0.391912132237534,Downregulated
222,0.828884991277232,Unchanged
223,0.157727733551,Downregulated
224,0,Unchanged
225,190458.76327572,Unchanged
226,239.642891260628,Upregulated
227,0,Unchanged
228,0,Unchanged
229,32.1003431059922,Upregulated
230,654001421.549614,Unchanged
231,0,Unchanged
232,9259.663228694,Upregulated
233,0,Unchanged
234,84.319781694337,Upregulated
235,0,Unchanged
236,50.5918466111852,Upregulated
237,92.2362496277193,Upregulated
238,101.234987930345,Upregulated
239,89990.7945844408,Unchanged
240,3.53560158146138e-08,Unchanged
241,0,Unchanged
242,7.62080296681233e-08,Unchanged
243,0,Unchanged
244,6063.53179902903,Upregulated
245,1012299.16963893,Unchanged
246,0.998897036035768,Unchanged
247,50.591830736583,Upregulated
248,829831761.050981,Unchanged
249,467196329.883819,Unchanged
250,55.3684343210862,Upregulated
251,414915858.77907,Unchanged
252,60.0177066552001,Upregulated
253,50.3328694745677,Upregulated
254,50.3328754297409,Upregulated
255,1136425106.4617,Unchanged
256,318.566113396478,Upregulated
257,6.38877115618899e-08,Unchanged
258,2.03221318216151e-07,Unchanged
259,3.27327709601377e-06,Unchanged
260,0.629540696586493,Unchanged
261,0,Unchanged
262,0.749825915183355,Unchanged
263,12709282.9986704,Unchanged
264,6.5031238846933e-09,Unchanged
265,2.38761506865072e-08,Unchanged
266,0.0690741584434695,Downregulated
267,0,Unchanged
268,0.27192059931298,Downregulated
269,0.066466531480669,Downregulated
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.470048551009103,Downregulated
278,0,Unchanged
279,0,Unchanged
280,0.0982541735149504,Downregulated
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.998458147087823,Unchanged
288,2.07666087521829e-06,Unchanged
289,0,Unchanged
290,0.998458147087932,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.0757392959603276,Downregulated
296,0.132958523002461,Downregulated
297,0,Unchanged
298,0.0105046047859266,Downregulated
