Reaction,FSR,RegulationStatus
1,2.24025602348584,Upregulated
2,1.15921472494741,Unchanged
3,0,Unchanged
4,0.10848324892265,Downregulated
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,4.08185306773033,Upregulated
9,2.89491263219896,Upregulated
10,0,Unchanged
11,1.71250366085393,Unchanged
12,0.122921700858337,Downregulated
13,0,Unchanged
14,1.21335502617211,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0991044332103702,Downregulated
19,0.747826409255145,Unchanged
20,0,Unchanged
21,4.27988386926022,Upregulated
22,0.755525275905847,Unchanged
23,2.08390191534526,Upregulated
24,13.7258032843048,Upregulated
25,4.44287627363547,Upregulated
26,1.66016395590231,Unchanged
27,3.50508759993318e-07,Unchanged
28,4.10537510697917,Upregulated
29,0,Unchanged
30,0.404324059992555,Downregulated
31,0,Unchanged
32,4.36262898943641,Upregulated
33,1.07236921580057,Unchanged
34,1.87024750454867,Unchanged
35,0,Unchanged
36,4.16309603184088,Upregulated
37,7.14472106982794,Upregulated
38,47.7345658677829,Upregulated
39,45.6361996711049,Upregulated
40,1.55940699827426,Unchanged
41,0.118909147635272,Downregulated
42,1.31968248291012,Unchanged
43,0,Unchanged
44,0.318663584677253,Downregulated
45,0.0885639207760277,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,6.14998026194281,Upregulated
50,1.79555740005828,Unchanged
51,0,Unchanged
52,44.3606227453994,Upregulated
53,0,Unchanged
54,8.17770187125812,Upregulated
55,8.86006553003585,Upregulated
56,0.986913165459535,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,3.20751259955602,Upregulated
61,4.60653951743363,Upregulated
62,276990720.414906,Unchanged
63,0,Unchanged
64,6.44544821647575,Upregulated
65,6.4180279630149,Upregulated
66,12.3462240420529,Upregulated
67,23.3068660997095,Upregulated
68,0,Unchanged
69,22.288900038599,Upregulated
70,0,Unchanged
71,1.34220136085991,Unchanged
72,0,Unchanged
73,4.22357763011238e-07,Unchanged
74,0.162966314358469,Downregulated
75,0,Unchanged
76,4.57767605526114,Upregulated
77,0,Unchanged
78,4.69905707346183,Upregulated
79,0,Unchanged
80,0,Unchanged
81,262190.591979063,Unchanged
82,0.173306458544011,Downregulated
83,5908724.34446521,Unchanged
84,0,Unchanged
85,0.500004646617439,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.488697116748732,Downregulated
89,0,Unchanged
90,0,Unchanged
91,3.88941173793681e-05,Unchanged
92,7.08292986303279,Upregulated
93,46535065.0043431,Unchanged
94,17858781.1072816,Unchanged
95,17858780.2098755,Unchanged
96,0,Unchanged
97,15.1503504603599,Upregulated
98,1308002843.09923,Unchanged
99,4527.60892008058,Upregulated
