Reaction,FSR,RegulationStatus
1,2.65668877098591,Upregulated
2,1.37469678976295,Unchanged
3,0,Unchanged
4,0.128604733695887,Downregulated
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,4.84061238306786,Upregulated
9,3.43303705964041,Upregulated
10,0,Unchanged
11,2.03083431839131,Upregulated
12,0.145771132629779,Downregulated
13,0,Unchanged
14,1.43840806436619,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.11752716581633,Downregulated
19,0.886533192293285,Unchanged
20,0,Unchanged
21,5.07371688215362,Upregulated
22,0.895967032607628,Unchanged
23,2.47128284773844,Upregulated
24,16.2772394158801,Upregulated
25,5.26874564970829,Upregulated
26,1.96876585356888,Unchanged
27,4.15663482954187e-07,Unchanged
28,4.86850781677351,Upregulated
29,0,Unchanged
30,0.479318094494026,Downregulated
31,0,Unchanged
32,5.17358157987273,Upregulated
33,1.27170791863377,Unchanged
34,2.21790056256193,Upregulated
35,0,Unchanged
36,4.93695828067128,Upregulated
37,8.47282904035219,Upregulated
38,56.5883675307006,Upregulated
39,54.1193580666909,Upregulated
40,1.84927931827713,Unchanged
41,0.140964422815003,Downregulated
42,1.56499321407856,Unchanged
43,0,Unchanged
44,0.3778987233978,Downregulated
45,0.105020492246725,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,7.29067907085534,Upregulated
50,2.12932691796672,Upregulated
51,0,Unchanged
52,45.1876591455342,Upregulated
53,0,Unchanged
54,9.69450310719539,Upregulated
55,10.5034316685933,Upregulated
56,1.20358076894307,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,3.80374463844528,Upregulated
61,5.46283206118585,Upregulated
62,276909416.767984,Unchanged
63,0,Unchanged
64,7.64094983386895,Upregulated
65,7.60844367229731,Upregulated
66,14.6412190284094,Upregulated
67,27.6298295547134,Upregulated
68,0,Unchanged
69,26.4320959649794,Upregulated
70,0,Unchanged
71,1.59169789057051,Unchanged
72,0,Unchanged
73,5.0069670342332e-07,Unchanged
74,0.193208287298263,Downregulated
75,0,Unchanged
76,5.42716422056282,Upregulated
77,0,Unchanged
78,5.57254711159964,Upregulated
79,0,Unchanged
80,0,Unchanged
81,249004.777701727,Unchanged
82,0.205451363635181,Downregulated
83,5910491.4412121,Unchanged
84,0,Unchanged
85,0.500005508472128,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.579340660993316,Unchanged
89,0,Unchanged
90,0,Unchanged
91,4.61082365911821e-05,Unchanged
92,7.08292986303279,Upregulated
93,46535065.0043431,Unchanged
94,17858781.1072816,Unchanged
95,17858780.2098755,Unchanged
96,0,Unchanged
97,17.9665920085507,Upregulated
98,1308002843.09923,Unchanged
99,5369.22848669079,Upregulated
100,329.821989157873,Upregulated
101,81.6028019852299,Upregulated
102,76.4251785740207,Upregulated
103,76.4251776252931,Upregulated
104,18183049.7594801,Unchanged
105,2.81311026949386,Upregulated
106,0,Unchanged
107,0,Unchanged
108,1.08277538259927e-08,Unchanged
109,1.08277538259927e-08,Unchanged
110,1.08277538259927e-08,Unchanged
111,1.1800193669842e-08,Unchanged
112,1.1800193669842e-08,Unchanged
113,1.1800193669842e-08,Unchanged
114,0.0256028894583743,Downregulated
115,1.11237515400837e-06,Unchanged
116,0,Unchanged
117,2.16535383292324e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1486040.27685831,Unchanged
122,9580619.89171486,Unchanged
123,11786477.6624845,Unchanged
124,1244304.08917997,Unchanged
125,90.6344631693618,Upregulated
126,1486504.86854724,Unchanged
127,79515630.2028131,Unchanged
128,0,Unchanged
129,0,Unchanged
130,152857.710861543,Unchanged
131,6.60459443159421e-06,Unchanged
132,8.67628108291426,Upregulated
133,18.0576107790555,Upregulated
134,0,Unchanged
135,33.7532593976645,Upregulated
136,6.29007335466987,Upregulated
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,10.1131863882717,Upregulated
142,2.89263050445626,Upregulated
143,0,Unchanged
144,0,Unchanged
145,6.46134447398204,Upregulated
146,1.9529045969444,Unchanged
147,1.3224082686016,Unchanged
148,31.589635108076,Upregulated
149,0,Unchanged
150,4.28785943650865e-07,Unchanged
151,4.28785921900025e-07,Unchanged
152,0,Unchanged
153,2.68335759343863e-06,Unchanged
154,1.95564452197594e-06,Unchanged
155,2.2597994102469e-07,Unchanged
156,0,Unchanged
157,6.23361068340566,Upregulated
158,1.33850349809003e-07,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,991.426166832112,Upregulated
163,0,Unchanged
164,1.63657607535035e-07,Unchanged
165,278339946.322006,Unchanged
166,223274773.794104,Unchanged
167,139169973.161003,Unchanged
168,152857.710861543,Unchanged
169,23755322.1319632,Unchanged
170,23863559.4371224,Unchanged
171,39716480.7067992,Unchanged
172,1333957.49340173,Unchanged
173,85194269.7922474,Unchanged
174,0,Unchanged
175,0,Unchanged
176,64826989.9048616,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.583173127427957,Unchanged
188,0,Unchanged
189,7.9694723329362,Upregulated
190,7.96947258297597,Upregulated
191,8188.56444185437,Upregulated
192,13.8739375823361,Upregulated
193,6.43008699674797,Upregulated
194,1.49445080188067e-06,Unchanged
195,0.0482245114447242,Downregulated
196,43.5174856358067,Upregulated
197,29.4317954708094,Upregulated
198,5.14309325126305e-07,Unchanged
199,10621688.84804,Unchanged
200,0,Unchanged
201,9863306.47620192,Unchanged
202,1.49494010055857e-05,Unchanged
203,1.08291876059069e-06,Unchanged
204,79772315.5882407,Unchanged
205,0.000137389142017779,Unchanged
206,9.61392728088098,Upregulated
207,7.60218951234037e-06,Unchanged
208,278340231.368064,Unchanged
209,3.7859791612893e-05,Unchanged
210,0,Unchanged
211,0,Unchanged
212,0,Unchanged
213,79772324.0888978,Unchanged
214,0,Unchanged
215,0,Unchanged
216,1662.05753621861,Upregulated
217,8.50220338235639e-05,Unchanged
218,15956025.2354494,Unchanged
219,0.289098857703792,Downregulated
220,0.673153379551944,Unchanged
221,0.665806603792137,Unchanged
222,1.40646682329561,Unchanged
223,0.267635275556306,Downregulated
224,0,Unchanged
225,190458.76327572,Unchanged
226,434.678808085823,Upregulated
227,0,Unchanged
228,0,Unchanged
229,56.4042537421914,Upregulated
230,654001421.549614,Unchanged
231,8557.47004474061,Upregulated
232,1023.11663319733,Upregulated
233,0,Unchanged
234,144.323660209941,Upregulated
235,0,Unchanged
236,87.6091940068993,Upregulated
237,156.215727836725,Upregulated
238,171.456453076646,Upregulated
239,89990.7945844408,Unchanged
240,6.16216800608527e-08,Unchanged
241,0,Unchanged
242,1.31390756889616e-07,Unchanged
243,0,Unchanged
244,5437.20433890159,Upregulated
245,1012299.17488208,Unchanged
246,0.998897041209501,Unchanged
247,87.6092016942031,Upregulated
248,829831761.050981,Unchanged
249,467196329.883819,Unchanged
250,95.5993327236475,Upregulated
251,414915858.77907,Unchanged
252,95.6717589493379,Upregulated
253,96.5979797003199,Upregulated
254,96.5979798824445,Upregulated
255,1136425106.4617,Unchanged
256,611.149604650687,Upregulated
257,1.10301358997589e-07,Unchanged
258,3.4783833321228e-07,Unchanged
259,1.68570631578859e-05,Unchanged
260,1.09016686346121,Unchanged
261,0,Unchanged
262,0.835952998235123,Unchanged
263,12709282.9986704,Unchanged
264,1.11994721783709e-08,Unchanged
265,4.11187438654707e-08,Unchanged
266,0.118957308740936,Downregulated
267,0,Unchanged
268,0.470664354702865,Downregulated
269,0.115009032062869,Downregulated
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.475249516022126,Downregulated
278,0,Unchanged
279,0,Unchanged
280,0.170618831667029,Downregulated
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.99910966958275,Unchanged
288,5.5084721240064e-06,Unchanged
289,0,Unchanged
290,0.999109669582752,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.131521641531778,Downregulated
296,0.23088309680201,Downregulated
297,0,Unchanged
298,0.0182141560836627,Downregulated
299,801.417633953498,Upregulated
300,0,Unchanged
301,0,Unchanged
302,644351.648028727,Unchanged
303,0,Unchanged
304,41381047.1849736,Unchanged
305,23.4695060471048,Upregulated
306,0,Unchanged
307,27.7459767772011,Upregulated
308,18017020.9667994,Unchanged
309,2871190.15988131,Unchanged
310,3.8718515610938,Upregulated
311,19712886.5324597,Unchanged
312,237.747971165661,Upregulated
313,39594204.1735974,Unchanged
314,0.606249737453016,Unchanged
315,279.425126525277,Upregulated
316,22947033.0629695,Unchanged
317,21243378.0419861,Unchanged
318,305715.421719101,Unchanged
319,78280756.5282366,Unchanged
320,78280756.5282366,Unchanged
321,78280756.5282366,Unchanged
322,172149822991.633,Unchanged
323,2660387.64132122,Unchanged
324,526983.216563275,Unchanged
325,5408742.75721701,Unchanged
326,0,Unchanged
327,43576402.8610405,Unchanged
328,40191541.901321,Unchanged
329,0,Unchanged
330,0,Unchanged
331,2,Upregulated
332,0,Unchanged
333,17858783.4459766,Unchanged
334,0,Unchanged
335,309531167.842532,Unchanged
336,719991.950109367,Unchanged
337,47727118.8742449,Unchanged
338,47727118.8742449,Unchanged
339,0,Unchanged
340,309531167.842532,Unchanged
341,0,Unchanged
342,0,Unchanged
343,1.02099991583367,Unchanged
344,11.8799870891299,Upregulated
345,0,Unchanged
346,0,Unchanged
347,479.897009824026,Upregulated
348,0,Unchanged
349,79258711.6797567,Unchanged
350,239166.971029216,Unchanged
351,1.21850442341362,Unchanged
352,7848.77915895877,Upregulated
353,0,Unchanged
354,22734951.1378648,Unchanged
355,0,Unchanged
356,0.00707377112666642,Unchanged
357,0,Unchanged
358,0,Unchanged
359,10.9229063942244,Upregulated
360,11.9040265482668,Upregulated
361,20.3906120109998,Upregulated
362,0,Unchanged
363,21.6886532482845,Upregulated
364,0,Unchanged
365,0,Unchanged
366,1.83350924714887e-07,Unchanged
367,0,Unchanged
368,0,Unchanged
369,3.92996305266686e-07,Unchanged
370,5.92846376412556e-07,Unchanged
371,0,Unchanged
