Reaction,FSR,RegulationStatus
1,2.16338667262616,Upregulated
2,1.1195406625816,Unchanged
3,0,Unchanged
4,0.10434592279705,Downregulated
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,3.89527333563707,Upregulated
9,2.79176083096849,Upregulated
10,0,Unchanged
11,1.64366794546938,Unchanged
12,0.117409674352647,Downregulated
13,0,Unchanged
14,1.32527668317552,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0954501168070116,Downregulated
19,0.718793485229233,Unchanged
20,0,Unchanged
21,4.12480418836758,Upregulated
22,0.72515622063264,Unchanged
23,2.00706138745059,Upregulated
24,13.1132398118265,Upregulated
25,4.23843654237081,Upregulated
26,1.60316350854409,Unchanged
27,3.34487032617403e-07,Unchanged
28,3.92310380839518,Upregulated
29,0,Unchanged
30,0.390785087022075,Downregulated
31,0,Unchanged
32,4.16355651452813,Upregulated
33,1.05019198439069,Unchanged
34,1.80309704053556,Unchanged
35,0,Unchanged
36,4.04360671171115,Upregulated
37,6.80525986352753,Upregulated
38,45.0896036656579,Upregulated
39,43.4679247671704,Upregulated
40,1.50950175548008,Unchanged
41,0.115207037343896,Downregulated
42,1.27785045110236,Unchanged
43,0,Unchanged
44,0.309670214897131,Downregulated
45,0.0858908529871537,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,6.43176724675928,Upregulated
50,1.7152254861834,Unchanged
51,0,Unchanged
52,39.9860165236971,Upregulated
53,0,Unchanged
54,7.5503589607012,Upregulated
55,8.18037588313477,Upregulated
56,0.952471988820288,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,3.10358659895216,Upregulated
61,4.45397525550962,Upregulated
62,276888142.676146,Unchanged
63,0,Unchanged
64,6.23912789093951,Upregulated
65,6.2125853662929,Upregulated
66,11.9323711257429,Upregulated
67,22.5178994172838,Upregulated
68,0,Unchanged
69,21.478673325265,Upregulated
70,0,Unchanged
71,1.2934108240744,Unchanged
72,0,Unchanged
73,4.07781894707479e-07,Unchanged
74,0.157735118625805,Downregulated
75,0,Unchanged
76,4.43073329877758,Upregulated
77,0,Unchanged
78,4.53034286442804,Upregulated
79,0,Unchanged
80,0,Unchanged
81,227846.289242273,Unchanged
82,0.160011454662367,Downregulated
83,5910621.69869686,Unchanged
84,0,Unchanged
85,0.500004568472907,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.47281263480814,Downregulated
89,0,Unchanged
90,0,Unchanged
91,3.35493006590858e-05,Unchanged
92,7.08292986303279,Upregulated
93,42862817.9106133,Unchanged
94,17858781.1072816,Unchanged
95,17858780.2098755,Unchanged
96,0,Unchanged
97,14.6729102669142,Upregulated
98,1308002843.09923,Unchanged
99,2937873.17868807,Unchanged
100,286.751971542975,Upregulated
101,67.0865802866056,Upregulated
102,62.7837353048052,Upregulated
103,62.7837534862681,Upregulated
104,18183049.7594801,Unchanged
105,2.29604769069586,Upregulated
106,0,Unchanged
107,0,Unchanged
108,8.82321817487407e-09,Unchanged
109,8.82321817487407e-09,Unchanged
110,8.82321817487407e-09,Unchanged
111,9.63565908635316e-09,Unchanged
112,9.63565908635316e-09,Unchanged
113,9.63565908635316e-09,Unchanged
114,0.0208887282955712,Downregulated
115,9.21582389992182e-07,Unchanged
116,0,Unchanged
117,1.73390590707641e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1486040.27685831,Unchanged
122,9580619.89171486,Unchanged
123,11786477.6624845,Unchanged
124,1244304.08917997,Unchanged
125,186.185155728968,Upregulated
126,1486504.86854724,Unchanged
127,79515630.2028131,Unchanged
128,0,Unchanged
129,0,Unchanged
130,152857.710861543,Unchanged
131,5.31519683771058e-06,Unchanged
132,7.00699181878466,Upregulated
133,14.3633560022996,Upregulated
134,0,Unchanged
135,26.4427342300355,Upregulated
136,5.78927526722296,Upregulated
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,8.37858922734424,Upregulated
142,2.36143035789269,Upregulated
143,0,Unchanged
144,0,Unchanged
145,5.26590222357606,Upregulated
146,1.59224853606145,Unchanged
147,1.07774359812346,Unchanged
148,25.7557641751924,Upregulated
149,0,Unchanged
150,3.47185538544181e-07,Unchanged
151,3.47528616316595e-07,Unchanged
152,0,Unchanged
153,2.43305497133406e-06,Unchanged
154,1.6637568379565e-06,Unchanged
155,1.81966714194459e-07,Unchanged
156,0,Unchanged
157,5.0944716284586,Upregulated
158,1.09062901492317e-07,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,796.330849045647,Upregulated
163,0,Unchanged
164,1.34774485205562e-07,Unchanged
165,278339946.322006,Unchanged
166,223274773.794104,Unchanged
167,139169973.161003,Unchanged
168,152857.710861543,Unchanged
169,23755322.1319632,Unchanged
170,23863559.4371224,Unchanged
171,39716480.7067992,Unchanged
172,1333957.49340173,Unchanged
173,85194269.7922474,Unchanged
174,0,Unchanged
175,0,Unchanged
176,63465153.7880913,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.476102013751716,Downregulated
188,0,Unchanged
189,6.53472957636804,Upregulated
190,6.53473522406508,Upregulated
191,6123.2445910781,Upregulated
192,11.3070538689234,Upregulated
193,5.81234525385888,Upregulated
194,1.21795505885296e-06,Unchanged
195,0.0393022633604929,Downregulated
196,35.4808181132367,Upregulated
197,23.9864873073477,Upregulated
198,4.19328353927995e-07,Unchanged
199,10621688.84804,Unchanged
200,0,Unchanged
201,9863306.47620192,Unchanged
202,1.21835406477181e-05,Unchanged
203,8.83211041974989e-07,Unchanged
204,79772315.5882407,Unchanged
205,0.000125892019840221,Unchanged
206,8.28829052709567,Upregulated
207,6.18028787096136e-06,Unchanged
208,278340231.368064,Unchanged
209,3.26394139476165e-05,Unchanged
210,0,Unchanged
211,0,Unchanged
212,0,Unchanged
213,79772324.0888978,Unchanged
214,0,Unchanged
215,0,Unchanged
216,1707.80839407647,Upregulated
217,8.73624043742059e-05,Unchanged
218,15956025.2354494,Unchanged
219,0.2362739641229,Downregulated
220,0.550153065551057,Unchanged
221,0.542904007237982,Unchanged
222,1.1470913575041,Unchanged
223,0.218732268406664,Downregulated
224,0,Unchanged
225,190458.76327572,Unchanged
226,346.872163878885,Upregulated
227,0,Unchanged
228,0,Unchanged
229,45.8641848726999,Upregulated
230,654001421.549614,Unchanged
231,7175.58234775658,Upregulated
232,860.611179674247,Upregulated
233,0,Unchanged
234,117.621627411319,Upregulated
235,0,Unchanged
236,71.5241140903189,Upregulated
237,129.559162574879,Upregulated
238,141.90457067127,Upregulated
239,89990.7945844408,Unchanged
240,5.05018563217163e-08,Unchanged
241,0,Unchanged
242,1.07281143868931e-07,Unchanged
243,0,Unchanged
244,5429.07921036413,Upregulated
245,1012299.17254916,Unchanged
