Reaction,FSR,RegulationStatus
1,1.98631242577118,Unchanged
2,1.0317308619734,Unchanged
3,0,Unchanged
4,0.0965203184161104,Downregulated
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,3.61919189746515,Upregulated
9,2.57662503339565,Upregulated
10,0,Unchanged
11,1.51839756096786,Unchanged
12,0.108988725400209,Downregulated
13,0,Unchanged
14,1.07547846797156,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0878713497773867,Downregulated
19,0.662836637071809,Unchanged
20,0,Unchanged
21,3.79337982368541,Upregulated
22,0.672457155967016,Unchanged
23,1.8477001296181,Unchanged
24,12.1700041927072,Upregulated
25,3.93928227580088,Upregulated
26,1.47199094433199,Unchanged
27,3.11971341034223e-07,Unchanged
28,3.64005204527385,Upregulated
29,0,Unchanged
30,0.359747153406901,Downregulated
31,0,Unchanged
32,3.86814371718314,Upregulated
33,0.950823254071425,Unchanged
34,1.66457597245354,Unchanged
35,0,Unchanged
36,3.70528744008025,Upregulated
37,6.33489000197728,Upregulated
38,42.4714642415907,Upregulated
39,40.4634837664395,Upregulated
40,1.38791995690205,Unchanged
41,0.105796660204697,Downregulated
42,1.17456280982044,Unchanged
43,0,Unchanged
44,0.283620464819912,Downregulated
45,0.0785210115804512,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,5.45106299522309,Upregulated
50,1.59203073934926,Unchanged
51,0,Unchanged
52,38.6543664603207,Upregulated
53,0,Unchanged
54,7.24789746021836,Upregulated
55,7.85267639533494,Upregulated
56,0.882878480498053,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2.84395938776124,Upregulated
61,4.08441177624323,Upregulated
62,276767215.99575,Unchanged
63,0,Unchanged
64,5.73468046678797,Upregulated
65,5.71028396453784,Upregulated
66,10.9888045248728,Upregulated
67,20.6580757842186,Upregulated
68,0,Unchanged
69,19.7625495800165,Upregulated
70,0,Unchanged
71,1.19006863929688,Unchanged
72,0,Unchanged
73,3.74357415614268e-07,Unchanged
74,0.145010423980569,Downregulated
75,0,Unchanged
76,4.07330035186882,Upregulated
77,0,Unchanged
78,4.16633078244043,Upregulated
