Reaction,FSR,RegulationStatus
1,2.22215286578767,Upregulated
2,1.14986731385961,Unchanged
3,0,Unchanged
4,0.107570928241952,Downregulated
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,4.04890857145079,Upregulated
9,2.87158122958071,Upregulated
10,0,Unchanged
11,1.69870138113949,Unchanged
12,0.121930709819003,Downregulated
13,0,Unchanged
14,1.20317673591008,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0983045638926427,Downregulated
19,0.741545600960751,Unchanged
20,0,Unchanged
21,4.24393774829662,Upregulated
22,0.749436033960046,Unchanged
23,2.06708279668682,Upregulated
24,13.615137780601,Upregulated
25,4.40705563067164,Upregulated
26,1.64678362271852,Unchanged
27,3.47679759606478e-07,Unchanged
28,4.07224472121163,Upregulated
29,0,Unchanged
30,0.40092875011286,Downregulated
31,0,Unchanged
32,4.32746961780395,Upregulated
33,1.06371692033996,Unchanged
34,1.85515328021627,Unchanged
35,0,Unchanged
36,4.12955558668022,Upregulated
37,7.08704782310919,Upregulated
38,47.338419094468,Upregulated
39,45.2678175079366,Upregulated
40,1.54684116337252,Unchanged
41,0.117909325374171,Downregulated
42,1.30903352704382,Unchanged
43,0,Unchanged
44,0.316092105278683,Downregulated
45,0.0878436157986456,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,6.09833553338008,Upregulated
50,1.78107715512539,Unchanged
51,0,Unchanged
52,43.9762746278099,Upregulated
53,0,Unchanged
54,8.10884927563136,Upregulated
55,8.78546773730996,Upregulated
56,1.01690080573055,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,3.18163034097462,Upregulated
61,4.56941752887931,Upregulated
62,276767220.717261,Unchanged
63,0,Unchanged
64,6.39132098388871,Upregulated
65,6.36413099873299,Upregulated
66,12.2467341886109,Upregulated
67,23.1111368660452,Upregulated
68,0,Unchanged
69,22.1092467109533,Upregulated
70,0,Unchanged
71,1.33138292924456,Unchanged
72,0,Unchanged
73,4.18806421963059e-07,Unchanged
74,0.161608328208493,Downregulated
75,0,Unchanged
76,4.53953062191442,Upregulated
77,0,Unchanged
78,4.66118959866091,Upregulated
79,0,Unchanged
80,0,Unchanged
81,245057.60105876,Unchanged
82,0.171847295603433,Downregulated
83,5910396.15943903,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.484587134617177,Downregulated
89,0,Unchanged
90,0,Unchanged
91,3.85073940397682e-05,Unchanged
92,7.08292986303279,Upregulated
