Reaction,FSR,RegulationStatus
1,2.66433633198213,Upregulated
2,1.37866188501991,Unchanged
3,0,Unchanged
4,0.128976347008268,Downregulated
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,4.85459607851984,Upregulated
9,3.44295324286997,Upregulated
10,0,Unchanged
11,2.03669972463412,Upregulated
12,0.146191844514539,Downregulated
13,0,Unchanged
14,1.44259082841277,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.117866088170763,Downregulated
19,0.889094484460481,Unchanged
20,0,Unchanged
21,5.08837702340923,Upregulated
22,0.898554452708194,Unchanged
23,2.47840948093347,Upregulated
24,16.324210767035,Upregulated
25,5.2839485896334,Upregulated
26,1.97445252121511,Unchanged
27,4.16864221605806e-07,Unchanged
28,4.88257586966229,Upregulated
29,0,Unchanged
30,0.480703468934141,Downregulated
31,0,Unchanged
32,5.18852672503703,Upregulated
33,1.27538492350774,Unchanged
34,2.22430756055797,Upregulated
35,0,Unchanged
36,4.9512331572973,Upregulated
37,8.49729222366127,Upregulated
38,56.751358257184,Upregulated
39,54.2756142322112,Upregulated
40,1.85462356166854,Unchanged
41,0.141371967612058,Downregulated
42,1.56951671778603,Unchanged
43,0,Unchanged
44,0.378991039802839,Downregulated
45,0.105324072010043,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,7.31179674719044,Upregulated
50,2.13546786474304,Upregulated
51,0,Unchanged
52,55.8614950770426,Upregulated
53,0,Unchanged
54,9.72231450600355,Upregulated
55,10.5335637056621,Upregulated
56,1.18740387568464,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,3.81473940091317,Upregulated
61,5.4786165966199,Upregulated
62,276767229.642564,Unchanged
63,0,Unchanged
64,7.66303105380285,Upregulated
65,7.63043095421063,Upregulated
66,14.6835029797976,Upregulated
67,27.7096693953712,Upregulated
68,0,Unchanged
69,26.5084390899264,Upregulated
70,0,Unchanged
71,1.59629514956574,Unchanged
72,0,Unchanged
73,5.02143515156306e-07,Unchanged
74,0.193766663193113,Downregulated
75,0,Unchanged
76,5.44284883596172,Upregulated
77,0,Unchanged
78,5.58864874093044,Upregulated
79,0,Unchanged
80,0,Unchanged
81,245070.885171698,Unchanged
82,0.206040758444441,Downregulated
83,5910397.99949625,Unchanged
84,0,Unchanged
85,0.500005524467499,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.581014788059324,Unchanged
89,0,Unchanged
90,0,Unchanged
91,4.61407592433302e-05,Unchanged
92,7.08292986303279,Upregulated
93,42854799.4258186,Unchanged
94,17858781.1072816,Unchanged
95,17858780.2098755,Unchanged
96,0,Unchanged
97,18.0185116524474,Upregulated
98,1308002843.09923,Unchanged
99,5384.90695688695,Upregulated
100,330.775760123096,Upregulated
101,61.3977735371245,Upregulated
102,58.4439951193848,Upregulated
103,58.4439764533688,Upregulated
104,18183049.7594801,Unchanged
105,2.82124225562488,Upregulated
106,0,Unchanged
107,0,Unchanged
108,1.08590453010038e-08,Unchanged
109,1.08590453010038e-08,Unchanged
110,1.08590453010038e-08,Unchanged
111,1.18342937541186e-08,Unchanged
112,1.18342937541186e-08,Unchanged
113,1.18342937541186e-08,Unchanged
114,0.025676885534183,Downregulated
115,1,Unchanged
116,0,Unchanged
117,2.17169820334675e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1486040.27685831,Unchanged
122,9580619.89171486,Unchanged
123,11786477.6624845,Unchanged
124,1244304.08917997,Unchanged
125,90.8960573004023,Upregulated
126,1486504.86854724,Unchanged
127,79515630.2028131,Unchanged
128,0,Unchanged
129,0,Unchanged
130,152857.710861543,Unchanged
131,6.62367430680448e-06,Unchanged
132,8.70134875876966,Upregulated
133,18.1096354324411,Upregulated
134,0,Unchanged
135,33.8501869764935,Upregulated
136,0.840452739226388,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,9091524.87974007,Unchanged
142,2.90099012118794,Upregulated
143,0,Unchanged
144,0,Unchanged
145,6.480017015409,Upregulated
146,1.95854746550113,Unchanged
147,1.32622987620637,Unchanged
148,31.6809125616438,Upregulated
149,0,Unchanged
150,4.27064909473726e-07,Unchanged
151,4.2706487933127e-07,Unchanged
152,0,Unchanged
153,6.60905663608876e-07,Unchanged
154,3.04241202642411e-07,Unchanged
155,2.2367280183877e-07,Unchanged
156,0,Unchanged
157,6.25163238201895,Upregulated
158,1.34237158511572e-07,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,994.287592499921,Upregulated
163,0,Unchanged
164,1.641309288882e-07,Unchanged
165,278339946.322006,Unchanged
166,223274773.794104,Unchanged
167,139169973.161003,Unchanged
168,152857.710861543,Unchanged
169,23755322.1319632,Unchanged
170,23863559.4371224,Unchanged
171,39716480.7067992,Unchanged
172,1333957.49340173,Unchanged
173,85194269.7922474,Unchanged
174,0,Unchanged
175,0,Unchanged
176,64856635.2991349,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.584858472929087,Unchanged
188,0,Unchanged
