Reaction,FSR,RegulationStatus
1,1.9131710319233,Unchanged
2,0.984764068192582,Unchanged
3,0,Unchanged
4,0.0922536680930709,Downregulated
5,0,Unchanged
6,199.578913454805,Upregulated
7,0,Unchanged
8,3.48592389931942,Upregulated
9,2.45438205125328,Upregulated
10,0,Unchanged
11,1.45328587516501,Unchanged
12,0.104972828201163,Downregulated
13,0,Unchanged
14,1.02850490237768,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0846357127185661,Downregulated
19,0.635071041212651,Unchanged
20,0,Unchanged
21,3.65370120682232,Upregulated
22,0.641828671726999,Unchanged
23,1.77966331183703,Unchanged
24,11.6367659381218,Upregulated
25,3.79413318129678,Upregulated
26,1.41033108756576,Unchanged
27,2.99336241482706e-07,Unchanged
28,3.50592665290542,Upregulated
29,0,Unchanged
30,0.343835581527442,Downregulated
31,0,Unchanged
32,3.72570980113976,Upregulated
33,0.915788143403336,Unchanged
34,1.58880055829132,Unchanged
35,0,Unchanged
36,3.53661511371403,Upregulated
37,6.06937458157596,Upregulated
38,40.4632964905397,Upregulated
39,38.7675302613598,Upregulated
40,1.3317431705595,Unchanged
41,0.100980525402321,Downregulated
42,1.12108953063871,Unchanged
43,0,Unchanged
44,0.270428810773942,Downregulated
45,0.0750790602280907,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,5.21735615676128,Upregulated
50,1.5222759027606,Unchanged
51,0,Unchanged
52,38.2284948142377,Upregulated
53,0,Unchanged
54,6.93094054923419,Upregulated
55,7.50927197124025,Upregulated
56,0.856832712674518,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2.73916839292999,Upregulated
61,3.93391229943398,Upregulated
62,276767214.335084,Unchanged
63,0,Unchanged
64,5.47362595007202,Upregulated
65,5.45034002706712,Upregulated
66,10.5437483602498,Upregulated
67,19.8973890951406,Upregulated
68,0,Unchanged
69,18.8973436774612,Upregulated
70,0,Unchanged
71,1.13796734502831,Unchanged
72,0,Unchanged
73,3.58676067699953e-07,Unchanged
74,0.138405564717539,Downregulated
75,0,Unchanged
76,3.8877717890136,Upregulated
77,0,Unchanged
78,4.01292160875669,Upregulated
79,0,Unchanged
80,0,Unchanged
81,245047.520006037,Unchanged
82,0.14688439122348,Downregulated
83,5910394.84540821,Unchanged
84,0,Unchanged
85,0.500003938282416,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.415610966813149,Downregulated
89,0,Unchanged
90,0,Unchanged
91,3.28928284290706e-05,Unchanged
92,7.08292986303279,Upregulated
93,42854757.8079781,Unchanged
94,17858781.1072816,Unchanged
95,17858780.2098755,Unchanged
96,0,Unchanged
97,12.8704378235159,Upregulated
98,1308002843.09923,Unchanged
99,3840.47855578444,Upregulated
100,237.513132783126,Upregulated
101,43.609123389114,Upregulated
102,41.4681290729064,Upregulated
103,41.5111566969834,Upregulated
104,18183049.7594801,Unchanged
105,2.01518439510755,Upregulated
106,0,Unchanged
107,0,Unchanged
108,7.76721132069724e-09,Unchanged
109,7.76721132069724e-09,Unchanged
110,7.76721132069724e-09,Unchanged
111,8.45311908506119e-09,Unchanged
112,8.45311908506119e-09,Unchanged
113,8.45311908506119e-09,Unchanged
114,0.0183460894777238,Downregulated
115,8.01073113656514e-07,Unchanged
116,0,Unchanged
117,1.5481413102691e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1486040.27685831,Unchanged
122,9580619.89171486,Unchanged
123,11786477.6624845,Unchanged
124,1244304.08917997,Unchanged
125,64.8001481541936,Upregulated
126,1486504.86854724,Unchanged
127,79515630.2028131,Unchanged
128,0,Unchanged
129,0,Unchanged
130,152857.710861543,Unchanged
131,4.75612059692247e-06,Unchanged
132,6.24814939942041,Upregulated
133,12.9092506179335,Upregulated
134,0,Unchanged
135,24.1305017200016,Upregulated
136,0.595034834541484,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,7.28297614329905,Upregulated
142,2.07214820313875,Upregulated
143,0,Unchanged
144,0,Unchanged
145,4.62849208777994,Upregulated
146,1.40636737261778,Unchanged
147,0.947288328719166,Unchanged
148,22.7490027922567,Upregulated
149,0,Unchanged
150,3.05742379775875e-07,Unchanged
151,3.05742309052152e-07,Unchanged
152,0,Unchanged
153,4.7055271631478e-07,Unchanged
154,2.15403722336305e-07,Unchanged
155,1.59767220068385e-07,Unchanged
156,0,Unchanged
157,4.48908910744058,Upregulated
158,9.58842261855158e-08,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,710.217957475515,Upregulated
163,0,Unchanged
164,1.17237061874244e-07,Unchanged
165,278339946.322006,Unchanged
166,223274773.794104,Unchanged
167,139169973.161003,Unchanged
168,152857.710861543,Unchanged
169,23755322.1319632,Unchanged
170,23863559.4371224,Unchanged
171,39716480.7067992,Unchanged
172,1333957.49340173,Unchanged
173,85194269.7922474,Unchanged
174,0,Unchanged
175,0,Unchanged
176,64855830.4446627,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.417758407979651,Downregulated
188,0,Unchanged
189,5.70903897316946,Upregulated
190,5.70903895465502,Upregulated
191,5861.1254819566,Upregulated
192,9.99094932418533,Upregulated
193,4.59788753114807,Upregulated
194,1.07621693997308e-06,Unchanged
195,0.0347276068649222,Downregulated
196,31.3387412945415,Upregulated
197,21.0830475010792,Upregulated
198,3.70375416916128e-07,Unchanged
199,10621688.84804,Unchanged
200,0,Unchanged
201,9863306.47620192,Unchanged
202,1.07654158732768e-05,Unchanged
203,7.75754093055591e-07,Unchanged
204,79772315.5882407,Unchanged
205,0.000111241432994461,Unchanged
206,6.87354086090137,Upregulated
207,5.53961753888643e-06,Unchanged
208,278340231.368064,Unchanged
209,2.70681082801559e-05,Unchanged
210,0,Unchanged
211,0,Unchanged
212,0,Unchanged
213,79772324.0888978,Unchanged
214,0,Unchanged
215,0,Unchanged
216,1188.37117050604,Upregulated
217,6.091302980582e-05,Unchanged
218,15956025.2354494,Unchanged
219,0.207097407993823,Downregulated
220,0.482216908799335,Downregulated
221,0.477612209805798,Downregulated
222,1.00752955137977,Unchanged
223,0.191986459613799,Downregulated
224,0,Unchanged
225,190458.76327572,Unchanged
226,310.749299718873,Upregulated
227,0,Unchanged
228,0,Unchanged
229,40.4054038333943,Upregulated
230,654001421.549614,Unchanged
231,6118.91096501046,Upregulated
232,731.45371090956,Upregulated
233,0,Unchanged
234,103.933480751286,Upregulated
235,0,Unchanged
236,62.7599712199586,Upregulated
237,111.906022300904,Upregulated
238,123.473222572764,Upregulated
239,89990.7945844408,Unchanged
240,4.40551136314494e-08,Unchanged
241,0,Unchanged
242,9.41223114026002e-08,Unchanged
243,0,Unchanged
244,6049.91461448778,Upregulated
245,1012299.17126062,Unchanged
246,0.998897037635992,Unchanged
247,62.7592137615897,Upregulated
248,829831761.050981,Unchanged
249,467196329.883819,Unchanged
250,68.8450238059401,Upregulated
251,414915858.77907,Unchanged
252,68.894156947494,Upregulated
253,69.1267410333475,Upregulated
254,69.5626098015152,Upregulated
255,1136425106.4617,Unchanged
256,437.799532953686,Upregulated
257,7.90158001109376e-08,Unchanged
258,2.5049284953127e-07,Unchanged
259,1.20504090153304e-05,Unchanged
260,0.780945496643411,Unchanged
261,0,Unchanged
262,0.835946394367556,Unchanged
263,12709282.9986704,Unchanged
264,8.02279089484644e-09,Unchanged
265,2.9455592070537e-08,Unchanged
266,0.0852155885779473,Downregulated
267,0,Unchanged
268,0.337162418746139,Downregulated
269,0.08250090186542,Downregulated
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.471139282864255,Downregulated
278,0,Unchanged
279,0,Unchanged
280,0.122223483592996,Downregulated
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.998596592680537,Unchanged
288,3.93805451398066e-06,Unchanged
289,0,Unchanged
290,0.998596592680506,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.0942160548095557,Downregulated
296,0.165394031351428,Downregulated
297,0,Unchanged
298,0.0130477823270779,Downregulated
299,574.105363730148,Upregulated
300,0,Unchanged
301,0,Unchanged
302,644351.648028727,Unchanged
303,0,Unchanged
304,41381047.1849736,Unchanged
305,16.7785874811326,Upregulated
306,0,Unchanged
307,19.8354384875049,Upregulated
308,18017020.9667994,Unchanged
309,2871190.15988131,Unchanged
310,2.78828181911376,Upregulated
311,19712886.5324597,Unchanged
312,169.990818468982,Upregulated
313,39594204.1735974,Unchanged
314,0.434289599091476,Downregulated
315,199.790163195582,Upregulated
316,22947033.0629695,Unchanged
317,21243378.0419861,Unchanged
318,305715.421719101,Unchanged
319,78280756.5282366,Unchanged
320,78280756.5282366,Unchanged
321,78280756.5282366,Unchanged
322,172149822991.633,Unchanged
323,2660387.64132122,Unchanged
324,526983.216563275,Unchanged
325,5408742.75721701,Unchanged
326,0,Unchanged
327,43576402.8610405,Unchanged
328,40191541.901321,Unchanged
329,0,Unchanged
330,0,Unchanged
331,2,Upregulated
332,0,Unchanged
333,17858783.4459766,Unchanged
334,0,Unchanged
335,309531167.842532,Unchanged
336,719991.950109367,Unchanged
