Reaction,FSR,RegulationStatus
2,0.341226615217007,Downregulated
4,0.0313879201563913,Downregulated
6,199.578913454805,Upregulated
11,0.488533287504378,Downregulated
12,0.0297223122928293,Downregulated
14,0.402342085502513,Downregulated
18,0.0290766301604613,Downregulated
19,0.218291591525862,Downregulated
22,0.215531981268642,Downregulated
24,3.41010381466537,Upregulated
26,0.46003743824406,Downregulated
30,0.11963985469146,Downregulated
33,0.326682361989309,Downregulated
38,8.01274582704952,Upregulated
39,11.9550714844836,Upregulated
40,0.490044732986094,Downregulated
41,0.0332191135180045,Downregulated
42,0.389854122254798,Downregulated
44,0.0939330101502045,Downregulated
45,0.026063553585662,Downregulated
49,2.20454986242294,Upregulated
50,0.489681661815677,Downregulated
52,9.83288797155362,Upregulated
54,2.10953870352349,Upregulated
55,2.28556279571115,Upregulated
66,3.66734306884411,Upregulated
67,6.92074078432787,Upregulated
69,6.54979436780229,Upregulated
71,0.394417979289812,Downregulated
74,0.0482121040627448,Downregulated
82,0.0447065309575703,Downregulated
88,0.144104486599232,Downregulated
92,7.08292986303279,Upregulated
97,4.50028753066758,Upregulated
99,14268.1474442678,Upregulated
100,86.6499454367282,Upregulated
101,15.8502970193069,Upregulated
102,14.0574119825084,Upregulated
103,14.0574098556203,Upregulated
125,370.028175185899,Upregulated
132,2.0381565563094,Upregulated
133,2.51231617826676,Upregulated
135,6.23401972100445,Upregulated
136,0.198623402720572,Downregulated
141,2.47686200070132,Upregulated
146,0.491435468615036,Downregulated
147,0.331237893159447,Downregulated
148,7.94932182401805,Upregulated
162,199.263412411353,Upregulated
187,0.145521565804356,Downregulated
189,2.01941356447504,Upregulated
190,2.0194139087109,Upregulated
191,2333.56807333697,Upregulated
192,3.47515451112521,Upregulated
195,0.0120793125638665,Downregulated
196,10.9508861722392,Upregulated
197,7.37209994456542,Upregulated
216,1348.11311899868,Upregulated
219,0.0681278668419118,Downregulated
220,0.158632685934208,Downregulated
221,0.156278577442851,Downregulated
222,0.331442434004459,Downregulated
223,0.0630698752251394,Downregulated
226,78.5977235643476,Upregulated
229,14.2323593703248,Upregulated
231,3066.76346928939,Upregulated
232,378.916472338627,Upregulated
234,36.15033022634,Upregulated
236,21.8615005394625,Upregulated
237,39.6785438502569,Upregulated
238,43.5496648759232,Upregulated
244,6114.78057290871,Upregulated
247,21.8614766377376,Upregulated
250,23.8748458111729,Upregulated
252,29.1444397952994,Upregulated
253,23.1768773969706,Upregulated
254,23.1768795746485,Upregulated
256,137.253881985941,Upregulated
260,0.272033713460898,Downregulated
266,0.0296922709501953,Downregulated
268,0.117385499146947,Downregulated
269,0.0286882721794446,Downregulated
277,0.470130842070686,Downregulated
280,0.0425160393809505,Downregulated
295,0.0327735176485381,Downregulated
296,0.0575331265612398,Downregulated
299,199.862298332599,Upregulated
305,4.91689456603319,Upregulated
307,6.48868772521043,Upregulated
312,88.0510312899335,Upregulated
314,0.151279974912438,Downregulated
315,103.486353376424,Upregulated
331,2,Upregulated
343,0.254774340305199,Downregulated
344,2.95768936567863,Upregulated
347,92.3915031987824,Upregulated
351,0.218718039131812,Downregulated
352,1408.8332830314,Upregulated
360,2.19609094910648,Upregulated
361,3.51970039292797,Upregulated
363,3.9380339292148,Upregulated
372,0.220813011051053,Downregulated
374,0.476165341735824,Downregulated
376,8.37351870807298,Upregulated
378,0.179853645079288,Downregulated
380,0.053433685521182,Downregulated
381,0.0630699223184492,Downregulated
384,0.0296922533436936,Downregulated
386,0.192850975679482,Downregulated
387,5.51835247151389,Upregulated
389,0.468038749412058,Downregulated
392,363.190974635167,Upregulated
393,363.191613067315,Upregulated
401,10.5866458153503,Upregulated
402,0.0321162352738338,Downregulated
414,0.491997947609153,Downregulated
420,0.0392890932313781,Downregulated
422,0.0352485550835002,Downregulated
429,0.357452073984442,Downregulated
431,0.0530212658998706,Downregulated
433,5.32429690785207,Upregulated
434,317.982046170923,Upregulated
435,3.32706787758166,Upregulated
436,0.459395325012324,Downregulated
437,0.429071764599666,Downregulated
439,2.42030301364002,Upregulated
441,0.202541297101827,Downregulated
443,0.5,Downregulated
448,0.03269313699768,Downregulated
449,0.115895536489534,Downregulated
454,8.50265496726047,Upregulated
456,11.8789575306705,Upregulated
458,11.9286064743449,Upregulated
460,10.4254612485637,Upregulated
462,10.4254553582075,Upregulated
464,2.08778038797872,Upregulated
465,11.7435387379723,Upregulated
466,2.08778055824288,Upregulated
467,10.263712450674,Upregulated
468,2.08778043769586,Upregulated
470,0.0313653006128843,Downregulated
472,0.259796158900116,Downregulated
473,0.136559506286111,Downregulated
474,12.1254364581834,Upregulated
477,2.41322541619337,Upregulated
479,31.4292868417993,Upregulated
480,28.0111201044065,Upregulated
481,16.1038189318037,Upregulated
482,38.9901379772114,Upregulated
483,39.2859612123263,Upregulated
485,192.616318267278,Upregulated
486,46.6677046663329,Upregulated
488,2.77928872747374,Upregulated
491,23.082451164623,Upregulated
494,36.6387972646951,Upregulated
495,279.117077975119,Upregulated
496,148.422897710419,Upregulated
497,148.42291069142,Upregulated
498,470.251837490473,Upregulated
499,17.8917220881427,Upregulated
500,111.076838293099,Upregulated
502,4.16948042455442,Upregulated
503,654.461965185339,Upregulated
504,29.1444437770061,Upregulated
505,34.9234484899122,Upregulated
506,31.4304316781106,Upregulated
507,28.1410362907576,Upregulated
508,18.2723052490507,Upregulated
510,96.8822996013421,Upregulated
512,9.66480623505472,Upregulated
513,10.8974415892901,Upregulated
515,0.0994662293456768,Downregulated
517,3.65519260825641,Upregulated
519,9509.31946566975,Upregulated
522,0.456287865572253,Downregulated
524,14.4147452231383,Upregulated
526,2.67706443234454,Upregulated
527,0.415470005685777,Downregulated
528,10.4670999474617,Upregulated
530,19.3827118304889,Upregulated
534,84.0034430241697,Upregulated
535,2.26669884954598,Upregulated
536,60.8156761442027,Upregulated
