Reaction,FSR,RegulationStatus
1,2.62213840555669,Upregulated
4,0.124571256736688,Downregulated
6,199.578913454805,Upregulated
8,4.6468560635558,Upregulated
9,3.31552402100837,Upregulated
12,0.139061253954818,Downregulated
18,0.113410263252425,Downregulated
21,4.92636141396691,Upregulated
23,2.38471536750672,Upregulated
24,15.506196029441,Upregulated
25,5.01343630556822,Upregulated
28,4.68904760119602,Upregulated
30,0.467349507518525,Downregulated
32,4.96550635974064,Upregulated
34,2.14837041643012,Upregulated
36,4.84798877799605,Upregulated
37,8.09238784439921,Upregulated
38,52.4582948931358,Upregulated
39,51.6893275291877,Upregulated
41,0.138056501365676,Downregulated
44,0.369166660233048,Downregulated
45,0.102815085930228,Downregulated
49,7.77742863739456,Upregulated
50,2.00942206090695,Upregulated
52,39.5869556042245,Upregulated
54,8.49293421393915,Upregulated
55,9.20160148442873,Upregulated
56,2.65379067363813,Upregulated
60,3.71034120753383,Upregulated
61,5.30216662255654,Upregulated
64,7.43835329211619,Upregulated
65,7.40670901762185,Upregulated
66,14.230214333443,Upregulated
67,26.8542134914079,Upregulated
69,25.5125956335923,Upregulated
74,0.188051101754485,Downregulated
76,5.28230038861556,Upregulated
78,5.40916661638017,Upregulated
82,0.17998703968877,Downregulated
92,7.08292986303279,Upregulated
97,17.4622404455535,Upregulated
100,342.531431747901,Upregulated
101,59.1897319100922,Upregulated
102,56.3440477530543,Upregulated
103,56.344046518087,Upregulated
105,2.74947369651502,Upregulated
114,0.0249514621760442,Downregulated
125,3841.69222840097,Upregulated
132,8.36586957964092,Upregulated
133,16.8097390508728,Upregulated
135,30.0336947732763,Upregulated
141,10.2228679310081,Upregulated
142,2.81505983389147,Upregulated
145,6.2799641841222,Upregulated
148,30.6605551791367,Upregulated
157,6.09981459343645,Upregulated
162,947.434856493732,Upregulated
189,7.81385932884697,Upregulated
190,7.81385945829912,Upregulated
191,19850.2300460499,Upregulated
192,13.4844733194993,Upregulated
193,8.84152872200262,Upregulated
195,0.0468707700325484,Downregulated
196,42.2375967632759,Upregulated
197,28.6055978249346,Upregulated
206,11.4088034210235,Upregulated
219,0.283135099206857,Downregulated
223,0.262114353577613,Downregulated
226,410.275854915794,Upregulated
229,54.7040764351103,Upregulated
231,7647.08340297223,Upregulated
232,907.006955485909,Upregulated
234,140.272254031861,Upregulated
236,85.2706815999016,Upregulated
237,155.331095247628,Upregulated
238,170.485524826317,Upregulated
244,6111.99358660796,Upregulated
247,85.2706990910768,Upregulated
250,92.5132062433596,Upregulated
252,93.6717117967187,Upregulated
253,94.8482692394042,Upregulated
254,94.8752253602329,Upregulated
256,594.589357186776,Upregulated
266,0.115986941680334,Downregulated
268,0.458132702953336,Downregulated
269,0.111942273610336,Downregulated
277,0.470177170817367,Downregulated
280,0.165926971960739,Downregulated
295,0.127904918310907,Downregulated
296,0.224534025669798,Downregulated
298,0.0177147661491124,Downregulated
299,779.246148542264,Upregulated
305,22.3577640384137,Upregulated
307,23.526748050998,Upregulated
310,3.76850219070527,Upregulated
312,210.766739666149,Upregulated
315,247.714092404257,Upregulated
331,2,Upregulated
344,11.5635772404841,Upregulated
347,456.457663875012,Upregulated
352,5840.94732287981,Upregulated
359,10.3489802034308,Upregulated
360,11.2936336739239,Upregulated
361,19.3192157412244,Upregulated
363,20.5585789312849,Upregulated
373,2.17299340092532,Upregulated
376,45.9611986058905,Upregulated
377,7.40351859032843,Upregulated
380,0.222066835894176,Downregulated
381,0.262114287873174,Downregulated
384,0.115986934396377,Downregulated
387,20.7039377094557,Upregulated
390,2.16895560156059,Upregulated
392,9328.87627712662,Upregulated
393,9328.87748916678,Upregulated
395,2.08881224038937,Upregulated
397,0.0112920571582389,Downregulated
401,108.451625158803,Upregulated
402,0.133473014200772,Downregulated
404,2.42794129993888,Upregulated
405,0.0126169100837099,Downregulated
407,5.03873057641371,Upregulated
408,6.77152701439391,Upregulated
413,2.78432553833489,Upregulated
415,2.25560685491247,Upregulated
417,3.46843883825374,Upregulated
418,3.76850245473834,Upregulated
419,3.17843509063519,Upregulated
420,0.153475097574191,Downregulated
421,2.50611248828998,Upregulated
422,0.137691531818529,Downregulated
428,3.11919284703475,Upregulated
431,0.220353070306169,Downregulated
433,23.0625778560721,Upregulated
434,1673.72858009852,Upregulated
435,11.7375585060343,Upregulated
439,12.5523187876836,Upregulated
443,0.5,Downregulated
444,5.16236037269788,Upregulated
448,0.127483328547634,Downregulated
449,0.449703997839852,Downregulated
454,34.8395127930721,Upregulated
455,6.87241150928234,Upregulated
456,43.4620534570756,Upregulated
457,6.87241324718511,Upregulated
458,43.6437119341679,Upregulated
459,7.40949936258485,Upregulated
460,40.4534138457517,Upregulated
461,4.73589610346164,Upregulated
462,40.4534121538047,Upregulated
463,7.36602459680679,Upregulated
464,8.10111579766753,Upregulated
465,42.9665828862681,Upregulated
466,8.10111369303231,Upregulated
467,39.8257925378487,Upregulated
468,8.10111369303231,Upregulated
469,6.8724115040825,Upregulated
470,0.121705262236801,Downregulated
474,47.0497523301704,Upregulated
476,3.95637783138215,Upregulated
477,2.4134631892181,Upregulated
479,135.664606442733,Upregulated
480,115.848568888272,Upregulated
481,61.3443402935406,Upregulated
482,133.693319846883,Upregulated
483,155.157167745412,Upregulated
485,1007.94665664462,Upregulated
486,193.361583409396,Upregulated
488,13.7271226367515,Upregulated
491,119.809307567651,Upregulated
494,140.888450864807,Upregulated
495,1378.81289462128,Upregulated
496,763.280772621499,Upregulated
497,763.498047323611,Upregulated
498,2347.53639487866,Upregulated
499,90.1645188910535,Upregulated
500,560.807197968371,Upregulated
502,14.9360097023631,Upregulated
503,3340.32994972477,Upregulated
504,93.6716878683287,Upregulated
505,130.750942396174,Upregulated
506,120.86049536067,Upregulated
507,112.251354688013,Upregulated
508,73.0435813059573,Upregulated
510,494.340669942977,Upregulated
512,38.737824775718,Upregulated
513,40.694288350833,Upregulated
514,2.95663009991741,Upregulated
515,0.371436380686045,Downregulated
517,13.6495763563088,Upregulated
520,5.40980332951316,Upregulated
521,5.59258145585094,Upregulated
523,5.0851133600903,Upregulated
524,80.5234843890325,Upregulated
525,2.1990676719505,Upregulated
526,10.3440206840388,Upregulated
528,41.6577872455881,Upregulated
530,76.9167153531402,Upregulated
534,324.712089218677,Upregulated
535,8.71022314932483,Upregulated
536,237.211308561056,Upregulated
537,10.3648967208437,Upregulated
538,120.520304629214,Upregulated
539,4480.3269580984,Upregulated
540,2458.71722269392,Upregulated
543,64.9456628934606,Upregulated
544,28.4834767750392,Upregulated
545,28.4154855539965,Upregulated
546,89.0816776351832,Upregulated
547,79.0479929339065,Upregulated
548,89.0816776351832,Upregulated
549,79.047973480279,Upregulated
550,82.0583302853304,Upregulated
551,79.047973480279,Upregulated
552,82.0583302853304,Upregulated
553,79.047973480279,Upregulated
554,82.0583302853304,Upregulated
555,64.9456629250158,Upregulated
556,126.304289847069,Upregulated
558,22.9663932290949,Upregulated
560,0.0418419275890957,Downregulated
562,0.495953905220166,Downregulated
567,0.258612660427824,Downregulated
573,0.04790082679942,Downregulated
575,0.0381672998769994,Downregulated
578,0.0642582387785915,Downregulated
586,4.20656731655009,Upregulated
587,4.85063354737078,Upregulated
589,0.449566614854106,Downregulated
594,4.79699251671682,Upregulated
595,8.9331773212369,Upregulated
602,0.122000832488111,Downregulated
608,0.0804453176668493,Downregulated
613,0.269430137324944,Downregulated
614,0.0924698780151219,Downregulated
618,0.0576962795081886,Downregulated
619,0.186493114631755,Downregulated
623,6.0584382541904,Upregulated
630,12.6903311694545,Upregulated
631,235.696319001982,Upregulated
633,6.81131213221059,Upregulated
634,19.4173581621804,Upregulated
635,19.4173593165834,Upregulated
636,15.3714898635497,Upregulated
637,13.9172051609236,Upregulated
638,185.361531572383,Upregulated
642,0.090989432107569,Downregulated
643,0.271426267670024,Downregulated
645,13.9172051609236,Upregulated
646,6.81131213221059,Upregulated
647,6.81131213221059,Upregulated
648,0.109797762855094,Downregulated
651,0.0222560060826903,Downregulated
653,6.81131213221059,Upregulated
654,6.81131213221059,Upregulated
655,6.81131213221059,Upregulated
656,2.75698559877763,Upregulated
659,0.0222478287730954,Downregulated
666,136.040450669479,Upregulated
667,33.6575469005984,Upregulated
675,0.369377146930606,Downregulated
676,0.029104508666295,Downregulated
677,8.17075464943148,Upregulated
682,118.605657495461,Upregulated
683,82.1607499741113,Upregulated
685,116.77516707459,Upregulated
688,2.90810721014008,Upregulated
697,0.225556161996504,Downregulated
699,2.40228903015541,Upregulated
700,248.626442634855,Upregulated
702,225.325324940823,Upregulated
703,0.166046001580282,Downregulated
705,3.14115576666672,Upregulated
706,7.36761969021204,Upregulated
707,240.083588182665,Upregulated
710,0.188447933231206,Downregulated
713,296.628357685784,Upregulated
720,23.2508768615458,Upregulated
724,17.632211261985,Upregulated
725,12.67777637604,Upregulated
730,2564.73604267124,Upregulated
731,0.432509890570602,Downregulated
732,96.9162644150347,Upregulated
733,96.9162438116244,Upregulated
734,6.5900421155499,Upregulated
737,96.8365513817128,Upregulated
738,222.859011990704,Upregulated
740,183.591802070818,Upregulated
741,229.073559283626,Upregulated
742,175.022369678152,Upregulated
743,623.901294687508,Upregulated
746,33.9422269468991,Upregulated
749,267.033665256671,Upregulated
750,312.603815037457,Upregulated
751,5.50192989954218,Upregulated
753,38.3389968063882,Upregulated
754,19.78870980744,Upregulated
760,0.0582046394028419,Downregulated
761,0.230972367496513,Downregulated
763,0.0353105049382129,Downregulated
766,20.0308990775921,Upregulated
767,50.4880213247475,Upregulated
770,0.235373408380267,Downregulated
772,0.0385137215753908,Downregulated
775,128.961924440888,Upregulated
777,0.235373328332169,Downregulated
778,0.235373385966794,Downregulated
779,0.470746753789351,Downregulated
785,0.0368080348987854,Downregulated
786,0.0498837766945075,Downregulated
791,5.58352828484302,Upregulated
801,2.74300980612964,Upregulated
802,19.8134154589403,Upregulated
803,20.7562203375807,Upregulated
804,12.5423067534834,Upregulated
805,69.7564462651858,Upregulated
817,0.480926504656618,Downregulated
823,23.3637866603036,Upregulated
828,197.494429786573,Upregulated
829,134.011395965394,Upregulated
831,238.352646041955,Upregulated
836,6.71354906613034,Upregulated
837,6.74223542010951,Upregulated
838,0.29256254194286,Downregulated
839,0.329370628181086,Downregulated
842,8.19713243423666,Upregulated
844,118.545987411689,Upregulated
845,13.4844729320835,Upregulated
846,72.9438814030566,Upregulated
847,84.1482259223915,Upregulated
854,6.78485176823326,Upregulated
856,15.1250282022289,Upregulated
858,22.0496617945765,Upregulated
864,0.0319473765275876,Downregulated
869,5.5269351332432,Upregulated
870,8.2904042958375,Upregulated
871,7.31182908028068,Upregulated
873,8791.91994890914,Upregulated
878,0.37679050057105,Downregulated
880,3.59139599222608,Upregulated
886,0.213360882984088,Downregulated
887,0.0153873109025764,Downregulated
888,0.0153873116268539,Downregulated
889,0.0685964741165648,Downregulated
891,10.1523633713446,Upregulated
892,9.72252641942576,Upregulated
893,8.70916054438365,Upregulated
894,8.7091583080569,Upregulated
895,6.22185442973723,Upregulated
896,15.3714898635497,Upregulated
897,13.9172052695916,Upregulated
898,13.9172058843519,Upregulated
899,7.85947926542713,Upregulated
900,5.94635672692502,Upregulated
901,5.94635674427353,Upregulated
902,12.1645553426128,Upregulated
903,17.159164459432,Upregulated
904,19.4173593165834,Upregulated
905,19.4173614263219,Upregulated
906,15.3714978451293,Upregulated
907,15.3714900622463,Upregulated
908,5.00283639606162,Upregulated
909,5.00283786135787,Upregulated
910,5879.34953059335,Upregulated
911,7817.0216065076,Upregulated
912,4294.39448134327,Upregulated
913,10942.6014630966,Upregulated
914,7.51186777067333,Upregulated
915,37.1917631393181,Upregulated
916,4.78608870269472,Upregulated
917,204.025552169285,Upregulated
920,116.74199359663,Upregulated
921,51.8362397969426,Upregulated
922,237.143850904234,Upregulated
923,123.233807665848,Upregulated
924,0.431006261092697,Downregulated
925,237.143850904234,Upregulated
933,0.0459811071418477,Downregulated
935,4.06797979175035,Upregulated
937,4.64338278822321,Upregulated
938,0.0170662634557812,Downregulated
944,2.21846519580392,Upregulated
951,0.0636468211384693,Downregulated
955,5.58065423104172,Upregulated
958,381.804808392028,Upregulated
959,65.8436336866014,Upregulated
960,79.1661177466919,Upregulated
961,2.18895787746468,Upregulated
962,1027.98229763124,Upregulated
963,22.8828327388895,Upregulated
966,7474.99410175426,Upregulated
968,136.269662007756,Upregulated
972,37.6483993900319,Upregulated
973,11.08837647004,Upregulated
975,151.740951043683,Upregulated
977,815.803250692504,Upregulated
981,4.03825620584212,Upregulated
991,0.0311922330528885,Downregulated
997,0.0854961444169666,Downregulated
999,37.8266020778223,Upregulated
1007,3.98114769699864,Upregulated
1017,0.356823742686974,Downregulated
1036,8.19713389167415,Upregulated
1037,43.1330425986247,Upregulated
1040,85.2464427467034,Upregulated
1041,87.0470104637357,Upregulated
1043,42.8053261370564,Upregulated
1045,13.8962800532949,Upregulated
1049,12.1080404390422,Upregulated
1050,21.1919368794158,Upregulated
1062,26.7149765783982,Upregulated
1065,6.59146774797789,Upregulated
1066,152.147954915347,Upregulated
1068,7.25099391150553,Upregulated
1070,204.932212180884,Upregulated
1071,2.12774404540255,Upregulated
1073,3.03363196562333,Upregulated
1077,2.18289681802236,Upregulated
1079,101.36053284196,Upregulated
1082,5.93367993204027,Upregulated
1085,2.19178753737274,Upregulated
1097,0.5,Downregulated
1099,50.7555631131902,Upregulated
1105,2.18289736189373,Upregulated
1109,6.30839964867378,Upregulated
1113,0.100163223143787,Downregulated
1114,0.133922480862176,Downregulated
1115,0.0169432642025596,Downregulated
1119,0.2859526370705,Downregulated
1120,0.0664229342788843,Downregulated
1122,0.328521002869488,Downregulated
1123,0.126709426568631,Downregulated
1124,0.0565364746841245,Downregulated
1125,0.0155208586921187,Downregulated
1126,0.126709427484041,Downregulated
1131,2.1090329719472,Upregulated
1132,0.178684928460459,Downregulated
1136,0.063331665252922,Downregulated
1137,0.0504116206269321,Downregulated
1144,0.107373966281709,Downregulated
1148,0.0339752959050483,Downregulated
1151,0.0210201275832482,Downregulated
1152,0.0504116208845222,Downregulated
1156,0.181596560375072,Downregulated
1157,0.0968551292874611,Downregulated
1158,0.02437174056957,Downregulated
1159,0.0766740537805512,Downregulated
1160,0.0220659408897895,Downregulated
1161,0.107373971380628,Downregulated
1162,0.32122406157703,Downregulated
1164,0.236860237532147,Downregulated
1166,0.23068748425512,Downregulated
1190,126.316282992806,Upregulated
1192,0.0800563090928951,Downregulated
1197,19.3178436189884,Upregulated
1198,7.15795577050929,Upregulated
1203,2.2299132492234,Upregulated
1206,0.19616945452316,Downregulated
1212,16.6849660363294,Upregulated
1226,7.34297888518005,Upregulated
1234,3.94613827017214,Upregulated
1237,2.17361050683789,Upregulated
1244,3.38142362029372,Upregulated
1248,3.71034107578848,Upregulated
1249,0.0113345632256391,Downregulated
1250,2.18289687447061,Upregulated
1251,2357.62795223985,Upregulated
1255,0.115954009484747,Downregulated
1277,0.288533216397896,Downregulated
1280,0.303388282227472,Downregulated
1281,383.664169395061,Upregulated
1328,0.0949768381593517,Downregulated
1333,0.294201889160386,Downregulated
1349,0.148939781487727,Downregulated
1355,0.23603389240075,Downregulated
1364,0.155658731510253,Downregulated
1365,0.155658748092637,Downregulated
1366,0.155658748123807,Downregulated
1367,0.155658731537863,Downregulated
1379,0.0949768381593517,Downregulated
1463,0.23603389240075,Downregulated
1464,0.23603389240075,Downregulated
1521,0.01,Downregulated
1528,0.139611469243234,Downregulated
1587,50.4612339833622,Upregulated
1734,2.97780016578497,Upregulated
1735,2.97780016578497,Upregulated
1736,2.97780016578497,Upregulated
1739,2.97780016578497,Upregulated
