Reaction,FSR,RegulationStatus
1,492362.43198153,Unchanged
2,457279.777300562,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,8250634.32917255,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,6887237.15143217,Unchanged
9,7849516.05136352,Unchanged
10,0,Unchanged
11,3357691.21009399,Unchanged
12,110903.222809136,Unchanged
13,0,Unchanged
14,2035940.52653122,Unchanged
15,0,Unchanged
16,8175645.25336611,Unchanged
17,2846600.80936706,Unchanged
18,454973.180040848,Unchanged
19,226954.517029977,Unchanged
20,15336787.7388477,Unchanged
21,10067778.3714158,Unchanged
22,1651974.19748685,Unchanged
23,5383419.63763977,Unchanged
24,13590033.544776,Unchanged
25,5518764.7811334,Unchanged
26,3435968.19706105,Unchanged
27,0.335481998839627,Downregulated
28,2354466.42040951,Unchanged
29,0,Unchanged
30,84297.2290599698,Unchanged
31,0,Unchanged
32,5127021.88631324,Unchanged
33,3478539.96801286,Unchanged
34,3815823.38142577,Unchanged
35,0,Unchanged
36,1273169.45201541,Unchanged
37,1509274.64690904,Unchanged
38,6710960.58542007,Unchanged
39,4590111.20569367,Unchanged
40,906.845236282039,Upregulated
41,118156.872503544,Unchanged
42,388059.118244525,Unchanged
43,0,Unchanged
44,204746.959106798,Unchanged
45,3578.50908541817,Upregulated
46,4786334.68148749,Unchanged
47,8803398.85641828,Unchanged
48,5242162.25311447,Unchanged
49,10244363.1282531,Unchanged
50,8437961.6229123,Unchanged
51,24139044.7921925,Unchanged
52,12373864.8725924,Unchanged
53,0,Unchanged
54,3021071.49363514,Unchanged
55,963569.751025866,Unchanged
56,1379192.57691005,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,1590617.04887839,Unchanged
61,1788819.31773499,Unchanged
62,27840595.9615968,Unchanged
63,9067449.86167269,Unchanged
64,784271.298159435,Unchanged
65,784271.290169481,Unchanged
66,973999.112997603,Unchanged
67,1827009.17511826,Unchanged
68,0,Unchanged
69,738459.390303538,Unchanged
70,738459.390282225,Unchanged
71,206878.721749639,Unchanged
72,0.66454957401431,Unchanged
73,511499.969441795,Unchanged
74,1177092.73478085,Unchanged
75,0,Unchanged
76,406421.784936097,Unchanged
77,0,Unchanged
78,2223656.45755469,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.834649884662745,Unchanged
82,890250.955458193,Unchanged
83,195256.576520618,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,246735.131434966,Unchanged
89,2478639.7042291,Unchanged
90,0,Unchanged
91,1.1481451019041,Unchanged
92,4.02009769299222,Upregulated
93,47331036.4303375,Unchanged
94,5001964.45780768,Unchanged
95,5001964.4101639,Unchanged
96,0,Unchanged
97,4046719.4572535,Unchanged
98,172958779.122105,Unchanged
99,75072304.5503061,Unchanged
100,41987804.6323595,Unchanged
101,29428016.6388516,Unchanged
102,32154256.0907523,Unchanged
103,32154256.0906918,Unchanged
104,16713452.3998483,Unchanged
105,1176619.76530337,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0097801651713849,Unchanged
109,0.0097801651713849,Unchanged
110,0.0097801651713849,Unchanged
111,0.0106125188269011,Downregulated
112,0.0106125188269011,Downregulated
113,0.0106125188269011,Downregulated
114,0,Unchanged
115,0.952841453653638,Unchanged
116,0,Unchanged
117,0.326866004143852,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
