Reaction,FSR,RegulationStatus
1,707447.559548273,Unchanged
2,640217.073331614,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,10892636.9565526,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,9557178.08579986,Unchanged
9,10456985.3860496,Unchanged
10,0,Unchanged
11,4818613.94678394,Unchanged
12,150085.142032885,Unchanged
13,0,Unchanged
14,2727596.62094893,Unchanged
15,0,Unchanged
16,8649511.14309858,Unchanged
17,4049238.6717954,Unchanged
18,651704.551472481,Unchanged
19,324590.266947739,Unchanged
20,18373905.19116,Unchanged
21,12411823.2886327,Unchanged
22,2370743.88574911,Unchanged
23,7711221.74722734,Unchanged
24,18327060.4600831,Unchanged
25,7488258.02488315,Unchanged
26,4704594.45517626,Unchanged
27,0.448220788956536,Downregulated
28,3359838.60659162,Unchanged
29,0,Unchanged
30,117004.823325806,Unchanged
31,0,Unchanged
32,7266194.65368229,Unchanged
33,4288436.01751811,Unchanged
34,5542964.32087472,Unchanged
35,0,Unchanged
36,1804103.46068277,Unchanged
37,2116352.07147084,Unchanged
38,6710960.58542007,Unchanged
39,6436397.3636912,Unchanged
40,914.887053753409,Upregulated
41,163819.525193906,Unchanged
42,528905.857268123,Unchanged
43,0,Unchanged
44,271606.338078034,Unchanged
45,5155.1096437673,Upregulated
46,5324731.97799826,Unchanged
47,9793661.02148036,Unchanged
48,7154482.08338646,Unchanged
49,12661860.6724805,Unchanged
50,10794704.320665,Unchanged
51,25768718.4013853,Unchanged
52,13482299.4971038,Unchanged
53,0,Unchanged
54,3174609.20443466,Unchanged
55,1012540.55296811,Unchanged
56,1549994.60444901,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2306191.6107254,Unchanged
61,2123065.98070175,Unchanged
62,30515704.2745231,Unchanged
63,10366454.0155309,Unchanged
64,1129801.29032218,Unchanged
65,1129801.27881205,Unchanged
66,1291956.46344214,Unchanged
67,2423427.57969446,Unchanged
68,0,Unchanged
69,1059600.83062971,Unchanged
70,1059600.83069252,Unchanged
71,296846.202084892,Unchanged
72,0.94175044537004,Unchanged
73,744238.82522574,Unchanged
74,1720875.10529621,Unchanged
75,0,Unchanged
76,594176.746895641,Unchanged
77,0,Unchanged
78,2759943.92565237,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.88302675253414,Unchanged
82,935495.529784261,Unchanged
83,200585.864372189,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,354967.452971165,Unchanged
89,2833729.979977,Unchanged
90,0,Unchanged
91,1.18898368362512,Unchanged
92,4.02009769299222,Upregulated
93,47331036.4303375,Unchanged
94,5001964.45780768,Unchanged
95,5001964.4101639,Unchanged
96,0,Unchanged
97,5367751.66358967,Unchanged
98,172958779.122105,Unchanged
99,82511633.3824426,Unchanged
100,47681057.1359269,Unchanged
101,33052353.2434792,Unchanged
102,38929702.4397015,Unchanged
103,38929702.4396882,Unchanged
104,16713452.3998483,Unchanged
105,1652966.99676882,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0141196355194964,Downregulated
109,0.0141196355194964,Downregulated
110,0.0141196355194964,Downregulated
111,0.0153603172093429,Downregulated
112,0.0153603172093429,Downregulated
113,0.0153603172093429,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.388469561607847,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1023742.22222222,Unchanged
122,8156683.67852481,Unchanged
123,8347149.28887989,Unchanged
124,1024369.58092953,Unchanged
125,1393509.43072019,Unchanged
126,963346.89605487,Unchanged
127,5651974.48133548,Unchanged
128,0,Unchanged
129,0,Unchanged
130,7690453.71781418,Unchanged
131,545727.005955585,Unchanged
132,1064292.084652,Unchanged
133,2.05128068245615,Upregulated
134,0,Unchanged
135,8277329.02180731,Unchanged
136,4681649.41258611,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,8356726.19992417,Unchanged
142,1776420.92186371,Unchanged
143,12059696.7922381,Unchanged
144,3753098.2107988,Unchanged
145,3983726.81188901,Unchanged
146,2123065.89470331,Unchanged
147,2551051.6935043,Unchanged
148,6019864.5645053,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.882019274891503,Unchanged
154,0.281399912731028,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,5489118.23499056,Unchanged
158,0.174808802554866,Downregulated
159,0.421297329313402,Downregulated
160,1211713.78898755,Unchanged
161,121819.019670852,Unchanged
162,837776.376114319,Unchanged
163,1335283.25302391,Unchanged
164,0.185411193651705,Downregulated
165,41978197.093865,Unchanged
166,41336944.6041819,Unchanged
167,20989098.5469325,Unchanged
168,7690453.71781418,Unchanged
169,11198713.5658501,Unchanged
170,15895125.4880651,Unchanged
171,2876148.72992963,Unchanged
172,72287.3608073344,Unchanged
173,79934005.7963912,Unchanged
174,0,Unchanged
175,0,Unchanged
176,43921764.9349552,Unchanged
177,0,Unchanged
178,16754342.962283,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,20991.1940848193,Unchanged
188,56096.2694625766,Unchanged
189,3922311.22686761,Unchanged
190,3922311.22688511,Unchanged
191,102568657.963214,Unchanged
192,1211713.72995024,Unchanged
193,468797.845187004,Unchanged
194,3038350.11972212,Unchanged
195,1622644.91813969,Unchanged
196,2968837.20481548,Unchanged
197,2785367.29903282,Unchanged
198,0.449047845778995,Downregulated
199,4727927.82759152,Unchanged
200,0,Unchanged
201,4727927.97307959,Unchanged
202,1991863.30740921,Unchanged
203,87614.5697432735,Unchanged
204,5752297.98650786,Unchanged
205,1498461.8292578,Unchanged
206,2219737.11128828,Unchanged
207,1.49419105277512,Unchanged
208,41998726.9808165,Unchanged
209,1991863.40249026,Unchanged
210,15208153.2755188,Unchanged
211,1.99999994043123,Unchanged
212,0,Unchanged
213,5752297.49371524,Unchanged
214,0,Unchanged
215,0,Unchanged
216,4794180.45310009,Unchanged
217,1.72963474551794,Unchanged
218,16589515.6051162,Unchanged
219,285419.869164951,Unchanged
220,140268.680740615,Unchanged
221,138291.068156066,Unchanged
222,204528.516635737,Unchanged
223,93572.0878177498,Unchanged
224,0,Unchanged
225,0,Unchanged
226,9533305.82474389,Unchanged
227,1.938588408129,Unchanged
228,0,Unchanged
229,11432688.8533943,Unchanged
230,86479389.5610527,Unchanged
231,44079055.2191425,Unchanged
232,40713924.110984,Unchanged
233,1429601.72032918,Unchanged
234,22595778.4060871,Unchanged
235,26174402.0554238,Unchanged
236,15622675.5158635,Unchanged
237,20635234.2908075,Unchanged
238,22914540.4413358,Unchanged
239,2788160.27319982,Unchanged
240,0.118679666649157,Downregulated
241,0,Unchanged
242,0.390466766660297,Downregulated
243,0,Unchanged
244,0,Unchanged
245,5613498.95976525,Unchanged
246,1.99999934781517,Unchanged
247,15622675.0571522,Unchanged
248,107267608.136857,Unchanged
249,61237878.8282768,Unchanged
250,16182532.6862624,Unchanged
251,46118501.8400199,Unchanged
252,13867229.7456102,Unchanged
253,23100473.3932204,Unchanged
254,23100473.8479452,Unchanged
255,152892068.274126,Unchanged
256,12288.4051001581,Upregulated
257,0.14119636745424,Downregulated
258,0.421297329307308,Downregulated
259,0.845367965913602,Unchanged
260,3693220.96880584,Unchanged
261,0,Unchanged
262,0,Unchanged
263,31257276.3981218,Unchanged
264,0.0119991308473212,Downregulated
265,0.0246135395563691,Downregulated
266,56731.0246399619,Unchanged
267,0,Unchanged
268,44178.5563996022,Unchanged
269,66756.6176880766,Unchanged
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.5,Downregulated
278,0,Unchanged
279,0,Unchanged
280,104893.441159657,Unchanged
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.726586399468316,Unchanged
288,0.67147129590612,Unchanged
289,0,Unchanged
290,0.726586385112933,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.318465553377683,Downregulated
296,0.318516604175139,Downregulated
297,0,Unchanged
298,19954.524824779,Upregulated
299,82820496.7556944,Unchanged
300,0,Unchanged
301,0,Unchanged
302,0,Unchanged
303,0,Unchanged
304,43448668.9769136,Unchanged
305,13085650.5740083,Unchanged
306,0,Unchanged
307,453012.482285224,Unchanged
308,24745407.6478041,Unchanged
309,11568522.7577021,Unchanged
310,5356822.61321298,Unchanged
311,22630471.8571691,Unchanged
312,14218753.2539985,Unchanged
313,33768069.3789287,Unchanged
314,3369726.87934307,Unchanged
315,12053895.1432379,Unchanged
316,28842886.2228829,Unchanged
317,9455855.90295748,Unchanged
318,15380907.4356284,Unchanged
319,5752297.4843108,Unchanged
320,5752297.4843108,Unchanged
321,5752297.4843108,Unchanged
322,13730015159.9992,Unchanged
323,2255448.15783189,Unchanged
324,882310.109005888,Unchanged
325,3833738.75184016,Unchanged
326,0,Unchanged
327,13802852.6243763,Unchanged
328,28014701.1247645,Unchanged
329,0,Unchanged
330,0,Unchanged
331,2,Upregulated
332,0,Unchanged
333,5001964.51682907,Unchanged
334,0,Unchanged
335,32218859.3014582,Unchanged
336,107666352.237665,Unchanged
337,31790250.9761303,Unchanged
338,31790250.9761303,Unchanged
339,4.46735592808476,Upregulated
340,32218859.3014582,Unchanged
341,363838.166597139,Unchanged
342,8723604.01384929,Unchanged
343,2926372.41401468,Unchanged
344,4580561.39284442,Unchanged
345,32773459.1613,Unchanged
346,0,Unchanged
347,7759005.95010718,Unchanged
348,3880013.42510357,Unchanged
349,5752297.51816678,Unchanged
350,35888783.3312288,Unchanged
351,1912013.91699393,Unchanged
352,2099112813.36566,Unchanged
353,0,Unchanged
354,9455855.95378301,Unchanged
355,187762807.504659,Unchanged
356,37718.2904185757,Unchanged
357,0,Unchanged
358,0,Unchanged
359,1311115.3775951,Unchanged
360,2238283.07409323,Unchanged
361,2730592.91094385,Unchanged
362,0,Unchanged
363,3492044.67785726,Unchanged
364,0,Unchanged
365,0,Unchanged
366,1.46933668091205,Unchanged
367,0,Unchanged
368,0,Unchanged
369,1.3393981728833,Unchanged
370,2.18246511834174,Upregulated
371,4781806.52673317,Unchanged
372,2158914.75276879,Unchanged
373,1377170.31256957,Unchanged
374,1142925.1411697,Unchanged
375,0.682947418969888,Unchanged
376,4725616.85607058,Unchanged
377,9100376.44887434,Unchanged
378,541459.694257127,Unchanged
379,4727927.90573577,Unchanged
380,77656.2530352088,Unchanged
381,93572.0825941961,Unchanged
382,4102501.52251302,Unchanged
383,4022780.97205997,Unchanged
384,56731.0206433198,Unchanged
385,0,Unchanged
386,691968.297649768,Unchanged
387,7625408.97048781,Unchanged
388,9455855.9334528,Unchanged
389,1014489.08557122,Unchanged
390,1222411.00390577,Unchanged
391,9455855.66407752,Unchanged
392,4513938.68214753,Unchanged
393,4513938.71739239,Unchanged
394,9455855.91058131,Unchanged
395,4727927.92860725,Unchanged
396,9455855.87500344,Unchanged
397,7.93646418976571,Upregulated
398,240329.85035557,Unchanged
399,7.93646427729262,Upregulated
