Reaction,FSR,RegulationStatus
1,1213725.44179218,Unchanged
2,1213726.25823545,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,18721464.4856441,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,20234947.4067459,Unchanged
9,26381227.592747,Unchanged
10,0,Unchanged
11,12292416.2120021,Unchanged
12,216485.802797834,Unchanged
13,0,Unchanged
14,3143418.80905972,Unchanged
15,0,Unchanged
16,16670928.3515818,Unchanged
17,6715660.26061505,Unchanged
18,1597999.9466269,Unchanged
19,959715.687086042,Unchanged
20,29744637.3740531,Unchanged
21,20092907.7964658,Unchanged
22,6047832.61293367,Unchanged
23,18908156.9442098,Unchanged
24,30425937.8907616,Unchanged
25,9982927.85843309,Unchanged
26,11481927.9075326,Unchanged
27,0.588832024895951,Unchanged
28,5382969.22246571,Unchanged
29,0,Unchanged
30,377102.637234483,Unchanged
31,0,Unchanged
32,19655920.4105786,Unchanged
33,6942344.20587669,Unchanged
34,15985368.2627245,Unchanged
35,0,Unchanged
36,5887017.55714053,Unchanged
37,4192247.50279629,Unchanged
38,6710960.58542007,Unchanged
39,12749755.1748024,Unchanged
40,2593433.08296703,Unchanged
41,512776.26699604,Unchanged
42,602298.490961407,Unchanged
43,0,Unchanged
44,500480.822461091,Unchanged
45,13153.0710030471,Upregulated
46,6707777.85651466,Unchanged
47,12337466.5251777,Unchanged
48,17337385.9425715,Unchanged
49,23631568.3226169,Unchanged
50,11815784.1613085,Unchanged
51,26577367.6503298,Unchanged
52,15920601.8253775,Unchanged
53,0,Unchanged
54,3705857.36531484,Unchanged
55,1181981.97770458,Unchanged
56,1891171.17550894,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,4727927.97466789,Unchanged
61,4727927.9608497,Unchanged
62,41998727.6074162,Unchanged
63,14139138.6172251,Unchanged
64,2882646.32678478,Unchanged
65,2882646.29741712,Unchanged
66,3066614.41709326,Unchanged
67,5752297.514405,Unchanged
68,0,Unchanged
69,2688090.53682311,Unchanged
70,2688090.53682786,Unchanged
71,753066.101545113,Unchanged
72,2.2491533876271,Upregulated
73,2479776.81014546,Unchanged
74,5571002.35628464,Unchanged
75,0,Unchanged
76,1923533.00179526,Unchanged
77,0,Unchanged
78,4727927.96418512,Unchanged
79,0,Unchanged
80,0,Unchanged
81,1.70193152890538,Unchanged
82,1092044.02054504,Unchanged
83,200585.864372189,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,1124929.94364847,Unchanged
89,3865015.0698256,Unchanged
90,0,Unchanged
91,1.43848830311182,Unchanged
92,4.02009769299222,Upregulated
93,47331036.4303375,Unchanged
94,5001964.45780768,Unchanged
95,5001964.4101639,Unchanged
96,0,Unchanged
97,12741005.6786424,Unchanged
98,172958779.122105,Unchanged
99,86479389.5610527,Unchanged
100,86479389.5610527,Unchanged
101,39832033.2725434,Unchanged
102,39832033.2725434,Unchanged
103,39832033.2725434,Unchanged
104,16713452.3998483,Unchanged
105,5325049.20359559,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0384615384615385,Downregulated
109,0.0384615384615385,Downregulated
110,0.0384615384615385,Downregulated
111,0.0416666666666667,Downregulated
112,0.0416666666666667,Downregulated
113,0.0416666666666667,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.911743957793291,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1023742.22222222,Unchanged
122,8156683.67852481,Unchanged
123,8347149.28887989,Unchanged
124,1024369.58092953,Unchanged
125,1968193.87453573,Unchanged
126,963346.89605487,Unchanged
127,5651974.48133548,Unchanged
128,0,Unchanged
129,0,Unchanged
130,7690453.71781418,Unchanged
131,1476256.43218497,Unchanged
132,3506384.0250706,Unchanged
133,2.05128068245615,Upregulated
134,0,Unchanged
135,8277329.02180731,Unchanged
136,5640115.8915032,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,8356726.19992417,Unchanged
142,4543895.51596741,Unchanged
143,13405842.2083335,Unchanged
144,4727927.93623108,Unchanged
145,9455855.84196685,Unchanged
146,4727928.02517575,Unchanged
147,6055228.73385578,Unchanged
148,13405842.2083335,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,1.01,Unchanged
154,0.336666666666667,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,13025883.177781,Unchanged
158,0.563148300715246,Unchanged
159,0,Unchanged
160,2876148.75532161,Unchanged
161,289152.128902726,Unchanged
162,2309296.53314919,Unchanged
163,3680654.02142245,Unchanged
164,0.523074618306763,Unchanged
165,41978197.093865,Unchanged
166,41336944.6041819,Unchanged
167,20989098.5469325,Unchanged
168,7690453.71781418,Unchanged
169,11198713.5658501,Unchanged
170,15895125.4880651,Unchanged
171,2876148.72992963,Unchanged
172,72287.3608073344,Unchanged
173,79934005.7963912,Unchanged
174,0,Unchanged
175,0,Unchanged
176,43921764.9349552,Unchanged
177,0,Unchanged
178,16754342.962283,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,67954.9557756552,Unchanged
188,72064.3287138036,Unchanged
189,13214359.7287565,Unchanged
190,13214359.7287388,Unchanged
191,131765294.804866,Unchanged
192,2876148.80046292,Unchanged
193,1119615.35755336,Unchanged
194,7211890.75955325,Unchanged
195,3851543.57793436,Unchanged
196,6611405.0712463,Unchanged
197,6611405.0712463,Unchanged
198,0,Unchanged
199,4727927.82759152,Unchanged
200,0,Unchanged
201,4727927.97307959,Unchanged
202,4727927.99213916,Unchanged
203,274244.916493156,Unchanged
204,5752297.98650786,Unchanged
205,3302750.8371981,Unchanged
206,5268813.63233007,Unchanged
207,0,Unchanged
208,41998726.9808165,Unchanged
209,4727927.9133596,Unchanged
210,15208153.2755188,Unchanged
211,1.99999994043123,Unchanged
212,0,Unchanged
213,5752297.49371524,Unchanged
214,0,Unchanged
215,0,Unchanged
216,4794180.45310009,Unchanged
217,1.72963474551794,Unchanged
218,16589515.6051162,Unchanged
219,893400.968345617,Unchanged
220,439059.082856629,Unchanged
221,427318.29840294,Unchanged
222,640200.611732647,Unchanged
223,292892.692237386,Unchanged
224,0,Unchanged
225,34544.358894906,Unchanged
226,10992410.2074367,Unchanged
227,0,Unchanged
228,0,Unchanged
229,32097028.7104807,Unchanged
230,86479389.5610527,Unchanged
231,86580633.429724,Unchanged
232,79934004.835558,Unchanged
233,2806749.47988263,Unchanged
234,53633804.0684286,Unchanged
235,61237878.8282768,Unchanged
236,50575408.8836493,Unchanged
237,62254026.8633901,Unchanged
238,69130420.1229305,Unchanged
239,2788160.27319982,Unchanged
240,0.278489813350025,Downregulated
241,0,Unchanged
242,1.26085166157596,Unchanged
243,0,Unchanged
244,2806749.59756539,Unchanged
245,5613498.95976525,Unchanged
246,1.99999934781517,Unchanged
247,50575407.3978034,Unchanged
248,107267608.136857,Unchanged
249,61237878.8282768,Unchanged
250,42341701.083881,Unchanged
251,53633805.644146,Unchanged
252,16751880.4536401,Unchanged
253,30973093.5667205,Unchanged
254,30973093.5667438,Unchanged
255,152892068.274126,Unchanged
256,39777.4406919296,Unchanged
257,0.333333333333333,Downregulated
258,0,Unchanged
259,1,Unchanged
260,11956092.9567662,Unchanged
261,0,Unchanged
262,0,Unchanged
263,31257276.3981218,Unchanged
264,0.0386727946509256,Downregulated
265,0.0793286091307523,Downregulated
266,182842.182000844,Unchanged
267,0,Unchanged
268,119839.52923818,Unchanged
269,181843.377984289,Unchanged
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.5,Downregulated
278,0,Unchanged
279,0,Unchanged
280,315195.198205306,Unchanged
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0,Unchanged
288,0.967131039648655,Unchanged
289,0,Unchanged
290,0,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.956959864303198,Unchanged
296,0.957113267280973,Unchanged
297,0,Unchanged
298,62438.7892408062,Unchanged
299,260285845.43118,Unchanged
300,0,Unchanged
301,0,Unchanged
302,0,Unchanged
303,0,Unchanged
304,43448668.9769136,Unchanged
305,21724334.4884568,Unchanged
306,0,Unchanged
307,1383964.93549713,Unchanged
308,24745407.6478041,Unchanged
309,11568522.7577021,Unchanged
310,17341683.4943825,Unchanged
311,22630471.8571691,Unchanged
