Reaction,FSR,RegulationStatus
1,607998.415258809,Unchanged
2,558845.634508808,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,9905409.07420796,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,8658439.95081053,Unchanged
9,9599656.27310609,Unchanged
10,0,Unchanged
11,4321001.576568,Unchanged
12,137747.707270157,Unchanged
13,0,Unchanged
14,2480947.66163131,Unchanged
15,0,Unchanged
16,8321996.43981741,Unchanged
17,3576843.10812937,Unchanged
18,585027.057876113,Unchanged
19,291690.605356464,Unchanged
20,17498073.8642502,Unchanged
21,11820187.2947456,Unchanged
22,2125920.06026297,Unchanged
23,6922267.70738029,Unchanged
24,16880709.3913184,Unchanged
25,6867238.18150792,Unchanged
26,4171864.57164378,Unchanged
27,0.421656536421417,Downregulated
28,2962388.07066824,Unchanged
29,0,Unchanged
30,105535.647134695,Unchanged
31,0,Unchanged
32,6449570.9538058,Unchanged
33,4084018.5804343,Unchanged
34,4696949.27921595,Unchanged
35,0,Unchanged
36,1610464.57501748,Unchanged
37,1896660.73875486,Unchanged
38,6710960.58542007,Unchanged
39,5768256.77698052,Unchanged
40,905.055146676663,Upregulated
41,147633.333674508,Unchanged
42,484540.913373442,Unchanged
43,0,Unchanged
44,252780.770094424,Unchanged
45,4524.66011438039,Upregulated
46,5096938.42521943,Unchanged
47,9374685.40955984,Unchanged
48,6525072.87110316,Unchanged
49,11838957.0044271,Unchanged
50,9953401.94905564,Unchanged
51,25498095.3595828,Unchanged
52,13124494.1653666,Unchanged
53,0,Unchanged
54,3143639.56796196,Unchanged
55,1002662.79768551,Unchanged
56,1529266.33708763,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,1983567.95427219,Unchanged
61,1981858.63131172,Unchanged
62,29724532.172068,Unchanged
63,10105996.3672419,Unchanged
64,991631.144972606,Unchanged
65,991631.134870122,Unchanged
66,1183721.14354395,Unchanged
67,2220401.80655392,Unchanged
68,0,Unchanged
69,957569.915535805,Unchanged
70,957569.915537335,Unchanged
71,268262.334683738,Unchanged
72,0.853278382124427,Unchanged
73,628215.854113014,Unchanged
74,1461399.88102386,Unchanged
75,0,Unchanged
76,504586.198352244,Unchanged
77,0,Unchanged
78,2613848.10940472,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.849590846154579,Unchanged
82,926369.380827473,Unchanged
83,200585.864372189,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,312489.795001449,Unchanged
89,2762532.3799717,Unchanged
90,0,Unchanged
91,1.17250200001287,Unchanged
92,4.02009769299222,Upregulated
93,47331036.4303375,Unchanged
94,5001964.45780768,Unchanged
95,5001964.4101639,Unchanged
96,0,Unchanged
97,4918061.34685075,Unchanged
98,172958779.122105,Unchanged
99,78514053.5719302,Unchanged
100,45242163.729521,Unchanged
101,32750743.6336728,Unchanged
102,38571667.4596952,Unchanged
103,38571667.4596793,Unchanged
104,16713452.3998483,Unchanged
105,1461242.04192944,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0123852765868349,Downregulated
109,0.0123852765868349,Downregulated
110,0.0123852765868349,Downregulated
111,0.0134638736000281,Downregulated
112,0.0134638736000281,Downregulated
113,0.0134638736000281,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.363005374200272,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1023742.22222222,Unchanged
122,8156683.67852481,Unchanged
123,8347149.28887989,Unchanged
124,1024369.58092953,Unchanged
125,1305407.41108992,Unchanged
126,963346.89605487,Unchanged
127,5651974.48133548,Unchanged
128,0,Unchanged
129,0,Unchanged
130,7690453.71781418,Unchanged
131,484394.544055147,Unchanged
132,915320.730613963,Unchanged
133,2.05128068245615,Upregulated
134,0,Unchanged
135,8277329.02180731,Unchanged
136,4639035.78169514,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,8356726.19992417,Unchanged
142,1532722.11809889,Unchanged
143,11503243.63291,Unchanged
144,3592539.59885395,Unchanged
145,3649984.96115673,Unchanged
146,1981858.65643862,Unchanged
147,2337334.04826744,Unchanged
148,5619477.34524751,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.851199390740839,Unchanged
154,0.278741972059434,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,5060807.6760666,Unchanged
