Reaction,FSR,RegulationStatus
1,1213725.44179218,Unchanged
2,1213726.25823545,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,18721464.4856441,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,19153255.9268482,Unchanged
9,22796136.6515924,Unchanged
10,0,Unchanged
11,11134654.9631777,Unchanged
12,206955.105947388,Unchanged
13,0,Unchanged
14,3143418.80905972,Unchanged
15,0,Unchanged
16,15233341.5905513,Unchanged
17,6396246.94634157,Unchanged
18,1467488.27614245,Unchanged
19,811846.396394731,Unchanged
20,29744637.3740531,Unchanged
21,20092907.7964658,Unchanged
22,5478217.48461604,Unchanged
23,17363892.0937759,Unchanged
24,29157598.0809203,Unchanged
25,9679638.70123149,Unchanged
26,10918310.9855869,Unchanged
27,0.562223015306416,Unchanged
28,5096369.28251066,Unchanged
29,0,Unchanged
30,327316.56253474,Unchanged
31,0,Unchanged
32,19655920.4105786,Unchanged
33,6942344.20587669,Unchanged
34,13909106.0702163,Unchanged
35,0,Unchanged
36,5163999.53948068,Unchanged
37,4000389.09413931,Unchanged
38,6710960.58542007,Unchanged
39,12166262.0157114,Unchanged
40,926.142910343457,Upregulated
41,444073.665053419,Unchanged
42,602298.490961407,Unchanged
43,0,Unchanged
44,452017.989849162,Unchanged
45,13153.0710030471,Upregulated
46,6707777.85651466,Unchanged
47,12337466.5251777,Unchanged
48,15844233.7206766,Unchanged
49,23631568.3226169,Unchanged
50,11815784.1613085,Unchanged
51,26577367.6503298,Unchanged
52,15344738.3035406,Unchanged
53,0,Unchanged
54,3705857.36531484,Unchanged
55,1181981.97770458,Unchanged
56,1851259.0915162,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,4727927.97466789,Unchanged
61,4386260.66968278,Unchanged
62,41747726.6311871,Unchanged
63,13695669.6191488,Unchanged
64,2882646.32678478,Unchanged
65,2882646.29741712,Unchanged
66,2874038.88130274,Unchanged
67,5391067.95469618,Unchanged
68,0,Unchanged
69,2322406.3499108,Unchanged
70,2322406.34991345,Unchanged
71,650620.01155582,Unchanged
72,1.94153436052867,Unchanged
73,2134536.35362083,Unchanged
74,4795163.40730063,Unchanged
75,0,Unchanged
76,1655654.48963391,Unchanged
77,0,Unchanged
78,4727927.96418512,Unchanged
79,0,Unchanged
80,0,Unchanged
81,1.55516860230419,Unchanged
82,1092044.02054504,Unchanged
83,200585.864372189,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,961229.993999513,Unchanged
89,3743790.26207973,Unchanged
90,0,Unchanged
91,1.38791641741167,Unchanged
92,4.02009769299222,Upregulated
93,47331036.4303375,Unchanged
94,5001964.45780768,Unchanged
95,5001964.4101639,Unchanged
96,0,Unchanged
97,11940903.1352654,Unchanged
98,172958779.122105,Unchanged
99,86479389.5610527,Unchanged
100,86479389.5610527,Unchanged
101,38797810.6562595,Unchanged
102,39832033.2725434,Unchanged
103,39832033.2725434,Unchanged
104,16713452.3998483,Unchanged
105,4572413.33406899,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0380187588334288,Downregulated
109,0.0380187588334288,Downregulated
110,0.0380187588334288,Downregulated
111,0.0411854414786346,Downregulated
112,0.0411854414786346,Downregulated
113,0.0411854414786346,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.79068774749052,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1023742.22222222,Unchanged
122,8156683.67852481,Unchanged
123,8347149.28887989,Unchanged
124,1024369.58092953,Unchanged
125,1968193.87453573,Unchanged
126,963346.89605487,Unchanged
127,5651974.48133548,Unchanged
128,0,Unchanged
129,0,Unchanged
130,7690453.71781418,Unchanged
131,1476256.43218497,Unchanged
132,3070200.13716585,Unchanged
133,2.05128068245615,Upregulated
134,0,Unchanged
135,8277329.02180731,Unchanged
136,5493042.4452335,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,8356726.19992417,Unchanged
142,4543895.51596741,Unchanged
143,13405842.2083335,Unchanged
144,4727927.93623108,Unchanged
145,8862052.29931225,Unchanged
146,4386260.72935876,Unchanged
147,5674975.86898135,Unchanged
148,12437058.8784942,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,1.01,Unchanged
154,0.330484591274252,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,11915413.3481301,Unchanged
158,0.483553616277967,Downregulated
159,0.937202559706473,Unchanged
160,2695533.97557958,Unchanged
161,270994.115352471,Unchanged
162,2117219.75990534,Unchanged
163,3374513.97496494,Unchanged
164,0.446356024396284,Downregulated
165,41978197.093865,Unchanged
166,41336944.6041819,Unchanged
167,20989098.5469325,Unchanged
168,7690453.71781418,Unchanged
169,11198713.5658501,Unchanged
170,15895125.4880651,Unchanged
171,2876148.72992963,Unchanged
172,72287.3608073344,Unchanged
173,79934005.7963912,Unchanged
174,0,Unchanged
175,0,Unchanged
176,43921764.9349552,Unchanged
177,0,Unchanged
178,16754342.962283,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,58491.2905148186,Unchanged
188,72064.3287138036,Unchanged
189,11628749.8884777,Unchanged
190,11628749.8885453,Unchanged
191,131765294.804866,Unchanged
192,2695534.01789039,Unchanged
193,966484.411079117,Unchanged
194,6759002.48015852,Unchanged
195,3609676.50006089,Unchanged
196,6133626.88168523,Unchanged
197,6196225.75603224,Unchanged
198,0.927734243415371,Unchanged
199,4727927.82759152,Unchanged
200,0,Unchanged
201,4727927.97307959,Unchanged
202,4431026.21634044,Unchanged
203,237501.134565227,Unchanged
204,5752297.98650786,Unchanged
205,2927730.78246021,Unchanged
206,4937945.62283515,Unchanged
207,1.77733326145693,Unchanged
208,41998726.9808165,Unchanged
209,4431026.14250744,Unchanged
210,15208153.2755188,Unchanged
211,1.99999994043123,Unchanged
212,0,Unchanged
213,5752297.49371524,Unchanged
214,0,Unchanged
215,0,Unchanged
216,4794180.45310009,Unchanged
217,1.72963474551794,Unchanged
218,16589515.6051162,Unchanged
219,773701.647116039,Unchanged
220,380233.229672733,Unchanged
221,369958.167532598,Unchanged
222,554425.487924846,Unchanged
223,253650.450851549,Unchanged
224,0,Unchanged
225,34544.358894906,Unchanged
226,10992410.2074367,Unchanged
227,0,Unchanged
228,0,Unchanged
229,28478021.2366651,Unchanged
230,86479389.5610527,Unchanged
231,83211766.0578507,Unchanged
232,76833049.5578299,Unchanged
233,2697864.59877886,Unchanged
234,50265738.4597052,Unchanged
235,57512247.273593,Unchanged
236,43532085.3372888,Unchanged
237,56017124.0913049,Unchanged
238,62204607.7592407,Unchanged
239,2788160.27319982,Unchanged
240,0.242637863616864,Downregulated
241,0,Unchanged
242,1.08287807869638,Unchanged
243,0,Unchanged
244,0,Unchanged
245,5613498.95976525,Unchanged
246,1.99999934781517,Unchanged
247,43532084.0583713,Unchanged
248,107267608.136857,Unchanged
249,61237878.8282768,Unchanged
250,36918370.3058739,Unchanged
251,53633805.644146,Unchanged
252,16142067.2117178,Unchanged
253,29645116.8380043,Unchanged
254,29645116.8379706,Unchanged
255,152892068.274126,Unchanged
256,34280.6284251739,Unchanged
257,0.333333333333333,Downregulated
258,0.937202559418471,Unchanged
259,1,Unchanged
260,10291042.037593,Unchanged
261,0,Unchanged
262,0,Unchanged
263,31257276.3981218,Unchanged
264,0.0335671113350626,Downregulated
265,0.0688554390439919,Downregulated
266,158702.879772905,Unchanged
267,0,Unchanged
268,118455.454038388,Unchanged
269,179749.947859059,Unchanged
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.5,Downregulated
278,0,Unchanged
279,0,Unchanged
280,275333.741831543,Unchanged
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.99402360522501,Unchanged
288,0.902107108617286,Unchanged
289,0,Unchanged
290,0.994023605251624,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.835937037497577,Unchanged
296,0.836071040223886,Unchanged
297,0,Unchanged
298,53150.7515848438,Unchanged
299,221782364.158462,Unchanged
300,0,Unchanged
301,0,Unchanged
302,0,Unchanged
303,0,Unchanged
304,43448668.9769136,Unchanged
305,20818730.9085682,Unchanged
306,0,Unchanged
307,1250873.91716025,Unchanged
308,24745407.6478041,Unchanged
309,11568522.7577021,Unchanged
