Reaction,FSR,RegulationStatus
1,694329.344630232,Unchanged
2,624075.416214574,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,10703116.2791954,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,9333927.38505632,Unchanged
9,10247483.1389415,Unchanged
10,0,Unchanged
11,4698827.55339117,Unchanged
12,147358.269928055,Unchanged
13,0,Unchanged
14,2694981.79431878,Unchanged
15,0,Unchanged
16,8595642.57017181,Unchanged
17,3974894.69501293,Unchanged
18,639334.745549903,Unchanged
19,318429.317442337,Unchanged
20,18250768.916897,Unchanged
21,12328639.6548621,Unchanged
22,2311809.33022817,Unchanged
23,7564857.39205498,Unchanged
24,17994079.1361509,Unchanged
25,7351419.18071683,Unchanged
26,4583719.45355443,Unchanged
27,0.442684605778616,Downregulated
28,3297713.53558243,Unchanged
29,0,Unchanged
30,114891.183053136,Unchanged
31,0,Unchanged
32,7132587.58278212,Unchanged
33,4259695.55333307,Unchanged
34,5443383.41436356,Unchanged
35,0,Unchanged
36,1770781.29967452,Unchanged
37,2077041.82185694,Unchanged
38,6710960.58542007,Unchanged
39,6316844.29386333,Unchanged
40,3372204.96830357,Unchanged
41,160803.460172344,Unchanged
42,518980.345384628,Unchanged
43,0,Unchanged
44,266966.750220737,Unchanged
45,5059.49726318944,Upregulated
46,5281594.69122356,Unchanged
47,9714319.56996629,Unchanged
48,7007109.36290406,Unchanged
49,12490377.4291808,Unchanged
50,10654490.7195817,Unchanged
51,25680567.3303975,Unchanged
52,13388656.7497012,Unchanged
53,0,Unchanged
54,3163340.29946491,Unchanged
55,1008946.33946509,Unchanged
56,1544889.20391274,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2262830.0365196,Unchanged
61,2088173.92956985,Unchanged
62,30320176.197875,Unchanged
63,10274665.7220171,Unchanged
64,1108846.83877129,Unchanged
65,1108846.82747464,Unchanged
66,1265260.36610054,Unchanged
67,2373351.54315353,Unchanged
68,0,Unchanged
69,1037931.00783191,Unchanged
70,1037931.00865984,Unchanged
71,290775.42107809,Unchanged
72,0.922946356153687,Unchanged
73,732082.429040224,Unchanged
74,1688692.23492,Unchanged
