Reaction,FSR,RegulationStatus
1,687400.407290281,Unchanged
2,621638.905374284,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,10619092.0395675,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,9329240.53199125,Unchanged
9,10190166.1346187,Unchanged
10,0,Unchanged
11,4689514.05826452,Unchanged
12,146564.642438229,Unchanged
13,0,Unchanged
14,2673078.28604685,Unchanged
15,0,Unchanged
16,8562988.08001761,Unchanged
17,3948981.05537398,Unchanged
18,635755.229660816,Unchanged
19,316646.491466245,Unchanged
20,18164720.2282346,Unchanged
21,12270515.9960696,Unchanged
22,2307227.12037173,Unchanged
23,7522503.16772725,Unchanged
24,17897168.4132112,Unchanged
25,7308907.77649645,Unchanged
26,4563865.16775219,Unchanged
27,0.442811194628782,Downregulated
28,3276393.1120997,Unchanged
29,0,Unchanged
30,113770.035856457,Unchanged
31,0,Unchanged
32,7085730.26905159,Unchanged
33,4239612.62805789,Unchanged
34,5383560.6548706,Unchanged
35,0,Unchanged
36,1757048.0104912,Unchanged
37,2057087.23536531,Unchanged
38,6710960.58542007,Unchanged
39,6256157.01521077,Unchanged
40,908.309854094166,Upregulated
41,159203.635983158,Unchanged
42,516339.264369107,Unchanged
43,0,Unchanged
44,265811.130929029,Unchanged
45,5008.92043765829,Upregulated
46,5262062.68487641,Unchanged
47,9678394.7853905,Unchanged
48,6968894.65094992,Unchanged
49,12423712.4004237,Unchanged
50,10571654.6553552,Unchanged
51,25691733.9377078,Unchanged
52,13395874.4808337,Unchanged
53,0,Unchanged
54,3165017.38956168,Unchanged
55,1009481.24679528,Unchanged
56,1544857.44953063,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2241986.27104309,Unchanged
61,2079446.08957763,Unchanged
62,30269019.9310255,Unchanged
63,10283527.8025477,Unchanged
64,1097762.34829746,Unchanged
65,1097762.33711374,Unchanged
66,1258268.29657287,Unchanged
67,2360235.9508004,Unchanged
68,0,Unchanged
69,1032442.46882952,Unchanged
70,1032442.46884962,Unchanged
71,289237.811904184,Unchanged
72,0.918205342148065,Unchanged
73,722824.708033644,Unchanged
74,1671023.06928165,Unchanged
75,0,Unchanged
76,576964.038957629,Unchanged
77,0,Unchanged
78,2721421.71953816,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.874193631432632,Unchanged
82,932669.008673047,Unchanged
83,200585.864372189,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,344901.274005095,Unchanged
89,2811061.62149062,Unchanged
90,0,Unchanged
91,1.18578155828066,Unchanged
92,4.02009769299222,Upregulated
93,47331036.4303375,Unchanged
94,5001964.45780768,Unchanged
95,5001964.4101639,Unchanged
96,0,Unchanged
97,5227785.86787756,Unchanged
98,172958779.122105,Unchanged
99,81392828.8878437,Unchanged
100,47041689.3675581,Unchanged
101,32955033.441464,Unchanged
102,38814372.5058487,Unchanged
103,38814372.5058655,Unchanged
104,16713452.3998483,Unchanged
105,1606091.96412814,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0137192304218796,Downregulated
109,0.0137192304218796,Downregulated
110,0.0137192304218796,Downregulated
111,0.0149247288176019,Downregulated
112,0.0149247288176019,Downregulated
113,0.0149247288176019,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.382232060399754,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1023742.22222222,Unchanged
122,8156683.67852481,Unchanged
123,8347149.28887989,Unchanged
124,1024369.58092953,Unchanged
125,1369467.91970011,Unchanged
126,963346.89605487,Unchanged
127,5651974.48133548,Unchanged
128,0,Unchanged
129,0,Unchanged
130,7690453.71781418,Unchanged
131,532173.241864904,Unchanged
132,1035575.83346878,Unchanged
133,2.05128068245615,Upregulated
134,0,Unchanged
135,8277329.02180731,Unchanged
136,4667907.1509372,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,8356726.19992417,Unchanged
142,1729380.95934364,Unchanged
143,11918357.3557248,Unchanged
144,3708926.2200095,Unchanged
145,3879849.89456251,Unchanged
146,2079446.11787987,Unchanged
147,2484532.22608727,Unchanged
148,5896182.51136406,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.872517396774996,Unchanged
154,0.280567928478583,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,5357329.26162969,Unchanged
158,0.169851568659,Downregulated
159,0.410311870167,Downregulated
160,1180117.97510516,Unchanged
161,118642.550772906,Unchanged
162,813506.900113858,Unchanged
163,1296601.54092893,Unchanged
164,0.180597559623529,Downregulated
165,41978197.093865,Unchanged
166,41336944.6041819,Unchanged
167,20989098.5469325,Unchanged
168,7690453.71781418,Unchanged
169,11198713.5658501,Unchanged
170,15895125.4880651,Unchanged
171,2876148.72992963,Unchanged
172,72287.3608073344,Unchanged
173,79934005.7963912,Unchanged
174,0,Unchanged
175,0,Unchanged
176,43921764.9349552,Unchanged
177,0,Unchanged
178,16754342.962283,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,20383.1001161347,Unchanged
188,55468.014528955,Unchanged
189,3821391.73909169,Unchanged
190,3821391.73919379,Unchanged
191,101419931.56839,Unchanged
192,1180117.99317699,Unchanged
193,457077.230988537,Unchanged
194,2959124.384974,Unchanged
195,1580334.04846579,Unchanged
196,2907840.50347792,Unchanged
197,2712737.97922552,Unchanged
198,0.439821864209232,Downregulated
199,4727927.82759152,Unchanged
200,0,Unchanged
201,4727927.97307959,Unchanged
202,1939924.97643743,Unchanged
203,85145.8826477741,Unchanged
204,5752297.98650786,Unchanged
205,1459388.60377177,Unchanged
206,2161856.77504955,Unchanged
207,1.49286064694868,Unchanged
208,41998726.9808165,Unchanged
209,1939924.94415145,Unchanged
210,15208153.2755188,Unchanged
211,1.99999994043123,Unchanged
212,0,Unchanged
213,5752297.49371524,Unchanged
214,0,Unchanged
215,0,Unchanged
216,4794180.45310009,Unchanged
217,1.72963474551794,Unchanged
218,16589515.6051162,Unchanged
219,277377.662940286,Unchanged
220,136316.375970411,Unchanged
221,134394.485972842,Unchanged
222,198765.566400122,Unchanged
223,90935.5298924146,Unchanged
224,0,Unchanged
225,0,Unchanged
226,9507685.59830855,Unchanged
227,1.93273808798328,Unchanged
228,0,Unchanged
229,11124536.3665947,Unchanged
230,86479389.5610527,Unchanged
231,43229574.9531805,Unchanged
232,39929569.6003391,Unchanged
233,1402060.34885665,Unchanged
234,22006586.4516028,Unchanged
235,25501750.8414687,Unchanged
236,15170102.1793103,Unchanged
237,20127237.3052725,Unchanged
238,22350431.6048483,Unchanged
239,2788160.27319982,Unchanged
240,0.115587120152768,Downregulated
241,0,Unchanged
242,0.379393864137898,Downregulated
243,0,Unchanged
244,0,Unchanged
245,5613498.95976525,Unchanged
246,1.99999934781517,Unchanged
247,15170101.7333772,Unchanged
248,107267608.136857,Unchanged
249,61237878.8282768,Unchanged
250,15785383.6014166,Unchanged
251,53633805.644146,Unchanged
252,13814695.4015851,Unchanged
253,22972779.8469842,Unchanged
254,22972779.8468929,Unchanged
255,152892068.274126,Unchanged
256,11935.2010932625,Upregulated
257,0.137192304210728,Downregulated
258,0.410311870166499,Downregulated
259,0.830704358553991,Unchanged
260,3586232.04080737,Unchanged
261,0,Unchanged
262,0,Unchanged
263,31257276.3981218,Unchanged
264,0.01166739449602,Downregulated
265,0.0239330564523066,Downregulated
266,55162.5991132214,Unchanged
267,0,Unchanged
268,42925.7394124163,Unchanged
269,64863.5312847447,Unchanged
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.5,Downregulated
278,0,Unchanged
279,0,Unchanged
280,101918.860623923,Unchanged
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.720712784777138,Unchanged
288,0.666323602381379,Unchanged
289,0,Unchanged
290,0.72071278477878,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.309434469776019,Downregulated
296,0.30948407286896,Downregulated
297,0,Unchanged
298,19388.6537397957,Upregulated
299,80471863.3417889,Unchanged
300,0,Unchanged
301,0,Unchanged
302,0,Unchanged
303,0,Unchanged
304,43448668.9769136,Unchanged
305,12778704.6170856,Unchanged
306,0,Unchanged
307,439034.243568014,Unchanged
308,24745407.6478041,Unchanged
309,11568522.7577021,Unchanged
310,5201640.80477262,Unchanged
311,22630471.8571691,Unchanged
312,13944828.7057887,Unchanged
313,33768069.3789287,Unchanged
314,3272109.25187034,Unchanged
315,11821676.6271488,Unchanged
316,28842886.2228829,Unchanged
317,9455855.90295748,Unchanged
318,15380907.4356284,Unchanged
319,5752297.4843108,Unchanged
320,5752297.4843108,Unchanged
321,5752297.4843108,Unchanged
322,13730015159.9992,Unchanged
323,2255448.15783189,Unchanged
324,882310.109005888,Unchanged
325,3833738.75184016,Unchanged
326,0,Unchanged
327,13802852.6243763,Unchanged
328,28014701.1247645,Unchanged
329,0,Unchanged
330,0,Unchanged
331,2,Upregulated
332,0,Unchanged
333,5001964.51682907,Unchanged
334,0,Unchanged
335,32218859.3014582,Unchanged
336,107666352.237665,Unchanged
337,31790250.9761303,Unchanged
338,31790250.9761303,Unchanged
339,4.46735592808476,Upregulated
340,32218859.3014582,Unchanged
341,354741.693939064,Unchanged
342,8470890.63789335,Unchanged
343,2841598.32292425,Unchanged
344,4450665.67901081,Unchanged
345,32773459.1613,Unchanged
346,0,Unchanged
347,7734346.40821523,Unchanged
348,3847934.21802977,Unchanged
349,5752297.51816678,Unchanged
350,35888783.3312288,Unchanged
351,1905622.94051273,Unchanged
352,2092096451.97709,Unchanged
353,0,Unchanged
354,9455855.95378301,Unchanged
355,187382635.005995,Unchanged
356,36675.5073114936,Unchanged
357,0,Unchanged
358,0,Unchanged
359,1307177.91720943,Unchanged
360,2233574.3681888,Unchanged
361,2722414.71195289,Unchanged
362,0,Unchanged
363,3480974.68960455,Unchanged
364,0,Unchanged
365,0,Unchanged
366,1.46453593928783,Unchanged
367,0,Unchanged
368,0,Unchanged
369,1.33432402284096,Unchanged
370,2.12555666062711,Upregulated
371,4765784.36088282,Unchanged
372,2096373.14455447,Unchanged
373,1337275.06148443,Unchanged
374,1109815.73918629,Unchanged
375,0.678088793910262,Unchanged
376,4725616.85607058,Unchanged
377,8852354.54993291,Unchanged
378,526203.161458154,Unchanged
379,4727927.90573577,Unchanged
380,75468.1581761585,Unchanged
381,90935.5326139849,Unchanged
382,4020502.02513923,Unchanged
383,3947327.8705999,Unchanged
384,55162.5998766872,Unchanged
385,0,Unchanged
386,675527.405993729,Unchanged
387,7567740.48170751,Unchanged
388,9455855.9334528,Unchanged
389,985720.170231362,Unchanged
390,1187745.83186789,Unchanged
391,9455855.66407752,Unchanged
392,4441106.45171381,Unchanged
393,4441106.48616532,Unchanged
394,9455855.91058131,Unchanged
395,4727927.92860725,Unchanged
396,9455855.87500344,Unchanged
397,7.8794082502967,Upregulated
398,234137.546699196,Unchanged
399,7.8794082192011,Upregulated
400,291569.266170375,Unchanged
401,251593.687883594,Unchanged
402,56766.4617823093,Unchanged
403,2951406.71257901,Unchanged
404,4055142.41389878,Unchanged
405,25.2229704444264,Upregulated
406,23.8934562458641,Upregulated
407,7764463.64855538,Unchanged
408,14733910.8421957,Unchanged
409,0,Unchanged
410,3920981.9633673,Unchanged
411,2709757.81549122,Unchanged
412,3953375.04339014,Unchanged
413,1792930.09965344,Unchanged
414,996581.946471362,Unchanged
415,2717245.35903177,Unchanged
416,4155465.00536162,Unchanged
417,2507411.18338704,Unchanged
418,5201640.84814794,Unchanged
419,1928722.43536258,Unchanged
420,55755.647932639,Unchanged
421,1889181.35754049,Unchanged
422,31918.1115185895,Unchanged
423,4082842.65182773,Unchanged
424,0.0168493319808574,Downregulated
425,4.16805426774953,Upregulated
426,4.16805424078855,Upregulated
427,16911650.5754432,Unchanged
428,1564263.91881976,Unchanged
429,31668.4597305996,Unchanged
430,32.2131688650786,Upregulated
431,48103.1318681566,Unchanged
432,9253940.26839746,Unchanged
433,16465055.5218459,Unchanged
434,2799862.47788567,Unchanged
435,75652.0588642518,Unchanged
436,3163951.92947035,Unchanged
437,284249.885464768,Unchanged
438,4909722.74450997,Unchanged
439,92753.0840723247,Unchanged
440,4155465.05026826,Unchanged
441,136591.411860563,Unchanged
442,0,Unchanged
443,0.5,Downregulated
444,488518.376182113,Unchanged
445,46918366.7447489,Unchanged
446,2396790.57771027,Unchanged
447,23220432.4766617,Unchanged
448,382392.879898211,Unchanged
449,462718.575852245,Unchanged
450,0.68712465855307,Unchanged
451,0,Unchanged
452,0,Unchanged
453,0,Unchanged
454,2690183.09300033,Unchanged
455,2753586.78845937,Unchanged
456,4052653.08326567,Unchanged
457,2753586.78842006,Unchanged
458,3538869.34641337,Unchanged
459,2835787.64785055,Unchanged
460,3538869.34641842,Unchanged
461,69014.263225401,Unchanged
462,3538869.34645869,Unchanged
463,2838301.82796248,Unchanged
464,2988037.74532355,Unchanged
465,3711236.39750984,Unchanged
466,2988037.74532355,Unchanged
467,3261920.88366099,Unchanged
468,2988037.74532355,Unchanged
469,2753586.78842006,Unchanged
470,22088391.1701901,Unchanged
471,0,Unchanged
472,287594.531283694,Unchanged
473,604217.619461043,Unchanged
474,8612076.27790922,Unchanged
475,0,Unchanged
476,10574018.623912,Unchanged
477,0,Unchanged
478,20989098.5469325,Unchanged
479,59143653.2619119,Unchanged
480,44252167.7558629,Unchanged
481,26786239.5417064,Unchanged
482,25455630.8591376,Unchanged
483,20417622.6278926,Unchanged
484,157750626.821954,Unchanged
485,25110461.6023677,Unchanged
486,788753.13410977,Unchanged
487,0.251588596234485,Downregulated
488,955112.105962594,Unchanged
489,0,Unchanged
490,0,Unchanged
491,2775233.02529856,Unchanged
492,0,Unchanged
493,13405842.2083335,Unchanged
494,25772625.3625428,Unchanged
495,30856588.8103702,Unchanged
496,27693694.1873991,Unchanged
497,27739915.8070095,Unchanged
498,55030707.7992894,Unchanged
499,5660915.53143621,Unchanged
500,18860482.1729245,Unchanged
501,0,Unchanged
502,4239813.62713825,Unchanged
503,49634089.0589674,Unchanged
504,13814694.9993924,Unchanged
505,53633805.644146,Unchanged
506,22494211.5615023,Unchanged
507,76446034.1370628,Unchanged
508,20814730.3561447,Unchanged
509,546476.465072089,Unchanged
510,12406108.0513556,Unchanged
511,0,Unchanged
512,26393079.3540571,Unchanged
513,22408833.5475536,Unchanged
514,5403314.07342189,Unchanged
515,286581.366825785,Unchanged
516,13832.2745981448,Upregulated
517,4284561.66778984,Unchanged
518,0,Unchanged
519,20999363.7254696,Unchanged
520,1875747.62724413,Unchanged
521,2379519.50374711,Unchanged
522,2451725.39242021,Unchanged
523,2255051.25899493,Unchanged
524,3678093.75631009,Unchanged
525,3450713.15609407,Unchanged
526,2854247.11307442,Unchanged
527,6348231.15129389,Unchanged
528,27353656.2180118,Unchanged
529,0,Unchanged
530,57279614.0780976,Unchanged
531,107267608.136857,Unchanged
532,107267611.288292,Unchanged
533,137683915.54118,Unchanged
534,53757180.8374321,Unchanged
535,2187192.72521306,Unchanged
536,48603912.4768502,Unchanged
537,1505734.66768991,Unchanged
538,8594683.72201012,Unchanged
539,68841957.7705902,Unchanged
540,76446034.1370628,Unchanged
541,171838842.234293,Unchanged
542,343677684.468586,Unchanged
543,14668561.5286667,Unchanged
544,3305096.17464719,Unchanged
545,5056700.47072748,Unchanged
546,28344184.2795824,Unchanged
547,16201304.1571321,Unchanged
548,28344184.2795824,Unchanged
549,16201304.1570977,Unchanged
550,24552372.4865837,Unchanged
551,16201304.1570977,Unchanged
552,24552372.4865837,Unchanged
553,16201304.1570977,Unchanged
554,24552372.4865837,Unchanged
555,14668561.5286667,Unchanged
556,16201304.1571195,Unchanged
557,0,Unchanged
558,2578956.52947348,Unchanged
559,0,Unchanged
560,2206658.99784405,Unchanged
561,0.0384673934231923,Downregulated
562,1.74746230067232,Unchanged
563,0.65677591480608,Unchanged
564,0.0853623158649248,Downregulated
565,0.05174742010914,Downregulated
566,0,Unchanged
567,4444467.22005414,Unchanged
568,26756086.7975696,Unchanged
569,4727927.90668875,Unchanged
570,11299208.8257145,Unchanged
571,0,Unchanged
572,1.72963474716468,Unchanged
573,0,Unchanged
574,3423.00263367517,Upregulated
575,15780.365750993,Upregulated
576,0,Unchanged
577,0,Unchanged
578,123536.890985123,Unchanged
579,67261165.1370819,Unchanged
580,538.973390028216,Upregulated
581,189737.116253422,Unchanged
582,0,Unchanged
583,15380907.4356284,Unchanged
584,41978197.093865,Unchanged
585,0.751965995643454,Unchanged
586,2437450.7433231,Unchanged
587,3319868.60926111,Unchanged
588,0,Unchanged
589,42925.740675442,Unchanged
590,139321.856104962,Unchanged
591,73035.7277178137,Unchanged
592,244770.171930898,Unchanged
593,128068.566932029,Unchanged
594,387703.701219555,Unchanged
595,650048.001970195,Unchanged
596,324181.665536574,Unchanged
597,30022.0441346344,Unchanged
598,0,Unchanged
599,0,Unchanged
600,0,Unchanged
601,1556.86273333119,Upregulated
602,42925.7402050123,Unchanged
603,0,Unchanged
604,0,Unchanged
605,0.46612623185084,Downregulated
606,0,Unchanged
607,0,Unchanged
608,34738.7547395792,Unchanged
609,0,Unchanged
610,0,Unchanged
611,1686854.72860468,Unchanged
612,1635655.01150933,Unchanged
613,1615941.06319115,Unchanged
614,1062378.39476733,Unchanged
615,0.115060799742236,Downregulated
616,422087.326509842,Unchanged
617,0,Unchanged
618,435726.141826572,Unchanged
619,100476.27122982,Unchanged
620,0,Unchanged
621,0,Unchanged
622,312062.991295699,Unchanged
623,11420988.6167315,Unchanged
624,1165428.78748919,Unchanged
625,0,Unchanged
626,0,Unchanged
627,0,Unchanged
628,654806.522716644,Unchanged
629,47284.304664298,Unchanged
630,1163263.00360045,Unchanged
631,43169200.4012723,Unchanged
632,11279330.4111754,Unchanged
633,1323085.75666951,Unchanged
634,3704290.5709779,Unchanged
635,3704290.57108616,Unchanged
636,2954378.59420751,Unchanged
637,2682818.16493391,Unchanged
638,15421118.089843,Unchanged
639,0,Unchanged
640,0,Unchanged
641,0,Unchanged
642,299309.056900396,Unchanged
643,508985.259898707,Unchanged
644,0,Unchanged
645,2682818.16493391,Unchanged
646,1323085.75666951,Unchanged
647,1323085.75666951,Unchanged
648,22145.1180885204,Unchanged
649,0,Unchanged
650,62000.4803659842,Unchanged
651,22814.3695805512,Unchanged
652,190997.15156118,Unchanged
653,1323085.75666951,Unchanged
654,1323085.75666951,Unchanged
655,1323085.75666951,Unchanged
656,471505.53502843,Unchanged
657,0,Unchanged
658,0,Unchanged
659,0.0157939859149457,Downregulated
660,414492.483963524,Unchanged
661,0,Unchanged
662,15883322.9127415,Unchanged
663,0.841612544691334,Unchanged
664,0,Unchanged
665,568774.556825831,Unchanged
666,10105286.9966704,Unchanged
667,6367114.72570813,Unchanged
668,5177296.99339115,Unchanged
669,86479389.5610527,Unchanged
670,86479389.5610527,Unchanged
671,0,Unchanged
672,10992410.2074367,Unchanged
673,1166189.93065836,Unchanged
674,1357144.87718103,Unchanged
675,1501226.62038844,Unchanged
676,3439.65680723641,Upregulated
677,799318.912444569,Unchanged
678,5752297.62725827,Unchanged
679,11303948.962671,Unchanged
680,0,Unchanged
681,0.85728135154581,Unchanged
682,24301956.2360308,Unchanged
683,13825269.3863522,Unchanged
684,42074207.6124366,Unchanged
685,18292002.2397634,Unchanged
686,42610.7724381214,Unchanged
687,16347280.026106,Unchanged
688,1286271.3185381,Unchanged
689,0,Unchanged
690,2996298.25473437,Unchanged
691,0,Unchanged
692,0,Unchanged
693,0,Unchanged
694,0,Unchanged
695,0,Unchanged
696,8125908.54842167,Unchanged
697,534105.333953283,Unchanged
698,27769250.178537,Unchanged
699,2201410.55036423,Unchanged
700,7812955.33726618,Unchanged
701,39399.3993785888,Unchanged
