Reaction,FSR,RegulationStatus
1,699050.861643558,Unchanged
2,633106.34410886,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,10772605.9605276,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,9464664.65374397,Unchanged
9,10331462.5976591,Unchanged
10,0,Unchanged
11,4763175.86102657,Unchanged
12,148428.038833432,Unchanged
13,0,Unchanged
14,2706323.07951838,Unchanged
15,0,Unchanged
16,8618170.82204596,Unchanged
17,4003466.32236148,Unchanged
18,644174.383279031,Unchanged
19,320839.764813189,Unchanged
20,18298345.0467651,Unchanged
21,12360781.3815006,Unchanged
22,2343468.51074772,Unchanged
23,7622121.868145,Unchanged
24,18124709.7801944,Unchanged
25,7404640.86288469,Unchanged
26,4651164.37737343,Unchanged
27,0.446044797293254,Downregulated
28,3321741.78688054,Unchanged
29,0,Unchanged
30,115648.640301206,Unchanged
31,0,Unchanged
32,7183804.11644543,Unchanged
33,4270800.41739434,Unchanged
34,5462962.28072005,Unchanged
35,0,Unchanged
36,1783466.44873933,Unchanged
37,2091314.54563835,Unchanged
38,6710960.58542007,Unchanged
39,6360251.49579239,Unchanged
40,918.819833953705,Upregulated
41,161884.315960536,Unchanged
42,522907.991257594,Unchanged
43,0,Unchanged
44,268860.211531911,Unchanged
45,5093.95156108055,Upregulated
46,5297871.88302022,Unchanged
47,9744257.84657755,Unchanged
48,7067044.03940264,Unchanged
49,12557739.6483425,Unchanged
50,10704707.6064386,Unchanged
51,25728348.8120738,Unchanged
52,13443647.8503386,Unchanged
53,0,Unchanged
54,3169245.51478717,Unchanged
55,1010829.80593379,Unchanged
56,1548199.89584735,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2278628.75931154,Unchanged
61,2102368.54676566,Unchanged
62,30399866.0976065,Unchanged
63,10322745.6545789,Unchanged
64,1116397.89304958,Unchanged
65,1116397.881676,Unchanged
66,1276109.44714458,Unchanged
67,2393702.04483243,Unchanged
68,0,Unchanged
69,1046758.60280802,Unchanged
70,1046758.60279299,Unchanged
71,293248.463724389,Unchanged
72,0.930605531035002,Unchanged
73,732405.911779951,Unchanged
74,1699357.60552367,Unchanged
75,0,Unchanged
76,586747.272219165,Unchanged
77,0,Unchanged
78,2745188.7243143,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.879827225827659,Unchanged
82,933914.954864562,Unchanged
83,200585.864372189,Unchanged
