Reaction,FSR,RegulationStatus
1,394713.476401056,Unchanged
2,376306.396180614,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,6827141.91348489,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,5730310.76303317,Unchanged
9,6746223.36275511,Unchanged
10,0,Unchanged
11,2820454.59125945,Unchanged
12,92928.3132642592,Unchanged
13,0,Unchanged
14,1739789.22083492,Unchanged
15,0,Unchanged
16,7703007.76801023,Unchanged
17,2361289.6204577,Unchanged
18,379889.668863114,Unchanged
19,189496.536694194,Unchanged
20,13948251.3769234,Unchanged
21,8315932.32463918,Unchanged
22,1387655.36132484,Unchanged
23,4495002.32807249,Unchanged
24,11361384.71037,Unchanged
25,4635019.8109872,Unchanged
26,2856491.89710498,Unchanged
27,0.276718295442911,Downregulated
28,1950791.07130207,Unchanged
29,0,Unchanged
30,70413.9576385487,Unchanged
31,0,Unchanged
32,4239874.92814478,Unchanged
33,2873255.8361109,Unchanged
34,3067200.20944022,Unchanged
35,0,Unchanged
36,1035805.67481462,Unchanged
37,1243398.28576024,Unchanged
38,6710960.58542007,Unchanged
39,3781509.49285265,Unchanged
40,911.18485965628,Upregulated
41,98248.9338638763,Unchanged
42,322445.268381305,Unchanged
43,0,Unchanged
44,172827.007576633,Unchanged
45,2880.37319257451,Upregulated
46,4515503.75216134,Unchanged
47,8305265.55564133,Unchanged
48,4380242.37745522,Unchanged
49,8697789.83593398,Unchanged
50,6867633.10338014,Unchanged
51,23768221.7196783,Unchanged
52,11791759.3746314,Unchanged
53,0,Unchanged
54,2984313.38932351,Unchanged
55,951845.765845655,Unchanged
56,1355949.0709135,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,1274992.7144631,Unchanged
61,1623713.56919941,Unchanged
62,26712318.8469828,Unchanged
63,8725044.69288198,Unchanged
64,631266.812257016,Unchanged
65,631266.805825832,Unchanged
66,810448.169474174,Unchanged
67,1520223.39842512,Unchanged
68,0,Unchanged
69,647379.894223107,Unchanged
70,647379.894199575,Unchanged
71,181362.884353386,Unchanged
72,0.588722114001518,Unchanged
73,408920.115734135,Unchanged
74,942575.407502535,Unchanged
75,0,Unchanged
76,325448.597408402,Unchanged
77,0,Unchanged
78,1838956.9072797,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.786398424332527,Unchanged
82,879419.057718202,Unchanged
83,187744.875531466,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,198840.656540647,Unchanged
89,2385041.27697059,Unchanged
90,0,Unchanged
91,1.10438662902681,Unchanged
92,4.02009769299222,Upregulated
93,47331036.4303375,Unchanged
94,5001964.45780768,Unchanged
95,5001964.4101639,Unchanged
96,0,Unchanged
97,3367206.73846494,Unchanged
98,172958779.122105,Unchanged
99,69318405.7578773,Unchanged
100,34493413.532841,Unchanged
101,29113559.9512317,Unchanged
102,31137103.431823,Unchanged
103,31137103.4324503,Unchanged
104,16713452.3998483,Unchanged
105,942897.350565728,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.00787619291886635,Unchanged
109,0.00787619291886635,Unchanged
110,0.00787619291886635,Unchanged
111,0.00855165833460467,Unchanged
112,0.00855165833460467,Unchanged
113,0.00855165833460467,Unchanged
114,0,Unchanged
115,0.792843239415443,Unchanged
116,0,Unchanged
117,0.296175774323927,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1023742.22222222,Unchanged
122,8156683.67852481,Unchanged
123,8347149.28887989,Unchanged
124,1024369.58092953,Unchanged
125,1046798.81153172,Unchanged
126,963346.89605487,Unchanged
127,5651974.48133548,Unchanged
128,0,Unchanged
129,0,Unchanged
130,7690453.71781418,Unchanged
131,318435.489318244,Unchanged
132,600474.636540188,Unchanged
133,2.05128068245615,Upregulated
134,0,Unchanged
135,8277329.02180731,Unchanged
136,4049511.69988804,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,6625573.87125578,Unchanged
142,988576.907518501,Unchanged
143,9505730.47470274,Unchanged
144,3182719.64168664,Unchanged
145,2499003.79232191,Unchanged
146,1623713.59126072,Unchanged
147,1600282.38820259,Unchanged
148,4603971.9894337,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.645540632797818,Unchanged
154,0.24344357911114,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,3481038.01201115,Unchanged
158,0.099715705989388,Downregulated
159,0.264281079793317,Downregulated
160,760111.698708257,Unchanged
161,76417.4368520524,Unchanged
162,490349.948574712,Unchanged
163,792118.886173575,Unchanged
164,0.108561844754929,Downregulated
165,41978197.093865,Unchanged
166,41336944.6041819,Unchanged
167,20989098.5469325,Unchanged
168,7690453.71781418,Unchanged
169,11198713.5658501,Unchanged
170,15895125.4880651,Unchanged
171,2876148.72992963,Unchanged
172,72287.3608073344,Unchanged
173,79934005.7963912,Unchanged
174,0,Unchanged
175,0,Unchanged
176,43921764.9349552,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,11497.5126615068,Upregulated
188,40518.4109153981,Unchanged
189,2280854.29496449,Unchanged
190,2280854.29485131,Unchanged
191,74085479.6617745,Unchanged
192,760111.710811771,Unchanged
193,293062.413519447,Unchanged
