Reaction,FSR,RegulationStatus
1,555260.492635748,Unchanged
2,509466.597242744,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,7977296.30327647,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,7871751.15641978,Unchanged
9,8785650.96267368,Unchanged
10,0,Unchanged
11,3883604.86486011,Unchanged
12,135808.129366753,Unchanged
13,0,Unchanged
14,2528477.34019289,Unchanged
15,0,Unchanged
16,8341139.49926873,Unchanged
17,3357758.78976537,Unchanged
18,529793.24845603,Unchanged
19,263607.973631448,Unchanged
20,16363557.1812708,Unchanged
21,10810162.129162,Unchanged
22,1910722.16825406,Unchanged
23,6268719.78996892,Unchanged
24,16295547.2279578,Unchanged
25,6532677.37786519,Unchanged
26,3796474.47615652,Unchanged
27,0.383033034636551,Downregulated
28,2781625.73589186,Unchanged
29,0,Unchanged
30,94135.4090660915,Unchanged
31,0,Unchanged
32,5969497.76581308,Unchanged
33,3735042.59221748,Unchanged
34,4318396.15112368,Unchanged
35,0,Unchanged
36,1476275.39907543,Unchanged
37,1714677.99690756,Unchanged
38,6710960.58542007,Unchanged
39,5214798.1839359,Unchanged
40,899.495066624265,Upregulated
41,132559.681649462,Unchanged
42,452086.543612427,Unchanged
43,0,Unchanged
44,239830.26996735,Unchanged
45,3995.52050176442,Upregulated
46,4731881.4375354,Unchanged
47,8703244.2167124,Unchanged
48,5805695.6723372,Unchanged
49,10948423.7812617,Unchanged
50,8799516.40521393,Unchanged
51,24967369.6189961,Unchanged
52,12410370.5752215,Unchanged
53,0,Unchanged
54,3082129.19606826,Unchanged
55,983044.084968525,Unchanged
56,1506402.10817344,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,1815267.13794209,Unchanged
61,1883349.58729916,Unchanged
62,28715612.9714185,Unchanged
63,9867185.84877116,Unchanged
64,875664.385557892,Unchanged
65,875664.376636848,Unchanged
66,1038679.1115688,Unchanged
67,1948334.69718138,Unchanged
68,0,Unchanged
69,884548.338366233,Unchanged
70,884548.338365809,Unchanged
71,247805.40672894,Unchanged
72,0.828258572999034,Unchanged
73,562550.257867175,Unchanged
74,1334088.77415913,Unchanged
75,0,Unchanged
76,460628.73793704,Unchanged
77,0,Unchanged
78,2386495.01429413,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.851545157016343,Unchanged
82,908243.471704066,Unchanged
83,190468.868878662,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,275696.69658922,Unchanged
89,2697252.14772349,Unchanged
90,0,Unchanged
91,1.15940010334273,Unchanged
92,4.02009769299222,Upregulated
93,47331036.4303375,Unchanged
94,5001964.45780768,Unchanged
95,5001964.4101639,Unchanged
96,0,Unchanged
97,4315448.45842099,Unchanged
98,172958779.122105,Unchanged
99,73233297.8246067,Unchanged
100,40531672.9621042,Unchanged
101,32218115.0864006,Unchanged
102,37912425.905566,Unchanged
103,37912425.9055755,Unchanged
104,16713452.3998483,Unchanged
105,1281162.66332453,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0109435598221102,Downregulated
109,0.0109435598221102,Downregulated
110,0.0109435598221102,Downregulated
111,0.0119051538639433,Downregulated
112,0.0119051538639433,Downregulated
113,0.0119051538639433,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.363347954793132,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1023742.22222222,Unchanged
122,8156683.67852481,Unchanged
123,8347149.28887989,Unchanged
124,1024369.58092953,Unchanged
125,1185358.96943886,Unchanged
126,963346.89605487,Unchanged
127,5651974.48133548,Unchanged
128,0,Unchanged
129,0,Unchanged
130,7690453.71781418,Unchanged
131,448338.68318877,Unchanged
132,833016.863003337,Unchanged
133,2.05128068245615,Upregulated
134,0,Unchanged
135,8277329.02180731,Unchanged
136,4560488.09986182,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,8356726.19992417,Unchanged
142,1323992.50891157,Unchanged
143,10153699.6079811,Unchanged
144,3335231.86337022,Unchanged
145,3202751.12549158,Unchanged
146,1883349.61286523,Unchanged
147,2050939.75273968,Unchanged
148,5340159.07153298,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.794973835721657,Unchanged
154,0.273588253175577,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,4864631.10656899,Unchanged
158,0.135488809427395,Downregulated
159,0.338705578668575,Downregulated
160,974167.628517872,Unchanged
161,97937.4390606773,Unchanged
162,649476.436707451,Unchanged
163,1033768.93232819,Unchanged
164,0.150985791683108,Downregulated
165,41978197.093865,Unchanged
166,41336944.6041819,Unchanged
167,20989098.5469325,Unchanged
168,7690453.71781418,Unchanged
169,11198713.5658501,Unchanged
170,15895125.4880651,Unchanged
171,2876148.72992963,Unchanged
172,72287.3608073344,Unchanged
173,79934005.7963912,Unchanged
174,0,Unchanged
175,0,Unchanged
176,43921764.9349552,Unchanged
177,0,Unchanged
178,16754342.962283,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,16273.1788622298,Upregulated
188,53414.7870382012,Unchanged
189,3252137.32164219,Unchanged
190,3252137.32163873,Unchanged
191,97665728.4772864,Unchanged
192,974167.643800891,Unchanged
193,412302.257131539,Unchanged
194,2442707.63410871,Unchanged
195,1304539.29633574,Unchanged
196,2633624.52116941,Unchanged
197,2239319.78098033,Unchanged
198,0.398345660686156,Downregulated
199,4727927.82759152,Unchanged
200,0,Unchanged
201,4727927.97307959,Unchanged
202,1601375.58648606,Unchanged
203,70896.0635695541,Unchanged
204,5752297.98650786,Unchanged
205,1203171.01377573,Unchanged
206,1784576.05630569,Unchanged
207,1.44414291799648,Unchanged
208,41998726.9808165,Unchanged
209,1601375.09862719,Unchanged
210,15208153.2755188,Unchanged
211,1.99999994043123,Unchanged
212,0,Unchanged
213,5752297.49371524,Unchanged
214,0,Unchanged
