Reaction,FSR,RegulationStatus
1,694312.244133276,Unchanged
2,624061.730525525,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,10702882.4122642,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,9333741.97936586,Unchanged
9,10247300.2754201,Unchanged
10,0,Unchanged
11,4698720.82825746,Unchanged
12,147354.943969998,Unchanged
13,0,Unchanged
14,2694925.99019497,Unchanged
15,0,Unchanged
16,8595550.81790687,Unchanged
17,3974803.2558205,Unchanged
18,639320.493884047,Unchanged
19,318422.219524944,Unchanged
20,18250543.1172519,Unchanged
21,12328490.5267135,Unchanged
22,2311756.82427968,Unchanged
23,7564688.76080108,Unchanged
24,17993672.9973207,Unchanged
25,7351251.46315507,Unchanged
26,4583617.93032398,Unchanged
27,0.442679934089159,Downregulated
28,3297637.43209732,Unchanged
29,0,Unchanged
30,114888.48762692,Unchanged
31,0,Unchanged
32,7132422.92723955,Unchanged
33,4259643.53365652,Unchanged
34,5443253.03067834,Unchanged
35,0,Unchanged
36,1770740.72099587,Unchanged
37,2076992.05103855,Unchanged
38,6710960.58542007,Unchanged
39,6316692.92738296,Unchanged
40,3372144.79375507,Unchanged
41,160799.613926711,Unchanged
42,518969.826926176,Unchanged
43,0,Unchanged
44,266962.553721725,Unchanged
45,5059.37538898529,Upregulated
46,5281524.73152914,Unchanged
47,9714190.89465734,Unchanged
48,7006986.69367096,Unchanged
49,12490187.705351,Unchanged
50,10654301.2193179,Unchanged
51,25680509.0376317,Unchanged
52,13388588.3942709,Unchanged
53,0,Unchanged
54,3163333.08791536,Unchanged
55,1008944.03934375,Unchanged
56,1544885.09092174,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2262775.30129418,Unchanged
61,2088142.46672699,Unchanged
62,30320017.6972928,Unchanged
63,10274595.5835362,Unchanged
64,1108820.12989323,Unchanged
65,1108820.11859685,Unchanged
66,1265238.38350626,Unchanged
67,2373310.30687577,Unchanged
68,0,Unchanged
69,1037912.524587,Unchanged
70,1037912.52458309,Unchanged
71,290770.243013959,Unchanged
72,0.922930188701897,Unchanged
73,732065.131727837,Unchanged
74,1688651.6425497,Unchanged
75,0,Unchanged
76,583050.760930993,Unchanged
77,0,Unchanged
78,2737483.890175,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.877517954369413,Unchanged
82,932172.677767579,Unchanged
83,200585.864372189,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,348375.470836912,Unchanged
89,2808619.94746743,Unchanged
90,0,Unchanged
91,1.1854566934161,Unchanged
92,4.02009769299222,Upregulated
93,47331036.4303375,Unchanged
94,5001964.45780768,Unchanged
95,5001964.4101639,Unchanged
96,0,Unchanged
97,5256744.8094677,Unchanged
98,172958779.122105,Unchanged
99,81802130.4115054,Unchanged
100,47173898.2738743,Unchanged
101,32878362.1670183,Unchanged
102,38725272.1831692,Unchanged
103,38725272.1831746,Unchanged
104,16713452.3998483,Unchanged
105,1621925.98947509,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0138574244797142,Downregulated
109,0.0138574244797142,Downregulated
110,0.0138574244797142,Downregulated
111,0.0150750658812553,Downregulated
112,0.0150750658812553,Downregulated
113,0.0150750658812553,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.384284775508071,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1023742.22222222,Unchanged
122,8156683.67852481,Unchanged
123,8347149.28887989,Unchanged
124,1024369.58092953,Unchanged
125,1378942.95904599,Unchanged
126,963346.89605487,Unchanged
127,5651974.48133548,Unchanged
128,0,Unchanged
129,0,Unchanged
130,7690453.71781418,Unchanged
131,535680.090452041,Unchanged
132,1045513.13014785,Unchanged
133,2.05128068245615,Upregulated
134,0,Unchanged
135,8277329.02180731,Unchanged
136,4657079.15420318,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,8356726.19992417,Unchanged
142,1743426.5213335,Unchanged
143,11981192.5797208,Unchanged
144,3722643.90059373,Unchanged
145,3901342.04183946,Unchanged
146,2088142.49537773,Unchanged
147,2498295.11227321,Unchanged
148,5920840.72610412,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.876905756655641,Unchanged
154,0.279906062175805,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,5383521.06454796,Unchanged
158,0.171526089208663,Downregulated
159,0.41258476309643,Downregulated
160,1186655.15282222,Unchanged
161,119299.762583171,Unchanged
162,822089.047318781,Unchanged
163,1310280.12840113,Unchanged
164,0.181651668943355,Downregulated
165,41978197.093865,Unchanged
166,41336944.6041819,Unchanged
167,20989098.5469325,Unchanged
168,7690453.71781418,Unchanged
169,11198713.5658501,Unchanged
170,15895125.4880651,Unchanged
171,2876148.72992963,Unchanged
172,72287.3608073344,Unchanged
173,79934005.7963912,Unchanged
174,0,Unchanged
175,0,Unchanged
176,43921764.9349552,Unchanged
177,0,Unchanged
178,16754342.962283,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,20598.1330379355,Unchanged
188,55573.4876550651,Unchanged
189,3849777.11179039,Unchanged
190,3849777.11154211,Unchanged
191,101612782.851569,Unchanged
192,1186655.17145308,Unchanged
193,459429.231860324,Unchanged
194,2975516.2400639,Unchanged
195,1589088.19463621,Unchanged
196,2920001.2796117,Unchanged
197,2727764.99464047,Unchanged
198,0.441661227552233,Downregulated
199,4727927.82759152,Unchanged
200,0,Unchanged
201,4727927.97307959,Unchanged
202,1950671.05054743,Unchanged
203,85999.4495348061,Unchanged
204,5752297.98650786,Unchanged
205,1467433.56050101,Unchanged
206,2173832.22473306,Unchanged
207,1.48924278374372,Unchanged
208,41998726.9808165,Unchanged
209,1950671.01846432,Unchanged
210,15208153.2755188,Unchanged
211,1.99999994043123,Unchanged
212,0,Unchanged
213,5752297.49371524,Unchanged
214,0,Unchanged
215,0,Unchanged
216,4794180.45310009,Unchanged
217,1.72963474551794,Unchanged
218,16589515.6051162,Unchanged
219,280158.306923918,Unchanged
220,137682.914673689,Unchanged
221,135741.758183552,Unchanged
222,200758.143128997,Unchanged
223,91847.1365889124,Unchanged
224,0,Unchanged
225,0,Unchanged
226,9505746.6894794,Unchanged
227,1.93174831117122,Unchanged
228,0,Unchanged
229,11221097.4729193,Unchanged
230,86479389.5610527,Unchanged
231,43328134.2807297,Unchanged
232,40020534.6348424,Unchanged
233,1405254.43580739,Unchanged
234,22128490.3455101,Unchanged
235,25646229.3979197,Unchanged
236,15330140.224841,Unchanged
237,20228499.7112802,Unchanged
238,22462879.1730848,Unchanged
239,2788160.27319982,Unchanged
240,0.116220211505495,Downregulated
241,0,Unchanged
242,0.383134205349637,Downregulated
243,0,Unchanged
244,0,Unchanged
245,5613498.95976525,Unchanged
246,1.99999934781517,Unchanged
247,15330139.7688652,Unchanged
248,107267608.136857,Unchanged
249,61237878.8282768,Unchanged
250,15873603.0785105,Unchanged
251,45794642.6873575,Unchanged
252,13808780.0742815,Unchanged
253,22960450.8954174,Unchanged
254,22960450.8947327,Unchanged
255,152892068.274126,Unchanged
256,11992.4049171712,Upregulated
257,0.138574244775655,Downregulated
258,0.412584763087249,Downregulated
259,0.835966690516815,Unchanged
260,3624065.24331922,Unchanged
261,0,Unchanged
262,0,Unchanged
263,31257276.3981218,Unchanged
264,0.0117820944529085,Downregulated
265,0.0241683378207584,Downregulated
266,55704.8922312181,Unchanged
267,0,Unchanged
268,43358.1311626603,Unchanged
269,65516.9028163886,Unchanged
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.5,Downregulated
278,0,Unchanged
279,0,Unchanged
280,102945.491157129,Unchanged
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.721927054093392,Unchanged
288,0.66730486780667,Unchanged
289,0,Unchanged
290,0.721927054095976,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.312551408807262,Downregulated
296,0.312601511553059,Downregulated
297,0,Unchanged
298,19583.9560050646,Upregulated
299,81282457.9113543,Unchanged
300,0,Unchanged
301,0,Unchanged
302,0,Unchanged
303,0,Unchanged
304,43448668.9769136,Unchanged
305,12847609.5698852,Unchanged
306,0,Unchanged
307,445618.369048966,Unchanged
308,24745407.6478041,Unchanged
309,11568522.7577021,Unchanged
310,5256515.8734946,Unchanged
311,22630471.8571691,Unchanged
312,13976596.9496453,Unchanged
313,33768069.3789287,Unchanged
314,3306628.5935339,Unchanged
315,11848608.0376242,Unchanged
316,28842886.2228829,Unchanged
317,9455855.90295748,Unchanged
318,15380907.4356284,Unchanged
319,5752297.4843108,Unchanged
320,5752297.4843108,Unchanged
321,5752297.4843108,Unchanged
322,13730015159.9992,Unchanged
323,2255448.15783189,Unchanged
324,882310.109005888,Unchanged
325,3833738.75184016,Unchanged
326,0,Unchanged
327,13802852.6243763,Unchanged
328,28014701.1247645,Unchanged
329,0,Unchanged
330,0,Unchanged
331,2,Upregulated
332,0,Unchanged
333,5001964.51682907,Unchanged
334,0,Unchanged
335,32218859.3014582,Unchanged
336,107666352.237665,Unchanged
337,31790250.9761303,Unchanged
338,31790250.9761303,Unchanged
339,4.46735592808476,Upregulated
340,32218859.3014582,Unchanged
341,356567.10269216,Unchanged
342,8560254.88339134,Unchanged
343,2871575.96061056,Unchanged
344,4495497.31587608,Unchanged
345,32773459.1613,Unchanged
346,0,Unchanged
347,7730040.05819171,Unchanged
348,3861048.92493692,Unchanged
349,5752297.51816678,Unchanged
350,35888783.3312288,Unchanged
351,1900658.12490648,Unchanged
352,2086645807.52182,Unchanged
353,0,Unchanged
354,9455855.95378301,Unchanged
355,187542626.792879,Unchanged
356,37036.0573084798,Unchanged
357,0,Unchanged
358,0,Unchanged
359,1306471.33399595,Unchanged
360,2232726.51739453,Unchanged
361,2720920.9776613,Unchanged
362,0,Unchanged
363,3478993.22996538,Unchanged
364,0,Unchanged
365,0,Unchanged
366,1.46659872432829,Unchanged
367,0,Unchanged
368,0,Unchanged
369,1.33375267739361,Unchanged
370,2.13733102768871,Upregulated
371,4763134.04288839,Unchanged
372,2118488.97823059,Unchanged
373,1351382.73736066,Unchanged
374,1121523.81718889,Unchanged
375,0.125018528105988,Downregulated
376,4725616.85607058,Unchanged
377,8927770.57630341,Unchanged
378,531478.220895815,Unchanged
379,4727927.90573577,Unchanged
380,76224.7082113693,Unchanged
381,91847.139326266,Unchanged
382,4053362.54458073,Unchanged
383,3980642.08396728,Unchanged
384,55704.8929948265,Unchanged
385,0,Unchanged
386,678968.974789882,Unchanged
387,7587787.47750441,Unchanged
388,9455855.9334528,Unchanged
389,995649.347363494,Unchanged
390,1199710.0171496,Unchanged
391,9455855.66407752,Unchanged
392,4467945.36933893,Unchanged
393,4467945.40396271,Unchanged
394,9455855.91058131,Unchanged
395,4727927.92860725,Unchanged
396,9455855.87500344,Unchanged
397,1.4527184655154,Unchanged
398,235380.485946055,Unchanged
399,1.45271852700858,Unchanged
400,293069.605933437,Unchanged
401,252888.323759133,Unchanged
402,57335.531856835,Unchanged
403,2951406.71257901,Unchanged
404,4097922.41896721,Unchanged
405,4.65033334430764,Upregulated
406,4.40521179758727,Upregulated
407,7807474.3331817,Unchanged
408,14815528.2778259,Unchanged
409,0,Unchanged
410,3941158.31957917,Unchanged
411,2723701.52638916,Unchanged
