Reaction,FSR,RegulationStatus
1,694318.838417334,Unchanged
2,624067.12689197,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,10702974.6336274,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,9333815.78902633,Unchanged
9,10247372.3877624,Unchanged
10,0,Unchanged
11,4698763.32794308,Unchanged
12,147356.256413266,Unchanged
13,0,Unchanged
14,2694948.22741541,Unchanged
15,0,Unchanged
16,8595587.04292839,Unchanged
17,3974839.33279891,Unchanged
18,639326.116728966,Unchanged
19,318425.020037552,Unchanged
20,18250630.2287052,Unchanged
21,12328554.5274934,Unchanged
22,2311777.53823372,Unchanged
23,7564755.29248929,Unchanged
24,17993833.259532,Unchanged
25,7351317.64035349,Unchanged
26,4583657.9542136,Unchanged
27,0.442681776945942,Downregulated
28,3297667.46047997,Unchanged
29,0,Unchanged
30,114889.551280756,Unchanged
31,0,Unchanged
32,7132493.58517861,Unchanged
33,4259664.61362453,Unchanged
34,5443304.45696403,Unchanged
35,0,Unchanged
36,1770756.73211554,Unchanged
37,2077011.6831232,Unchanged
38,6710960.58542007,Unchanged
39,6316752.63384654,Unchanged
40,3372168.52352904,Unchanged
41,160801.130930364,Unchanged
42,518974.014660832,Unchanged
43,0,Unchanged
44,266964.209113731,Unchanged
45,5059.42345663913,Upregulated
46,5281552.33484573,Unchanged
47,9714241.66482323,Unchanged
48,7007035.21436007,Unchanged
49,12490265.4183263,Unchanged
50,10654375.9679352,Unchanged
51,25680532.2302,Unchanged
52,13388615.3468598,Unchanged
53,0,Unchanged
54,3163336.11175122,Unchanged
55,1008945.00379519,Unchanged
56,1544886.71078199,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2262796.6864762,Unchanged
61,2088154.87660877,Unchanged
62,30320080.2199061,Unchanged
63,10274623.5174107,Unchanged
64,1108830.66390528,Unchanged
65,1108830.6526088,Unchanged
66,1265247.05220094,Unchanged
67,2373326.56920184,Unchanged
68,0,Unchanged
69,1037919.81435481,Unchanged
70,1037919.81609568,Unchanged
71,290772.285235734,Unchanged
72,0.922936625830004,Unchanged
73,732071.952065579,Unchanged
74,1688667.6528255,Unchanged
75,0,Unchanged
76,583056.288893808,Unchanged
77,0,Unchanged
78,2737500.40350188,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.877521652700691,Unchanged
82,932173.56883314,Unchanged
83,200585.864372189,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,348378.780984275,Unchanged
89,2808627.58380471,Unchanged
90,0,Unchanged
91,1.18545775381388,Unchanged
92,4.02009769299222,Upregulated
93,47331036.4303375,Unchanged
94,5001964.45780768,Unchanged
95,5001964.4101639,Unchanged
96,0,Unchanged
97,5256780.8298924,Unchanged
98,172958779.122105,Unchanged
99,81802481.3555167,Unchanged
100,47174160.8182265,Unchanged
101,32878388.7900916,Unchanged
102,38725303.4024005,Unchanged
103,38725303.4038558,Unchanged
104,16713452.3998483,Unchanged
105,1621941.3772855,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0138575561485705,Downregulated
109,0.0138575561485705,Downregulated
110,0.0138575561485705,Downregulated
111,0.0150752091191088,Downregulated
112,0.0150752091191088,Downregulated
113,0.0150752091191088,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.384287202793639,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1023742.22222222,Unchanged
122,8156683.67852481,Unchanged
123,8347149.28887989,Unchanged
124,1024369.58092953,Unchanged
125,1378951.86463505,Unchanged
126,963346.89605487,Unchanged
127,5651974.48133548,Unchanged
128,0,Unchanged
129,0,Unchanged
130,7690453.71781418,Unchanged
131,535685.397211779,Unchanged
132,1045522.58334723,Unchanged
133,2.05128068245615,Upregulated
134,0,Unchanged
135,8277329.02180731,Unchanged
136,4657082.94967487,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,8356726.19992417,Unchanged
142,1743442.66776384,Unchanged
143,11981268.6024864,Unchanged
144,3722663.35658862,Unchanged
145,3901368.77830751,Unchanged
146,2088154.90767051,Unchanged
147,2498312.23345529,Unchanged
148,5920875.92064126,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.876908371396441,Unchanged
154,0.279906299286847,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,5383562.9743008,Unchanged
158,0.171527716563397,Downregulated
159,0.412587590188537,Downregulated
160,1186663.28382017,Unchanged
161,119300.580045559,Unchanged
162,822096.841525148,Unchanged
163,1310292.55130142,Unchanged
164,0.181653012107233,Downregulated
165,41978197.093865,Unchanged
166,41336944.6041819,Unchanged
167,20989098.5469325,Unchanged
168,7690453.71781418,Unchanged
169,11198713.5658501,Unchanged
170,15895125.4880651,Unchanged
171,2876148.72992963,Unchanged
172,72287.3608073344,Unchanged
173,79934005.7963912,Unchanged
174,0,Unchanged
175,0,Unchanged
