Reaction,FSR,RegulationStatus
1,694317.106335662,Unchanged
2,624065.706543736,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,10702950.5276734,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,9333795.92758331,Unchanged
9,10247353.3299983,Unchanged
10,0,Unchanged
11,4698751.86982987,Unchanged
12,147355.911684576,Unchanged
13,0,Unchanged
14,2694942.22762507,Unchanged
15,0,Unchanged
16,8595577.53371874,Unchanged
17,3974829.86412611,Unchanged
18,639324.639158704,Unchanged
19,318424.284249147,Unchanged
20,18250607.5942507,Unchanged
21,12328534.0813228,Unchanged
22,2311772.09659621,Unchanged
23,7564737.80930322,Unchanged
24,17993791.164846,Unchanged
25,7351300.26250014,Unchanged
26,4583647.41089716,Unchanged
27,0.442681298842991,Downregulated
28,3297659.57960675,Unchanged
29,0,Unchanged
30,114889.271384062,Unchanged
31,0,Unchanged
32,7132470.8395538,Unchanged
33,4259658.58307283,Unchanged
34,5443290.95120037,Unchanged
35,0,Unchanged
36,1770752.53336312,Unchanged
37,2077006.52754457,Unchanged
38,6710960.58542007,Unchanged
39,6316736.95434162,Unchanged
40,3372162.25181103,Unchanged
41,160800.732333165,Unchanged
42,518972.886610215,Unchanged
43,0,Unchanged
44,266963.770859605,Unchanged
45,5059.41082899794,Upregulated
46,5281545.07627299,Unchanged
47,9714228.31429192,Unchanged
48,7007022.29926477,Unchanged
49,12490242.6824863,Unchanged
50,10654356.2374075,Unchanged
51,25680526.081011,Unchanged
52,13388608.3735978,Unchanged
53,0,Unchanged
54,3163335.14978338,Unchanged
55,1008944.69697587,Unchanged
56,1544886.28771355,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2262791.07249695,Unchanged
61,2088151.60593501,Unchanged
62,30320063.7085098,Unchanged
63,10274615.981045,Unchanged
64,1108827.89567986,Unchanged
65,1108827.88438341,Unchanged
66,1265244.76074169,Unchanged
67,2373322.27104217,Unchanged
68,0,Unchanged
69,1037917.89442327,Unchanged
70,1037917.89441211,Unchanged
71,290771.747368671,Unchanged
72,0.922934883028188,Unchanged
73,732070.16361178,Unchanged
74,1688663.44747523,Unchanged
75,0,Unchanged
76,583054.836887596,Unchanged
77,0,Unchanged
78,2737495.1218441,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.877520681764754,Unchanged
82,932173.285359945,Unchanged
83,200585.864372189,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,348377.911459008,Unchanged
89,2808625.52369569,Unchanged
90,0,Unchanged
91,1.18545746770638,Unchanged
92,4.02009769299222,Upregulated
93,47331036.4303375,Unchanged
94,5001964.45780768,Unchanged
95,5001964.4101639,Unchanged
96,0,Unchanged
97,5256771.30868203,Unchanged
98,172958779.122105,Unchanged
99,81802388.2347337,Unchanged
100,47174092.4162127,Unchanged
101,32878381.9021718,Unchanged
102,38725295.1112307,Unchanged
103,38725295.1099968,Unchanged
104,16713452.3998483,Unchanged
105,1621937.33457543,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0138575215605567,Downregulated
109,0.0138575215605567,Downregulated
110,0.0138575215605567,Downregulated
111,0.0150751714946162,Downregulated
112,0.0150751714946162,Downregulated
113,0.0150751714946162,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.384286562874752,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1023742.22222222,Unchanged
122,8156683.67852481,Unchanged
123,8347149.28887989,Unchanged
124,1024369.58092953,Unchanged
125,1378948.99096119,Unchanged
126,963346.89605487,Unchanged
127,5651974.48133548,Unchanged
128,0,Unchanged
129,0,Unchanged
130,7690453.71781418,Unchanged
131,535683.688897008,Unchanged
132,1045520.10371686,Unchanged
133,2.05128068245615,Upregulated
134,0,Unchanged
135,8277329.02180731,Unchanged
136,4657081.94137394,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,8356726.19992417,Unchanged
142,1743438.45546552,Unchanged
143,11981248.2761263,Unchanged
144,3722658.24043695,Unchanged
145,3901361.70877888,Unchanged
146,2088151.63512532,Unchanged
147,2498307.70635445,Unchanged
148,5920866.64147623,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.876907682161265,Unchanged
154,0.279906236305222,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,5383551.94508993,Unchanged
158,0.171527289026502,Downregulated
159,0.412586842929179,Downregulated
