Reaction,FSR,RegulationStatus
1,694327.728635093,Unchanged
2,624074.39288144,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,10703099.4727685,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,9333913.64067374,Unchanged
9,10247469.5818661,Unchanged
10,0,Unchanged
11,4698819.67554097,Unchanged
12,147358.024137016,Unchanged
13,0,Unchanged
14,2694977.61881302,Unchanged
15,1.60803515613815e-09,Unchanged
16,8595635.70435231,Unchanged
17,3974887.95028507,Unchanged
18,639333.693821537,Unchanged
19,318428.793985567,Unchanged
20,18250747.552081,Unchanged
21,12328628.6253761,Unchanged
22,2311805.45683843,Unchanged
23,7564844.94759586,Unchanged
24,17994049.118139,Unchanged
25,7351406.79144373,Unchanged
26,4583711.83269471,Unchanged
27,0.44268426022872,Downregulated
28,3297707.92531667,Unchanged
29,0,Unchanged
30,114890.98395082,Unchanged
31,0,Unchanged
32,7132575.42672947,Unchanged
33,4259691.24880144,Unchanged
34,5443373.77519145,Unchanged
35,0,Unchanged
36,1770778.30508311,Unchanged
37,2077038.14702955,Unchanged
38,6710960.58542007,Unchanged
39,6316833.11772225,Unchanged
40,3372200.5080349,Unchanged
41,160803.176065644,Unchanged
42,518979.56895842,Unchanged
43,0,Unchanged
44,266966.440888973,Unchanged
45,5059.48826388827,Upregulated
46,5281589.55900426,Unchanged
47,9714310.13038955,Unchanged
48,7007100.31109607,Unchanged
49,12490362.6691082,Unchanged
50,10654476.7328905,Unchanged
51,25680563.1487035,Unchanged
52,13388651.7810144,Unchanged
53,0,Unchanged
54,3163339.63200325,Unchanged
55,1008946.12657841,Unchanged
56,1544888.89833318,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2262825.51821434,Unchanged
61,2088171.61508301,Unchanged
62,30320164.4680742,Unchanged
63,10274660.5498793,Unchanged
64,1108844.86643817,Unchanged
65,1108844.85514154,Unchanged
66,1265258.74209835,Unchanged
67,2373348.49688347,Unchanged
68,0,Unchanged
69,1037929.64709206,Unchanged
70,1037929.64702029,Unchanged
71,290775.039868067,Unchanged
72,0.922945167808642,Unchanged
73,732081.153006254,Unchanged
74,1688689.23491153,Unchanged
75,0,Unchanged
76,583063.740668567,Unchanged
77,0,Unchanged
78,2737519.52319918,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.87752662141361,Unchanged
82,932174.606182882,Unchanged
83,200585.864372189,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,348383.243491483,Unchanged
89,2808637.70684355,Unchanged
90,0,Unchanged
91,1.18545916337132,Unchanged
92,4.02009769299222,Upregulated
93,47331036.4303375,Unchanged
94,5001964.45780768,Unchanged
95,5001964.4101639,Unchanged
96,0,Unchanged
97,5256829.39735731,Unchanged
98,172958779.122105,Unchanged
99,81802952.3362932,Unchanged
100,47174516.3146291,Unchanged
101,32878424.8506524,Unchanged
102,38725345.0323182,Unchanged
103,38725345.0322192,Unchanged
104,16713452.3998483,Unchanged
105,1621962.11774749,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0138577336520412,Downregulated
109,0.0138577336520412,Downregulated
