Reaction,FSR,RegulationStatus
1,694313.536849493,Unchanged
2,624062.793552627,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,10702900.223701,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,9333756.36886568,Unchanged
9,10247314.3756452,Unchanged
10,0,Unchanged
11,4698729.09210703,Unchanged
12,147355.202433451,Unchanged
13,0,Unchanged
14,2694930.36509288,Unchanged
15,1.60803515613815e-09,Unchanged
16,8595558.02414216,Unchanged
17,3974810.3517759,Unchanged
18,639321.598336962,Unchanged
19,318422.769630706,Unchanged
20,18250560.4511199,Unchanged
21,12328502.2361792,Unchanged
22,2311760.89006039,Unchanged
23,7564701.82911757,Unchanged
24,17993704.5577593,Unchanged
25,7351264.48572522,Unchanged
26,4583625.82016625,Unchanged
27,0.442680300705633,Downregulated
28,3297643.33900966,Unchanged
29,0,Unchanged
30,114888.695988371,Unchanged
31,0,Unchanged
32,7132435.70166267,Unchanged
33,4259647.57979026,Unchanged
34,5443263.12239208,Unchanged
35,0,Unchanged
36,1770743.87304361,Unchanged
37,2076995.90227264,Unchanged
38,6710960.58542007,Unchanged
39,6316704.64002437,Unchanged
40,3372149.43335221,Unchanged
41,160799.911250455,Unchanged
42,518970.642022,Unchanged
43,0,Unchanged
44,266962.875620678,Unchanged
45,5059.38480978198,Upregulated
46,5281530.12404385,Unchanged
47,9714200.81298963,Unchanged
48,7006996.14001915,Unchanged
49,12490202.3200466,Unchanged
50,10654315.7910823,Unchanged
51,25680513.5469137,Unchanged
52,13388593.7056578,Unchanged
53,0,Unchanged
54,3163333.63367103,Unchanged
55,1008944.21341234,Unchanged
56,1544885.41648622,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2262779.49770526,Unchanged
61,2088144.88988649,Unchanged
62,30320029.929181,Unchanged
63,10274601.0240501,Unchanged
64,1108822.19326594,Unchanged
65,1108822.18196954,Unchanged
66,1265240.07470206,Unchanged
67,2373313.4808754,Unchanged
68,0,Unchanged
69,1037913.94931148,Unchanged
70,1037913.94930012,Unchanged
71,290770.642149216,Unchanged
72,0.922931431567732,Unchanged
73,732066.467817833,Unchanged
74,1688654.78502023,Unchanged
75,0,Unchanged
76,583051.845950419,Unchanged
77,0,Unchanged
78,2737486.90520932,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.877518690098254,Unchanged
82,932172.83859115,Unchanged
83,200585.864372189,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,348376.11984606,Unchanged
89,2808621.4351149,Unchanged
90,0,Unchanged
91,1.18545690148377,Unchanged
92,4.02009769299222,Upregulated
93,47331036.4303375,Unchanged
94,5001964.45780768,Unchanged
95,5001964.4101639,Unchanged
96,0,Unchanged
97,5256751.83908389,Unchanged
98,172958779.122105,Unchanged
99,81802200.201196,Unchanged
100,47173949.1358999,Unchanged
101,32878367.4122732,Unchanged
