Reaction,FSR,RegulationStatus
1,694304.541530336,Unchanged
2,624055.441557349,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,10702773.9377271,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,9333656.69124978,Unchanged
9,10247215.9637617,Unchanged
10,0,Unchanged
11,4698671.70932353,Unchanged
12,147353.414882868,Unchanged
13,0,Unchanged
14,2694900.43042496,Unchanged
15,-1.60803515613815e-09,Unchanged
16,8595508.79024189,Unchanged
17,3974761.16220734,Unchanged
18,639313.930831314,Unchanged
19,318418.953131199,Unchanged
20,18250441.9132434,Unchanged
21,12328422.2125019,Unchanged
22,2311733.12098781,Unchanged
23,7564611.10420831,Unchanged
24,17993486.1391785,Unchanged
25,7351174.27910296,Unchanged
26,4583571.33739955,Unchanged
27,0.442677791886571,Downregulated
28,3297602.3958268,Unchanged
29,0,Unchanged
30,114887.270410105,Unchanged
31,0,Unchanged
32,7132347.13300457,Unchanged
33,4259619.91325877,Unchanged
34,5443192.99379724,Unchanged
35,0,Unchanged
36,1770722.0474203,Unchanged
37,2076969.12512979,Unchanged
38,6710960.58542007,Unchanged
39,6316623.203512,Unchanged
40,3372117.06870787,Unchanged
41,160797.877016097,Unchanged
42,518964.982990041,Unchanged
43,0,Unchanged
44,266960.653285512,Unchanged
45,5059.31923562836,Upregulated
46,5281492.44798596,Unchanged
47,9714131.51625487,Unchanged
48,7006930.08660438,Unchanged
49,12490100.6839938,Unchanged
50,10654215.4949552,Unchanged
51,25680482.1206056,Unchanged
52,13388556.9091071,Unchanged
53,0,Unchanged
54,3163329.83293194,Unchanged
55,1008943.00116787,Unchanged
56,1544883.21047347,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2262750.32716162,Unchanged
61,2088127.95568987,Unchanged
62,30319944.6208647,Unchanged
63,10274563.9245558,Unchanged
64,1108807.82185544,Unchanged
65,1108807.8105592,Unchanged
66,1265228.23746284,Unchanged
67,2373291.27718306,Unchanged
68,0,Unchanged
69,1037904.16569635,Unchanged
70,1037903.99646731,Unchanged
71,290767.901278399,Unchanged
72,0.922922727271155,Unchanged
73,732057.318985108,Unchanged
74,1688632.9473887,Unchanged
75,0,Unchanged
76,583044.305941954,Unchanged
77,0,Unchanged
78,2737466.23894062,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.877513666984007,Unchanged
82,932171.718587334,Unchanged
83,200585.864372189,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,348371.604570611,Unchanged
89,2808611.29375421,Unchanged
90,0,Unchanged
91,1.18545546602614,Unchanged
92,4.02009769299222,Upregulated
93,47331036.4303375,Unchanged
94,5001964.45780768,Unchanged
95,5001964.4101639,Unchanged
96,0,Unchanged
97,5256702.65819961,Unchanged
98,172958779.122105,Unchanged
99,81801731.4307859,Unchanged
100,47173589.6585046,Unchanged
101,32878331.0184929,Unchanged
102,38725235.9861186,Unchanged
103,38725235.9861169,Unchanged
104,16713452.3998483,Unchanged
105,1621908.01952641,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.013857270690041,Downregulated
109,0.013857270690041,Downregulated
110,0.013857270690041,Downregulated
111,0.0150748985802139,Downregulated
112,0.0150748985802139,Downregulated
113,0.0150748985802139,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.384281954375216,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1023742.22222222,Unchanged
122,8156683.67852481,Unchanged
123,8347149.28887989,Unchanged
124,1024369.58092953,Unchanged
125,1378933.37756251,Unchanged
126,963346.89605487,Unchanged
127,5651974.48133548,Unchanged
128,0,Unchanged
129,0,Unchanged
130,7690453.71781418,Unchanged
131,535674.397974372,Unchanged
132,1045502.09486924,Unchanged
133,2.05128068245615,Upregulated
134,0,Unchanged
135,8277329.02180731,Unchanged
136,4657074.75511759,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,8356726.19992417,Unchanged
142,1743407.53576045,Unchanged
143,11981104.5488497,Unchanged
144,3722621.14577553,Unchanged
145,3901310.75981044,Unchanged
146,2088127.97344416,Unchanged
147,2498275.08025875,Unchanged
148,5920799.54976874,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.876902703186543,Unchanged
154,0.279905787374524,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,5383472.11593355,Unchanged
158,0.171524188761384,Downregulated
159,0.412581455177358,Downregulated
160,1186645.63741543,Unchanged
161,119298.805974594,Unchanged
162,822079.946413632,Unchanged
163,1310265.62298395,Unchanged
164,0.181650098825383,Downregulated
165,41978197.093865,Unchanged
166,41336944.6041819,Unchanged
167,20989098.5469325,Unchanged
168,7690453.71781418,Unchanged
169,11198713.5658501,Unchanged
170,15895125.4880651,Unchanged
171,2876148.72992963,Unchanged
172,72287.3608073344,Unchanged
173,79934005.7963912,Unchanged
174,0,Unchanged
175,0,Unchanged
176,43921764.9349552,Unchanged
177,0,Unchanged
178,16754342.962283,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,20597.9050056587,Unchanged
188,55573.2641990993,Unchanged
189,3849736.51623272,Unchanged
190,3849736.5159511,Unchanged
191,101612374.588824,Unchanged
192,1186645.65628612,Unchanged
193,459425.514861638,Unchanged
194,2975492.3813205,Unchanged
195,1589075.45256938,Unchanged
196,2919980.97253749,Unchanged
197,2727743.12267365,Unchanged
198,0.441658156030523,Downregulated
199,4727927.82759152,Unchanged
200,0,Unchanged
201,4727927.97307959,Unchanged
202,1950655.40913686,Unchanged
203,85998.5018578318,Unchanged
204,5752297.98650786,Unchanged
205,1467421.60014746,Unchanged
206,2173814.79357376,Unchanged
207,1.48924081340633,Unchanged
208,41998726.9808165,Unchanged
209,1950655.37623816,Unchanged
210,15208153.2755188,Unchanged
211,1.99999994043123,Unchanged
212,0,Unchanged
213,5752297.49371524,Unchanged
214,0,Unchanged
215,0,Unchanged
216,4794180.45310009,Unchanged
217,1.72963474551794,Unchanged
218,16589515.6051162,Unchanged
219,280155.21938307,Unchanged
220,137681.398351957,Unchanged
221,135740.262145006,Unchanged
222,200755.930630878,Unchanged
223,91846.1243073695,Unchanged
224,0,Unchanged
225,34544.358894906,Unchanged
226,9505736.27345294,Unchanged
227,1.9317462795145,Unchanged
228,0,Unchanged
229,11220983.2282537,Unchanged
230,86479389.5610527,Unchanged
231,43327863.2320317,Unchanged
232,40020286.2514734,Unchanged
233,1405245.71399502,Unchanged
234,22128312.9097617,Unchanged
235,25646016.1388538,Unchanged
236,15329970.506256,Unchanged
237,20228287.8259929,Unchanged
238,22462643.8821459,Unchanged
239,2788160.27319982,Unchanged
240,0.116219298452728,Downregulated
241,0,Unchanged
242,0.383129960508436,Downregulated
243,0,Unchanged
244,0,Unchanged
245,5613498.95976525,Unchanged
246,1.99999934781517,Unchanged
247,15329970.0560729,Unchanged
248,107267608.136857,Unchanged
249,61237878.8282768,Unchanged
250,15873461.8123365,Unchanged
251,45794451.0660215,Unchanged
252,13808762.4755713,Unchanged
253,22960393.7707337,Unchanged
254,22960393.7657512,Unchanged
255,152892068.274126,Unchanged
256,11991.5226516469,Upregulated
257,0.138572706887841,Downregulated
258,0.412581454782092,Downregulated
259,0.835959669140624,Unchanged
260,3624025.15272307,Unchanged
261,0,Unchanged
262,0,Unchanged
263,31257276.3981218,Unchanged
264,0.0117819670919875,Downregulated
265,0.0241680765682469,Downregulated
266,55704.2900779751,Unchanged
267,0,Unchanged
268,43357.6499799874,Unchanged
269,65516.1757099133,Unchanged
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.5,Downregulated
278,0,Unchanged
279,0,Unchanged
280,102944.349507342,Unchanged
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.721925314125723,Unchanged
288,0.667303453155131,Unchanged
289,0,Unchanged
290,0.721925314180911,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.312547942659834,Downregulated
296,0.312598044849999,Downregulated
297,0,Unchanged
298,19583.7386604791,Upregulated
299,81281573.7529447,Unchanged
300,0,Unchanged
301,0,Unchanged
302,0,Unchanged
303,0,Unchanged
304,43448668.9769136,Unchanged
305,12847476.1537854,Unchanged
306,0,Unchanged
307,445612.772256403,Unchanged
308,24745407.6478041,Unchanged
309,11568522.7577021,Unchanged
310,5256457.68145501,Unchanged
311,22630471.8571691,Unchanged
312,13976510.1936486,Unchanged
313,33768069.3789287,Unchanged
314,3306591.98798769,Unchanged
315,11848534.4905511,Unchanged
316,28842886.2228829,Unchanged
317,9455855.90295748,Unchanged
318,15380907.4356284,Unchanged
319,5752297.4843108,Unchanged
320,5752297.4843108,Unchanged
321,5752297.4843108,Unchanged
322,13730015159.9992,Unchanged
323,2255448.15783189,Unchanged
324,882310.109005888,Unchanged
325,3833738.75184016,Unchanged
326,0,Unchanged
327,13802852.6243763,Unchanged
328,28014701.1247645,Unchanged
329,0,Unchanged
330,0,Unchanged
331,2,Upregulated
332,0,Unchanged
333,5001964.51682907,Unchanged
334,0,Unchanged
335,32218859.3014582,Unchanged
336,107666352.237665,Unchanged
337,31790250.9761303,Unchanged
338,31790250.9761303,Unchanged
339,4.46735592808476,Upregulated
340,32218859.3014582,Unchanged
341,356564.217908754,Unchanged
342,8560160.11734407,Unchanged
343,2871544.17420403,Unchanged
344,4495447.42471241,Unchanged
345,32773459.1613,Unchanged
346,0,Unchanged
347,7730031.60443893,Unchanged
348,3861030.27503539,Unchanged
349,5752297.51816678,Unchanged
350,35888783.3312288,Unchanged
351,1900656.10793224,Unchanged
352,2086643593.17786,Unchanged
353,0,Unchanged
354,9455855.95378301,Unchanged
355,187542483.692848,Unchanged
356,37035.6649200633,Unchanged
357,0,Unchanged
358,0,Unchanged
359,1306470.03572853,Unchanged
360,2232724.96409501,Unchanged
361,2720918.32756646,Unchanged
362,0,Unchanged
363,3478989.50509077,Unchanged
364,0,Unchanged
365,0,Unchanged
366,1.46659722499464,Unchanged
367,0,Unchanged
368,0,Unchanged
369,1.33375097758185,Unchanged
370,2.13731389001031,Upregulated
371,4763128.48519106,Unchanged
372,2118465.52492765,Unchanged
373,1351367.77651402,Unchanged
374,1121511.40105734,Unchanged
375,0.11868671239112,Downregulated
376,4725616.85607058,Unchanged
377,8927674.1274764,Unchanged
378,531472.363626569,Unchanged
379,4727927.90573577,Unchanged
380,76223.8681598743,Unchanged
381,91846.1270688372,Unchanged
382,4053324.84210968,Unchanged
383,3980605.94710412,Unchanged
384,55704.3028144363,Unchanged
385,0,Unchanged
386,678962.637461235,Unchanged
