Reaction,FSR,RegulationStatus
4,1904.60778121078,Upregulated
45,13153.0710030471,Upregulated
72,2.2491533876271,Upregulated
87,0.5,Downregulated
92,4.02009769299222,Upregulated
108,0.0384615384615385,Downregulated
109,0.0384615384615385,Downregulated
110,0.0384615384615385,Downregulated
111,0.0416666666666667,Downregulated
112,0.0416666666666667,Downregulated
113,0.0416666666666667,Downregulated
133,2.05128068245615,Upregulated
154,0.336666666666667,Downregulated
155,0.01,Downregulated
240,0.278489813350025,Downregulated
257,0.333333333333333,Downregulated
264,0.0386727946509256,Downregulated
265,0.0793286091307523,Downregulated
277,0.5,Downregulated
331,2,Upregulated
339,4.46735592808476,Upregulated
370,5.18034406311672,Upregulated
397,7.9217591004997,Upregulated
399,7.92175905039837,Upregulated
405,25.3585408082195,Upregulated
406,24.0218810607207,Upregulated
424,0.0169398952076906,Downregulated
425,4.19045703924143,Upregulated
426,4.19045701213555,Upregulated
430,32.3863106279435,Upregulated
443,0.5,Downregulated
487,0.312409109964905,Downregulated
516,17120.6882864316,Upregulated
561,0.123898969255721,Downregulated
564,0.166666666666667,Downregulated
565,0.124677640110057,Downregulated
574,9596.30703768061,Upregulated
580,1504.69900384545,Upregulated
585,2.16960719585129,Upregulated
601,5035.66483907885,Upregulated
615,0.290961390907253,Downregulated
659,0.0515136620953122,Downregulated
663,2.05115329553271,Upregulated
676,7777.7277807844,Upregulated
718,27.9163405484216,Upregulated
720,9760.83451242403,Upregulated
725,4158.21784210541,Upregulated
726,0.151060233460162,Downregulated
745,3.68751007373668,Upregulated
780,0.123165634783604,Downregulated
784,1036.068817055,Upregulated
785,64.18392925554,Upregulated
797,0.0384615384615383,Downregulated
800,4.66882809396903,Upregulated
801,13.5380272552159,Upregulated
834,3.92246901139022,Upregulated
835,13.9581702742108,Upregulated
885,0.0666666666666667,Downregulated
887,3012.00065222099,Upregulated
888,3012.00065222099,Upregulated
924,132.15752011245,Upregulated
933,18.1649857013907,Upregulated
938,26.6326720485112,Upregulated
939,0.396115553783301,Downregulated
940,16684.338274099,Upregulated
942,4.46735592808476,Upregulated
948,0.391925310297192,Downregulated
970,2072.13763411028,Upregulated
971,1036.06881705498,Upregulated
989,0.333333333333333,Downregulated
990,0.333333333333333,Downregulated
1014,13442.6648514733,Upregulated
1015,11249.6641060205,Upregulated
1058,0.5,Downregulated
1097,0.5,Downregulated
1116,0.0367388896675667,Downregulated
1125,1070.2911127041,Upregulated
1136,1058.72638882006,Upregulated
1140,3701.09609185748,Upregulated
1144,19236.3690191747,Upregulated
1161,19236.3690192294,Upregulated
1174,9418.96472001987,Upregulated
1225,28.7134033361942,Upregulated
1226,4.10255373819218,Upregulated
1246,0.460253742574625,Downregulated
1249,7.92175910197762,Upregulated
1252,4.46735653945146,Upregulated
1254,7.921759082949,Upregulated
1271,17.3706357078472,Upregulated
1277,16.7494859479843,Upregulated
1308,0.195738882856583,Downregulated
1309,0.0666666666666667,Downregulated
1310,0.101433674005214,Downregulated
1311,0.102737432022526,Downregulated
1312,0.0666666666666667,Downregulated
1313,0.0666666666666667,Downregulated
1315,0.5,Downregulated
1322,0.321596885393077,Downregulated
1328,0.310297680608842,Downregulated
1342,0.321668378927013,Downregulated
1349,0.333333333333333,Downregulated
1350,0.377335781575161,Downregulated
1351,0.264281080523044,Downregulated
1363,0.264281080523044,Downregulated
1374,0.264281080523044,Downregulated
1379,0.310297680608842,Downregulated
1401,0.46761158333438,Downregulated
1412,0.321596885393077,Downregulated
1414,0.321596885393077,Downregulated
1417,0.321668378927013,Downregulated
1438,0.5,Downregulated
1439,0.227616076737066,Downregulated
1446,0.5,Downregulated
1448,0.5,Downregulated
1450,0.5,Downregulated
1452,0.5,Downregulated
1454,0.5,Downregulated
1470,0.0619494846276954,Downregulated
1471,0.124677640109551,Downregulated
1477,0.321668378927013,Downregulated
1495,0.471488161956736,Downregulated
1497,0.5,Downregulated
1500,0.01,Downregulated
1504,0.264281080523044,Downregulated
1507,0.01,Downregulated
1508,0.308576055624634,Downregulated
1510,0.321596885393077,Downregulated
1521,0.01,Downregulated
1522,0.5,Downregulated
1523,0.333333333333333,Downregulated
1525,0.0619494846277841,Downregulated
1527,0.310297680608587,Downregulated
1550,0.386321572180133,Downregulated
1557,0.19577734778749,Downregulated
1562,0.0619494846277952,Downregulated
1563,0.157162720651873,Downregulated
1564,0.317761265216018,Downregulated
1570,0.5,Downregulated
1571,0.5,Downregulated
1572,0.5,Downregulated
1601,7.17835109513208,Upregulated
1602,7.17835114103572,Upregulated
1603,7.17835067862678,Upregulated
1604,7.1783494836572,Upregulated
1605,7.17835115703959,Upregulated
1606,7.17835069958165,Upregulated
1607,7.17835067811698,Upregulated
1608,7.17835001819538,Upregulated
1609,7.17835115703954,Upregulated
1610,7.17835114102961,Upregulated
1611,7.17835115704469,Upregulated
1619,2.23367889467309,Upregulated
1630,17296.9490860756,Upregulated
1948,28.9143456790452,Upregulated
2009,0.437695623221614,Downregulated
2015,5.18034408527521,Upregulated
2019,15.9947958178697,Upregulated
2038,0.5,Downregulated
2090,0.368345411616962,Downregulated
2103,14551.2144480309,Upregulated
2104,3672.26488854535,Upregulated
2109,12353.6124110936,Upregulated
2117,7309.08453452987,Upregulated
2157,2.92589453777771,Upregulated
2165,2.20694279204271,Upregulated
2181,72.9445647314429,Upregulated
2187,16115.0081123863,Upregulated
2227,1302.24125257641,Upregulated
2230,0.0110347139636261,Downregulated
2261,0.47677642419161,Downregulated
2279,11666.791865774,Upregulated
2284,16311.184613594,Upregulated
2287,0.278626524147821,Downregulated
2295,5304.76552445945,Upregulated
2298,17905.1203376743,Upregulated
2331,10822.5258400628,Upregulated
2332,16864.276894386,Upregulated
2395,0.01,Downregulated
2418,0.281015988077721,Downregulated
2433,24.2665249595996,Upregulated
2434,48.5983395655642,Upregulated
2484,52.1080610101225,Upregulated
2548,1496.62561159188,Upregulated
2560,1496.62560755469,Upregulated
2606,2,Upregulated
2686,11568.454745703,Upregulated
2757,15.8785291934325,Upregulated
2766,7618.4362816925,Upregulated
2872,0.5,Downregulated
3021,86.9304015376211,Upregulated
3097,25.9724970025219,Upregulated
3098,2460.21281536283,Upregulated
3171,10.6631955932795,Upregulated
3175,0.119631636911656,Downregulated
3184,0.41864550683357,Downregulated
3185,0.119631636911619,Downregulated
3189,0.0583205703305817,Downregulated
3192,0.100873284877274,Downregulated
3198,0.132722210764387,Downregulated
3201,4109.75177669367,Upregulated
3202,0.246714145130132,Downregulated
3203,0.246714142691992,Downregulated
3204,4109.90559487958,Upregulated
3212,2.01004884649612,Upregulated
3227,0.128330556166796,Downregulated
3229,0.0741951769743121,Downregulated
3344,10.8379084962456,Upregulated
3355,7532.75515574758,Upregulated
3356,327.293338104396,Upregulated
3359,11.5134947748379,Upregulated
3379,0.25927810721884,Downregulated
3389,0.5,Downregulated
3412,0.344903846232554,Downregulated
3413,0.344903846232554,Downregulated
3441,2.18811397285476,Upregulated
3494,5102.67159659313,Upregulated
3500,0.4,Downregulated
3511,0.4,Downregulated
3513,2.93612894804362,Upregulated
3528,2.99998721504068,Upregulated
3549,10477.2476768002,Upregulated
3551,16879.2785411482,Upregulated
3554,343.206730136537,Upregulated
3555,1339.82355490574,Upregulated
3556,14775.383722328,Upregulated
3557,258.500322230336,Upregulated
3559,14688.5235961865,Upregulated
3564,3.96624525907049,Upregulated
3590,7591.52334215316,Upregulated
3615,0.333334250354594,Downregulated
3616,0.333334250354594,Downregulated
3617,0.333334250354594,Downregulated
3620,3.14298476885839,Upregulated
