Reaction,FSR,RegulationStatus
4,1904.60778121078,Upregulated
40,926.142910343457,Upregulated
45,13153.0710030471,Upregulated
87,0.5,Downregulated
92,4.02009769299222,Upregulated
108,0.0380187588334288,Downregulated
109,0.0380187588334288,Downregulated
110,0.0380187588334288,Downregulated
111,0.0411854414786346,Downregulated
112,0.0411854414786346,Downregulated
113,0.0411854414786346,Downregulated
133,2.05128068245615,Upregulated
154,0.330484591274252,Downregulated
155,0.01,Downregulated
158,0.483553616277967,Downregulated
164,0.446356024396284,Downregulated
240,0.242637863616864,Downregulated
257,0.333333333333333,Downregulated
264,0.0335671113350626,Downregulated
265,0.0688554390439919,Downregulated
277,0.5,Downregulated
331,2,Upregulated
339,4.46735592808476,Upregulated
370,4.85503171611662,Upregulated
397,8.03410651342197,Upregulated
399,8.0341065833894,Upregulated
405,25.7181789162639,Upregulated
406,24.3625622872342,Upregulated
424,0.0171801390322878,Downregulated
425,4.24988666404861,Upregulated
426,4.24988663655831,Upregulated
430,32.8456176380873,Upregulated
443,0.5,Downregulated
487,0.29928088051669,Downregulated
516,16258.7235528801,Upregulated
561,0.107298782948554,Downregulated
564,0.166666666666667,Downregulated
565,0.108627011781953,Downregulated
574,9485.83175688498,Upregulated
580,1487.32062638007,Upregulated
601,4290.75062176533,Upregulated
615,0.255842814723772,Downregulated
659,0.0440173873813492,Downregulated
676,6885.91721461682,Upregulated
718,27.9163405484216,Upregulated
720,8425.83511543403,Upregulated
725,3589.49410183504,Upregulated
726,0.130399569627293,Downregulated
745,3.62338083480196,Upregulated
780,0.104719802424894,Downregulated
784,1036.068817055,Upregulated
785,55.5844615604624,Upregulated
797,0.0380187588334288,Downregulated
800,4.66882809396903,Upregulated
801,11.6526701568226,Upregulated
834,3.39128579493663,Upregulated
835,13.0816329098217,Upregulated
885,0.0582356041377403,Downregulated
887,2977.21383830017,Upregulated
888,2977.21383829111,Upregulated
924,134.031796166956,Upregulated
933,18.4226040565536,Upregulated
938,27.0103801821668,Upregulated
939,0.401733315838577,Downregulated
940,16684.338274099,Upregulated
942,4.46735592808476,Upregulated
948,0.371130171688194,Downregulated
970,2072.13763411028,Upregulated
971,1036.06881705498,Upregulated
987,0.48355361627823,Downregulated
988,0.483553616278714,Downregulated
989,0.333333333333333,Downregulated
990,0.333333333333333,Downregulated
1014,11585.0338989768,Upregulated
1015,9695.61009271667,Upregulated
1051,0.488362727108434,Downregulated
1058,0.5,Downregulated
1097,0.5,Downregulated
1116,0.0313926417319318,Downregulated
1125,914.542212734639,Upregulated
1136,1046.53804442556,Upregulated
1140,3658.35063595198,Upregulated
1144,16390.7775769743,Upregulated
1161,16390.7775769742,Upregulated
1174,9104.19743300389,Upregulated
1216,0.483553616275235,Downregulated
1217,0.483553616276737,Downregulated
1225,28.7134033361942,Upregulated
1226,4.10255373819218,Upregulated
1246,0.466781124311154,Downregulated
