Reaction,FSR,RegulationStatus
4,1904.60778121078,Upregulated
27,0.442681776945942,Downregulated
45,5059.42345663913,Upregulated
87,0.5,Downregulated
92,4.02009769299222,Upregulated
108,0.0138575561485705,Downregulated
109,0.0138575561485705,Downregulated
110,0.0138575561485705,Downregulated
111,0.0150752091191088,Downregulated
112,0.0150752091191088,Downregulated
113,0.0150752091191088,Downregulated
117,0.384287202793639,Downregulated
133,2.05128068245615,Upregulated
154,0.279906299286847,Downregulated
155,0.01,Downregulated
158,0.171527716563397,Downregulated
159,0.412587590188537,Downregulated
164,0.181653012107233,Downregulated
198,0.441663852865629,Downregulated
240,0.116221015019578,Downregulated
242,0.383137840165009,Downregulated
256,11993.2032613082,Upregulated
257,0.138575561487083,Downregulated
258,0.412587590129991,Downregulated
264,0.0117822034754508,Downregulated
265,0.0241685614561775,Downregulated
277,0.5,Downregulated
295,0.312554378579995,Downregulated
296,0.312604481801853,Downregulated
298,19584.1420840015,Upregulated
331,2,Upregulated
339,4.46735592808476,Upregulated
370,2.1373456767626,Upregulated
375,0.130600510428065,Downregulated
405,4.85796716411015,Upregulated
406,4.60190117138269,Upregulated
430,6.20428507244905,Upregulated
443,0.5,Downregulated
487,0.251497855658645,Downregulated
516,13799.0033609796,Upregulated
561,0.0388533897414597,Downregulated
564,0.0856957547960965,Downregulated
565,0.0520312097217736,Downregulated
574,3457.51545343312,Upregulated
575,15939.4731129099,Upregulated
580,544.407651462835,Upregulated
601,1572.56012313988,Upregulated
605,0.469999767586591,Downregulated
615,0.115558030449545,Downregulated
659,0.0159532306103212,Downregulated
676,3487.27076747858,Upregulated
718,27.9163405484216,Upregulated
720,4005.343397083,Upregulated
725,1706.31828217098,Upregulated
726,0.0619873339612199,Downregulated
745,3.0952447352208,Upregulated
763,18385.0326877225,Upregulated
772,12738.1842856622,Upregulated
780,0.0388379163755635,Downregulated
784,1036.068817055,Upregulated
785,20.1273927740011,Upregulated
797,0.0138575561485705,Downregulated
800,4.54047565726724,Upregulated
801,4.10361138751951,Upregulated
833,0.225276358214411,Downregulated
835,5.75896783609096,Upregulated
838,0.271161073917401,Downregulated
839,0.278903186163847,Downregulated
860,0.454430931802393,Downregulated
868,0.285832515150234,Downregulated
885,0.0217741215907271,Downregulated
887,1089.75695298059,Upregulated
888,1089.75695300053,Upregulated
924,25.317578344885,Upregulated
933,3.47988873140708,Upregulated
938,5.10205350426406,Upregulated
939,0.0758843487101928,Downregulated
940,16684.338274099,Upregulated
942,4.46735592808476,Upregulated
946,0.490907932091359,Downregulated
947,0.40739814930217,Downregulated
948,0.236783951734285,Downregulated
950,0.47860219076931,Downregulated
952,0.285832515308967,Downregulated
953,0.2858325151781,Downregulated
970,2072.13763411028,Upregulated
971,495.865216532025,Upregulated
987,0.171527716292944,Downregulated
988,0.171527716292944,Downregulated
989,0.12789632892042,Downregulated
990,0.333333333333333,Downregulated
991,0.418799807166028,Downregulated
993,0.420838532788481,Downregulated
1000,0.285832516581327,Downregulated
1014,4053.06649022762,Upregulated
1015,3391.85039893363,Upregulated
1034,0.285832515147227,Downregulated
1051,0.193974286879406,Downregulated
1058,0.206139367796159,Downregulated
1059,0.408088415674909,Downregulated
1067,0.354299806393533,Downregulated
1085,11850.6605332323,Upregulated
1087,13897.6968638014,Upregulated
1097,0.5,Downregulated
1101,0.41258759084605,Downregulated
1116,0.0113776414914826,Downregulated
1117,11452.5674764061,Upregulated
1120,9427.20037803853,Upregulated
1125,331.457719110587,Upregulated
1136,381.45536985523,Upregulated
1140,1339.07514131203,Upregulated
1144,6007.2200593658,Upregulated
1148,16158.9520159488,Upregulated
1161,6007.21953036813,Upregulated
1174,7961.69869211242,Upregulated
1195,0.344779088247428,Downregulated
1208,15497.7741688415,Upregulated
1216,0.171527716256953,Downregulated
1217,0.171527731642956,Downregulated
1225,28.7134033361942,Upregulated
1226,4.10255373819218,Upregulated
1246,0.0881713767982877,Downregulated
1252,4.30627643246396,Upregulated
1271,7.07472468679195,Upregulated
1277,6.82174239030739,Upregulated
1298,0.44166417323803,Downregulated
1300,0.311359270926203,Downregulated
1301,0.285832515308967,Downregulated
1303,0.304458528988648,Downregulated
1308,0.0706513786827905,Downregulated
1309,0.0217741215907494,Downregulated
1310,0.0357361425816627,Downregulated
1311,0.0363629690704492,Downregulated
1312,0.0217741215907494,Downregulated
1313,0.0217741196375755,Downregulated
1315,0.216527264809774,Downregulated
1321,0.285832515173424,Downregulated
1322,0.0984899576119301,Downregulated
1324,0.443857084795279,Downregulated
1328,0.26856669424546,Downregulated
1331,0.443857084795279,Downregulated
1332,0.412587590847138,Downregulated
1338,0.311359272421219,Downregulated
1342,0.0908967205835509,Downregulated
1345,0.242716912633423,Downregulated
1346,0.441663852262886,Downregulated
1349,0.333333333333333,Downregulated
1350,0.122519797326148,Downregulated
1351,0.0795285707846597,Downregulated
1354,0.412587590114621,Downregulated
1356,0.220244403531653,Downregulated
1359,0.412587590342419,Downregulated
1361,0.441663852262886,Downregulated
1362,0.441663852309201,Downregulated
1363,0.0795285707846597,Downregulated
1368,0.478602190769445,Downregulated
1373,0.490907932050302,Downregulated
1374,0.0795285707846597,Downregulated
1379,0.26856669424546,Downregulated
1382,0.429830938613117,Downregulated
1383,0.412587590132717,Downregulated
1384,0.170502798657764,Downregulated
1385,0.170502798657764,Downregulated
1386,0.285832515131555,Downregulated
1388,0.277460233111554,Downregulated
1391,0.414700257613945,Downregulated
1393,0.46739312402349,Downregulated
1399,0.490907932050302,Downregulated
1401,0.160193166812786,Downregulated
1402,0.170502798657764,Downregulated
1403,0.247164000382184,Downregulated
1407,0.170502798657764,Downregulated
1408,0.427792091119841,Downregulated
1411,0.285832515153283,Downregulated
1412,0.0984899576119301,Downregulated
1413,0.412587590189331,Downregulated
1414,0.0984899576119301,Downregulated
1416,0.170502798657764,Downregulated
1417,0.0908967205835509,Downregulated
1418,0.478602190769445,Downregulated
1438,0.426802186549816,Downregulated
1439,0.0852806986420021,Downregulated
1444,0.407137073478636,Downregulated
1446,0.42680219446094,Downregulated
1448,0.42680219446094,Downregulated
1450,0.42680219446094,Downregulated
1452,0.42680219446094,Downregulated
1454,0.426802186549816,Downregulated
1467,0.407137073605686,Downregulated
1468,0.407137074101953,Downregulated
1470,0.0194266948706733,Downregulated
1471,0.0520312097215824,Downregulated
1474,0.414700257613945,Downregulated
1475,0.414700257613945,Downregulated
1477,0.0908967205835509,Downregulated
1480,0.4305122085305,Downregulated
1493,0.412587590905938,Downregulated
1495,0.142916257609391,Downregulated
1496,0.348793355605297,Downregulated
1497,0.397193655125,Downregulated
1499,0.311359272421827,Downregulated
1500,0.01,Downregulated
1504,0.0795285707846597,Downregulated
1507,0.01,Downregulated
1508,0.116264451868621,Downregulated
1510,0.0984899576119301,Downregulated
1512,0.412587590845741,Downregulated
1513,0.412587590845741,Downregulated
1516,0.412587590132717,Downregulated
1517,0.429830938613117,Downregulated
1519,0.386181241048784,Downregulated
1521,0.01,Downregulated
1522,0.397193655125,Downregulated
1523,0.333333333333333,Downregulated
1525,0.0194266931407492,Downregulated
1527,0.26856669424546,Downregulated
1532,0.412587590342419,Downregulated
1533,0.412587590133852,Downregulated
1534,0.412587590187893,Downregulated
1535,0.453186166213304,Downregulated
1536,0.412587590130683,Downregulated
1537,0.412587590131624,Downregulated
1538,0.463164530237339,Downregulated
1539,0.412587590130683,Downregulated
1540,0.412587590342419,Downregulated
1541,0.412587590133852,Downregulated
1542,0.412587590187893,Downregulated
1543,0.453186166213304,Downregulated
1544,0.412587590130683,Downregulated
1545,0.412587590131624,Downregulated
1546,0.463164530237339,Downregulated
1547,0.412587590130683,Downregulated
1548,0.412587590133852,Downregulated
1549,0.331343433987075,Downregulated
1550,0.23423484579726,Downregulated
1552,0.412587590845148,Downregulated
1553,0.412587590130683,Downregulated
1554,0.413174504058396,Downregulated
1555,0.412587591161774,Downregulated
1556,0.412587590130683,Downregulated
1557,0.0706544925190275,Downregulated
1558,0.413174504060821,Downregulated
1559,0.413174504060821,Downregulated
1562,0.0194266931407328,Downregulated
1563,0.0476387567943196,Downregulated
1564,0.165661848369572,Downregulated
1565,0.467393123568955,Downregulated
1570,0.42680219446094,Downregulated
