Reaction,FSR,RegulationStatus
4,1904.60778121078,Upregulated
27,0.442677791886571,Downregulated
45,5059.31923562836,Upregulated
87,0.5,Downregulated
92,4.02009769299222,Upregulated
108,0.013857270690041,Downregulated
109,0.013857270690041,Downregulated
110,0.013857270690041,Downregulated
111,0.0150748985802139,Downregulated
112,0.0150748985802139,Downregulated
113,0.0150748985802139,Downregulated
117,0.384281954375216,Downregulated
133,2.05128068245615,Upregulated
154,0.279905787374524,Downregulated
155,0.01,Downregulated
158,0.171524188761384,Downregulated
159,0.412581455177358,Downregulated
164,0.181650098825383,Downregulated
198,0.441658156030523,Downregulated
240,0.116219298452728,Downregulated
242,0.383129960508436,Downregulated
256,11991.5226516469,Upregulated
257,0.138572706887841,Downregulated
258,0.412581454782092,Downregulated
264,0.0117819670919875,Downregulated
265,0.0241680765682469,Downregulated
277,0.5,Downregulated
295,0.312547942659834,Downregulated
296,0.312598044849999,Downregulated
298,19583.7386604791,Upregulated
331,2,Upregulated
339,4.46735592808476,Upregulated
370,2.13731389001031,Upregulated
375,0.11868671239112,Downregulated
405,4.41480730132141,Upregulated
406,4.18210092146007,Upregulated
430,5.63831050873605,Upregulated
443,0.5,Downregulated
487,0.251497302853732,Downregulated
516,13798.9779330195,Upregulated
561,0.0388526000578399,Downregulated
564,0.0856941501873496,Downregulated
565,0.0520304412291737,Downregulated
574,3457.44423039303,Upregulated
575,15939.1447679617,Upregulated
580,544.396437041256,Upregulated
601,1572.52793495035,Upregulated
605,0.469990955414598,Downregulated
615,0.115556381993698,Downregulated
659,0.0159529021059201,Downregulated
676,3487.21151208755,Upregulated
718,27.9163405484216,Upregulated
720,4005.28369912165,Upregulated
725,1706.29285019125,Upregulated
726,0.0619864100652285,Downregulated
745,3.09521596258001,Upregulated
753,0.0167588637887454,Downregulated
763,18384.6541083426,Upregulated
772,12737.9219845834,Upregulated
780,0.0388371248992039,Downregulated
784,1036.068817055,Upregulated
785,20.1269836907141,Upregulated
797,0.013857270690041,Downregulated
800,4.54044562367283,Upregulated
801,4.10352708602752,Upregulated
833,0.225271765355813,Downregulated
835,5.75888219679546,Upregulated
838,0.271155527301467,Downregulated
839,0.278897542378563,Downregulated
860,0.454421738408757,Downregulated
868,0.28582664325662,Downregulated
885,0.0217736711001978,Downregulated
887,1089.73450415122,Upregulated
888,1089.7345044684,Upregulated
924,23.0330382032272,Upregulated
933,3.16244193455235,Upregulated
938,4.63662800037496,Upregulated
939,0.068961926959246,Downregulated
940,16684.338274099,Upregulated
942,4.46735592808476,Upregulated
946,0.490899581114061,Downregulated
947,0.407391930238843,Downregulated
948,0.236779749857168,Downregulated
950,0.478592385321981,Downregulated
952,0.285826641847767,Downregulated
953,0.28582664092348,Downregulated
970,2072.13763411028,Upregulated
971,495.854646549757,Upregulated
987,0.171524188842636,Downregulated
988,0.171524188842636,Downregulated
989,0.127893751785363,Downregulated
990,0.333333333333333,Downregulated
991,0.418793345532205,Downregulated
993,0.420832833955003,Downregulated
1000,0.2858266409072,Downregulated
1014,4052.49853336491,Upregulated
1015,3391.37716254859,Upregulated
1034,0.285826640931545,Downregulated
1051,0.193970330532568,Downregulated
1058,0.206135228426633,Downregulated
1059,0.408080256686249,Downregulated
1067,0.35429235472824,Downregulated
1085,11850.4853109208,Upregulated
1087,13897.4225871135,Upregulated
1097,0.5,Downregulated
1101,0.41258145473962,Downregulated
1116,0.0113774072063152,Downregulated
1117,11452.3316483841,Upregulated
1120,9427.00533676388,Upregulated
1125,331.450893827221,Upregulated
1136,381.447512070799,Upregulated
1140,1339.04755728906,Upregulated
1144,6007.09709965509,Upregulated
1148,16158.6192753908,Upregulated
1161,6007.09709958207,Upregulated
1174,7961.68157936585,Upregulated
1195,0.344772073832474,Downregulated
1208,15497.4558058425,Upregulated
1216,0.171524188828292,Downregulated
1217,0.171524188815568,Downregulated
1225,28.7134033361942,Upregulated
1226,4.10255373819218,Upregulated
1246,0.0801280791238968,Downregulated
1252,4.30625532271438,Upregulated
1271,7.07461414787807,Upregulated
1277,6.8216357910919,Upregulated
1298,0.441658447633051,Downregulated
1300,0.311352905482199,Downregulated
1301,0.285826641847767,Downregulated
1303,0.304454255237178,Downregulated
1308,0.0706500505046037,Downregulated
1309,0.0217736711007683,Downregulated
1310,0.0357353683004346,Downregulated
1311,0.0363621815140465,Downregulated
1312,0.0217736711007683,Downregulated
1313,0.0217736711014141,Downregulated
1315,0.216522920100002,Downregulated
1321,0.285826640930379,Downregulated
1322,0.0984879233523021,Downregulated
1324,0.443850628250007,Downregulated
1328,0.268566095997713,Downregulated
1331,0.443850628250007,Downregulated
1332,0.41258145481653,Downregulated
1338,0.311352907997941,Downregulated
1342,0.090894665672191,Downregulated
1345,0.242713493337163,Downregulated
1346,0.441658156028176,Downregulated
1349,0.333333333333333,Downregulated
1350,0.122517304714046,Downregulated
1351,0.0795269253925591,Downregulated
1354,0.412581454782153,Downregulated
1356,0.220239964197501,Downregulated
1359,0.412581454772732,Downregulated
1361,0.441658156028176,Downregulated
1362,0.441658156005109,Downregulated
1363,0.0795269253925591,Downregulated
1368,0.478592385350491,Downregulated
1373,0.490899581116475,Downregulated
1374,0.0795269253925591,Downregulated
1379,0.268566095997713,Downregulated
1382,0.42982980190059,Downregulated
1383,0.412581454814604,Downregulated
1384,0.170499423801512,Downregulated
1385,0.170499423801512,Downregulated
1386,0.285826640926903,Downregulated
1388,0.277454962340543,Downregulated
1391,0.414694121551821,Downregulated
1393,0.46738747574776,Downregulated
1399,0.490899581116475,Downregulated
1401,0.160190433834963,Downregulated
1402,0.170499423801512,Downregulated
1403,0.247158965916288,Downregulated
1407,0.170499423801512,Downregulated
1408,0.427788196564858,Downregulated
1411,0.285826640909742,Downregulated
1412,0.0984879233523021,Downregulated
1413,0.412581457243945,Downregulated
1414,0.0984879233523021,Downregulated
1416,0.170499423801512,Downregulated
1417,0.090894665672191,Downregulated
1418,0.478592385350491,Downregulated
1438,0.42680135440425,Downregulated
1439,0.0852791400677595,Downregulated
1444,0.407131614353748,Downregulated
1446,0.426801347312944,Downregulated
1448,0.426801347312944,Downregulated
1450,0.426801347312944,Downregulated
1452,0.426801347312944,Downregulated
1454,0.42680135440425,Downregulated
1467,0.407131614404619,Downregulated
1468,0.407131614434551,Downregulated
1470,0.0194262957978276,Downregulated
1471,0.0520304329593654,Downregulated
1474,0.414694121551821,Downregulated
1475,0.414694121551821,Downregulated
1477,0.090894665672191,Downregulated
1480,0.430505843033819,Downregulated
1493,0.412581457280311,Downregulated
1495,0.142913321626335,Downregulated
1496,0.348786720116321,Downregulated
1497,0.397189449329303,Downregulated
1499,0.311352973630179,Downregulated
1500,0.01,Downregulated
1504,0.0795269253925591,Downregulated
1507,0.01,Downregulated
1508,0.116262240034466,Downregulated
1510,0.0984879233523021,Downregulated
1512,0.412581454818474,Downregulated
1513,0.412581454818474,Downregulated
1516,0.412581454814604,Downregulated
1517,0.42982980190059,Downregulated
1519,0.386173493884043,Downregulated
1521,0.01,Downregulated
1522,0.397189449329303,Downregulated
1523,0.333333333333333,Downregulated
1525,0.0194262957746616,Downregulated
1527,0.268566095997713,Downregulated
1532,0.412581454772732,Downregulated
1533,0.412581454814481,Downregulated
1534,0.412581454813796,Downregulated
1535,0.453179427056924,Downregulated
1536,0.412581454814935,Downregulated
1537,0.412581454734955,Downregulated
1538,0.463157641898041,Downregulated
1539,0.412581454815665,Downregulated
1540,0.412581454772732,Downregulated
1541,0.412581454814481,Downregulated
1542,0.412581454813796,Downregulated
1543,0.453179427056924,Downregulated
1544,0.412581454814935,Downregulated
