Reaction,FSR,RegulationStatus
1,0.249439052767228,Downregulated
2,0.126474750961914,Downregulated
3,0,Unchanged
4,0.0116338480133926,Downregulated
5,0,Unchanged
6,198.867948627578,Upregulated
7,0,Unchanged
8,0.401746042086308,Downregulated
9,0.320707135464189,Downregulated
10,0,Unchanged
11,0.181073481980604,Downregulated
12,0.0110164962698327,Downregulated
13,0,Unchanged
14,0.149127058423927,Downregulated
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0108055462745997,Downregulated
19,0.0809091854529842,Downregulated
20,0,Unchanged
21,0.465447822743814,Downregulated
22,0.079886353538638,Downregulated
23,0.226615301399264,Downregulated
24,1.26376192052034,Unchanged
25,0.394079398384608,Downregulated
26,0.170077988665112,Downregulated
27,9.30780362295991e-08,Unchanged
28,0.432699711988258,Downregulated
29,0,Unchanged
30,0.0442314122304041,Downregulated
31,0,Unchanged
32,0.443653721159696,Downregulated
33,0.121083952353323,Downregulated
34,0.195065274724936,Downregulated
35,0,Unchanged
36,0.47569681053745,Downregulated
37,0.693727467597365,Unchanged
38,2.96990287211755,Upregulated
39,4.43111892617035,Upregulated
40,0.181633770552309,Downregulated
41,0.0123125756416436,Downregulated
42,0.144498387972675,Downregulated
43,0,Unchanged
44,0.0348160209025386,Downregulated
45,0.00966038638747834,Unchanged
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,0.817110485909779,Unchanged
50,0.181499192849988,Downregulated
51,0,Unchanged
52,3.71325081391701,Upregulated
53,0,Unchanged
54,0,Unchanged
55,0.849441099554334,Unchanged
56,0.255795823094817,Downregulated
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,0.362389845418921,Downregulated
61,0.509524409147316,Unchanged
62,102752124.066721,Unchanged
63,0,Unchanged
64,0.704313220030218,Unchanged
65,0.706070101107043,Unchanged
66,1.35929104347612,Unchanged
67,2.56970327360205,Upregulated
68,0,Unchanged
69,2.4319691421583,Upregulated
70,0,Unchanged
71,0.14618998054426,Downregulated
72,0,Unchanged
73,1.25507963919507e-07,Unchanged
74,0.0178696868911574,Downregulated
75,0,Unchanged
76,0.50195434932017,Unchanged
77,0,Unchanged
78,0.509034280966313,Unchanged
79,0,Unchanged
80,0,Unchanged
81,32647.7157391829,Unchanged
82,0.0165741646090199,Downregulated
83,2191723.25565878,Unchanged
84,0,Unchanged
85,0.500001027433015,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.0534119450787694,Downregulated
89,0,Unchanged
90,0,Unchanged
91,6.33940396650193e-05,Unchanged
92,7.08292730549174,Upregulated
93,17248091.8891437,Unchanged
94,6619309.42672202,Unchanged
95,6619309.81276644,Unchanged
96,0,Unchanged
97,1.66801833453577,Unchanged
98,483574807.378895,Unchanged
99,5275.00126503322,Upregulated
100,32.0348926571705,Upregulated
101,5.87486925945531,Upregulated
102,5.21034132186556,Upregulated
103,5.21034053354029,Upregulated
104,6739499.07825836,Unchanged
105,0.259847929201015,Downregulated
106,0,Unchanged
107,0,Unchanged
108,2.70091438281384e-09,Unchanged
109,2.70091438281384e-09,Unchanged
110,2.70091438281384e-09,Unchanged
111,2.9430136574492e-09,Unchanged
112,2.9430136574492e-09,Unchanged
113,2.9430136574492e-09,Unchanged
114,0.0023604541821173,Unchanged
115,2.7243636611729e-07,Unchanged
116,0,Unchanged
117,0,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,0,Unchanged
122,3542195.38207728,Unchanged
123,4368626.57645222,Unchanged
124,461197.121976084,Unchanged
125,405.525548437223,Upregulated
