Reaction,FSR,RegulationStatus
1,0.640139517839349,Unchanged
2,0.330486116991751,Downregulated
3,0,Unchanged
4,0.029829452638166,Downregulated
5,0,Unchanged
6,198.737356786243,Upregulated
7,0,Unchanged
8,1.09326542283296,Unchanged
9,0.8027791720369,Unchanged
10,0,Unchanged
11,0.467636360126551,Downregulated
12,0.0324413384115224,Downregulated
13,0,Unchanged
14,0.382000485912582,Downregulated
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0274374041792466,Downregulated
19,0.206592060868988,Downregulated
20,0,Unchanged
21,1.14567059844624,Unchanged
22,0.206312710770959,Downregulated
23,0.575416611527598,Unchanged
24,3.65586005598698,Upregulated
25,1.16586364465324,Unchanged
26,0.458006467195533,Downregulated
27,2.8269071952991e-07,Unchanged
28,1.12532518740719,Unchanged
29,0,Unchanged
30,0.114610438407175,Downregulated
31,0,Unchanged
32,1.17925520969127,Unchanged
33,0.303894134734471,Downregulated
34,0.520866018363579,Unchanged
35,0,Unchanged
36,1.1958201201143,Unchanged
37,1.89113455280609,Unchanged
38,11.3121526223914,Upregulated
39,12.059821407907,Upregulated
40,0.442784459894403,Downregulated
41,0.0342592141063214,Downregulated
42,0.375175661501636,Downregulated
43,0,Unchanged
44,0.0901611228867117,Downregulated
45,0.0245513542191529,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,2.30698796926589,Upregulated
50,0.566819539924186,Unchanged
51,0,Unchanged
52,15.3354587432831,Upregulated
53,0,Unchanged
54,3.25519421226119,Upregulated
55,3.54273014710542,Upregulated
56,0.28568743235514,Downregulated
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,0.920158840009211,Unchanged
61,1.33564430455837,Unchanged
62,92380205.980442,Unchanged
63,0,Unchanged
64,1.81380602624279,Unchanged
65,1.81085882152396,Unchanged
66,3.52862756640909,Upregulated
67,6.68741521150907,Upregulated
68,0,Unchanged
69,6.10224469067685,Upregulated
70,0,Unchanged
71,0.365904033076393,Downregulated
72,0,Unchanged
73,3.61199404564694e-07,Unchanged
74,0.0460249614478186,Downregulated
75,0,Unchanged
76,1.29282780702375,Unchanged
77,0,Unchanged
78,1.25295602343723,Unchanged
79,0,Unchanged
80,0,Unchanged
81,94983.1346412656,Unchanged
82,0.0691318619185693,Downregulated
83,1957947.42084217,Unchanged
84,0,Unchanged
85,0.500002580884107,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.137475226559013,Downregulated
89,0,Unchanged
90,0,Unchanged
91,7.1907759951748e-05,Unchanged
92,7.08292675508202,Upregulated
93,14045890.4748934,Unchanged
94,5930719.63435696,Unchanged
95,5930719.54238556,Unchanged
96,0,Unchanged
97,4.33006072984856,Upregulated
98,434374456.714885,Unchanged
99,43362938.2162375,Unchanged
100,82.2386579461178,Upregulated
101,20.5140736705482,Upregulated
102,18.1493828422294,Upregulated
103,18.1493827510916,Upregulated
104,6038407.21739594,Unchanged
105,0.686760820656721,Unchanged
106,0,Unchanged
107,0,Unchanged
108,7.75287326908775e-09,Unchanged
109,7.75287326908775e-09,Unchanged
110,7.75287326908775e-09,Unchanged
111,8.44447084511138e-09,Unchanged
112,8.44447084511138e-09,Unchanged
113,8.44447084511138e-09,Unchanged
114,0.00607225386401901,Unchanged
115,9.71669992168245e-07,Unchanged
116,0,Unchanged
117,0,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,815369.911504425,Unchanged
122,3176456.41349277,Unchanged
123,3914169.4558369,Unchanged
124,413219.975632279,Unchanged
125,167.290409412051,Upregulated
126,719288.220809103,Unchanged
127,26363424.3814747,Unchanged
128,0,Unchanged
129,0,Unchanged
130,50762.4917480036,Unchanged
131,3.16433195280297e-07,Unchanged
132,1.99321932532829,Unchanged
133,3.62440422167161,Upregulated
134,0,Unchanged
135,6.43642638130217,Upregulated
136,1.43890246555111,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,2.93366954681789,Upregulated
142,0.689780612526066,Unchanged
143,0,Unchanged
144,0,Unchanged
145,1.55722626831691,Unchanged
146,0.477796492411592,Downregulated
147,0.318560317934715,Downregulated
148,7.72355764077679,Upregulated
149,0,Unchanged
150,3.08338293507404e-07,Unchanged
151,3.08338294530586e-07,Unchanged
152,0,Unchanged
153,1.86124140145694e-06,Unchanged
154,8.62124173522716e-07,Unchanged
155,1.65295829901879e-07,Unchanged
156,0,Unchanged
157,1.53250948293476,Unchanged
158,9.64347022082955e-08,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,121.205117470087,Upregulated
163,0,Unchanged
164,1.22625645648857e-07,Unchanged
165,92283781.2320065,Unchanged
166,74026798.875493,Unchanged
167,46141890.6160033,Unchanged
168,50762.4917480036,Unchanged
169,7922603.39850665,Unchanged
170,7911968.2558477,Unchanged
171,13245788.1263032,Unchanged
172,444886.344425453,Unchanged
173,28292148.5800555,Unchanged
174,0,Unchanged
175,0,Unchanged
176,2469435.10625377,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.138920120399598,Downregulated
188,0,Unchanged
189,1.92023839981674,Unchanged
190,1.9202384419857,Unchanged
191,54015.4426479783,Unchanged
192,3.34370768810677,Upregulated
193,15.2293822585233,Upregulated
