Reaction,FSR,RegulationStatus
1,1.0751420501066,Unchanged
2,0.55154278853858,Unchanged
3,0,Unchanged
4,0.0510773094666219,Downregulated
5,0,Unchanged
6,198.976123753347,Upregulated
7,0,Unchanged
8,1.90076463336115,Unchanged
9,1.35619238340895,Unchanged
10,0,Unchanged
11,0.801250999053425,Unchanged
12,0.0570185843666797,Downregulated
13,0,Unchanged
14,0.690690646011148,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0466240547596015,Downregulated
19,0.351101431258048,Downregulated
20,0,Unchanged
21,2.02856060094981,Upregulated
22,0.352958185977584,Downregulated
23,0.975451711160495,Unchanged
24,6.34303338502109,Upregulated
25,2.06422553602526,Upregulated
26,0.779814079738334,Unchanged
27,3.99025659476138e-07,Unchanged
28,1.91963812151219,Unchanged
29,0,Unchanged
30,0.191624935955648,Downregulated
31,0,Unchanged
32,2.03598108628798,Upregulated
33,0.515385468883124,Unchanged
34,0.88088529493311,Unchanged
35,0,Unchanged
36,1.9830366186174,Unchanged
37,3.31808076309751,Upregulated
38,21.4764114840493,Upregulated
39,21.1442879398402,Upregulated
40,0.704122471953344,Unchanged
41,0.0566066000797328,Downregulated
42,0.624587672148122,Unchanged
43,0,Unchanged
44,0.151136668307552,Downregulated
45,0.0421567444633631,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,3.18893930654649,Upregulated
50,0.823913055615572,Unchanged
51,0,Unchanged
52,16.2192535129825,Upregulated
53,0,Unchanged
54,0,Unchanged
55,3.78314386156271,Upregulated
56,1.08811999789483,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,1.52133228841449,Unchanged
61,2.17402018485567,Upregulated
62,113952407.599485,Unchanged
63,0,Unchanged
64,3.04990996040835,Upregulated
65,3.04990990935277,Upregulated
66,5.83474251880363,Upregulated
67,11.0579380097152,Upregulated
68,0,Unchanged
69,10.5054911056494,Upregulated
70,0,Unchanged
71,0.629932386320744,Unchanged
72,0,Unchanged
73,4.8677439847656e-07,Unchanged
74,0.0771056319489607,Downregulated
75,0,Unchanged
76,2.16587474089378,Upregulated
77,0,Unchanged
78,2.21789298549066,Upregulated
79,0,Unchanged
80,0,Unchanged
81,15423.6080475605,Upregulated
82,0.0738226839296786,Downregulated
83,2395836.98874974,Unchanged
84,0,Unchanged
85,0.500005767809975,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.23029033160496,Downregulated
89,0,Unchanged
90,0,Unchanged
91,0.00123107613090394,Unchanged
92,7.08292779550793,Upregulated
93,19080528.1064836,Unchanged
94,7305012.4850958,Unchanged
95,7314093.98169162,Unchanged
96,0,Unchanged
97,7.15994779922112,Upregulated
98,535029656.575438,Unchanged
99,37348138.2206664,Unchanged
100,140.110149806815,Upregulated
101,24.2124063338234,Upregulated
102,23.0483385321211,Upregulated
103,23.0483380269401,Upregulated
104,7446898.79789635,Unchanged
105,1.12465347158884,Unchanged
106,0,Unchanged
107,0,Unchanged
108,1.05390277583769e-08,Unchanged
109,1.05390277583769e-08,Unchanged
110,1.05390277583769e-08,Unchanged
111,1.14860081655226e-08,Unchanged
112,1.14860081655226e-08,Unchanged
113,1.14860081655226e-08,Unchanged
114,0.0102271019394642,Downregulated
115,1.12443930652262e-06,Unchanged
116,0,Unchanged
117,2.64734255479198e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,0,Unchanged
122,3928292.79339844,Unchanged
123,4832749.03341404,Unchanged
124,510194.706607175,Unchanged
125,4657.52650051876,Upregulated
126,2973654.03993898,Unchanged
127,32603386.8500741,Unchanged
128,0,Unchanged
129,0,Unchanged
130,62674.9677232529,Unchanged
131,6.34073014480429e-06,Unchanged
132,3.43021442001775,Upregulated
133,6.89181337947013,Upregulated
134,0,Unchanged
135,12.3145620244603,Upregulated
136,0.332314723047429,Downregulated
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,4.18679286002535,Upregulated
142,1.1591758267379,Unchanged
143,0,Unchanged
144,0,Unchanged
145,2.57494184686721,Upregulated
146,0.777500723206586,Unchanged
147,0.52699929967887,Unchanged
148,12.5414938340869,Upregulated
149,0,Unchanged
150,4.14912294672831e-07,Unchanged
151,4.14912237943099e-07,Unchanged
152,0,Unchanged
153,6.39005143398208e-07,Unchanged
154,2.86827420381996e-07,Unchanged
155,2.173605957978e-07,Unchanged
156,0,Unchanged
157,2.49806723415966,Upregulated
158,1.30221187655744e-07,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,387.561018913099,Upregulated
163,0,Unchanged
164,1.61950904911821e-07,Unchanged
165,113859093.385746,Unchanged
166,91333763.838788,Unchanged
167,56929546.6928729,Unchanged
168,62674.9677232529,Unchanged
169,9781885.37017389,Unchanged
170,9784652.43383634,Unchanged
171,16354319.0343353,Unchanged
172,549292.54680223,Unchanged
173,34931765.9983735,Unchanged
174,0,Unchanged
175,0,Unchanged
176,18191290.52269,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.232732884983989,Downregulated
188,0,Unchanged
189,3.20387708316068,Upregulated
190,3.20387713623929,Upregulated
191,8139.5858555295,Upregulated
192,5.51601725484285,Upregulated
193,0,Unchanged
194,1.45246902248734e-06,Unchanged
195,0.0192478595356354,Downregulated
196,17.3184654900576,Upregulated
197,11.7290067787268,Upregulated
198,4.9918301962748e-07,Unchanged
199,4355156.49925769,Unchanged
200,0,Unchanged
201,4039190.14701816,Unchanged
202,1.45296644514215e-05,Unchanged
203,1.06057235183208e-06,Unchanged
204,32708636.2138372,Unchanged
205,0.000133110785845489,Unchanged
206,4.6778928931169,Upregulated
207,7.21543573922645e-06,Unchanged
208,114126431.678948,Unchanged
209,4.49277875157398e-05,Unchanged
210,0,Unchanged
211,0,Unchanged
212,0,Unchanged
213,32708638.3119276,Unchanged
214,0,Unchanged
215,0,Unchanged
216,8089718.28934248,Unchanged
217,1.00927084039353,Unchanged
218,6542367.86215211,Unchanged
219,0.116331203008585,Downregulated
220,0.270239156641307,Downregulated
221,0.267267472255292,Downregulated
222,0.564790097351874,Unchanged
223,0.107473404486146,Downregulated
224,0,Unchanged
