Reaction,FSR,RegulationStatus
1,1.50263179864223,Unchanged
2,0.781288468091502,Unchanged
3,0,Unchanged
4,0.0737592252183404,Downregulated
5,0,Unchanged
6,199.171440632979,Upregulated
7,0,Unchanged
8,2.83650600545287,Upregulated
9,1.94180295436966,Unchanged
10,0,Unchanged
11,1.16393207381664,Unchanged
12,0.0877312239455874,Downregulated
13,0,Unchanged
14,0.873660760025051,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0670132011630718,Downregulated
19,0.505021400932197,Unchanged
20,0,Unchanged
21,2.9608312884126,Upregulated
22,0.512714293153326,Unchanged
23,1.4058427048576,Unchanged
24,9.71183324092373,Upregulated
25,3.19755949239044,Upregulated
26,1.12812493282073,Unchanged
27,4.80247609516482e-07,Unchanged
28,2.79790604374526,Upregulated
29,0,Unchanged
30,0.273041533865645,Downregulated
31,0,Unchanged
32,2.99967600771109,Upregulated
33,0.736066169477792,Unchanged
34,1.27721574461922,Unchanged
35,0,Unchanged
36,2.81267633356222,Upregulated
37,4.98320069820308,Upregulated
38,35.9585357455235,Upregulated
39,31.8297349644327,Upregulated
40,1.03326912548144,Unchanged
41,0.0816247125176564,Downregulated
42,0.892928151203774,Unchanged
43,0,Unchanged
44,0.216208988965164,Downregulated
45,0.0602689192855469,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,4.12582154398527,Upregulated
50,1.20907558417739,Unchanged
51,0,Unchanged
52,28.2876162452592,Upregulated
53,0,Unchanged
54,25.1844496495298,Upregulated
55,6.49583338648131,Upregulated
56,0.649496232186482,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2.15870284377145,Upregulated
61,3.05664589250201,Upregulated
62,141048698.038439,Unchanged
63,0,Unchanged
64,4.36875711965928,Upregulated
65,4.36875742561054,Upregulated
66,8.2955771184638,Upregulated
67,15.7216794374223,Upregulated
68,0,Unchanged
69,15.0787472347391,Upregulated
70,0,Unchanged
71,0.904154841687707,Unchanged
72,0,Unchanged
73,5.65285132858749e-07,Unchanged
74,0.110641744846761,Downregulated
75,0,Unchanged
76,3.1071514000804,Upregulated
77,0,Unchanged
78,3.24309565915681,Upregulated
79,0,Unchanged
80,0,Unchanged
81,127096.096968656,Unchanged
82,0.126774518953182,Downregulated
83,2997567.92863279,Unchanged
84,0,Unchanged
85,0.500007371272299,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.330400765752541,Downregulated
89,0,Unchanged
90,0,Unchanged
91,8.22943274690444e-05,Unchanged
92,7.08292846034931,Upregulated
93,23601540.9197378,Unchanged
94,9057574.99304832,Unchanged
95,9057575.29788018,Unchanged
96,0,Unchanged
97,10.1796972545897,Upregulated
98,662367490.069834,Unchanged
