Reaction,FSR,RegulationStatus
1,0.537144246428812,Unchanged
2,0.27794558174187,Downregulated
3,0,Unchanged
4,0.0260026194755546,Downregulated
5,0,Unchanged
6,198.273388141292,Upregulated
7,0,Unchanged
8,0.976041550009785,Unchanged
9,0.694109298346725,Unchanged
10,0,Unchanged
11,0.409501904802745,Downregulated
12,0.0293553240341108,Downregulated
13,0,Unchanged
14,0.290833820662853,Downregulated
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0237605601194301,Downregulated
19,0.179246106043548,Downregulated
20,0,Unchanged
21,1.02744776796179,Unchanged
22,0.18052865559158,Downregulated
23,0.498302944219149,Downregulated
24,3.28173274555492,Upregulated
25,1.06683941435889,Unchanged
26,0.396538869305528,Downregulated
27,3.45559451940147e-07,Unchanged
28,0.981698946610583,Unchanged
29,0,Unchanged
30,0.0968031016680618,Downregulated
31,0,Unchanged
32,1.04319219772483,Unchanged
33,0.256430823609281,Downregulated
34,0.448432302746608,Downregulated
35,0,Unchanged
36,0.998214464771349,Unchanged
37,1.71313327340293,Unchanged
38,11.4440961245892,Upregulated
39,10.9424814710574,Upregulated
40,0.372886007395366,Downregulated
41,0.0285019069370334,Downregulated
42,0.31607243826115,Downregulated
43,0,Unchanged
44,0.0761566983384474,Downregulated
45,0.0212393186280092,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,1.47009288613274,Unchanged
50,0.429360466608779,Downregulated
51,0,Unchanged
52,10.8602584000911,Upregulated
53,0,Unchanged
54,0,Unchanged
55,2.12365286085797,Upregulated
56,0.2379688274542,Downregulated
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,0.766997274530709,Unchanged
61,1.10026953946547,Unchanged
62,67416615.2222053,Unchanged
63,0,Unchanged
64,1.54315805363694,Unchanged
65,1.5449385678767,Unchanged
66,2.95229258920272,Upregulated
67,5.59515153548607,Upregulated
68,0,Unchanged
69,5.36366835645819,Upregulated
70,0,Unchanged
71,0.321617372085599,Downregulated
72,0,Unchanged
73,4.16237875057317e-07,Unchanged
74,0.0390644016415432,Downregulated
75,0,Unchanged
76,1.09606996792897,Unchanged
77,0,Unchanged
78,1.12366243053817,Unchanged
79,0,Unchanged
80,0,Unchanged
81,59438.5343619749,Unchanged
82,0.0414327288491416,Downregulated
83,1433263.51053765,Unchanged
84,0,Unchanged
85,0.500004595532444,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.117137994575255,Downregulated
89,0,Unchanged
90,0,Unchanged
91,3.82565161739744e-05,Unchanged
92,7.08292522665113,Upregulated
93,10382432.0379965,Unchanged
94,4331641.93679185,Unchanged
95,4329238.95572241,Unchanged
96,0,Unchanged
97,3.62282662859524,Upregulated
98,316890176.798419,Unchanged
99,1084.27620591277,Upregulated
100,66.4283442357692,Upregulated
101,12.2975834269658,Upregulated
102,11.7377591447898,Upregulated
103,11.737758837869,Upregulated
104,4410294.28593927,Unchanged
105,0.567231985481519,Unchanged
106,0,Unchanged
107,0,Unchanged
108,9.02355178611838e-09,Unchanged
109,9.02355178611838e-09,Unchanged
110,9.02355178611838e-09,Unchanged
111,9.83676198945783e-09,Unchanged
112,9.83676198945783e-09,Unchanged
113,9.83676198945783e-09,Unchanged
114,0.00516557744412325,Unchanged
115,1,Unchanged
116,0,Unchanged
117,1.80017717136138e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,0,Unchanged
122,2323777.06664435,Unchanged
123,2855512.52733795,Unchanged
124,301805.09510008,Unchanged
125,54.0373325273068,Upregulated
126,1759061.62894814,Unchanged
127,19286496.1776328,Unchanged
128,0,Unchanged
129,0,Unchanged
130,37075.599678589,Unchanged
131,3.83259900290941e-07,Unchanged
132,1.74749880794311,Unchanged
133,3.64211069225043,Upregulated
134,0,Unchanged
135,6.80597012185226,Upregulated
136,0.168428953297458,Downregulated
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,2205147.14296963,Unchanged
142,0.585769365416384,Unchanged
143,0,Unchanged
144,0,Unchanged
145,1.30492636757857,Unchanged
146,0.394270992913404,Downregulated
147,0.267380327575266,Downregulated
