Reaction,FSR,RegulationStatus
1,0.750760393729047,Unchanged
2,0.388349944839507,Downregulated
3,0,Unchanged
4,0.0363318733629183,Downregulated
5,0,Unchanged
6,198.867948627578,Upregulated
7,0,Unchanged
8,1.36792604078963,Unchanged
9,0.970152701590294,Unchanged
10,0,Unchanged
11,0.573920201712603,Unchanged
12,0.0411941370743554,Downregulated
13,0,Unchanged
14,0.406357580204963,Downregulated
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.03330085196673,Downregulated
19,0.25045263454165,Downregulated
20,0,Unchanged
21,1.43993524644934,Unchanged
22,0.253203203550531,Downregulated
23,0.698389735129382,Unchanged
24,4.59931983101312,Upregulated
25,1.4951422242465,Unchanged
26,0.554948876373562,Unchanged
27,3.16926401477957e-07,Unchanged
28,1.37581931203555,Unchanged
29,0,Unchanged
30,0.135063113639386,Downregulated
31,0,Unchanged
32,1.45835346049047,Unchanged
33,0.359379693604073,Downregulated
34,0.625174631978127,Unchanged
35,0,Unchanged
36,1.39473291571494,Unchanged
37,2.3944468211492,Upregulated
38,15.9914725273383,Upregulated
39,15.2943037755868,Upregulated
40,0.522598388503648,Unchanged
41,0.0398225198667596,Downregulated
42,0.442111055135795,Downregulated
43,0,Unchanged
44,0.106792598781842,Downregulated
45,0.029634172688755,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,2.05757441068378,Upregulated
50,0.601751987737488,Unchanged
51,0,Unchanged
52,14.8118420246382,Upregulated
53,0,Unchanged
54,0,Unchanged
55,2.97772277851376,Upregulated
56,0.331186123632067,Downregulated
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,1.07492241749825,Unchanged
61,1.54377226273882,Unchanged
62,102764949.975567,Unchanged
63,0,Unchanged
64,2.15379725069407,Upregulated
65,2.15916981154548,Upregulated
66,4.13754375943844,Upregulated
67,7.82191485333081,Upregulated
68,0,Unchanged
69,7.47160741325673,Upregulated
70,0,Unchanged
71,0.449131579609184,Downregulated
72,0,Unchanged
73,3.81747457110173e-07,Unchanged
74,0.0545801684312326,Downregulated
75,0,Unchanged
76,1.53314118470881,Unchanged
77,0,Unchanged
78,1.57477699843422,Unchanged
79,0,Unchanged
80,0,Unchanged
81,90827.7492814799,Unchanged
82,0.0581008706984024,Downregulated
83,2190672.29916078,Unchanged
84,0,Unchanged
85,0.500004193796293,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.163663786688402,Downregulated
89,0,Unchanged
90,0,Unchanged
91,3.50320693509782e-05,Unchanged
92,7.08292730549174,Upregulated
93,15883998.6385725,Unchanged
94,6619309.42672202,Unchanged
95,6619309.81276644,Unchanged
96,0,Unchanged
97,5.07742160941425,Upregulated
98,483574807.378895,Unchanged
99,1513.54952671329,Upregulated
100,92.9720892808178,Upregulated
101,17.27036647026,Upregulated
102,16.4450458058899,Upregulated
103,16.4450461286106,Upregulated
104,6739499.07825836,Unchanged
105,0.794996263608868,Unchanged
106,0,Unchanged
107,0,Unchanged
108,8.2527022073009e-09,Unchanged
109,8.2527022073009e-09,Unchanged
110,8.2527022073009e-09,Unchanged
111,8.99367897056016e-09,Unchanged
112,8.99367897056016e-09,Unchanged
113,8.99367897056016e-09,Unchanged
114,0.00723324197719246,Unchanged
115,8.46851207427885e-07,Unchanged
116,0,Unchanged
117,1.64853732392203e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,0,Unchanged
122,3542195.38207728,Unchanged
123,4368626.57645222,Unchanged
124,461197.121976084,Unchanged
125,75.6813805472471,Upregulated
126,2688073.28149592,Unchanged
127,29472256.6509713,Unchanged
128,0,Unchanged
129,0,Unchanged
130,56633.806340453,Unchanged
131,5.03569884144451e-06,Unchanged
132,2.44501932896906,Upregulated
133,5.10124998988598,Upregulated
134,0,Unchanged
135,9.52416330286074,Upregulated
136,0.236414811366544,Downregulated
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,2.8536764659411,Upregulated
142,0.820683062793641,Unchanged
143,0,Unchanged
144,0,Unchanged
145,1.82594914233723,Unchanged
146,0.551904073694595,Unchanged
147,0.373380443529111,Downregulated
148,8.92432457517969,Upregulated
149,0,Unchanged
150,3.2461968840547e-07,Unchanged
151,3.24614774149801e-07,Unchanged
152,0,Unchanged
153,5.02037876372663e-07,Unchanged
154,2.30671630762247e-07,Unchanged
155,1.70045253952747e-07,Unchanged
156,0,Unchanged
157,1.75940251121121,Unchanged
158,1.0201753327359e-07,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,279.466444473074,Upregulated
163,0,Unchanged
164,1.2477880569627e-07,Unchanged
165,103166041.763736,Unchanged
166,82756200.5985442,Unchanged
167,51583020.8818679,Unchanged
168,56633.806340453,Unchanged
169,8820459.51691636,Unchanged
170,8831827.6123879,Unchanged
171,14783699.183314,Unchanged
172,496540.135075624,Unchanged
173,31577028.0369196,Unchanged
174,0,Unchanged
175,0,Unchanged
176,24038694.0307658,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.164746474031284,Downregulated
188,0,Unchanged
189,2.25138009349291,Upregulated
190,2.25137817897817,Upregulated
191,2310.56060421031,Upregulated
192,3.92071356367449,Upregulated
193,0,Unchanged
194,1.13904384119253e-06,Unchanged
195,0.0136462568889615,Downregulated
196,12.2940360628882,Upregulated
197,8.31730152741437,Upregulated
198,3.9200738405043e-07,Unchanged
