Reaction,FSR,RegulationStatus
1,0.617007266565323,Unchanged
2,0.320541190935506,Downregulated
3,0,Unchanged
4,0.0299868617474639,Downregulated
5,0,Unchanged
6,198.497633218623,Upregulated
7,0,Unchanged
8,1.12866008692768,Unchanged
9,0.800472290990047,Unchanged
10,0,Unchanged
11,0.472320263000673,Downregulated
12,0.033989848029262,Downregulated
13,0,Unchanged
14,0.335363176460993,Downregulated
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0274729848033255,Downregulated
19,0.206715928196233,Downregulated
20,0,Unchanged
21,1.18341430982228,Unchanged
22,0.208089838132078,Downregulated
23,0.576227579481566,Unchanged
24,3.79500842853355,Upregulated
25,1.23366164546847,Unchanged
26,0.458003264366346,Downregulated
27,3.47679759606478e-07,Unchanged
28,1.13070758804064,Unchanged
29,0,Unchanged
30,0.111322649918136,Downregulated
31,0,Unchanged
32,1.20157353365841,Unchanged
33,0.296525577287595,Downregulated
34,0.515105426325016,Unchanged
35,0,Unchanged
36,1.15116977869809,Unchanged
37,1.97561119126756,Unchanged
38,13.1962297003139,Upregulated
39,12.6190347867702,Upregulated
40,0.431203032945034,Downregulated
41,0.0328688296625068,Downregulated
42,0.363468795320139,Downregulated
43,0,Unchanged
44,0.0881149801943932,Downregulated
45,0.0244876022923573,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,1.69999393915169,Unchanged
50,0.496499471421588,Downregulated
51,0,Unchanged
52,12.1419228426038,Upregulated
53,0,Unchanged
54,2.26045242113055,Upregulated
55,2.45572773295674,Upregulated
56,0.283474941763344,Downregulated
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,0.886922939890007,Unchanged
61,1.27378745313295,Unchanged
62,77482247.4755709,Unchanged
63,0,Unchanged
64,1.77462639574643,Unchanged
65,1.77462637481138,Unchanged
66,3.4004519231485,Upregulated
67,6.45377214124734,Upregulated
68,0,Unchanged
69,6.17399487156998,Upregulated
70,0,Unchanged
71,0.371141144916565,Downregulated
72,0,Unchanged
73,4.18801772597132e-07,Unchanged
74,0.0450505186156264,Downregulated
75,0,Unchanged
76,1.26545610467635,Unchanged
77,0,Unchanged
78,1.2942349087643,Unchanged
79,0,Unchanged
80,0,Unchanged
81,68313.15080401,Unchanged
82,0.0478370626099449,Downregulated
83,1647603.34169263,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.135085263931101,Downregulated
89,0,Unchanged
90,0,Unchanged
91,3.85073733848825e-05,Unchanged
92,7.08292608560122,Upregulated
93,11946348.3995052,Unchanged
94,4978378.18853159,Unchanged
95,4978378.63090157,Unchanged
96,0,Unchanged
97,4.17308262341243,Upregulated
98,364623619.809535,Unchanged
99,1251.99976235697,Upregulated
100,76.9059437937874,Upregulated
101,14.1867037246262,Upregulated
102,13.5041965656308,Upregulated
103,13.5041975316025,Upregulated
104,5059108.96537324,Unchanged
105,0.653407208324551,Unchanged
106,0,Unchanged
107,0,Unchanged
108,9.05683513888346e-09,Unchanged
109,9.05683513888346e-09,Unchanged
110,9.05683513888346e-09,Unchanged
111,9.87022898470968e-09,Unchanged
112,9.87022898470968e-09,Unchanged
113,9.87022898470968e-09,Unchanged
114,0.00596982369033444,Unchanged
115,1,Unchanged
116,0,Unchanged
117,1.81126695021021e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,674171.707317073,Unchanged
122,2660173.39951515,Unchanged
123,3272656.15636675,Unchanged
124,346866.05609612,Unchanged
125,21.1331249640017,Upregulated
126,597405.154139521,Unchanged
127,22080355.0565078,Unchanged
128,0,Unchanged
129,0,Unchanged
130,42608.0622776855,Unchanged
131,3.85623794495693e-07,Unchanged
132,2.01508253960244,Upregulated
133,4.21564607838289,Upregulated
134,0,Unchanged
135,7.87013075545797,Upregulated
136,0.194480883891786,Downregulated
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,2529554.48268662,Unchanged
142,0.677358516522312,Unchanged
143,0,Unchanged
144,0,Unchanged
145,1.50659719995825,Unchanged
146,0.454802200743056,Downregulated
147,0.308347049911015,Downregulated
148,7.36586268860516,Upregulated
149,0,Unchanged
150,3.56189729008823e-07,Unchanged
151,3.56189755346126e-07,Unchanged
152,0,Unchanged
153,5.49992649577123e-07,Unchanged
154,2.52549016590624e-07,Unchanged
155,1.86551167018191e-07,Unchanged
156,0,Unchanged
157,1.45062649956042,Unchanged
158,1.11957743983721e-07,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,230.58792705739,Upregulated
163,0,Unchanged
164,1.3689061154185e-07,Unchanged
165,77591137.778386,Unchanged
166,62000217.9497341,Unchanged
167,38795568.889193,Unchanged
168,42608.0622776855,Unchanged
169,6624127.33294877,Unchanged
170,6626002.64023791,Unchanged
171,11074868.5659024,Unchanged
172,373447.510008098,Unchanged
173,23749062.3698363,Unchanged
174,0,Unchanged
175,0,Unchanged
176,18079541.3818252,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.135978950765446,Downregulated
188,0,Unchanged
189,1.85825051906268,Unchanged
190,1.85825055249221,Unchanged
191,1911.14219601273,Upregulated
192,3.22224868572355,Upregulated
193,1.49941308887024,Unchanged
194,1.24999406947153e-06,Unchanged
195,0.011261305614502,Downregulated
196,10.1471190819326,Upregulated
197,6.86263551251632,Upregulated
198,4.30196930665261e-07,Unchanged
199,2960940.08672056,Unchanged
200,0,Unchanged
201,2743099.0266107,Unchanged
202,1.25043862795223e-05,Unchanged
203,9.05788941463636e-07,Unchanged
204,22237620.8758211,Unchanged
205,0.000129194757070817,Unchanged
206,2.24179355236523,Upregulated
207,6.46754222423596e-06,Unchanged
208,77291115.8264715,Unchanged
209,3.16688664607159e-05,Unchanged
210,0,Unchanged
211,0,Unchanged
212,0,Unchanged
213,22237621.3677416,Unchanged
214,0,Unchanged
215,0,Unchanged
216,387.594706044412,Upregulated
217,7.11255149666062e-05,Unchanged
218,4447959.75823188,Unchanged
219,0.0675481304588326,Downregulated
220,0.156339580604772,Downregulated
221,0.154633323062916,Downregulated
222,0.326651316774323,Downregulated
223,0.0624048130141016,Downregulated
224,0,Unchanged
225,53130.4328732876,Unchanged
226,101.354491757312,Upregulated
227,0,Unchanged
228,0,Unchanged
229,13.121446600519,Upregulated
230,182311809.904767,Unchanged
231,1995.33990536531,Upregulated
232,238.55531714286,Upregulated
233,0,Unchanged
234,33.6622586534509,Upregulated
235,0,Unchanged
236,20.5154217943326,Upregulated
237,36.4250228566553,Upregulated
238,39.8211632993646,Upregulated
239,25086.1639631019,Unchanged
240,5.15438595130036e-08,Unchanged
241,0,Unchanged
242,1.09902565302633e-07,Unchanged
243,0,Unchanged
244,1686.50006756452,Upregulated
245,282192.175081122,Unchanged
246,0.998897039148979,Unchanged
247,20.4343457763056,Upregulated
248,231397060.675378,Unchanged
249,129902997.640264,Unchanged
250,22.2337248509028,Upregulated
251,116157584.151713,Unchanged
252,22.4034568937162,Upregulated
253,22.523865485586,Upregulated
254,22.5241333761101,Upregulated
255,315541694.101017,Unchanged
256,141.940609364918,Upregulated
257,9.22611525311368e-08,Unchanged
258,2.90948027441118e-07,Unchanged
259,1.40983976561984e-05,Unchanged
260,0.254195101848493,Downregulated
261,0,Unchanged
262,0.835949254610046,Unchanged
263,3542886.18318368,Unchanged
264,9.3678701819729e-09,Unchanged
265,3.43940174563611e-08,Unchanged
266,0.0277377023515144,Downregulated
267,0,Unchanged
268,0.109745206655092,Downregulated
269,0.0268167462215394,Downregulated
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.47114186359541,Downregulated
278,0,Unchanged
279,0,Unchanged
280,0.0396902656707915,Downregulated
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.998596615707906,Unchanged
288,4.60765968665555e-06,Unchanged
289,0,Unchanged
290,0.998596615707901,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.0306376390925268,Downregulated
296,0.0538351873133624,Downregulated
297,0,Unchanged
298,0.00424700610156048,Unchanged
299,186.128465893967,Upregulated
300,0,Unchanged
301,0,Unchanged
302,179849.377801729,Unchanged
303,0,Unchanged
304,11540018.5574655,Unchanged
305,5.47450858921617,Upregulated
306,0,Unchanged
307,6.44405337972259,Upregulated
308,5022490.06036254,Unchanged
309,800383.249212322,Unchanged
310,0.902802876764418,Unchanged
311,5496902.22471137,Unchanged
312,55.2402470347488,Upregulated
313,10994746.5161886,Unchanged
314,0.141361432452817,Downregulated
315,65.1814277019712,Upregulated
316,6409953.84107987,Unchanged
317,5921880.27817369,Unchanged
318,85216.1245551646,Unchanged
319,21821825.7250967,Unchanged
320,21821825.7174837,Unchanged
321,21821825.7250967,Unchanged
322,47990032310.5898,Unchanged
323,741619.252856316,Unchanged
324,146903.745477225,Unchanged
325,1507760.73879252,Unchanged
326,0,Unchanged
327,12147514.9086561,Unchanged
328,11181675.3920011,Unchanged
329,1.01218098737664,Unchanged
330,0,Unchanged
331,2,Upregulated
332,0,Unchanged
333,4968886.82715482,Unchanged
334,0,Unchanged
335,86654681.043179,Unchanged
336,201284.751993075,Unchanged
337,13252005.2804758,Unchanged
338,13252005.2823839,Unchanged
339,0,Unchanged
340,86654681.043179,Unchanged
341,0,Unchanged
342,0,Unchanged
343,0.238139605949405,Downregulated
344,2.7700672114464,Upregulated
345,0,Unchanged
346,0,Unchanged
347,111.896937087163,Upregulated
348,11272766.219271,Unchanged
349,22237620.5525591,Unchanged
