Reaction,FSR,RegulationStatus
1,0.884799029623425,Unchanged
2,0.457839657098177,Downregulated
3,0,Unchanged
4,0.0428314747803364,Downregulated
5,0,Unchanged
6,198.737356786243,Upregulated
7,0,Unchanged
8,1.612161855826,Unchanged
9,1.14336966449323,Unchanged
10,0,Unchanged
11,0.676366969783823,Unchanged
12,0.0485488245874367,Downregulated
13,0,Unchanged
14,0.479069840223337,Downregulated
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.039245449440254,Downregulated
19,0.295259215901511,Downregulated
20,0,Unchanged
21,1.69701753637525,Unchanged
22,0.298400777685174,Downregulated
23,0.82305466643536,Unchanged
24,5.4211044916356,Upregulated
25,1.76207987973228,Unchanged
26,0.655695630180916,Unchanged
27,4.16864221605806e-07,Unchanged
28,1.62145406664637,Unchanged
29,0,Unchanged
30,0.159377345187076,Downregulated
31,0,Unchanged
32,1.72305690810295,Unchanged
33,0.423542356810755,Downregulated
34,0.738669898233526,Unchanged
35,0,Unchanged
36,1.64425408448655,Unchanged
37,2.82186440946327,Upregulated
38,18.8465490462188,Upregulated
39,17.9951134439166,Upregulated
40,0.615901717667094,Unchanged
41,0.0469481998837049,Downregulated
42,0.521220566641101,Unchanged
43,0,Unchanged
44,0.12585907168517,Downregulated
45,0.0349770515767839,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,2.42817323697316,Upregulated
50,0.709167130442695,Unchanged
51,0,Unchanged
52,18.7161888537419,Upregulated
53,0,Unchanged
54,3.22291582180618,Upregulated
55,3.50760056050986,Upregulated
56,0.394324784898724,Downregulated
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,1.26683615790897,Unchanged
61,1.81939266505118,Unchanged
62,92304248.6029073,Unchanged
63,0,Unchanged
64,2.54481451887232,Upregulated
65,2.54067951807838,Upregulated
66,4.87624236671638,Upregulated
67,9.24141415231194,Upregulated
68,0,Unchanged
69,8.84079346692843,Upregulated
70,0,Unchanged
71,0.53011344990588,Unchanged
72,0,Unchanged
73,5.0213918523061e-07,Unchanged
74,0.0643479355418212,Downregulated
75,0,Unchanged
76,1.80751483056334,Unchanged
77,0,Unchanged
78,1.85593346839348,Unchanged
79,0,Unchanged
80,0,Unchanged
81,81385.5649071953,Unchanged
