Reaction,FSR,RegulationStatus
1,0.784447770227399,Unchanged
2,0.402831974990881,Downregulated
3,0,Unchanged
4,0.0378262953915678,Downregulated
5,0,Unchanged
6,198.976123753347,Upregulated
7,0,Unchanged
8,1.42589328608224,Unchanged
9,1.00394816107319,Unchanged
10,0,Unchanged
11,0.595883117063348,Unchanged
12,0.0430414791379753,Downregulated
13,0,Unchanged
14,0.421712689987081,Downregulated
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0347945590746517,Downregulated
19,0.260394920635875,Downregulated
20,0,Unchanged
21,1.50450884394904,Unchanged
22,0.262764343730197,Downregulated
23,0.727959255211239,Unchanged
24,4.76018713416483,Upregulated
25,1.5621913040393,Unchanged
26,0.578270844857176,Unchanged
27,2.99336241482706e-07,Unchanged
28,1.43528303112689,Unchanged
29,0,Unchanged
30,0.140981150572535,Downregulated
31,0,Unchanged
32,1.52763366685417,Unchanged
33,0.375495939401461,Downregulated
34,0.651447738098127,Unchanged
35,0,Unchanged
36,1.44662819936428,Unchanged
37,2.48859489070316,Upregulated
38,16.5656624410342,Upregulated
39,15.8584346468773,Upregulated
40,0.546047830555261,Unchanged
41,0.0414045275720106,Downregulated
42,0.45857405552533,Downregulated
43,0,Unchanged
44,0.110713436172555,Downregulated
45,0.0307842835314357,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,2.13924587421506,Upregulated
50,0.624171006646236,Unchanged
51,0,Unchanged
52,15.6626757311363,Upregulated
53,0,Unchanged
54,0,Unchanged
55,3.0873599786816,Upregulated
56,0.351322664132157,Downregulated
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,1.12312725069797,Unchanged
61,1.61300188267145,Unchanged
62,113966269.752519,Unchanged
63,0,Unchanged
64,2.24432285602353,Upregulated
65,2.2443228184535,Upregulated
66,4.32319959654681,Upregulated
67,8.19328018076738,Upregulated
68,0,Unchanged
69,7.78148483106793,Upregulated
70,0,Unchanged
71,0.466594970140647,Downregulated
72,0,Unchanged
73,3.58673852799488e-07,Unchanged
74,0.0567497261820435,Downregulated
75,0,Unchanged
76,1.59408327749246,Unchanged
77,0,Unchanged
78,1.64539776985857,Unchanged
79,0,Unchanged
80,0,Unchanged
81,100475.64954238,Unchanged
82,0.0602454488181174,Downregulated
83,2423408.88836123,Unchanged
84,0,Unchanged
85,0.500003938282416,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.170011661798124,Downregulated
89,0,Unchanged
90,0,Unchanged
91,3.28928188275721e-05,Unchanged
92,7.08292779550793,Upregulated
93,17571511.0911601,Unchanged
94,7305012.4850958,Unchanged
95,7314093.98169162,Unchanged
96,0,Unchanged
97,5.27719585907775,Upregulated
98,535029656.575438,Unchanged
99,1570.92160282927,Upregulated
100,97.1531297011654,Upregulated
101,17.8389355938109,Upregulated
102,16.9631312495512,Upregulated
103,16.9807323145351,Upregulated
104,7446898.79789635,Unchanged
105,0.824297438714187,Unchanged
106,0,Unchanged
107,0,Unchanged
108,7.76721132069724e-09,Unchanged
109,7.76721132069724e-09,Unchanged
110,7.76721132069724e-09,Unchanged
111,8.45311908506119e-09,Unchanged
112,8.45311908506119e-09,Unchanged
113,8.45311908506119e-09,Unchanged
114,0.00751969267193299,Unchanged
115,8.01073113656514e-07,Unchanged
116,0,Unchanged
117,1.5481413102691e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,0,Unchanged
122,3928292.79339844,Unchanged
123,4832749.03341404,Unchanged
124,510194.706607175,Unchanged
125,78.5613186383024,Upregulated
126,2973654.03993898,Unchanged
127,32603386.8500741,Unchanged
128,0,Unchanged
129,0,Unchanged
130,62674.9677232529,Unchanged
131,4.75609366923598e-06,Unchanged
132,2.5618965206528,Upregulated
133,5.29265480316829,Upregulated
134,0,Unchanged
135,9.89410601511184,Upregulated
136,0.243979104818593,Downregulated
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,2.98275520355789,Upregulated
142,0.853262185612716,Unchanged
143,0,Unchanged
144,0,Unchanged
145,1.897797123565,Unchanged
146,0.576876903235066,Unchanged
147,0.388411783461496,Downregulated
148,9.30532655340999,Upregulated
149,0,Unchanged
150,3.05742379775875e-07,Unchanged
151,3.05742309052152e-07,Unchanged
152,0,Unchanged
153,4.7055271631478e-07,Unchanged
154,2.15403722336305e-07,Unchanged
155,1.59767220068385e-07,Unchanged
156,0,Unchanged
157,1.83842414203654,Unchanged
158,9.58838203804717e-08,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,290.52424381793,Upregulated
163,0,Unchanged
164,1.17236836034377e-07,Unchanged
165,113859093.385746,Unchanged
166,91333763.838788,Unchanged
167,56929546.6928729,Unchanged
168,62674.9677232529,Unchanged
169,9781885.37017389,Unchanged
170,9784652.43383634,Unchanged
171,16354319.0343353,Unchanged
172,549292.54680223,Unchanged
173,34931765.9983735,Unchanged
174,0,Unchanged
175,0,Unchanged
176,26592506.9963694,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.171291348549717,Downregulated
188,0,Unchanged
189,2.340848275254,Upregulated
190,2.34084826766262,Upregulated
191,2403.20753457189,Upregulated
192,4.08694114769572,Upregulated
193,0,Unchanged
194,1.07619416947143e-06,Unchanged
195,0.0142611716957202,Downregulated
196,12.849663598362,Upregulated
197,8.64457399456373,Upregulated
198,3.70375416916128e-07,Unchanged
199,4355156.49925769,Unchanged
200,0,Unchanged
201,4039190.14701816,Unchanged
202,1.07653549228098e-05,Unchanged
203,7.75748899234063e-07,Unchanged
204,32708636.2138372,Unchanged
205,0.000111234732417467,Unchanged
206,2.81832254945407,Upregulated
207,5.53961753888643e-06,Unchanged
208,114126431.678948,Unchanged
209,2.70679554974425e-05,Unchanged
210,0,Unchanged
211,0,Unchanged
212,0,Unchanged
213,32708638.3119276,Unchanged
214,0,Unchanged
215,0,Unchanged
216,487.261727709023,Upregulated
217,6.09129015373334e-05,Unchanged
218,6542367.86215211,Unchanged
219,0.0850897351807301,Downregulated
220,0.197720916923625,Downregulated
221,0.195832875897801,Downregulated
222,0.413112199163079,Downregulated
223,0.0787192236835178,Downregulated
224,0,Unchanged
225,78147.9289962514,Unchanged
226,127.415087090334,Upregulated
227,0,Unchanged
228,0,Unchanged
229,16.5284082918706,Upregulated
230,267514828.287719,Unchanged
231,2502.89886562339,Upregulated
232,299.212401864871,Upregulated
233,0,Unchanged
234,42.6971218374265,Upregulated
235,0,Unchanged
236,25.7825508389907,Upregulated
237,45.8842497289098,Upregulated
238,50.6270497796021,Upregulated
239,36897.9910568925,Unchanged
240,4.40551136314494e-08,Unchanged
241,0,Unchanged
242,9.41223114026002e-08,Unchanged
243,0,Unchanged
244,2480.61639694306,Upregulated
245,415067.844460152,Unchanged
246,0.998897037635992,Unchanged
247,25.782238572497,Upregulated
248,340904851.353412,Unchanged
249,191113396.641252,Unchanged
250,28.1620498702826,Upregulated
251,170452423.972318,Unchanged
252,28.302548096824,Upregulated
253,28.3436814507719,Upregulated
254,28.5223984759724,Upregulated
255,465962167.641013,Unchanged
256,179.508546764227,Upregulated
257,7.90158001109376e-08,Unchanged
258,2.5049284953127e-07,Unchanged
259,1.20504090153304e-05,Unchanged
260,0.320207171958036,Downregulated
261,0,Unchanged
262,0.835946394367556,Unchanged
263,5211123.02470626,Unchanged
264,8.02279089484644e-09,Unchanged
265,2.94555831566943e-08,Unchanged
266,0.0349405099078759,Downregulated
267,0,Unchanged
268,0.138245001147363,Downregulated
269,0.0338274208644425,Downregulated
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.471139282864255,Downregulated
278,0,Unchanged
279,0,Unchanged
280,0.0500525753563695,Downregulated
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.998596592680537,Unchanged
288,3.93805451398066e-06,Unchanged
289,0,Unchanged
290,0.998596592680506,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.0386568105883225,Downregulated
296,0.0678156556909856,Downregulated
297,0,Unchanged
298,0.00534991518377038,Unchanged
299,234.833836719771,Upregulated
300,0,Unchanged
301,0,Unchanged
302,264510.227025386,Unchanged
303,0,Unchanged
304,16998951.4355394,Unchanged
305,6.89248854611614,Upregulated
306,0,Unchanged
307,8.11397273180668,Upregulated
308,7370122.01981131,Unchanged
309,1177259.34410733,Unchanged
310,1.14326499597853,Unchanged
311,8117305.64529517,Unchanged
312,69.7004639863369,Upregulated
313,16234611.697908,Unchanged
314,0.178069551946132,Downregulated
315,81.9189104795806,Upregulated
316,9428205.71935777,Unchanged
317,8689458.64407432,Unchanged
318,125349.935446506,Unchanged
319,32097055.3729842,Unchanged
320,32097055.3729842,Unchanged
321,32097055.3729842,Unchanged
322,70418094279.7065,Unchanged
323,1090825.11576372,Unchanged
324,216076.238620877,Unchanged
325,2217719.23549819,Unchanged
326,0,Unchanged
327,17824629.2510576,Unchanged
328,16459709.1233034,Unchanged
329,0,Unchanged
330,0,Unchanged
331,449901.873380934,Unchanged
332,0,Unchanged
333,7322544.57281979,Unchanged
334,0,Unchanged
335,127159156.511444,Unchanged
336,295156.87318542,Unchanged
337,19569304.8676727,Unchanged
338,19569304.8676727,Unchanged
339,0,Unchanged
340,127159156.511444,Unchanged
341,0,Unchanged
342,0,Unchanged
343,0.302764881820861,Downregulated
344,3.48580988492483,Upregulated
345,0,Unchanged
346,0,Unchanged
347,140.676386419958,Upregulated
348,0,Unchanged
349,32406634.4907812,Unchanged
350,98541.3071810301,Unchanged
351,0.274537600824581,Downregulated
352,1768.3863448199,Upregulated
353,0,Unchanged
354,9300059.813161,Unchanged
355,0,Unchanged
356,0.00208059859486822,Unchanged
357,0,Unchanged
358,0,Unchanged
359,3.19707596969354,Upregulated
360,3.48943454086553,Upregulated
361,5.9770163248173,Upregulated
362,0,Unchanged
363,6.34346207306299,Upregulated
364,0,Unchanged
365,0,Unchanged
366,1.70878698662157e-07,Unchanged
367,0,Unchanged
368,0,Unchanged
369,2.82985887722625e-07,Unchanged
370,4.2691147511075e-07,Unchanged
371,0,Unchanged
372,0,Unchanged
373,0.658751167034169,Unchanged
374,0.560487093351809,Unchanged
375,0.000123395439573066,Unchanged
376,16.730683070132,Upregulated
377,2.23517888755614,Upregulated
378,0.224601080061532,Downregulated
379,4084858.89300924,Unchanged
380,0.0668846211824492,Downregulated
381,0.0786107395321942,Downregulated
382,8241.58581921055,Upregulated
383,8241.58681748297,Upregulated
384,0.0349887404657808,Downregulated
385,0,Unchanged
386,0.227389400336077,Downregulated
387,6.28215714948119,Upregulated
388,8710313.1080003,Unchanged
389,0.555501861327067,Unchanged
390,0.652891643406019,Unchanged
391,8710312.09721491,Unchanged
392,63.9258811358161,Upregulated
393,63.8789739517701,Upregulated
394,8710313.12039927,Unchanged
395,0.632065215577274,Unchanged
396,8710312.8239022,Unchanged
397,0.00342926019026069,Unchanged
398,0,Unchanged
399,0.00229259996029752,Unchanged
400,0,Unchanged
401,23.1682685894877,Upregulated
402,0.0400875955239752,Downregulated
403,2021642.29497343,Unchanged
404,0.73878659826652,Unchanged
405,0.00382567430700862,Unchanged
406,0.00255149602240433,Unchanged
407,1.50402192402444,Unchanged
408,2.02067369942373,Upregulated
409,0,Unchanged
410,0,Unchanged
411,0,Unchanged
412,0,Unchanged
413,0.84994420189454,Unchanged
414,0.58345796157487,Unchanged
415,0.691739359033474,Unchanged
416,5878562.81206016,Unchanged
417,1.04669942362582,Unchanged
418,1.13458807685122,Unchanged
419,0.956886028165916,Unchanged
420,0.0462974566971341,Downregulated
421,0.748388066858102,Unchanged
422,0.0415855891808717,Downregulated
423,0,Unchanged
424,0.000215022775535628,Unchanged
425,0.00190438318204248,Unchanged
426,0.00192460623726791,Unchanged
427,11565078.4155215,Unchanged
428,0.944185333414858,Unchanged
429,0.419419938037372,Downregulated
430,8.96873072808129e-05,Unchanged
431,0.0661678223482722,Downregulated
432,0,Unchanged
433,7.00717494094318,Upregulated
434,144.275556730062,Upregulated
435,3.22851212257897,Upregulated
436,0.556501454587241,Unchanged
437,0.519768474793228,Unchanged
438,10281849.4676003,Unchanged
439,3.7881085368738,Upregulated
440,8435186.60004382,Unchanged
441,0.238715356663242,Downregulated
442,0,Unchanged
443,0.5,Downregulated
444,1.54769026578747,Unchanged
445,53939386.1413172,Unchanged
446,5079416.35893749,Unchanged
447,0,Unchanged
448,0.0385573279436225,Downregulated
449,0.135903377060712,Downregulated
450,2.69345122227094e-07,Unchanged
451,0,Unchanged
452,0,Unchanged
453,0,Unchanged
454,10.6650568933694,Upregulated
455,2.07371643016049,Upregulated
456,13.2148725267223,Upregulated
457,2.07371967163447,Upregulated
458,13.1194302015692,Upregulated
459,2.25407651973638,Upregulated
460,12.2126139376956,Upregulated
461,1.42731323424962,Unchanged
462,12.2126159094535,Upregulated
463,2.23782964716303,Upregulated
464,2.44247350119157,Upregulated
465,13.0348437806366,Upregulated
466,2.44247358087004,Upregulated
467,12.058734656782,Upregulated
468,2.44247349311229,Upregulated
469,2.07371982301679,Upregulated
470,0.0369673503007333,Downregulated
471,0,Unchanged
472,0.30464650565027,Downregulated
473,0.160134735502934,Downregulated
474,14.1854403410076,Upregulated
475,0,Unchanged
476,1.19564175021276,Unchanged
477,2.41837445938678,Upregulated
478,53643495.0444348,Unchanged
479,41.6077249204938,Upregulated
480,34.7755555109457,Upregulated
481,18.5131199290397,Upregulated
482,40.3471041614336,Upregulated
483,48.0013008478527,Upregulated
484,493735484.41621,Unchanged
485,300.718035819475,Upregulated
486,0,Unchanged
487,1.05569361878257e-06,Unchanged
488,4.22670465336573,Upregulated
489,0,Unchanged
490,0,Unchanged
491,46.6378237929721,Upregulated
492,0,Unchanged
493,4286064.01072865,Unchanged
494,18.6080789268875,Upregulated
495,423.974373988037,Upregulated
496,235.278253566055,Upregulated
497,309.461991876661,Upregulated
498,685.303573786715,Upregulated
499,27.80171965671,Upregulated
500,155.476400026622,Upregulated
501,0,Unchanged
502,4.4748605593053,Upregulated
503,792.499053312812,Upregulated
504,28.3016578302817,Upregulated
505,40.0619605040383,Upregulated
506,16.0001411935701,Upregulated
507,34.0266918921854,Upregulated
508,21.9416097045502,Upregulated
509,1.41963839292991e-07,Unchanged
510,116.81744815363,Upregulated
511,0,Unchanged
512,11.7239169275318,Upregulated
513,12.3164465043003,Upregulated
514,0.893040924371295,Unchanged
515,0.112208553570289,Downregulated
516,1.82113715588963e-07,Unchanged
517,4.11379377113624,Upregulated
518,0,Unchanged
519,3443.96863625544,Upregulated
520,1.63141949104838,Unchanged
521,0.739834801877437,Unchanged
522,0.475321244957244,Downregulated
523,0.671772914346084,Unchanged
524,23.18864645648,Upregulated
525,0.661352643638083,Unchanged
526,2.48878981241444,Upregulated
527,0.49888166560761,Downregulated
528,12.5624194934418,Upregulated
529,0,Unchanged
530,23.2075534723046,Upregulated
531,291782200.03187,Unchanged
532,340904847.944636,Unchanged
533,424543212.008481,Unchanged
534,75.9212490829201,Upregulated
535,2.8376140464622,Upregulated
536,71.5852326277802,Upregulated
537,3.11170223411171,Upregulated
538,35.0401197780652,Upregulated
539,1386.12907916203,Upregulated
540,897.117006828899,Upregulated
541,473266717.205358,Unchanged
542,946533434.410716,Unchanged
543,19.4493519511384,Upregulated
544,8.54248023819532,Upregulated
545,8.59363265495334,Upregulated
546,26.7564892832091,Upregulated
547,23.8617387974546,Upregulated
548,26.7564892832091,Upregulated
549,23.8617314576655,Upregulated
550,24.840645187733,Upregulated
551,23.8617314576655,Upregulated
552,24.840645187733,Upregulated
553,23.8617314576655,Upregulated
554,24.840645187733,Upregulated
555,19.4493519511384,Upregulated
556,37.7856323390985,Upregulated
557,0,Unchanged
558,6.8707066638885,Upregulated
559,0,Unchanged
560,0.012567602713362,Downregulated
561,3.61520926143808e-08,Unchanged
562,0.388743029307972,Downregulated
563,1.25588089372286e-06,Unchanged
564,4.10959639545052e-08,Unchanged
565,4.40559789467443e-08,Unchanged
566,0,Unchanged
567,0.0800443741092218,Downregulated
568,237955.421415433,Unchanged
569,4922197.32935863,Unchanged
570,65206775.7545461,Unchanged
571,0,Unchanged
572,0,Unchanged
573,0.0143386834542192,Downregulated
574,0.000289608891399538,Unchanged
575,0.0115649953495731,Downregulated
576,0,Unchanged
577,0,Unchanged
578,0.0193904055414488,Downregulated
579,0.442048531529087,Downregulated
580,0.000510054830120362,Unchanged
581,0.153168355780516,Downregulated
582,5.49874420025276e-06,Unchanged
583,64486.1407922772,Unchanged
584,58575410.3540014,Unchanged
585,1.03352460815164e-07,Unchanged
586,1.28045943299311,Unchanged
587,0.0870370744089964,Downregulated
588,0,Unchanged
589,0.135660113488746,Downregulated
590,3.63171479588128e-08,Unchanged
591,0.000748926426193135,Unchanged
592,0.559532862906509,Unchanged
593,3.33703017465532e-08,Unchanged
594,1.4392114071846,Unchanged
595,2.6968949977385,Upregulated
596,0.172063056264376,Downregulated
597,0.0030037984462154,Unchanged
598,0,Unchanged
599,0,Unchanged
600,0.000723029459441032,Unchanged
601,0,Unchanged
602,0.0368676882798909,Downregulated
603,0,Unchanged
604,0,Unchanged
605,2.6700114945679e-07,Unchanged
606,0,Unchanged
607,0,Unchanged
608,0.0243004164377522,Downregulated
609,0,Unchanged
610,0,Unchanged
611,0.334922469105333,Downregulated
612,0.200799369340201,Downregulated
613,0.0794002561884176,Downregulated
614,0.0271205805770489,Downregulated
615,8.31555752548801e-08,Unchanged
616,0.173064782052043,Downregulated
617,0,Unchanged
618,0.0173358583903102,Downregulated
619,0.0557919110118462,Downregulated
620,0.00290455766358013,Unchanged
621,0,Unchanged
622,0.00190196857170338,Unchanged
623,1.81957307199189,Unchanged
624,0.205102072711711,Downregulated
625,0,Unchanged
626,0,Unchanged
627,0,Unchanged
628,0,Unchanged
629,0.291912550386297,Downregulated
630,4.30590434291016,Upregulated
631,70.9485157843173,Upregulated
632,0,Unchanged
633,2.06122746432003,Upregulated
634,5.87269185571205,Upregulated
635,5.86459591264108,Upregulated
636,4.64224309746588,Upregulated
637,4.20415989952832,Upregulated
638,56.29577716563,Upregulated
639,0,Unchanged
640,0,Unchanged
641,0,Unchanged
642,0.0274813962584488,Downregulated
643,0.0823287020970672,Downregulated
644,0,Unchanged
645,4.20415989952832,Upregulated
646,2.06122746432003,Upregulated
647,2.06122746432003,Upregulated
648,0.0332268051596849,Downregulated
649,4.54234170448163e-05,Unchanged
650,0.202940623665421,Downregulated
651,0.00673507290293183,Unchanged
652,1.10516536339645e-07,Unchanged
653,2.06122746432003,Upregulated
654,2.06122746432003,Upregulated
655,2.06122746432003,Upregulated
656,0.832359782835745,Unchanged
657,0,Unchanged
658,0,Unchanged
659,0.00673260330765515,Unchanged
660,0.000642751149801039,Unchanged
661,0,Unchanged
662,18382452.2381922,Unchanged
663,0,Unchanged
664,1.52942937475267e-07,Unchanged
665,3.46724123462869e-07,Unchanged
666,41.3146698338475,Upregulated
667,10.1541885955004,Upregulated
668,0,Unchanged
669,267514828.287719,Unchanged
670,267514828.287719,Unchanged
671,0,Unchanged
672,40954241.6760614,Unchanged
673,2293875.95353381,Unchanged
674,0,Unchanged
675,0.111699542446809,Downregulated
676,0.00880129468830259,Unchanged
677,2.46575604657766,Upregulated
678,10055409.843894,Unchanged
679,20046106.3844687,Unchanged
680,0,Unchanged
681,4.79040206662956e-07,Unchanged
682,35.7925445659941,Upregulated
683,25.1161856178175,Upregulated
684,0,Unchanged
685,35.4265063276823,Upregulated
686,0.425924431857969,Downregulated
687,0,Unchanged
688,0.883049730703725,Unchanged
689,0,Unchanged
690,0,Unchanged
691,0,Unchanged
692,0,Unchanged
693,0,Unchanged
694,0,Unchanged
695,0,Unchanged
696,0,Unchanged
697,0.0677440857360176,Downregulated
698,23885998.5634593,Unchanged
699,0.689802944375614,Unchanged
700,69.2014089204191,Upregulated
701,0.284013908259044,Downregulated
702,69.8197332477922,Upregulated
703,0.0513936140244507,Downregulated
704,0.362896972923399,Downregulated
705,0.946929442905738,Unchanged
706,2.09941933214708,Upregulated
