Reaction,FSR,RegulationStatus
1,0.914215771263961,Unchanged
2,0.473871479162711,Downregulated
3,0,Unchanged
4,0.0443315415330071,Downregulated
5,0,Unchanged
6,199.171440632979,Upregulated
7,0,Unchanged
8,1.66573820266634,Unchanged
9,1.18340643480431,Unchanged
10,0,Unchanged
11,0.698854288230249,Unchanged
12,0.0501253429378492,Downregulated
13,0,Unchanged
14,0.494308334319909,Downregulated
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0405374487062828,Downregulated
19,0.305075648994454,Downregulated
20,0,Unchanged
21,1.75072202048225,Unchanged
22,0.308373799216906,Downregulated
23,0.850418657043221,Unchanged
24,5.60130052486801,Upregulated
25,1.81790490189532,Unchanged
26,0.677495464672233,Unchanged
27,2.82027099999027e-07,Unchanged
28,1.67534953626515,Unchanged
29,0,Unchanged
30,0.165226619293074,Downregulated
31,0,Unchanged
32,1.78032962739713,Unchanged
33,0.437621141616311,Downregulated
34,0.763228574078281,Unchanged
35,0,Unchanged
36,1.70182992985752,Unchanged
37,2.91566081450948,Upregulated
38,19.4729348374733,Upregulated
39,18.6235146028703,Upregulated
40,0.637468285267819,Unchanged
41,0.0485921438490945,Downregulated
42,0.538549520489442,Unchanged
43,0,Unchanged
44,0.130266181803891,Downregulated
45,0.0361400643504937,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,2.5095074490326,Upregulated
50,0.732922635907972,Unchanged
51,0,Unchanged
52,17.8165939910831,Upregulated
53,0,Unchanged
54,14.0511979451694,Upregulated
55,3.62423011034483,Upregulated
56,0.404097197114316,Downregulated
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,1.30692747986685,Unchanged
61,1.87986779951479,Unchanged
62,140969847.58103,Unchanged
63,0,Unchanged
64,2.63392496137432,Upregulated
65,2.63392514583242,Upregulated
66,5.04699921349408,Upregulated
67,9.54866152755306,Upregulated
68,0,Unchanged
69,9.13529565442285,Upregulated
70,0,Unchanged
71,0.547772415546962,Unchanged
72,0,Unchanged
73,3.39723546744709e-07,Unchanged
74,0.066617335815162,Downregulated
75,0,Unchanged
76,1.87081420791392,Unchanged
77,0,Unchanged
78,1.91762279701761,Unchanged
79,0,Unchanged
80,0,Unchanged
81,124281.168835268,Unchanged
82,0.0707314984049313,Downregulated
83,2997619.95006147,Unchanged
84,0,Unchanged
85,0.500003737549475,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.199397625672802,Downregulated
89,0,Unchanged
90,0,Unchanged
91,3.12161676220011e-05,Unchanged
92,7.08292846034931,Upregulated
93,21734969.0090729,Unchanged
94,9057574.99304832,Unchanged
95,9057575.29788018,Unchanged
96,0,Unchanged
97,6.19328714435229,Upregulated
98,662367490.069834,Unchanged
99,1844.85827725149,Upregulated
100,113.323616179829,Upregulated
101,20.9524820251317,Upregulated
102,19.9444779363972,Upregulated
103,19.9444782828076,Upregulated
104,9222038.26870089,Unchanged
105,0.968218490591573,Unchanged
106,0,Unchanged
107,0,Unchanged
108,7.35926378183649e-09,Unchanged
109,7.35926378183649e-09,Unchanged
110,7.35926378183649e-09,Unchanged
111,8.02019701804277e-09,Unchanged
112,8.02019701804277e-09,Unchanged
113,8.02019701804277e-09,Unchanged
114,0.00881610585918032,Unchanged
115,1,Unchanged
116,0,Unchanged
117,1.46924641361696e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,8952563.56275304,Unchanged
122,4859076.89019458,Unchanged
123,5977837.70162726,Unchanged
124,631082.126960871,Unchanged
125,69.5133628367445,Upregulated
126,2772587.53896656,Unchanged
127,40328553.8303593,Unchanged
128,0,Unchanged
129,0,Unchanged
130,77546.7248969036,Unchanged
131,4.48122698028375e-06,Unchanged
132,2.98620482415848,Upregulated
133,1842865.62977821,Unchanged
134,0,Unchanged
135,11.6149438472972,Upregulated
136,0.286899673574357,Downregulated
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,4611019.13435044,Unchanged
142,0.999840021195973,Unchanged
143,0,Unchanged
144,0,Unchanged
145,2.22349330021324,Upregulated
146,0.672563044134631,Unchanged
147,0.455070283023213,Downregulated
148,10.8706939330888,Upregulated
149,0,Unchanged
150,2.89189672087501e-07,Unchanged
151,2.89189672044425e-07,Unchanged
152,0,Unchanged
153,4.46450230852456e-07,Unchanged
154,2.04440862148658e-07,Unchanged
155,1.51325705165295e-07,Unchanged
156,0,Unchanged
157,2.14512789421893,Upregulated
158,9.08178154101706e-08,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,341.227484559783,Upregulated
163,0,Unchanged
164,1.11232700811048e-07,Unchanged
165,141167952.27575,Unchanged
166,113239976.259574,Unchanged
167,70583976.137875,Unchanged
168,77546.7248969036,Unchanged
169,12080993.2429526,Unchanged
170,12103064.7668715,Unchanged
171,20229369.5369843,Unchanged
172,679606.455275298,Unchanged
173,43142037.6028694,Unchanged
174,0,Unchanged
175,0,Unchanged
176,32893369.9534787,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.201026616778937,Downregulated
188,0,Unchanged
189,2.7471734208089,Upregulated
190,2.7471741126009,Upregulated
191,2817.97524638193,Upregulated
192,4.78250779023315,Upregulated
193,9.32162729113918,Upregulated
194,1.01571371421845e-06,Unchanged
195,0.0166520118459536,Downregulated
196,14.9753286301227,Upregulated
197,10.1281375845693,Upregulated
198,3.48961006238824e-07,Unchanged
199,5387082.76585334,Unchanged
200,0,Unchanged
201,4998999.26097164,Unchanged
202,1.01605669800931e-05,Unchanged
203,7.34762937366209e-07,Unchanged
204,40458754.9385797,Unchanged
205,0.000104984902372935,Unchanged
206,3.3061012952276,Upregulated
207,5.22881655729179e-06,Unchanged
208,141167967.248748,Unchanged
209,2.57099732100517e-05,Unchanged
210,0,Unchanged
211,0,Unchanged
212,0,Unchanged
213,40458743.7263459,Unchanged
214,0,Unchanged
215,0,Unchanged
216,572.999656565554,Upregulated
217,5.77935256690015e-05,Unchanged
218,8092540.54900635,Unchanged
219,0.0998608371286714,Downregulated
220,0.232044116099144,Downregulated
221,0.229511617577275,Downregulated
222,0.484826154021982,Downregulated
223,0.0922571105844957,Downregulated
224,0,Unchanged
225,96672.4026084984,Unchanged
226,149.581842825066,Upregulated
227,0,Unchanged
228,0,Unchanged
229,19.3800477572928,Upregulated
230,331183745.034917,Unchanged
231,2940.879191422,Upregulated
232,352.066735419118,Upregulated
233,0,Unchanged
234,49.9622514638321,Upregulated
235,0,Unchanged
236,30.3289400777183,Upregulated
237,53.8495014048895,Upregulated
238,59.0020792566488,Upregulated
239,45644.989796576,Unchanged
240,4.18821925904922e-08,Unchanged
241,0,Unchanged
242,8.93019139187601e-08,Unchanged
243,0,Unchanged
244,3068.82952678302,Upregulated
245,513538.306128622,Unchanged
246,0.998897037172246,Unchanged
247,30.3289406091127,Upregulated
248,422670220.683794,Unchanged
249,236951557.625322,Unchanged
250,32.9541756642969,Upregulated
251,211335105.634593,Unchanged
252,33.0628788308182,Upregulated
253,33.2415873441302,Upregulated
254,33.2413308648984,Upregulated
255,576368946.265731,Unchanged
256,210.670177449068,Upregulated
257,7.49684284073737e-08,Unchanged
258,2.36009844030605e-07,Unchanged
259,1.14361566343177e-05,Unchanged
260,0.375793387667425,Downregulated
261,0,Unchanged
262,0.835945316549149,Unchanged
263,6445865.12645164,Unchanged
264,7.61191071293723e-09,Unchanged
265,2.79470440827314e-08,Unchanged
266,0.0410059930329671,Downregulated
