Reaction,FSR,RegulationStatus
1,0.376086054431723,Downregulated
2,0.193689801553483,Downregulated
3,0,Unchanged
4,0.0176485372490428,Downregulated
5,0,Unchanged
6,198.273388141292,Upregulated
7,0,Unchanged
8,0.64953031112382,Unchanged
9,0.475064926785654,Downregulated
10,0,Unchanged
11,0.276948279303672,Downregulated
12,0.0195924918796049,Downregulated
13,0,Unchanged
14,0.221377996995212,Downregulated
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0161792663110417,Downregulated
19,0.121948669531778,Downregulated
20,0,Unchanged
21,0.674881251506772,Unchanged
22,0.122094906243103,Downregulated
23,0.33930917442914,Downregulated
24,2.19622164389879,Upregulated
25,0.707131259198935,Unchanged
26,0.272095483515603,Downregulated
27,2.29960864146506e-07,Unchanged
28,0.659553237658785,Unchanged
29,0,Unchanged
30,0.0674308853408039,Downregulated
31,0,Unchanged
32,0.695526887206259,Unchanged
33,0.177717055161456,Downregulated
34,0.307312147165592,Downregulated
35,0,Unchanged
36,0.698885817559973,Unchanged
37,1.12590474020037,Unchanged
38,7.0314497062873,Upregulated
39,7.19161313897409,Upregulated
40,0.260439016821673,Downregulated
41,0.0201500044038185,Downregulated
42,0.219914442122067,Downregulated
43,0,Unchanged
44,0.0529276636667689,Downregulated
45,0.0146151847199985,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,1.36119209061333,Unchanged
50,0.339333141199656,Downregulated
51,0,Unchanged
52,11.1278133143919,Upregulated
53,0,Unchanged
54,0,Unchanged
55,2.5531989046712,Upregulated
56,0.164517080853238,Downregulated
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,0.539273029022506,Unchanged
61,0.784430121123594,Unchanged
62,67407267.0502587,Unchanged
63,0,Unchanged
64,1.0682413555731,Unchanged
65,1.06947390524008,Unchanged
66,2.07476911863489,Upregulated
67,3.93207983538623,Upregulated
68,0,Unchanged
69,3.63958853066292,Upregulated
70,0,Unchanged
71,0.21823774717452,Downregulated
72,0,Unchanged
73,2.90783197659651e-07,Unchanged
74,0.0270618583069364,Downregulated
75,0,Unchanged
76,0.759302303891897,Unchanged
77,0,Unchanged
78,0.738079885594971,Unchanged
79,0,Unchanged
80,0,Unchanged
81,76602.9236050005,Unchanged
82,0.0498132250637371,Downregulated
83,1432163.54201624,Unchanged
84,0,Unchanged
85,0.50000207666264,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.0810427576703388,Downregulated
89,0,Unchanged
90,0,Unchanged
91,4.36131567259613e-05,Unchanged
92,7.08292522665113,Upregulated
93,10265099.6745156,Unchanged
94,4331641.93679185,Unchanged
95,4329238.95572241,Unchanged
96,0,Unchanged
97,2.54599787612771,Upregulated
98,316890176.798419,Unchanged
99,26941036.1686427,Unchanged
100,48.299133085211,Upregulated
101,8.73394827875523,Upregulated
102,7.97829902660514,Upregulated
103,7.97829983516615,Upregulated
104,4410294.28593927,Unchanged
105,0.402027499949317,Downregulated
106,0,Unchanged
107,0,Unchanged
108,6.25762366339077e-09,Unchanged
109,6.25762366339077e-09,Unchanged
110,6.25762366339077e-09,Unchanged
111,6.81741819335002e-09,Unchanged
112,6.81741819335002e-09,Unchanged
113,6.81741819335002e-09,Unchanged
114,0.00360214539504549,Unchanged
115,7.49207837088761e-07,Unchanged
116,0,Unchanged
117,0,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,0,Unchanged
122,2323777.06664435,Unchanged
123,2855512.52733795,Unchanged
124,301805.09510008,Unchanged
125,994.267870595879,Upregulated
126,1759061.62894814,Unchanged
127,19286496.1776328,Unchanged
128,0,Unchanged
129,0,Unchanged
130,37075.599678589,Unchanged
131,2.55530619881483e-07,Unchanged
132,1.17320894876928,Unchanged
133,2.25883981000782,Upregulated
134,0,Unchanged
135,3.93097135269576,Upregulated
136,0.120016069518685,Downregulated
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,1.65211352144674,Unchanged
142,0.406238897740647,Downregulated
143,0,Unchanged
144,0,Unchanged
145,0.91456561649845,Unchanged
146,0.281092741894959,Downregulated
147,0.187395136004642,Downregulated
148,4.54131494266733,Upregulated
149,0,Unchanged
150,2.45881694673781e-07,Unchanged
151,2.45881698057381e-07,Unchanged
152,0,Unchanged
153,3.8694558879165e-07,Unchanged
154,1.66417773925787e-07,Unchanged
155,1.3022488013803e-07,Unchanged
156,0,Unchanged
157,0.898511481755612,Unchanged
158,7.76337992871748e-08,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,75.8189372897414,Upregulated
163,0,Unchanged
164,9.80786757042556e-08,Unchanged
165,67511361.3774135,Unchanged
166,54155241.8212979,Unchanged
167,33755680.6887067,Unchanged
168,37075.5997244554,Unchanged
169,5786462.90762262,Unchanged
170,5788099.01514568,Unchanged
171,9674378.76009394,Unchanged
172,324933.385603734,Unchanged
173,20663848.9411657,Unchanged
174,0,Unchanged
175,0,Unchanged
176,3767763.97675452,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.0816824994242824,Downregulated
188,0,Unchanged
189,1.1245444583605,Unchanged
190,1.12454351927129,Unchanged
191,3587.69900809845,Upregulated
192,1.96382327944225,Unchanged
193,0,Unchanged
194,8.73078329511704e-07,Unchanged
195,0.00684318476136568,Unchanged
196,6.24900390934319,Upregulated
197,4.16600208340634,Upregulated
198,3.04832005753042e-07,Unchanged
199,2576287.82730833,Unchanged
200,0,Unchanged
201,2390712.48538264,Unchanged
202,8.7339401392747e-06,Unchanged
203,6.38196261107503e-07,Unchanged
204,19326949.9363431,Unchanged
205,8.0864847026523e-05,Unchanged
206,3.9083608808505,Upregulated
207,4.20139313030177e-06,Unchanged
208,67511360.5866797,Unchanged
209,6.34549987936035e-05,Unchanged
210,0,Unchanged
211,0,Unchanged
212,0,Unchanged
213,19326941.1247439,Unchanged
214,0,Unchanged
215,0,Unchanged
216,49.9919235776739,Upregulated
217,1.05434404842035e-05,Unchanged
218,3870130.5348417,Unchanged
219,0.0413869315583458,Downregulated
220,0.0962231279487715,Downregulated
221,0.095058188141792,Downregulated
222,0.201045847313574,Downregulated
223,0.0382127323800104,Downregulated
224,0,Unchanged
225,46228.2049833372,Unchanged
226,58.1253243417921,Upregulated
227,0,Unchanged
228,0,Unchanged
229,7.77714940170307,Upregulated
230,158445088.399209,Unchanged
231,0,Unchanged
232,2245.9294052469,Upregulated
233,0,Unchanged
234,20.5391164051663,Upregulated
235,0,Unchanged
236,12.3095702785245,Upregulated
237,22.3466522309282,Upregulated
238,24.5544989327559,Upregulated
239,21811.1482218345,Unchanged
240,3.53560158146138e-08,Unchanged
241,0,Unchanged
242,7.62080296681233e-08,Unchanged
243,0,Unchanged
244,1470.3922330006,Upregulated
245,245532.900476842,Unchanged
246,0.998897036035768,Unchanged
247,12.3234605186239,Upregulated
248,202135380.268364,Unchanged
249,113318356.149539,Unchanged
250,13.4296002740421,Upregulated
251,100953735.936298,Unchanged
252,14.6029889698613,Upregulated
253,12.1944586263278,Upregulated
254,12.1944600691248,Upregulated
255,275639377.593157,Unchanged
256,77.2680616783215,Upregulated
257,6.38877115618899e-08,Unchanged
258,2.03221318216151e-07,Unchanged
