Reaction,FSR,RegulationStatus
1,3.49568737307636,Upregulated
2,1.80883465530694,Unchanged
3,0,Unchanged
4,0.169276962808444,Downregulated
5,0,Unchanged
6,199.729937088827,Upregulated
7,0,Unchanged
8,6.36930801942986,Upregulated
9,4.51721067315787,Upregulated
10,0,Unchanged
11,2.67218361606254,Upregulated
12,0.191862900119681,Downregulated
13,0,Unchanged
14,1.89375012012819,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.155095560001264,Downregulated
19,1.16690557055398,Unchanged
20,0,Unchanged
21,6.70684764400606,Upregulated
22,1.16229749157909,Unchanged
23,3.2517136625155,Upregulated
24,21.1157273977086,Upregulated
25,6.86556926335557,Upregulated
26,2.5539907579013,Upregulated
27,3.50508759993318e-07,Unchanged
28,6.4060141863528,Upregulated
29,0,Unchanged
30,0.630905750753746,Unchanged
31,0,Unchanged
32,6.80743018532274,Upregulated
33,1.67332107181888,Unchanged
34,2.91832730844571,Upregulated
35,0,Unchanged
36,6.49607897851116,Upregulated
37,10.9914124519243,Upregulated
38,74.4848514439682,Upregulated
39,71.2106684109155,Upregulated
40,2.43329329806044,Upregulated
41,0.185545423573953,Downregulated
42,2.05922758232938,Upregulated
43,0,Unchanged
44,0.497241456171021,Downregulated
45,0.138194818250337,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,9.59921918315884,Upregulated
50,2.80260233447599,Upregulated
51,0,Unchanged
52,68.8282101430506,Upregulated
53,0,Unchanged
54,20.5471469018416,Upregulated
55,13.4961607163121,Upregulated
56,1.51826370160562,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,4.93442416299095,Upregulated
61,7.18802752240278,Upregulated
62,434061849.717115,Unchanged
63,0,Unchanged
64,10.0574518717157,Upregulated
65,9.91565533163454,Upregulated
66,19.2650047918517,Upregulated
67,36.0083671883238,Upregulated
68,0,Unchanged
69,34.4356419855057,Upregulated
70,0,Unchanged
71,2.09436599552519,Upregulated
72,0,Unchanged
73,4.22358412679789e-07,Unchanged
74,0.254366567756157,Downregulated
75,0,Unchanged
76,7.04228018124187,Upregulated
77,0,Unchanged
78,7.33239119979971,Upregulated
79,0,Unchanged
80,0,Unchanged
81,409121.312524713,Unchanged
82,0.270604855492324,Downregulated
