Reaction,FSR,RegulationStatus
1,0.737661347217789,Unchanged
2,0.383215472650293,Downregulated
3,0,Unchanged
4,0.0358503215732592,Downregulated
5,0,Unchanged
6,198.497633218623,Upregulated
7,0,Unchanged
8,1.34935276918316,Unchanged
9,0.956981823072213,Unchanged
10,0,Unchanged
11,0.564669111371382,Unchanged
12,0.0406356909796927,Downregulated
13,0,Unchanged
14,0.400929541866579,Downregulated
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0328450878839778,Downregulated
19,0.247133192462126,Downregulated
20,0,Unchanged
21,1.41479670966838,Unchanged
22,0.248775914605862,Downregulated
23,0.688903867735293,Unchanged
24,4.53702795902199,Upregulated
25,1.47487346938332,Unchanged
26,0.547552923934846,Unchanged
27,4.15663482954187e-07,Unchanged
28,1.35179958664741,Unchanged
29,0,Unchanged
30,0.133088386447134,Downregulated
31,0,Unchanged
32,1.43650660770032,Unchanged
33,0.354505900492366,Downregulated
34,0.615826534124325,Unchanged
35,0,Unchanged
36,1.37624425972939,Unchanged
37,2.36191659653185,Upregulated
38,15.7747789340134,Upregulated
39,15.0865250342919,Upregulated
40,0.515511786009787,Unchanged
41,0.0392957519456295,Downregulated
42,0.4345390598894,Downregulated
43,0,Unchanged
44,0.105344416932925,Downregulated
45,0.0292758901521111,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,2.03237591059287,Upregulated
50,0.593578827403357,Unchanged
51,0,Unchanged
52,12.4763881303394,Upregulated
53,0,Unchanged
54,2.70247507080605,Upregulated
55,2.93593570780996,Upregulated
56,0.335514522617087,Downregulated
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,1.06034580255081,Unchanged
61,1.5228389382525,Unchanged
62,77522055.9094006,Unchanged
63,0,Unchanged
64,2.12160072979277,Upregulated
65,2.1216007047645,Upregulated
66,4.06530921922789,Upregulated
67,7.71561456630911,Upregulated
68,0,Unchanged
69,7.38114812621727,Upregulated
70,0,Unchanged
71,0.443707489777429,Downregulated
72,0,Unchanged
73,5.00691144955086e-07,Unchanged
74,0.053859436825523,Downregulated
75,0,Unchanged
76,1.51289608243593,Unchanged
77,0,Unchanged
78,1.54728419642872,Unchanged
79,0,Unchanged
80,0,Unchanged
81,69413.4801637039,Unchanged
82,0.0571914135221244,Downregulated
83,1647629.9027832,Unchanged
84,0,Unchanged
85,0.500005508472128,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.16149909996708,Downregulated
89,0,Unchanged
90,0,Unchanged
91,4.61082118592993e-05,Unchanged
92,7.08292608560122,Upregulated
93,12972278.9691152,Unchanged
94,4978378.18853159,Unchanged
95,4978378.63090157,Unchanged
96,0,Unchanged
97,4.98906234932625,Upregulated
98,364623619.809535,Unchanged
99,1496.74562003467,Upregulated
100,91.9423747539987,Upregulated
101,22.6953559274709,Upregulated
102,21.2553562789653,Upregulated
103,21.2553560151054,Upregulated
104,5059108.96537324,Unchanged
