Reaction,FSR,RegulationStatus
1,0.764182468820138,Unchanged
2,0.395082415151029,Downregulated
3,0,Unchanged
4,0.0369198756115464,Downregulated
5,0,Unchanged
6,198.814465368016,Upregulated
7,0,Unchanged
8,1.37825116031412,Unchanged
9,0.98779912808674,Unchanged
10,0,Unchanged
11,0.581573166276921,Unchanged
12,0.0415424850953255,Downregulated
13,80315898.8710786,Unchanged
14,0.468912293556556,Downregulated
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0338205201600613,Downregulated
19,0.2543282124867,Downregulated
20,0,Unchanged
21,1.46570055784308,Unchanged
22,0.256579515746187,Downregulated
23,0.708285736578363,Unchanged
24,4.6276210427521,Upregulated
25,1.50593959041047,Unchanged
26,0.567241890473107,Unchanged
27,3.34487032617403e-07,Unchanged
28,1.3880987692507,Unchanged
29,0,Unchanged
30,0.138270150158632,Downregulated
31,0,Unchanged
32,1.46930595854937,Unchanged
33,0.371585828319094,Downregulated
34,0.636307257090729,Unchanged
35,0,Unchanged
36,1.43073549844125,Unchanged
37,2.40155489700983,Upregulated
38,15.9538996681213,Upregulated
39,15.3801242076661,Upregulated
40,0.534101824885108,Unchanged
41,0.0407633105835058,Downregulated
42,0.45094942370146,Downregulated
43,0,Unchanged
44,0.109569555751675,Downregulated
45,0.0303918416843908,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,2.27573002009554,Upregulated
50,0.606892317520865,Unchanged
51,0,Unchanged
52,14.1857956559998,Upregulated
53,0,Unchanged
54,0,Unchanged
55,2.90230424161124,Upregulated
56,0.337009896927539,Downregulated
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,1.09813146047606,Unchanged
61,1.57593470781548,Unchanged
62,98130401.5139421,Unchanged
63,0,Unchanged
64,2.20176856746347,Upregulated
65,2.20756905044836,Upregulated
66,4.22198999286624,Upregulated
67,8.00147079611852,Upregulated
68,0,Unchanged
69,7.63219402337168,Upregulated
70,0,Unchanged
71,0.4576431491911,Downregulated
72,0,Unchanged
73,4.07778698092334e-07,Unchanged
74,0.0558108729542324,Downregulated
75,0,Unchanged
76,1.56771127309265,Unchanged
77,0,Unchanged
78,1.60295572827511,Unchanged
79,0,Unchanged
80,0,Unchanged
81,80618.0910175357,Unchanged
82,0.0566350319201924,Downregulated
83,2091335.02044193,Unchanged
84,0,Unchanged
85,0.500004568472907,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.166854092745046,Downregulated
89,0,Unchanged
90,0,Unchanged
91,3.35492884109565e-05,Unchanged
92,7.08292727720744,Upregulated
93,15165997.9749049,Unchanged
94,6309214.32957124,Unchanged
95,6318911.47166109,Unchanged
96,0,Unchanged
97,5.19166172690562,Upregulated
98,461616398.531387,Unchanged
99,1036825.29685837,Unchanged
100,101.199636586265,Upregulated
101,23.6746372279076,Upregulated
102,22.1561771490536,Upregulated
103,22.1561835652331,Upregulated
104,6425496.68082141,Unchanged
105,0.810314130222409,Unchanged
106,0,Unchanged
107,0,Unchanged
108,8.82321817487407e-09,Unchanged
109,8.82321817487407e-09,Unchanged
110,8.82321817487407e-09,Unchanged
111,9.63565908635316e-09,Unchanged
112,9.63565908635316e-09,Unchanged
113,9.63565908635316e-09,Unchanged
114,0.00739098747052865,Unchanged
115,9.21582389992182e-07,Unchanged
116,0,Unchanged
117,1.73390590707641e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,0,Unchanged
122,3389877.98595354,Unchanged
123,4170369.04861359,Unchanged
124,440267.041041934,Unchanged
125,194.274310770844,Upregulated
126,2566082.63489534,Unchanged
127,28062416.1799592,Unchanged
128,0,Unchanged
129,0,Unchanged
130,54085.1204739533,Unchanged
131,3.71017371548987e-07,Unchanged
132,2.47925964166518,Upregulated
133,5.08166217006831,Upregulated
134,0,Unchanged
135,9.35614188982654,Upregulated
136,2.04839958583246,Upregulated
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,2.96081229399911,Upregulated
142,0.837484036664526,Unchanged
143,0,Unchanged
144,0,Unchanged
145,1.8584263499854,Unchanged
146,0.563560480253905,Unchanged
147,0.381334287681977,Downregulated
148,9.08912871686736,Upregulated
149,0,Unchanged
150,3.47185538544181e-07,Unchanged
151,3.47528616316595e-07,Unchanged
152,0,Unchanged
153,2.43305497133406e-06,Unchanged
154,1.6637568379565e-06,Unchanged
155,1.81966714194459e-07,Unchanged
156,0,Unchanged
157,1.80255957663405,Unchanged
158,1.09062336792467e-07,Unchanged
159,0,Unchanged
160,0,Unchanged
161,0,Unchanged
162,281.762365495695,Upregulated
163,0,Unchanged
164,1.34774155797416e-07,Unchanged
165,98484180.4461012,Unchanged
166,79000549.6318713,Unchanged
167,49242090.2230506,Unchanged
168,54085.1204739533,Unchanged
169,8441172.73831293,Unchanged
170,8443561.13424234,Unchanged
171,14112784.1189923,Unchanged
172,474006.079499696,Unchanged
173,30143998.5264004,Unchanged
174,0,Unchanged
175,0,Unchanged
176,22396655.7388074,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,0.168457545831012,Downregulated
188,0,Unchanged
189,2.30608577987217,Upregulated
190,2.30608777292692,Upregulated
191,2160.87400605376,Upregulated
192,3.99022320717448,Upregulated
193,0,Unchanged
194,1.21792272988934e-06,Unchanged
195,0.0139276588150464,Downregulated
196,12.5210670027903,Upregulated
197,8.46475449856761,Upregulated
198,4.19328353927995e-07,Unchanged
199,3758235.47372234,Unchanged
200,0,Unchanged
201,3489900.01345862,Unchanged
202,1.2183453749632e-05,Unchanged
203,8.83203581398865e-07,Unchanged
204,28153006.1783441,Unchanged
205,0.000125882415039865,Unchanged
206,2.932617208965,Upregulated
207,6.18028787096136e-06,Unchanged
208,98225412.8307875,Unchanged
209,3.26391807300171e-05,Unchanged
210,0,Unchanged
211,0,Unchanged
212,0,Unchanged
