Reaction,FSR,RegulationStatus
1,3.14893885518482,Upregulated
2,1.62169393165736,Unchanged
3,0,Unchanged
4,0.151712508379539,Downregulated
5,0,Unchanged
6,199.729937088827,Upregulated
7,0,Unchanged
8,5.7375743051067,Upregulated
9,4.08068966682702,Upregulated
10,0,Unchanged
11,2.40714417402345,Upregulated
12,0.172829650326177,Downregulated
13,0,Unchanged
14,1.68764770318548,Unchanged
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.140105490704363,Downregulated
19,1.04285109583207,Unchanged
20,0,Unchanged
21,6.03946284417541,Upregulated
22,1.04050071158862,Unchanged
23,2.93743378773674,Upregulated
24,19.0209944305213,Upregulated
25,6.12325965952915,Upregulated
26,2.30067494246476,Upregulated
27,3.15738299263738e-07,Unchanged
28,5.77064521325642,Upregulated
29,0,Unchanged
30,0.565442323890399,Unchanged
31,0,Unchanged
32,6.13224148488155,Upregulated
33,1.50735817389988,Unchanged
34,2.63631596328541,Upregulated
35,0,Unchanged
36,5.81537352034493,Upregulated
37,9.7983404024428,Upregulated
38,66.7692794416704,Upregulated
39,63.4810469016179,Upregulated
40,2.19811669675907,Upregulated
41,0.166327381840945,Downregulated
42,1.8409428780941,Unchanged
43,0,Unchanged
44,0.449191329451844,Downregulated
45,0.123243531527705,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,8.59880468356097,Upregulated
50,2.50373960833127,Upregulated
51,0,Unchanged
52,62.388086390481,Upregulated
53,0,Unchanged
54,18.3542625022707,Upregulated
55,12.055789436042,Upregulated
56,1.36684652149876,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,4.44501542897613,Upregulated
61,6.47498092093579,Upregulated
62,433711604.681538,Unchanged
63,0,Unchanged
64,9.0138770112428,Upregulated
65,8.88679347266724,Upregulated
66,17.4033517357093,Upregulated
67,32.4258227750474,Upregulated
68,0,Unchanged
69,30.7015606854367,Upregulated
70,0,Unchanged
71,1.8672602281147,Unchanged
72,0,Unchanged
73,3.77457535565066e-07,Unchanged
74,0.227990839969946,Downregulated
75,0,Unchanged
76,6.31205345886566,Upregulated
77,0,Unchanged
78,6.60502251996249,Upregulated
79,0,Unchanged
80,0,Unchanged
81,382376.384980217,Unchanged
82,0.241724682060359,Downregulated
83,9222563.06038332,Unchanged
84,0,Unchanged
85,0.500004140821549,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.683436423989144,Unchanged
89,0,Unchanged
90,0,Unchanged
91,3.45850677827222e-05,Unchanged
92,7.08293046399041,Upregulated
93,72613124.514778,Unchanged
94,27473881.6769136,Unchanged
95,27615446.2790471,Unchanged
96,0,Unchanged
97,21.1951849601226,Upregulated
98,2012227059.87912,Unchanged
99,6222.1855047564,Upregulated
100,385.427290269538,Upregulated
101,72.0016332825088,Upregulated
102,68.5377150830615,Upregulated
103,68.5377161083329,Upregulated
104,28372759.6665613,Unchanged
105,3.27178512490742,Upregulated
106,0,Unchanged
107,0,Unchanged
108,8.18592543601592e-09,Unchanged
109,8.18592543601592e-09,Unchanged
110,8.18592543601592e-09,Unchanged
111,8.92125767036496e-09,Unchanged
112,8.92125767036496e-09,Unchanged
113,8.92125767036496e-09,Unchanged
114,0.0301744115112985,Downregulated
115,8.44983057888271e-07,Unchanged
116,0,Unchanged
117,1.63135287124447e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
