Reaction,FSR,RegulationStatus
1,0.707319272772997,Unchanged
2,0.365660710216729,Downregulated
3,0,Unchanged
4,0.0342971788225397,Downregulated
5,0,Unchanged
6,198.814465368016,Upregulated
7,0,Unchanged
8,1.29097030097279,Unchanged
9,0.915556359231684,Unchanged
10,0,Unchanged
11,0.541614221685948,Unchanged
12,0.0388754366383794,Downregulated
13,74251343.4587114,Unchanged
14,0.383608147903703,Downregulated
15,0,Unchanged
16,0,Unchanged
17,0,Unchanged
18,0.0313874617742006,Downregulated
19,0.236429612054647,Downregulated
20,0,Unchanged
21,1.35889150832878,Unchanged
22,0.238950374488179,Downregulated
23,0.657331447778562,Unchanged
24,4.32964909837314,Upregulated
25,1.41101996123757,Unchanged
26,0.525061239848125,Unchanged
27,3.13298473201939e-07,Unchanged
28,1.29841207030688,Unchanged
29,0,Unchanged
30,0.127829540026641,Downregulated
31,0,Unchanged
32,1.3761462493534,Unchanged
33,0.339159853407064,Downregulated
34,0.589950524799579,Unchanged
35,0,Unchanged
36,1.316668577215,Unchanged
37,2.2537258099068,Upregulated
38,15.1395763906927,Upregulated
39,14.4333918535644,Upregulated
40,0.493195280319689,Downregulated
41,0.0375938642327272,Downregulated
42,0.416272104091127,Downregulated
43,0,Unchanged
44,0.10078411451714,Downregulated
45,0.0280079654258045,Downregulated
46,0,Unchanged
47,0,Unchanged
48,0,Unchanged
49,1.9443995968695,Unchanged
50,0.568253827520989,Unchanged
51,0,Unchanged
52,13.8651802461994,Upregulated
53,0,Unchanged
54,0,Unchanged
55,2.81568259336461,Upregulated
56,0.318370345961851,Downregulated
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,1.01444393468717,Unchanged
61,1.45691524004381,Unchanged
62,98087544.6677817,Unchanged
63,0,Unchanged
64,2.03241340006062,Upregulated
65,2.03776772272628,Upregulated
66,3.90466983855307,Upregulated
67,7.40024300236744,Upregulated
68,0,Unchanged
69,7.07922569469403,Upregulated
70,0,Unchanged
71,0.424485951331082,Downregulated
72,0,Unchanged
73,3.77387910812322e-07,Unchanged
74,0.051527868173396,Downregulated
75,0,Unchanged
76,1.44740290803387,Unchanged
77,0,Unchanged
78,1.48617517093548,Unchanged
79,0,Unchanged
80,0,Unchanged
81,86705.4912460886,Unchanged
82,0.0549447129856399,Downregulated
83,2091254.89663804,Unchanged
84,0,Unchanged
85,0.500004152055063,Unchanged
86,0,Unchanged
87,0,Unchanged
88,0.154098486228406,Downregulated
89,0,Unchanged
90,0,Unchanged
91,3.47530953046614e-05,Unchanged
92,7.08292727720744,Upregulated
93,15163148.0159419,Unchanged
94,6309214.32957124,Unchanged
95,6318911.47166109,Unchanged
96,0,Unchanged
97,4.79161293829901,Upregulated
98,461616398.531387,Unchanged
99,1428.31039097077,Upregulated
100,87.7344169330443,Upregulated
101,16.2432941239507,Upregulated
102,15.4618475987296,Upregulated
103,15.4618470346728,Upregulated
104,6425496.68082141,Unchanged
105,0.748301197352731,Unchanged
106,0,Unchanged
107,0,Unchanged
108,8.16122206437342e-09,Unchanged
109,8.16122206437342e-09,Unchanged
110,8.16122206437342e-09,Unchanged
111,8.89418203087189e-09,Unchanged
112,8.89418203087189e-09,Unchanged
113,8.89418203087189e-09,Unchanged
114,0.00682818950154256,Unchanged
115,8.3843860862487e-07,Unchanged
116,0,Unchanged
117,1.63219653611577e-05,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,0,Unchanged
122,3389877.98595354,Unchanged
123,4170369.04861359,Unchanged
124,440267.041041934,Unchanged
