Reaction,FSR,RegulationStatus
2,0.388349944839507,Downregulated
4,0.0363318733629183,Downregulated
6,198.867948627578,Upregulated
12,0.0411941370743554,Downregulated
14,0.406357580204963,Downregulated
18,0.03330085196673,Downregulated
19,0.25045263454165,Downregulated
22,0.253203203550531,Downregulated
24,4.59931983101312,Upregulated
30,0.135063113639386,Downregulated
33,0.359379693604073,Downregulated
37,2.3944468211492,Upregulated
38,15.9914725273383,Upregulated
39,15.2943037755868,Upregulated
41,0.0398225198667596,Downregulated
42,0.442111055135795,Downregulated
44,0.106792598781842,Downregulated
45,0.029634172688755,Downregulated
49,2.05757441068378,Upregulated
52,14.8118420246382,Upregulated
55,2.97772277851376,Upregulated
56,0.331186123632067,Downregulated
64,2.15379725069407,Upregulated
65,2.15916981154548,Upregulated
66,4.13754375943844,Upregulated
67,7.82191485333081,Upregulated
69,7.47160741325673,Upregulated
71,0.449131579609184,Downregulated
74,0.0545801684312326,Downregulated
82,0.0581008706984024,Downregulated
88,0.163663786688402,Downregulated
92,7.08292730549174,Upregulated
97,5.07742160941425,Upregulated
99,1513.54952671329,Upregulated
100,92.9720892808178,Upregulated
101,17.27036647026,Upregulated
102,16.4450458058899,Upregulated
103,16.4450461286106,Upregulated
125,75.6813805472471,Upregulated
132,2.44501932896906,Upregulated
133,5.10124998988598,Upregulated
135,9.52416330286074,Upregulated
136,0.236414811366544,Downregulated
141,2.8536764659411,Upregulated
147,0.373380443529111,Downregulated
148,8.92432457517969,Upregulated
162,279.466444473074,Upregulated
187,0.164746474031284,Downregulated
189,2.25138009349291,Upregulated
190,2.25137817897817,Upregulated
191,2310.56060421031,Upregulated
192,3.92071356367449,Upregulated
195,0.0136462568889615,Downregulated
196,12.2940360628882,Upregulated
197,8.31730152741437,Upregulated
206,2.71298413057066,Upregulated
216,469.601451372583,Upregulated
219,0.0818385292433421,Downregulated
220,0.189692985151047,Downregulated
221,0.187628052360013,Downregulated
222,0.397327522672665,Downregulated
223,0.0756070842400488,Downregulated
226,122.795955145703,Upregulated
229,15.9342036146125,Upregulated
231,2413.16085502872,Upregulated
232,289.192342890492,Upregulated
234,40.8587167428452,Upregulated
236,24.8547967926011,Upregulated
237,44.1310566252576,Upregulated
